week,vx_manufacturer,dose,birth_cohort,percentage
20210208,Pfizer,2,1960-1969,0.05
20210208,AstraZeneca,1,1960-1969,0.001
20210208,Pfizer,1,1960-1969,0.067
20210208,Pfizer,1,1970-1979,0.043
20210208,AstraZeneca,1,1970-1979,0.007
20210208,Moderna,1,1970-1979,0.001
20210208,Pfizer,2,1970-1979,0.031
20210208,Pfizer,1,1980-1989,0.036
20210208,AstraZeneca,1,1980-1989,0.004
20210208,Pfizer,2,1980-1989,0.02
20210208,Pfizer,2,1990+,0.016
20210208,Moderna,1,1990+,0.002
20210208,Pfizer,1,1990+,0.018
20210208,Pfizer,2,all_birth_cohorts,0.026
20210208,Pfizer,1,all_birth_cohorts,0.035
20210208,AstraZeneca,1,all_birth_cohorts,0.002
20210208,Moderna,1,all_birth_cohorts,0.003
20210215,Moderna,2,1940-1949,0.002
20210215,Pfizer,1,1940-1949,0.007
20210215,Moderna,2,1950-1959,0.005
20210215,Pfizer,1,1950-1959,0.051
20210215,Pfizer,2,1950-1959,0.039
20210215,Pfizer,1,1960-1969,0.089
20210215,Moderna,2,1960-1969,0.001
20210215,AstraZeneca,1,1960-1969,0.004
20210215,Pfizer,1,1970-1979,0.058
20210215,Moderna,1,1970-1979,0.003
20210215,AstraZeneca,1,1970-1979,0.037
20210215,Pfizer,1,1980-1989,0.05
20210215,AstraZeneca,1,1980-1989,0.026
20210215,Pfizer,1,1990+,0.025
20210215,AstraZeneca,1,1990+,0.003
20210215,Moderna,1,1990+,0.003
20210215,Pfizer,2,<1940,0.031
20210215,Pfizer,1,<1940,0.035
20210215,Pfizer,1,all_birth_cohorts,0.045
20210215,Moderna,2,all_birth_cohorts,0.001
20210215,Pfizer,2,all_birth_cohorts,0.027
20210215,Moderna,1,all_birth_cohorts,0.003
20210215,AstraZeneca,1,all_birth_cohorts,0.009
20210222,Moderna,1,1950-1959,0.014
20210222,Pfizer,1,1950-1959,0.057
20210222,Pfizer,2,1950-1959,0.042
20210222,Moderna,2,1950-1959,0.007
20210222,Pfizer,1,1960-1969,0.1
20210222,AstraZeneca,1,1960-1969,0.015
20210222,Moderna,2,1960-1969,0.002
20210222,Pfizer,1,1970-1979,0.065
20210222,AstraZeneca,1,1970-1979,0.065
20210222,Pfizer,2,1970-1979,0.033
20210222,Moderna,1,1970-1979,0.005
20210222,Pfizer,1,1980-1989,0.072
20210222,AstraZeneca,1,1980-1989,0.036
20210222,Moderna,1,1990+,0.004
20210222,AstraZeneca,1,1990+,0.008
20210222,Pfizer,1,1990+,0.026
20210222,Pfizer,1,<1940,0.065
20210222,Pfizer,2,<1940,0.033
20210222,Pfizer,1,all_birth_cohorts,0.054
20210222,AstraZeneca,1,all_birth_cohorts,0.018
20210222,Moderna,1,all_birth_cohorts,0.004
20210222,Moderna,2,all_birth_cohorts,0.001
20210222,Pfizer,2,all_birth_cohorts,0.028
20210301,Moderna,1,1940-1949,0.007
20210301,Pfizer,1,1940-1949,0.013
20210301,AstraZeneca,1,1950-1959,0.003
20210301,Pfizer,2,1950-1959,0.049
20210301,AstraZeneca,1,1960-1969,0.041
20210301,Pfizer,2,1960-1969,0.065
20210301,Pfizer,1,1960-1969,0.101
20210301,Pfizer,2,1970-1979,0.043
20210301,AstraZeneca,1,1970-1979,0.075
20210301,Pfizer,2,1980-1989,0.038
20210301,AstraZeneca,1,1980-1989,0.04
20210301,Pfizer,1,1980-1989,0.074
20210301,AstraZeneca,1,1990+,0.01
20210301,Pfizer,2,1990+,0.018
20210301,Pfizer,1,<1940,0.142
20210301,Moderna,1,all_birth_cohorts,0.005
20210301,Pfizer,2,all_birth_cohorts,0.035
20210301,AstraZeneca,1,all_birth_cohorts,0.025
20210301,Pfizer,1,all_birth_cohorts,0.062
20210308,Moderna,1,1940-1949,0.017
20210308,Pfizer,1,1940-1949,0.02
20210308,Pfizer,2,1940-1949,0.006
20210308,AstraZeneca,1,1950-1959,0.008
20210308,Moderna,1,1950-1959,0.02
20210308,Moderna,2,1950-1959,0.01
20210308,Pfizer,2,1950-1959,0.054
20210308,Pfizer,1,1950-1959,0.062
20210308,Pfizer,1,1960-1969,0.103
20210308,Pfizer,2,1960-1969,0.085
20210308,AstraZeneca,1,1960-1969,0.052
20210308,AstraZeneca,1,1970-1979,0.079
20210308,Pfizer,2,1970-1979,0.057
20210308,Moderna,1,1970-1979,0.007
20210308,Moderna,2,1970-1979,0.001
20210308,Pfizer,2,1980-1989,0.054
20210308,Pfizer,2,1990+,0.025
20210308,Moderna,2,1990+,0.002
20210308,Pfizer,1,1990+,0.027
20210308,AstraZeneca,1,1990+,0.011
20210308,Pfizer,1,<1940,0.263
20210308,Moderna,1,<1940,0.004
20210308,Pfizer,2,<1940,0.035
20210308,AstraZeneca,1,all_birth_cohorts,0.028
20210308,Pfizer,1,all_birth_cohorts,0.076
20210308,Pfizer,2,all_birth_cohorts,0.045
20210308,Moderna,1,all_birth_cohorts,0.007
20210308,Moderna,2,all_birth_cohorts,0.003
20210315,Pfizer,1,1940-1949,0.024
20210315,Moderna,1,1940-1949,0.02
20210315,AstraZeneca,1,1950-1959,0.012
20210315,Pfizer,2,1950-1959,0.057
20210315,Moderna,1,1950-1959,0.022
20210315,Pfizer,2,1960-1969,0.096
20210315,Moderna,1,1960-1969,0.007
20210315,AstraZeneca,1,1960-1969,0.062
20210315,Pfizer,1,1960-1969,0.105
20210315,Moderna,2,1970-1979,0.003
20210315,Pfizer,2,1970-1979,0.064
20210315,AstraZeneca,1,1970-1979,0.084
20210315,Moderna,1,1970-1979,0.008
20210315,Pfizer,2,1980-1989,0.066
20210315,AstraZeneca,1,1980-1989,0.048
20210315,AstraZeneca,1,1990+,0.014
20210315,Pfizer,2,1990+,0.026
20210315,Moderna,2,1990+,0.003
20210315,Pfizer,1,<1940,0.33
20210315,Pfizer,2,<1940,0.061
20210315,Pfizer,2,all_birth_cohorts,0.052
20210315,Pfizer,1,all_birth_cohorts,0.083
20210315,Moderna,1,all_birth_cohorts,0.009
20210315,Moderna,2,all_birth_cohorts,0.003
20210315,AstraZeneca,1,all_birth_cohorts,0.032
20210322,Pfizer,1,1990+,0.028
20210322,Pfizer,1,<1940,0.332
20210322,Pfizer,2,<1940,0.067
20210322,Pfizer,1,all_birth_cohorts,0.083
20210322,Pfizer,2,all_birth_cohorts,0.053
