week,vx_manufacturer,dose,birth_cohort,N
20210222,Pfizer,1,<1940,14
20210111,Pfizer,1,1980-1989,3
20210125,Pfizer,2,1980-1989,6
20210315,AstraZeneca,1,1990+,4
20210222,Pfizer,1,1970-1979,5
20210315,Pfizer,2,1970-1979,5
20210222,AstraZeneca,1,1990+,6
20210222,AstraZeneca,1,1970-1979,21
20210301,AstraZeneca,1,1990+,3
20210308,Moderna,1,1970-1979,1
20210315,AstraZeneca,1,1970-1979,4
20210104,Pfizer,1,1950-1959,6
20210125,Pfizer,2,1950-1959,6
20210201,Pfizer,2,1950-1959,10
20210208,AstraZeneca,1,1970-1979,5
20210308,AstraZeneca,1,1950-1959,3
20210301,AstraZeneca,1,1950-1959,2
20210118,Moderna,1,1940-1949,1
20210215,Moderna,2,1940-1949,1
20210322,Pfizer,2,<1940,3
20210315,AstraZeneca,1,1980-1989,4
20210301,AstraZeneca,1,1980-1989,2
20210301,AstraZeneca,1,1970-1979,7
20210111,Pfizer,1,1950-1959,11
20210111,Pfizer,1,<1940,2
20210201,Pfizer,2,<1940,2
20210208,Moderna,1,1990+,3
20210308,Moderna,2,1990+,3
20210208,Moderna,1,1970-1979,1
20210308,Moderna,2,1970-1979,1
20210315,AstraZeneca,1,1960-1969,8
20210222,Moderna,1,1950-1959,2
20210308,Moderna,1,1950-1959,4
20210208,Pfizer,1,1950-1959,3
20210301,Pfizer,2,1950-1959,4
20210208,AstraZeneca,1,1980-1989,2
20210315,Pfizer,2,<1940,12
20210315,AstraZeneca,1,1950-1959,2
20210111,Pfizer,1,1940-1949,2
20210201,Pfizer,2,1940-1949,2
20210118,Moderna,1,1960-1969,1
20210215,Moderna,2,1960-1969,1
20210222,Pfizer,1,1950-1959,4
20210315,Pfizer,2,1950-1959,2
20210215,AstraZeneca,1,1990+,4
20210118,Pfizer,1,1990+,2
20210208,Pfizer,1,1990+,2
20210301,Pfizer,2,1990+,3
20210315,Pfizer,1,1960-1969,1
20210118,Pfizer,1,1950-1959,1
20210208,Pfizer,2,1950-1959,3
20210208,Moderna,1,1950-1959,1
20210308,Moderna,2,1950-1959,2
20210118,Pfizer,1,1970-1979,4
20210208,Pfizer,2,1970-1979,2
20210215,Pfizer,1,1950-1959,1
20210308,Pfizer,2,1950-1959,3
20210125,Moderna,1,1960-1969,1
20210222,Moderna,2,1960-1969,1
20210215,AstraZeneca,1,1960-1969,2
20210104,Pfizer,1,1940-1949,1
20210315,Pfizer,1,1940-1949,2
20210201,Pfizer,1,1950-1959,2
20210222,Pfizer,2,1950-1959,2
20210201,Pfizer,1,1970-1979,1
20210222,Pfizer,2,1970-1979,1
20210125,Pfizer,1,1950-1959,4
20210222,Moderna,1,1970-1979,2
20210125,Moderna,1,1950-1959,1
20210222,Moderna,2,1950-1959,1
20210222,Pfizer,1,1990+,2
20210315,Pfizer,2,1990+,2
20210118,Pfizer,2,1960-1969,2
20201228,Pfizer,1,1950-1959,2
20201228,Pfizer,1,<1940,2
20210118,Pfizer,2,<1940,1
20210308,Pfizer,1,1950-1959,3
20210201,Moderna,1,1950-1959,1
20210308,Pfizer,1,1990+,1
20210308,Pfizer,1,1940-1949,4
20210215,Pfizer,2,1950-1959,3
20210104,Pfizer,1,1980-1989,5
20210201,Pfizer,1,<1940,1
20210222,Pfizer,2,<1940,1
20210201,Pfizer,2,1980-1989,3
20201228,Pfizer,1,1960-1969,1
20210315,Moderna,1,1940-1949,2
20210322,Pfizer,1,1990+,1
20210301,Pfizer,1,1980-1989,1
20210301,Pfizer,1,1940-1949,3
20210215,Moderna,1,1990+,1
20210315,Moderna,2,1990+,1
20210308,AstraZeneca,1,1990+,1
20210315,Moderna,1,1950-1959,1
20210215,Pfizer,1,1940-1949,1
20210308,Pfizer,2,1940-1949,1
20210301,Pfizer,1,1960-1969,1
20210215,Pfizer,1,<1940,1
20210308,Pfizer,2,<1940,1
20210201,Pfizer,1,1990+,1
20210315,Moderna,1,1970-1979,1
20210118,Pfizer,1,1980-1989,1
20210208,Pfizer,2,1980-1989,1
20210118,Pfizer,2,1950-1959,1
20201228,Pfizer,1,1980-1989,1
20210301,Moderna,1,all_birth_cohorts,3
20210118,Pfizer,1,all_birth_cohorts,13
20210208,Pfizer,2,all_birth_cohorts,16
20210308,AstraZeneca,1,all_birth_cohorts,16
20210308,Pfizer,1,all_birth_cohorts,68
20210104,Pfizer,1,all_birth_cohorts,57
20210125,Pfizer,2,all_birth_cohorts,55
20210222,Pfizer,1,all_birth_cohorts,45
20210315,Pfizer,2,all_birth_cohorts,36
20210111,Pfizer,1,all_birth_cohorts,54
20210201,Pfizer,2,all_birth_cohorts,54
20210322,Pfizer,1,all_birth_cohorts,2
20210215,Pfizer,1,all_birth_cohorts,48
20210308,Pfizer,2,all_birth_cohorts,48
20210308,Moderna,1,all_birth_cohorts,12
20210315,Pfizer,1,all_birth_cohorts,35
20210125,Pfizer,1,all_birth_cohorts,8
20210208,Pfizer,1,all_birth_cohorts,33
20210301,Pfizer,2,all_birth_cohorts,36
20210301,AstraZeneca,1,all_birth_cohorts,35
20210208,AstraZeneca,1,all_birth_cohorts,8
20210301,Pfizer,1,all_birth_cohorts,42
20210222,AstraZeneca,1,all_birth_cohorts,41
20210315,Moderna,1,all_birth_cohorts,8
20210118,Moderna,1,all_birth_cohorts,5
20210215,Moderna,2,all_birth_cohorts,5
20210215,Pfizer,2,all_birth_cohorts,6
20210222,Moderna,1,all_birth_cohorts,5
20210215,Moderna,1,all_birth_cohorts,2
20210315,Moderna,2,all_birth_cohorts,2
20210215,AstraZeneca,1,all_birth_cohorts,39
20210315,AstraZeneca,1,all_birth_cohorts,22
20210322,Pfizer,2,all_birth_cohorts,3
20210208,Moderna,1,all_birth_cohorts,5
20210308,Moderna,2,all_birth_cohorts,6
20210125,Moderna,1,all_birth_cohorts,2
20210222,Moderna,2,all_birth_cohorts,2
20210201,Pfizer,1,all_birth_cohorts,5
20210222,Pfizer,2,all_birth_cohorts,4
20210118,Pfizer,2,all_birth_cohorts,4
20201228,Pfizer,1,all_birth_cohorts,6
20210201,Moderna,1,all_birth_cohorts,1
