sex,ageband_at_1_jan_2021,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
0,5-11,2021,6183,6183,6183,6183,6183,6183,6183,6183,6183,6183,6183,6183,6183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21791.42,0,0,21791.42,0,0,21791.42,0,0,21791.42,0,0,21791.42,0,0,21791.42,0,0,21791.42,0,0,21791.42,0,0,21791.42,0,0,21791.42,0,0,21791.42,0,0,21791.42
0,60-69,2020,67221,67221,67221,67221,67221,67221,67221,67221,67221,67221,67221,67221,67221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004.38,0,0,2004.38,0,0,2004.38,0,0,2004.38,0,0,2004.38,0,0,2004.38,0,0,2004.38,0,0,2004.38,0,0,2004.38,0,0,2004.38,0,0,2004.38,0,0,2004.38
0,60-69,2021,21476,21476,21476,21476,21476,21476,21476,21476,21476,21476,21476,21476,21476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6273.81,0,0,6273.81,0,0,6273.81,0,0,6273.81,0,0,6273.81,0,0,6273.81,0,0,6273.81,0,0,6273.81,0,0,6273.81,0,0,6273.81,0,0,6273.81,0,0,6273.81
0,18-24,2020,16516,16516,16516,16516,16516,16516,16516,16516,16516,16516,16516,16516,16516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8157.93,0,0,8157.93,0,0,8157.93,0,0,8157.93,0,0,8157.93,0,0,8157.93,0,0,8157.93,0,0,8157.93,0,0,8157.93,0,0,8157.93,0,0,8157.93,0,0,8157.93
0,18-24,2021,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23580.04,0,0,23580.04,0,0,23580.04,0,0,23580.04,0,0,23580.04,0,0,23580.04,0,0,23580.04,0,0,23580.04,0,0,23580.04,0,0,23580.04,0,0,23580.04,0,0,23580.04
0,25-29,2020,20765,20765,20765,20765,20765,20765,20765,20765,20765,20765,20765,20765,20765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6488.63,0,0,6488.63,0,0,6488.63,0,0,6488.63,0,0,6488.63,0,0,6488.63,0,0,6488.63,0,0,6488.63,0,0,6488.63,0,0,6488.63,0,0,6488.63,0,0,6488.63
0,25-29,2021,8372,8372,8372,8372,8372,8372,8372,8372,8372,8372,8372,8372,8372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16093.68,0,0,16093.68,0,0,16093.68,0,0,16093.68,0,0,16093.68,0,0,16093.68,0,0,16093.68,0,0,16093.68,0,0,16093.68,0,0,16093.68,0,0,16093.68,0,0,16093.68
0,30-39,2021,17533,17533,17533,17533,17533,17533,17533,17533,17533,17533,17533,17533,17533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7684.73,0,0,7684.73,0,0,7684.73,0,0,7684.73,0,0,7684.73,0,0,7684.73,0,0,7684.73,0,0,7684.73,0,0,7684.73,0,0,7684.73,0,0,7684.73,0,0,7684.73
0,0-4,2020,4031,4031,4031,4031,4031,4031,4031,4031,4031,4031,4031,4031,4031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33425.04,0,0,33425.04,0,0,33425.04,0,0,33425.04,0,0,33425.04,0,0,33425.04,0,0,33425.04,0,0,33425.04,0,0,33425.04,0,0,33425.04,0,0,33425.04,0,0,33425.04
0,0-4,2021,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106342.8,0,0,106342.8,0,0,106342.8,0,0,106342.8,0,0,106342.8,0,0,106342.8,0,0,106342.8,0,0,106342.8,0,0,106342.8,0,0,106342.8,0,0,106342.8,0,0,106342.8
0,12-17,2020,17041,17041,17041,17041,17041,17041,17041,17041,17041,17041,17041,17041,17041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7906.6,0,0,7906.6,0,0,7906.6,0,0,7906.6,0,0,7906.6,0,0,7906.6,0,0,7906.6,0,0,7906.6,0,0,7906.6,0,0,7906.6,0,0,7906.6,0,0,7906.6
0,12-17,2021,6456,6456,6456,6456,6456,6456,6456,6456,6456,6456,6456,6456,6456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20869.94,0,0,20869.94,0,0,20869.94,0,0,20869.94,0,0,20869.94,0,0,20869.94,0,0,20869.94,0,0,20869.94,0,0,20869.94,0,0,20869.94,0,0,20869.94,0,0,20869.94
1,70-79,2020,45925,45925,45925,45925,45925,45925,45925,45925,45925,45925,45925,45925,45925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2933.83,0,0,2933.83,0,0,2933.83,0,0,2933.83,0,0,2933.83,0,0,2933.83,0,0,2933.83,0,0,2933.83,0,0,2933.83,0,0,2933.83,0,0,2933.83,0,0,2933.83
1,70-79,2021,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10495.94,0,0,10495.94,0,0,10495.94,0,0,10495.94,0,0,10495.94,0,0,10495.94,0,0,10495.94,0,0,10495.94,0,0,10495.94,0,0,10495.94,0,0,10495.94,0,0,10495.94
1,30-39,2020,36034,36034,36034,36034,36034,36034,36034,36034,36034,36034,36034,36034,36034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3739.14,0,0,3739.14,0,0,3739.14,0,0,3739.14,0,0,3739.14,0,0,3739.14,0,0,3739.14,0,0,3739.14,0,0,3739.14,0,0,3739.14,0,0,3739.14,0,0,3739.14
1,30-39,2021,13851,13851,13851,13851,13851,13851,13851,13851,13851,13851,13851,13851,13851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9727.55,0,0,9727.55,0,0,9727.55,0,0,9727.55,0,0,9727.55,0,0,9727.55,0,0,9727.55,0,0,9727.55,0,0,9727.55,0,0,9727.55,0,0,9727.55,0,0,9727.55
1,40-49,2020,58284,58284,58284,58284,58284,58284,58284,57720,58284,58284,58284,57720,58284,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2311.72,0,0,2311.72,0,0,2311.72,0,0,2311.72,0,0,2311.72,0,0,2311.72,632.8,16.02,3525.72,0,0,2311.72,0,0,2311.72,0,0,2311.72,632.8,16.02,3525.72,0,0,2311.72
1,40-49,2021,21826,21826,21826,21826,21826,21826,21826,21461,21826,21826,21826,21461,21826,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6173.2,0,0,6173.2,0,0,6173.2,0,0,6173.2,0,0,6173.2,0,0,6173.2,1701.92,43.09,9482.52,0,0,6173.2,0,0,6173.2,0,0,6173.2,1701.92,43.09,9482.52,0,0,6173.2
1,25-29,2020,18824,18824,18824,18824,18824,18824,18824,18824,18824,18824,18824,18824,18824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7157.69,0,0,7157.69,0,0,7157.69,0,0,7157.69,0,0,7157.69,0,0,7157.69,0,0,7157.69,0,0,7157.69,0,0,7157.69,0,0,7157.69,0,0,7157.69,0,0,7157.69
1,25-29,2021,8457,8457,8457,8457,8457,8457,8457,8457,8457,8457,8457,8457,8457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15931.93,0,0,15931.93,0,0,15931.93,0,0,15931.93,0,0,15931.93,0,0,15931.93,0,0,15931.93,0,0,15931.93,0,0,15931.93,0,0,15931.93,0,0,15931.93,0,0,15931.93
1,50-59,2020,73482,73482,73482,73482,73482,73482,73482,73116,73482,73482,73482,73116,73482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1833.6,0,0,1833.6,0,0,1833.6,0,0,1833.6,0,0,1833.6,0,0,1833.6,0,0,1842.77,0,0,1833.6,0,0,1833.6,0,0,1833.6,0,0,1842.77,0,0,1833.6
1,50-59,2021,27818,27818,27818,27818,27818,27818,27818,27661,27818,27818,27818,27661,27818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4843.49,0,0,4843.49,0,0,4843.49,0,0,4843.49,0,0,4843.49,0,0,4843.49,0,0,4870.99,0,0,4843.49,0,0,4843.49,0,0,4843.49,0,0,4870.99,0,0,4843.49
1,5-11,2020,18314,18314,18314,18314,18314,18314,18314,18314,18314,18314,18314,18314,18314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7357.01,0,0,7357.01,0,0,7357.01,0,0,7357.01,0,0,7357.01,0,0,7357.01,0,0,7357.01,0,0,7357.01,0,0,7357.01,0,0,7357.01,0,0,7357.01,0,0,7357.01
1,5-11,2021,7766,7766,7766,7766,7766,7766,7766,7766,7766,7766,7766,7766,7766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17349.51,0,0,17349.51,0,0,17349.51,0,0,17349.51,0,0,17349.51,0,0,17349.51,0,0,17349.51,0,0,17349.51,0,0,17349.51,0,0,17349.51,0,0,17349.51,0,0,17349.51
1,60-69,2020,60890,60890,60890,60890,60890,60890,60890,60890,60890,60890,60890,60890,60890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2212.78,0,0,2212.78,0,0,2212.78,0,0,2212.78,0,0,2212.78,0,0,2212.78,0,0,2212.78,0,0,2212.78,0,0,2212.78,0,0,2212.78,0,0,2212.78,0,0,2212.78
1,60-69,2021,20788,20788,20788,20788,20788,20788,20788,20788,20788,20788,20788,20788,20788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6481.45,0,0,6481.45,0,0,6481.45,0,0,6481.45,0,0,6481.45,0,0,6481.45,0,0,6481.45,0,0,6481.45,0,0,6481.45,0,0,6481.45,0,0,6481.45,0,0,6481.45
1,18-24,2020,18162,18162,18162,18162,18162,18162,18162,18162,18162,18162,18162,18162,18162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7418.58,0,0,7418.58,0,0,7418.58,0,0,7418.58,0,0,7418.58,0,0,7418.58,0,0,7418.58,0,0,7418.58,0,0,7418.58,0,0,7418.58,0,0,7418.58,0,0,7418.58
1,80+,2020,40025,40025,40025,40025,40025,40025,40025,40025,40025,40025,40025,40025,40025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3366.3,0,0,3366.3,0,0,3366.3,0,0,3366.3,0,0,3366.3,0,0,3366.3,0,0,3366.3,0,0,3366.3,0,0,3366.3,0,0,3366.3,0,0,3366.3,0,0,3366.3
1,80+,2021,8904,8904,8904,8904,8904,8904,8904,8904,8904,8904,8904,8904,8904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15132.11,0,0,15132.11,0,0,15132.11,0,0,15132.11,0,0,15132.11,0,0,15132.11,0,0,15132.11,0,0,15132.11,0,0,15132.11,0,0,15132.11,0,0,15132.11,0,0,15132.11
1,18-24,2021,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18331.47,0,0,18331.47,0,0,18331.47,0,0,18331.47,0,0,18331.47,0,0,18331.47,0,0,18331.47,0,0,18331.47,0,0,18331.47,0,0,18331.47,0,0,18331.47,0,0,18331.47
1,12-17,2020,21933,21933,21933,21933,21933,21933,21933,21933,21933,21933,21933,21933,21933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6143.09,0,0,6143.09,0,0,6143.09,0,0,6143.09,0,0,6143.09,0,0,6143.09,0,0,6143.09,0,0,6143.09,0,0,6143.09,0,0,6143.09,0,0,6143.09,0,0,6143.09
1,12-17,2021,9260,9260,9260,9260,9260,9260,9260,9260,9260,9260,9260,9260,9260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14550.36,0,0,14550.36,0,0,14550.36,0,0,14550.36,0,0,14550.36,0,0,14550.36,0,0,14550.36,0,0,14550.36,0,0,14550.36,0,0,14550.36,0,0,14550.36,0,0,14550.36
1,0-4,2020,6501,6501,6501,6501,6501,6501,6501,6501,6501,6501,6501,6501,6501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20725.48,0,0,20725.48,0,0,20725.48,0,0,20725.48,0,0,20725.48,0,0,20725.48,0,0,20725.48,0,0,20725.48,0,0,20725.48,0,0,20725.48,0,0,20725.48,0,0,20725.48
1,0-4,2021,2851,2851,2851,2851,2851,2851,2851,2851,2851,2851,2851,2851,2851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47259.32,0,0,47259.32,0,0,47259.32,0,0,47259.32,0,0,47259.32,0,0,47259.32,0,0,47259.32,0,0,47259.32,0,0,47259.32,0,0,47259.32,0,0,47259.32,0,0,47259.32
