sex,month,year,Ageband,type_vax_1,history_covid,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b
0,May,2021,60-69,Pfizer,0,661,661,661,661,661,661,661,661,661,661,661,0,0,0,0,0,0,0,0,0,0
0,June,2021,60-69,Pfizer,0,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,1717,0,0,0,0,0,0,0,0,0,0
1,June,2021,25-29,Moderna,0,56,56,56,56,56,56,56,56,56,56,56,0,0,0,0,0,0,0,0,0,0
1,June,2021,50-59,Pfizer,0,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,0,0,0,0,0,0,0,0,0,0
1,March,2021,80+,Pfizer,0,555,555,555,555,555,555,555,555,555,555,555,0,0,0,0,0,0,0,0,0,0
1,April,2021,80+,Pfizer,0,1749,1749,1749,1749,1749,1749,1749,1749,1749,1749,1749,0,0,0,0,0,0,0,0,0,0
1,May,2021,80+,Pfizer,0,2416,2416,2416,2416,2416,2416,2416,2416,2416,2416,2416,0,0,0,0,0,0,0,0,0,0
1,June,2021,80+,Pfizer,0,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,0,0,0,0,0,0,0,0,0,0
0,May,2021,70-79,Pfizer,0,937,937,937,937,937,937,937,937,937,937,937,0,0,0,0,0,0,0,0,0,0
0,June,2021,70-79,Pfizer,0,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,1406,0,0,0,0,0,0,0,0,0,0
1,March,2021,50-59,AstraZeneca,0,223,223,223,223,223,223,223,223,223,223,223,0,0,0,0,0,0,0,0,0,0
1,April,2021,50-59,AstraZeneca,0,264,264,264,264,264,264,264,264,264,264,264,0,0,0,0,0,0,0,0,0,0
1,May,2021,50-59,AstraZeneca,0,319,319,319,319,319,319,319,319,319,319,319,0,0,0,0,0,0,0,0,0,0
1,June,2021,50-59,AstraZeneca,0,415,415,415,415,415,415,415,415,415,415,415,0,0,0,0,0,0,0,0,0,0
1,May,2021,50-59,Pfizer,0,231,231,231,231,231,231,231,231,231,231,231,0,0,0,0,0,0,0,0,0,0
0,June,2021,25-29,Pfizer,0,214,214,214,214,214,214,214,214,214,214,214,0,0,0,0,0,0,0,0,0,0
0,March,2021,70-79,AstraZeneca,0,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0
0,April,2021,70-79,AstraZeneca,0,839,839,839,839,839,839,839,839,839,839,839,0,0,0,0,0,0,0,0,0,0
0,May,2021,70-79,AstraZeneca,0,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253,1253,0,0,0,0,0,0,0,0,0,0
0,June,2021,70-79,AstraZeneca,0,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,0,0,0,0,0,0,0,0,0,0
1,May,2021,60-69,Pfizer,0,797,797,797,797,797,797,797,797,797,797,797,0,0,0,0,0,0,0,0,0,0
1,June,2021,60-69,Pfizer,0,1821,1821,1821,1821,1821,1821,1821,1821,1821,1821,1821,0,0,0,0,0,0,0,0,0,0
1,March,2021,60-69,Moderna,0,55,55,55,55,55,55,55,55,55,55,55,0,0,0,0,0,0,0,0,0,0
1,April,2021,60-69,Moderna,0,169,169,169,169,169,169,169,169,169,169,169,0,0,0,0,0,0,0,0,0,0
1,May,2021,60-69,Moderna,0,337,337,337,337,337,337,337,337,337,337,337,0,0,0,0,0,0,0,0,0,0
1,June,2021,60-69,Moderna,0,390,390,390,390,390,390,390,390,390,390,390,0,0,0,0,0,0,0,0,0,0
0,April,2021,70-79,Pfizer,0,147,147,147,147,147,147,147,147,147,147,147,0,0,0,0,0,0,0,0,0,0
0,February,2021,80+,Pfizer,0,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0
0,May,2021,60-69,AstraZeneca,0,399,399,399,399,399,399,399,399,399,399,399,0,0,0,0,0,0,0,0,0,0
0,June,2021,60-69,AstraZeneca,0,659,659,659,659,659,659,659,659,659,659,659,0,0,0,0,0,0,0,0,0,0
0,February,2021,25-29,Pfizer,0,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
0,March,2021,25-29,Pfizer,0,92,92,92,92,92,92,92,92,92,92,92,0,0,0,0,0,0,0,0,0,0
0,April,2021,25-29,Pfizer,0,60,60,60,60,60,60,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0
0,May,2021,25-29,Pfizer,0,91,91,91,91,91,91,91,91,91,91,91,0,0,0,0,0,0,0,0,0,0
0,January,2021,60-69,Pfizer,0,93,93,93,93,93,93,93,93,93,93,93,0,0,0,0,0,0,0,0,0,0
0,February,2021,60-69,Pfizer,0,187,187,187,187,187,187,187,187,187,187,187,0,0,0,0,0,0,0,0,0,0
0,March,2021,60-69,Pfizer,0,271,271,271,271,271,271,271,271,271,271,271,0,0,0,0,0,0,0,0,0,0
0,April,2021,60-69,Pfizer,0,313,313,313,313,313,313,313,313,313,313,313,0,0,0,0,0,0,0,0,0,0
0,June,2021,30-39,Pfizer,0,449,449,449,449,449,449,449,449,449,449,449,0,0,0,0,0,0,0,0,0,0
0,June,2021,60-69,UKN,0,251,251,251,251,251,251,251,251,251,251,251,0,0,0,0,0,0,0,0,0,0
1,June,2021,25-29,Pfizer,0,197,197,197,197,197,197,197,197,197,197,197,0,0,0,0,0,0,0,0,0,0
1,May,2021,60-69,UKN,0,53,53,53,53,53,53,53,53,53,53,53,0,0,0,0,0,0,0,0,0,0
1,June,2021,60-69,UKN,0,129,129,129,129,129,129,129,129,129,129,129,0,0,0,0,0,0,0,0,0,0
0,June,2021,30-39,Moderna,0,200,200,200,200,200,200,200,200,200,200,200,0,0,0,0,0,0,0,0,0,0
1,May,2021,60-69,AstraZeneca,0,390,390,390,390,390,390,390,390,390,390,390,0,0,0,0,0,0,0,0,0,0
1,June,2021,60-69,AstraZeneca,0,719,719,719,719,719,719,719,719,719,719,719,0,0,0,0,0,0,0,0,0,0
0,March,2021,30-39,Moderna,0,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0
0,April,2021,30-39,Moderna,0,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0
0,May,2021,30-39,Moderna,0,62,62,62,62,62,62,62,62,62,62,62,0,0,0,0,0,0,0,0,0,0
0,June,2021,50-59,Moderna,0,547,547,547,547,547,547,547,547,547,547,547,0,0,0,0,0,0,0,0,0,0
0,February,2021,40-49,AstraZeneca,0,38,38,38,38,38,38,38,38,38,38,38,0,0,0,0,0,0,0,0,0,0
0,March,2021,40-49,AstraZeneca,0,172,172,172,172,172,172,172,172,172,172,172,0,0,0,0,0,0,0,0,0,0
0,April,2021,40-49,AstraZeneca,0,229,229,229,229,229,229,229,229,229,229,229,0,0,0,0,0,0,0,0,0,0
0,May,2021,40-49,AstraZeneca,0,273,273,273,273,273,273,273,273,273,273,273,0,0,0,0,0,0,0,0,0,0
0,June,2021,40-49,AstraZeneca,0,313,313,313,313,313,313,313,313,313,313,313,0,0,0,0,0,0,0,0,0,0
0,June,2021,18-24,Pfizer,0,189,189,189,189,189,189,189,189,189,189,189,0,0,0,0,0,0,0,0,0,0
0,January,2021,40-49,Pfizer,0,83,83,83,83,83,83,83,83,83,83,83,0,0,0,0,0,0,0,0,0,0
0,February,2021,40-49,Pfizer,0,168,168,168,168,168,168,168,168,168,168,168,0,0,0,0,0,0,0,0,0,0
0,March,2021,40-49,Pfizer,0,260,260,260,260,260,260,260,260,260,260,260,0,0,0,0,0,0,0,0,0,0
0,April,2021,40-49,Pfizer,0,270,270,270,270,270,270,270,270,270,270,270,0,0,0,0,0,0,0,0,0,0
0,May,2021,40-49,Pfizer,0,373,373,373,373,373,373,373,373,373,373,373,0,0,0,0,0,0,0,0,0,0
1,May,2021,25-29,Pfizer,0,46,46,46,46,46,46,46,46,46,46,46,0,0,0,0,0,0,0,0,0,0
1,March,2021,70-79,Moderna,0,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
1,April,2021,70-79,Moderna,0,168,168,168,168,168,168,168,168,168,168,168,0,0,0,0,0,0,0,0,0,0
1,May,2021,70-79,Moderna,0,235,235,235,235,235,235,235,235,235,235,235,0,0,0,0,0,0,0,0,0,0
1,June,2021,70-79,Moderna,0,240,240,240,240,240,240,240,240,240,240,240,0,0,0,0,0,0,0,0,0,0
0,February,2021,50-59,AstraZeneca,0,43,43,43,43,43,43,43,43,43,43,43,0,0,0,0,0,0,0,0,0,0
0,March,2021,50-59,AstraZeneca,0,223,223,223,223,223,223,223,223,223,223,223,0,0,0,0,0,0,0,0,0,0
0,April,2021,50-59,AstraZeneca,0,265,265,265,265,265,265,265,265,265,265,265,0,0,0,0,0,0,0,0,0,0
0,May,2021,50-59,AstraZeneca,0,293,293,293,293,293,293,293,293,293,293,293,0,0,0,0,0,0,0,0,0,0
0,June,2021,50-59,AstraZeneca,0,358,358,358,358,358,358,358,358,358,358,358,0,0,0,0,0,0,0,0,0,0
0,June,2021,18-24,Moderna,0,53,53,53,53,53,53,53,53,53,53,53,0,0,0,0,0,0,0,0,0,0
0,June,2021,12-17,Pfizer,0,34,34,34,34,34,34,34,34,34,34,34,0,0,0,0,0,0,0,0,0,0
1,June,2021,12-17,Pfizer,0,56,56,56,56,56,56,56,56,56,56,56,0,0,0,0,0,0,0,0,0,0
0,March,2021,40-49,Moderna,1,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0
0,April,2021,40-49,Moderna,1,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0
0,May,2021,40-49,Moderna,1,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
0,June,2021,40-49,Moderna,1,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0
0,June,2021,30-39,Pfizer,1,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0
1,January,2021,30-39,Pfizer,1,24,24,24,24,24,24,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0
1,February,2021,30-39,Pfizer,1,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0
1,March,2021,30-39,Pfizer,1,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,April,2021,30-39,Pfizer,1,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0
1,May,2021,30-39,Pfizer,1,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,June,2021,30-39,Pfizer,1,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0
0,May,2021,50-59,Moderna,0,244,244,244,244,244,244,244,244,244,244,244,0,0,0,0,0,0,0,0,0,0
1,February,2021,40-49,AstraZeneca,0,26,26,26,26,26,26,26,26,26,26,26,0,0,0,0,0,0,0,0,0,0
1,March,2021,40-49,AstraZeneca,0,157,157,157,157,157,157,157,157,157,157,157,0,0,0,0,0,0,0,0,0,0
1,April,2021,40-49,AstraZeneca,0,180,180,180,180,180,180,180,180,180,180,180,0,0,0,0,0,0,0,0,0,0
1,May,2021,40-49,AstraZeneca,0,201,201,201,201,201,201,201,201,201,201,201,0,0,0,0,0,0,0,0,0,0
1,June,2021,40-49,AstraZeneca,0,270,270,270,270,270,270,270,270,270,270,270,0,0,0,0,0,0,0,0,0,0
1,January,2021,80+,Pfizer,0,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
0,May,2021,50-59,UKN,0,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0
0,June,2021,50-59,UKN,0,86,86,86,86,86,86,86,86,86,86,86,0,0,0,0,0,0,0,0,0,0
1,April,2021,70-79,UKN,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
1,May,2021,70-79,UKN,0,62,62,62,62,62,62,62,62,62,62,62,0,0,0,0,0,0,0,0,0,0
1,June,2021,70-79,UKN,0,60,60,60,60,60,60,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0
1,February,2021,50-59,Pfizer,0,36,36,36,36,36,36,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0
1,March,2021,50-59,Pfizer,0,76,76,76,76,76,76,76,76,76,76,76,0,0,0,0,0,0,0,0,0,0
1,April,2021,50-59,Pfizer,0,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0
1,January,2021,60-69,Pfizer,0,73,73,73,73,73,73,73,73,73,73,73,0,0,0,0,0,0,0,0,0,0
1,February,2021,60-69,Pfizer,0,105,105,105,105,105,105,105,105,105,105,105,0,0,0,0,0,0,0,0,0,0
1,March,2021,60-69,Pfizer,0,155,155,155,155,155,155,155,155,155,155,155,0,0,0,0,0,0,0,0,0,0
1,April,2021,60-69,Pfizer,0,150,150,150,150,150,150,150,150,150,150,150,0,0,0,0,0,0,0,0,0,0
0,April,2021,70-79,Pfizer,1,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0
0,May,2021,70-79,Pfizer,1,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
0,June,2021,70-79,Pfizer,1,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0
0,April,2021,70-79,UKN,0,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0
0,May,2021,70-79,UKN,0,93,93,93,93,93,93,93,93,93,93,93,0,0,0,0,0,0,0,0,0,0
0,June,2021,70-79,UKN,0,90,90,90,90,90,90,90,90,90,90,90,0,0,0,0,0,0,0,0,0,0
1,May,2021,50-59,Moderna,0,217,217,217,217,217,217,217,217,217,217,217,0,0,0,0,0,0,0,0,0,0
1,June,2021,50-59,Moderna,0,441,441,441,441,441,441,441,417,441,441,441,0,0,0,0,0,0,0,0,0,0
0,April,2021,80+,Pfizer,1,36,36,36,36,36,36,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0
0,May,2021,80+,Pfizer,1,62,62,62,62,62,62,62,62,62,62,62,0,0,0,0,0,0,0,0,0,0
0,June,2021,80+,Pfizer,1,60,60,60,60,60,60,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0
0,March,2021,80+,Moderna,0,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0
0,April,2021,80+,Moderna,0,90,90,90,90,90,90,90,90,90,90,90,0,0,0,0,0,0,0,0,0,0
0,May,2021,80+,Moderna,0,93,93,93,93,93,93,93,93,93,93,93,0,0,0,0,0,0,0,0,0,0
0,June,2021,80+,Moderna,0,90,90,90,90,90,90,90,90,90,90,90,0,0,0,0,0,0,0,0,0,0
1,April,2021,60-69,AstraZeneca,0,63,63,63,63,63,63,63,63,63,63,63,0,0,0,0,0,0,0,0,0,0
1,June,2021,18-24,Pfizer,0,69,69,69,69,69,69,69,69,69,69,69,0,0,0,0,0,0,0,0,0,0
0,May,2021,60-69,UKN,0,72,72,72,72,72,72,72,72,72,72,72,0,0,0,0,0,0,0,0,0,0
1,June,2021,40-49,Pfizer,1,57,57,57,57,57,57,57,57,57,57,57,0,0,0,0,0,0,0,0,0,0
1,June,2021,30-39,Pfizer,0,274,274,274,274,274,274,274,274,274,274,274,0,0,0,0,0,0,0,0,0,0
1,April,2021,30-39,Pfizer,0,85,85,85,85,85,85,85,85,85,85,85,0,0,0,0,0,0,0,0,0,0
1,May,2021,30-39,Pfizer,0,168,168,168,168,168,168,168,168,168,168,168,0,0,0,0,0,0,0,0,0,0
0,January,2021,18-24,Pfizer,0,23,23,23,23,23,23,23,23,23,23,23,0,0,0,0,0,0,0,0,0,0
0,February,2021,18-24,Pfizer,0,29,29,29,29,29,29,29,29,29,29,29,0,0,0,0,0,0,0,0,0,0
0,March,2021,18-24,Pfizer,0,62,62,62,62,62,62,62,62,62,62,62,0,0,0,0,0,0,0,0,0,0
0,April,2021,18-24,Pfizer,0,60,60,60,60,60,60,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0
0,May,2021,18-24,Pfizer,0,62,62,62,62,62,62,62,62,62,62,62,0,0,0,0,0,0,0,0,0,0
1,May,2021,18-24,Moderna,0,23,23,23,23,23,23,23,23,23,23,23,0,0,0,0,0,0,0,0,0,0
1,June,2021,18-24,Moderna,0,43,43,43,43,43,43,43,43,43,43,43,0,0,0,0,0,0,0,0,0,0
0,April,2021,60-69,AstraZeneca,0,113,113,113,113,113,113,113,113,113,113,113,0,0,0,0,0,0,0,0,0,0
0,April,2021,70-79,Moderna,0,79,79,79,79,79,79,79,79,79,79,79,0,0,0,0,0,0,0,0,0,0
0,May,2021,70-79,Moderna,0,205,205,205,205,205,205,205,205,205,205,205,0,0,0,0,0,0,0,0,0,0
0,June,2021,70-79,Moderna,0,200,200,200,200,200,200,200,200,200,200,200,0,0,0,0,0,0,0,0,0,0
1,January,2021,30-39,Moderna,0,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0
1,February,2021,30-39,Moderna,0,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0
1,March,2021,30-39,Moderna,0,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,April,2021,30-39,Moderna,0,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0
0,March,2021,70-79,Moderna,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
0,February,2021,30-39,Pfizer,0,62,62,62,62,62,62,62,62,62,62,62,0,0,0,0,0,0,0,0,0,0
0,March,2021,30-39,Pfizer,0,116,116,116,116,116,116,116,116,116,116,116,0,0,0,0,0,0,0,0,0,0
0,April,2021,30-39,Pfizer,0,136,136,136,136,136,136,136,136,136,136,136,0,0,0,0,0,0,0,0,0,0
0,May,2021,30-39,Pfizer,0,189,189,189,189,189,189,189,189,189,189,189,0,0,0,0,0,0,0,0,0,0
1,January,2021,30-39,Pfizer,0,48,48,48,48,48,48,48,48,48,48,48,0,0,0,0,0,0,0,0,0,0
1,February,2021,30-39,Pfizer,0,75,75,75,75,75,75,75,75,75,75,75,0,0,0,0,0,0,0,0,0,0
1,March,2021,30-39,Pfizer,0,93,93,93,93,93,93,93,93,93,93,93,0,0,0,0,0,0,0,0,0,0
0,February,2021,25-29,AstraZeneca,0,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0
0,March,2021,25-29,AstraZeneca,0,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
0,April,2021,25-29,AstraZeneca,0,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0
0,May,2021,25-29,AstraZeneca,0,61,61,61,61,61,61,61,61,61,61,61,0,0,0,0,0,0,0,0,0,0
0,June,2021,25-29,AstraZeneca,0,60,60,60,60,60,60,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0
1,April,2021,50-59,Moderna,0,114,114,114,114,114,114,114,114,114,114,114,0,0,0,0,0,0,0,0,0,0
1,May,2021,40-49,Moderna,0,143,143,143,143,143,143,143,143,143,143,143,0,0,0,0,0,0,0,0,0,0
1,June,2021,40-49,Moderna,0,220,220,220,220,220,220,220,220,220,220,220,0,0,0,0,0,0,0,0,0,0
1,May,2021,40-49,Pfizer,0,104,104,104,104,104,104,104,96,104,104,104,0,0,0,0,0,0,0,0,0,0
0,February,2021,40-49,AstraZeneca,1,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0
0,March,2021,40-49,AstraZeneca,1,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
0,April,2021,40-49,AstraZeneca,1,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0
0,May,2021,40-49,AstraZeneca,1,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
0,June,2021,40-49,AstraZeneca,1,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0
1,February,2021,30-39,AstraZeneca,0,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
1,March,2021,30-39,AstraZeneca,0,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,April,2021,30-39,AstraZeneca,0,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
0,March,2021,30-39,AstraZeneca,0,90,90,90,90,90,90,90,90,90,90,90,0,0,0,0,0,0,0,0,0,0
0,April,2021,30-39,AstraZeneca,0,90,90,90,90,90,90,90,90,90,90,90,0,0,0,0,0,0,0,0,0,0
0,May,2021,30-39,AstraZeneca,0,93,93,93,93,93,93,93,93,93,93,93,0,0,0,0,0,0,0,0,0,0
0,June,2021,30-39,AstraZeneca,0,90,90,90,90,90,90,90,90,90,90,90,0,0,0,0,0,0,0,0,0,0
0,January,2021,30-39,Pfizer,0,54,54,54,54,54,54,54,54,54,54,54,0,0,0,0,0,0,0,0,0,0
0,June,2021,40-49,Moderna,0,122,122,122,122,122,122,122,122,122,122,122,0,0,0,0,0,0,0,0,0,0
1,June,2021,50-59,UKN,0,109,109,109,109,109,109,109,109,109,109,109,0,0,0,0,0,0,0,0,0,0
1,April,2021,70-79,AstraZeneca,1,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0
1,May,2021,70-79,AstraZeneca,1,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,June,2021,70-79,AstraZeneca,1,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0
1,January,2021,50-59,Pfizer,0,23,23,23,23,23,23,23,23,23,23,23,0,0,0,0,0,0,0,0,0,0
0,February,2021,30-39,AstraZeneca,0,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0
1,February,2021,70-79,Pfizer,0,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0
1,March,2021,70-79,Pfizer,0,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
0,April,2021,40-49,Pfizer,1,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0
0,May,2021,40-49,Pfizer,1,62,62,62,62,62,62,62,62,62,62,62,0,0,0,0,0,0,0,0,0,0
0,June,2021,40-49,Pfizer,1,60,60,60,60,60,60,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0
0,May,2021,50-59,Pfizer,1,29,29,29,29,29,29,29,29,29,29,29,0,0,0,0,0,0,0,0,0,0
1,February,2021,50-59,AstraZeneca,0,36,36,36,36,36,36,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0
1,March,2021,40-49,Moderna,0,41,41,41,41,41,41,41,41,41,41,41,0,0,0,0,0,0,0,0,0,0
1,April,2021,40-49,Moderna,0,79,79,79,79,79,79,79,79,79,79,79,0,0,0,0,0,0,0,0,0,0
0,April,2021,25-29,Pfizer,1,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0
0,May,2021,25-29,Pfizer,1,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
0,June,2021,25-29,Pfizer,1,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0
1,February,2021,60-69,Moderna,0,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0
