sex,ageband_at_study_entry,Dose,type_vax,week,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
1,50-59,0,,2020-01-20,0,0,0,0,0,0,0,94817.96,0,0,94817.96,0,0,94817.96,0,0,94817.96,0,0,94817.96
1,60-69,0,,2020-01-20,0,0,0,0,0,0,0,109363.9,0,0,109363.9,0,0,109363.9,0,0,109363.9,0,0,109363.9
1,5-11,0,,2020-01-20,0,0,0,0,0,0,0,338533.47,0,0,338533.47,0,0,338533.47,0,0,338533.47,0,0,338533.47
0,70-79,0,,2020-01-20,0,0,0,0,0,0,0,141529.75,0,0,141529.75,0,0,141529.75,0,0,141529.75,0,0,141529.75
0,30-39,0,,2020-01-20,0,0,0,0,0,0,0,137486.04,0,0,137486.04,0,0,137486.04,0,0,137486.04,0,0,137486.04
0,5-11,0,,2020-01-20,0,0,0,0,0,0,0,447628.98,0,0,447628.98,0,0,447628.98,0,0,447628.98,0,0,447628.98
0,60-69,0,,2020-01-20,0,0,0,0,0,0,0,99216.73,0,0,99216.73,0,0,99216.73,0,0,99216.73,0,0,99216.73
0,18-24,0,,2020-01-20,0,0,0,0,0,0,0,409532.89,0,0,409532.89,0,0,409532.89,0,0,409532.89,0,0,409532.89
1,18-24,0,,2020-01-20,0,0,0,0,0,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47
0,0-4,0,,2020-01-20,0,0,0,0,0,0,0,1132238,0,0,1132238,0,0,1132238,0,0,1132238,0,0,1132238
1,80+,0,,2020-01-20,0,0,0,0,0,0,0,188706.33,0,0,188706.33,0,0,188706.33,0,0,188706.33,0,0,188706.33
0,25-29,0,,2020-01-20,0,0,0,0,0,0,0,310452.35,0,0,310452.35,0,0,310452.35,0,0,310452.35,0,0,310452.35
1,12-17,0,,2020-01-20,0,0,0,0,0,0,0,347258.56,0,0,347258.56,0,0,347258.56,0,0,347258.56,0,0,347258.56
1,0-4,0,,2020-01-20,0,0,0,0,0,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21
0,12-17,0,,2020-01-20,0,0,0,0,0,0,0,363170.68,0,0,363170.68,0,0,363170.68,0,0,363170.68,0,0,363170.68
0,50-59,0,,2020-01-27,0,0,0,0,0,0,0,89824.21,0,0,89824.21,0,0,89824.21,0,0,89824.21,0,0,89824.21
0,40-49,0,,2020-01-27,0,0,0,0,0,0,0,93501.96,0,0,93501.96,0,0,93501.96,0,0,93501.96,0,0,93501.96
1,70-79,0,,2020-01-27,0,0,0,0,0,0,0,143642.13,0,0,143642.13,0,0,143642.13,0,0,143642.13,0,0,143642.13
1,30-39,0,,2020-01-27,0,0,0,0,0,0,0,171857.55,0,0,171857.55,0,0,171857.55,0,0,171857.55,0,0,171857.55
1,40-49,0,,2020-01-27,0,0,0,0,0,0,0,110620.95,0,0,110620.95,0,0,110620.95,0,0,110620.95,0,0,110620.95
1,25-29,0,,2020-01-27,0,0,0,0,0,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73
0,80+,0,,2020-01-27,0,0,0,0,0,0,0,130939.09,0,0,130939.09,0,0,130939.09,0,0,130939.09,0,0,130939.09
1,50-59,0,,2020-01-27,0,0,0,0,0,0,0,94817.96,0,0,94817.96,0,0,94817.96,0,0,94817.96,0,0,94817.96
1,60-69,0,,2020-01-27,0,0,0,0,0,0,0,109363.9,0,0,109363.9,0,0,109363.9,0,0,109363.9,0,0,109363.9
1,5-11,0,,2020-01-27,0,0,0,0,0,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11
0,70-79,0,,2020-01-27,0,0,0,0,0,0,0,141529.75,0,0,141529.75,0,0,141529.75,0,0,141529.75,0,0,141529.75
0,30-39,0,,2020-01-27,0,0,0,0,0,0,0,137486.04,0,0,137486.04,0,0,137486.04,0,0,137486.04,0,0,137486.04
0,5-11,0,,2020-01-27,0,0,0,0,0,0,0,447628.98,0,0,447628.98,0,0,447628.98,0,0,447628.98,0,0,447628.98
0,60-69,0,,2020-01-27,0,0,0,0,0,0,0,99216.73,0,0,99216.73,0,0,99216.73,0,0,99216.73,0,0,99216.73
0,18-24,0,,2020-01-27,0,0,0,0,0,0,0,409532.89,0,0,409532.89,0,0,409532.89,0,0,409532.89,0,0,409532.89
1,18-24,0,,2020-01-27,0,0,0,0,0,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47
0,0-4,0,,2020-01-27,0,0,0,0,0,0,0,1132238,0,0,1132238,0,0,1132238,0,0,1132238,0,0,1132238
1,80+,0,,2020-01-27,0,0,0,0,0,0,0,189236.41,0,0,189236.41,0,0,189236.41,0,0,189236.41,0,0,189236.41
0,25-29,0,,2020-01-27,0,0,0,0,0,0,0,310452.35,0,0,310452.35,0,0,310452.35,0,0,310452.35,0,0,310452.35
1,12-17,0,,2020-01-27,0,0,0,0,0,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47
1,0-4,0,,2020-01-27,0,0,0,0,0,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21
0,12-17,0,,2020-01-27,0,0,0,0,0,0,0,363170.68,0,0,363170.68,0,0,363170.68,0,0,363170.68,0,0,363170.68
0,50-59,0,,2020-02-03,0,0,0,0,0,0,0,89944.14,0,0,89944.14,0,0,89944.14,0,0,89944.14,0,0,89944.14
0,40-49,0,,2020-02-03,0,0,0,0,0,0,0,93892.91,0,0,93892.91,0,0,93892.91,0,0,93892.91,0,0,93892.91
1,70-79,0,,2020-02-03,0,0,0,0,0,0,0,143642.13,0,0,143642.13,0,0,143642.13,0,0,143642.13,0,0,143642.13
1,30-39,0,,2020-02-03,0,0,0,0,0,0,0,173182.93,0,0,173182.93,0,0,173182.93,0,0,173182.93,0,0,173182.93
1,40-49,0,,2020-02-03,0,0,0,0,0,0,0,110894.09,0,0,110894.09,0,0,110894.09,0,0,110894.09,0,0,110894.09
1,25-29,0,,2020-02-03,0,0,0,0,0,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73
0,80+,0,,2020-02-03,0,0,0,0,0,0,0,130939.09,0,0,130939.09,0,0,130939.09,0,0,130939.09,0,0,130939.09
1,50-59,0,,2020-02-03,0,0,0,0,0,0,0,94817.96,0,0,94817.96,0,0,94817.96,0,0,94817.96,0,0,94817.96
1,60-69,0,,2020-02-03,0,0,0,0,0,0,0,109363.9,0,0,109363.9,0,0,109363.9,0,0,109363.9,0,0,109363.9
1,5-11,0,,2020-02-03,0,0,0,0,0,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11
0,70-79,0,,2020-02-03,0,0,0,0,0,0,0,141529.75,0,0,141529.75,0,0,141529.75,0,0,141529.75,0,0,141529.75
0,30-39,0,,2020-02-03,0,0,0,0,0,0,0,137486.04,0,0,137486.04,0,0,137486.04,0,0,137486.04,0,0,137486.04
0,5-11,0,,2020-02-03,0,0,0,0,0,0,0,447628.98,0,0,447628.98,0,0,447628.98,0,0,447628.98,0,0,447628.98
0,60-69,0,,2020-02-03,0,0,0,0,0,0,0,99216.73,0,0,99216.73,0,0,99216.73,0,0,99216.73,0,0,99216.73
0,18-24,0,,2020-02-03,0,0,0,0,0,0,0,409532.89,0,0,409532.89,0,0,409532.89,0,0,409532.89,0,0,409532.89
1,18-24,0,,2020-02-03,0,0,0,0,0,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47
0,0-4,0,,2020-02-03,0,0,0,0,0,0,0,1132238,0,0,1132238,0,0,1132238,0,0,1132238,0,0,1132238
1,80+,0,,2020-02-03,0,0,0,0,0,0,0,190574.71,0,0,190574.71,0,0,190574.71,0,0,190574.71,0,0,190574.71
0,25-29,0,,2020-02-03,0,0,0,0,0,0,0,310452.35,0,0,310452.35,0,0,310452.35,0,0,310452.35,0,0,310452.35
1,12-17,0,,2020-02-03,0,0,0,0,0,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47
1,0-4,0,,2020-02-03,0,0,0,0,0,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21
0,12-17,0,,2020-02-03,0,0,0,0,0,0,0,363170.68,0,0,363170.68,0,0,363170.68,0,0,363170.68,0,0,363170.68
0,50-59,0,,2020-02-10,0,0,0,0,0,0,0,90366.41,0,0,90366.41,0,0,90366.41,0,0,90366.41,0,0,90366.41
0,40-49,0,,2020-02-10,0,0,0,0,0,0,0,93892.91,0,0,93892.91,0,0,93892.91,0,0,93892.91,0,0,93892.91
1,70-79,0,,2020-02-10,0,0,0,0,0,0,0,144566.87,0,0,144566.87,0,0,144566.87,0,0,144566.87,0,0,144566.87
1,30-39,0,,2020-02-10,0,0,0,0,0,0,0,174528.91,0,0,174528.91,0,0,174528.91,0,0,174528.91,0,0,174528.91
1,40-49,0,,2020-02-10,0,0,0,0,0,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38
1,25-29,0,,2020-02-10,0,0,0,0,0,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73
0,80+,0,,2020-02-10,0,0,0,0,0,0,0,130939.09,0,0,130939.09,0,0,130939.09,0,0,130939.09,0,0,130939.09
1,50-59,0,,2020-02-10,0,0,0,0,0,0,0,95085.62,0,0,95085.62,0,0,95085.62,0,0,95085.62,0,0,95085.62
1,60-69,0,,2020-02-10,0,0,0,0,0,0,0,110168.7,0,0,110168.7,0,0,110168.7,0,0,110168.7,0,0,110168.7
1,5-11,0,,2020-02-10,0,0,0,0,0,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11
0,70-79,0,,2020-02-10,0,0,0,0,0,0,0,141529.75,0,0,141529.75,0,0,141529.75,0,0,141529.75,0,0,141529.75
0,30-39,0,,2020-02-10,0,0,0,0,0,0,0,137767.2,0,0,137767.2,0,0,137767.2,0,0,137767.2,0,0,137767.2
0,5-11,0,,2020-02-10,0,0,0,0,0,0,0,447628.98,0,0,447628.98,0,0,447628.98,0,0,447628.98,0,0,447628.98
0,60-69,0,,2020-02-10,0,0,0,0,0,0,0,99216.73,0,0,99216.73,0,0,99216.73,0,0,99216.73,0,0,99216.73
0,18-24,0,,2020-02-10,0,0,0,0,0,0,0,409532.89,0,0,409532.89,0,0,409532.89,0,0,409532.89,0,0,409532.89
1,18-24,0,,2020-02-10,0,0,0,0,0,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47
0,0-4,0,,2020-02-10,0,0,0,0,0,0,0,1132238,0,0,1132238,0,0,1132238,0,0,1132238,0,0,1132238
1,80+,0,,2020-02-10,0,0,0,0,0,0,0,190574.71,0,0,190574.71,0,0,190574.71,0,0,190574.71,0,0,190574.71
0,25-29,0,,2020-02-10,0,0,0,0,0,0,0,314804.49,0,0,314804.49,0,0,314804.49,0,0,314804.49,0,0,314804.49
1,12-17,0,,2020-02-10,0,0,0,0,0,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47
1,0-4,0,,2020-02-10,0,0,0,0,0,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21
0,12-17,0,,2020-02-10,0,0,0,0,0,0,0,363170.68,0,0,363170.68,0,0,363170.68,0,0,363170.68,0,0,363170.68
0,50-59,0,,2020-02-17,0,0,0,0,0,0,0,90366.41,0,0,90366.41,0,0,90366.41,0,0,90366.41,0,0,90366.41
0,40-49,0,,2020-02-17,0,0,0,0,0,0,0,93892.91,0,0,93892.91,0,0,93892.91,0,0,93892.91,0,0,93892.91
1,70-79,0,,2020-02-17,0,0,0,0,0,0,0,144722.15,0,0,144722.15,0,0,144722.15,0,0,144722.15,0,0,144722.15
1,30-39,0,,2020-02-17,0,0,0,0,0,0,0,174982.24,0,0,174982.24,0,0,174982.24,0,0,174982.24,0,0,174982.24
1,40-49,0,,2020-02-17,0,0,0,0,0,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38
1,25-29,0,,2020-02-17,0,0,0,0,0,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73
0,80+,0,,2020-02-17,0,0,0,0,0,0,0,130939.09,0,0,130939.09,0,0,130939.09,0,0,130939.09,0,0,130939.09
1,50-59,0,,2020-02-17,0,0,0,0,0,0,0,95625.49,0,0,95625.49,0,0,95625.49,0,0,95625.49,0,0,95625.49
1,60-69,0,,2020-02-17,0,0,0,0,0,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38
1,5-11,0,,2020-02-17,0,0,0,0,0,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11
0,70-79,0,,2020-02-17,0,0,0,0,0,0,0,141529.75,0,0,141529.75,0,0,141529.75,0,0,141529.75,0,0,141529.75
0,30-39,0,,2020-02-17,0,0,0,0,0,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37
0,5-11,0,,2020-02-17,0,0,0,0,0,0,0,447628.98,0,0,447628.98,0,0,447628.98,0,0,447628.98,0,0,447628.98
0,60-69,0,,2020-02-17,0,0,0,0,0,0,0,99216.73,0,0,99216.73,0,0,99216.73,0,0,99216.73,0,0,99216.73
0,18-24,0,,2020-02-17,0,0,0,0,0,0,0,409532.89,0,0,409532.89,0,0,409532.89,0,0,409532.89,0,0,409532.89
1,18-24,0,,2020-02-17,0,0,0,0,0,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47
0,0-4,0,,2020-02-17,0,0,0,0,0,0,0,1132238,0,0,1132238,0,0,1132238,0,0,1132238,0,0,1132238
1,80+,0,,2020-02-17,0,0,0,0,0,0,0,191659.06,0,0,191659.06,0,0,191659.06,0,0,191659.06,0,0,191659.06
0,25-29,0,,2020-02-17,0,0,0,0,0,0,0,315541.74,0,0,315541.74,0,0,315541.74,0,0,315541.74,0,0,315541.74
1,12-17,0,,2020-02-17,0,0,0,0,0,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47
1,0-4,0,,2020-02-17,0,0,0,0,0,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21
0,12-17,0,,2020-02-17,0,0,0,0,0,0,0,366131.31,0,0,366131.31,0,0,366131.31,0,0,366131.31,0,0,366131.31
0,50-59,0,,2020-02-24,0,0,0,0,0,0,0,90366.41,0,0,90366.41,0,0,90366.41,0,0,90366.41,0,0,90366.41
0,40-49,0,,2020-02-24,0,0,0,0,0,0,0,93892.91,0,0,93892.91,0,0,93892.91,0,0,93892.91,0,0,93892.91
1,70-79,0,,2020-02-24,0,0,0,0,0,0,0,144722.15,0,0,144722.15,0,0,144722.15,0,0,144722.15,0,0,144722.15
1,30-39,0,,2020-02-24,0,0,0,0,0,0,0,174982.24,0,0,174982.24,0,0,174982.24,0,0,174982.24,0,0,174982.24
1,40-49,0,,2020-02-24,0,0,0,0,0,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38
1,25-29,0,,2020-02-24,0,0,0,0,0,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73
0,80+,0,,2020-02-24,0,0,0,0,0,0,0,130939.09,0,0,130939.09,0,0,130939.09,0,0,130939.09,0,0,130939.09
1,50-59,0,,2020-02-24,0,0,0,0,0,0,0,95761.42,0,0,95761.42,0,0,95761.42,0,0,95761.42,0,0,95761.42
1,60-69,0,,2020-02-24,0,0,0,0,0,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38
1,5-11,0,,2020-02-24,0,0,0,0,0,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11
0,70-79,0,,2020-02-24,0,0,0,0,0,0,0,141529.75,0,0,141529.75,0,0,141529.75,0,0,141529.75,0,0,141529.75
0,30-39,0,,2020-02-24,0,0,0,0,0,0,0,139478.59,0,0,139478.59,0,0,139478.59,0,0,139478.59,0,0,139478.59
0,5-11,0,,2020-02-24,0,0,0,0,0,0,0,447628.98,0,0,447628.98,0,0,447628.98,0,0,447628.98,0,0,447628.98
0,60-69,0,,2020-02-24,0,0,0,0,0,0,0,99216.73,0,0,99216.73,0,0,99216.73,0,0,99216.73,0,0,99216.73
0,18-24,0,,2020-02-24,0,0,0,0,0,0,0,410781.47,0,0,410781.47,0,0,410781.47,0,0,410781.47,0,0,410781.47
1,18-24,0,,2020-02-24,0,0,0,0,0,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47
0,0-4,0,,2020-02-24,0,0,0,0,0,0,0,1132238,0,0,1132238,0,0,1132238,0,0,1132238,0,0,1132238
1,80+,0,,2020-02-24,0,0,0,0,0,0,0,194705.67,0,0,194705.67,0,0,194705.67,0,0,194705.67,0,0,194705.67
0,25-29,0,,2020-02-24,0,0,0,0,0,0,0,315541.74,0,0,315541.74,0,0,315541.74,0,0,315541.74,0,0,315541.74
1,12-17,0,,2020-02-24,0,0,0,0,0,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47
1,0-4,0,,2020-02-24,0,0,0,0,0,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21
0,12-17,0,,2020-02-24,0,0,0,0,0,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73
0,50-59,0,,2020-03-02,0,0,0,0,0,0,0,90366.41,0,0,90366.41,0,0,90366.41,0,0,90366.41,0,0,90366.41
0,40-49,0,,2020-03-02,0,0,0,0,0,0,0,93892.91,0,0,93892.91,0,0,93892.91,0,0,93892.91,0,0,93892.91
1,70-79,0,,2020-03-02,0,0,0,0,0,0,0,146134.84,0,0,146134.84,0,0,146134.84,0,0,146134.84,0,0,146134.84
1,30-39,0,,2020-03-02,0,0,0,0,0,0,0,174982.24,0,0,174982.24,0,0,174982.24,0,0,174982.24,0,0,174982.24
1,40-49,0,,2020-03-02,0,0,0,0,0,0,0,111444.44,0,0,111444.44,0,0,111444.44,0,0,111444.44,0,0,111444.44
1,25-29,0,,2020-03-02,0,0,0,0,0,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73
0,80+,0,,2020-03-02,0,0,0,0,0,0,0,130939.09,0,0,130939.09,0,0,130939.09,0,0,130939.09,0,0,130939.09
1,50-59,0,,2020-03-02,0,0,0,0,0,0,0,96034.44,0,0,96034.44,0,0,96034.44,0,0,96034.44,0,0,96034.44
1,60-69,0,,2020-03-02,0,0,0,0,0,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38
1,5-11,0,,2020-03-02,0,0,0,0,0,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11
0,70-79,0,,2020-03-02,0,0,0,0,0,0,0,141827.71,0,0,141827.71,0,0,141827.71,0,0,141827.71,0,0,141827.71
0,30-39,0,,2020-03-02,0,0,0,0,0,0,0,139478.59,0,0,139478.59,0,0,139478.59,0,0,139478.59,0,0,139478.59
0,5-11,0,,2020-03-02,0,0,0,0,0,0,0,447628.98,0,0,447628.98,0,0,447628.98,0,0,447628.98,0,0,447628.98
0,60-69,0,,2020-03-02,0,0,0,0,0,0,0,99509.84,0,0,99509.84,0,0,99509.84,0,0,99509.84,0,0,99509.84
