sex,ageband_at_1_jan_2021,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible
0,5-11,2020,13486,13486,13486,13486,13486,13486,13486,13486,13486,13486,13486,0,0,0,0,0,0,0,0,0,0,0,0,9990.83,0,0,9990.83,0,0,9990.83,0,0,9990.83,0,0,9990.83,0,0,9990.83,0,0,9990.83,0,0,9990.83,0,0,9990.83,0,0,9990.83
0,5-11,2021,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,0,0,0,0,0,0,0,0,0,0,0,0,21400.31,0,0,21400.31,0,0,21400.31,0,0,21400.31,0,0,21400.31,0,0,21400.31,0,0,21400.31,0,0,21400.31,0,0,21400.31,0,0,21400.31
1,5-11,2020,16610,16610,16610,16610,16610,16610,16610,16610,16610,16610,16610,0,0,0,0,0,0,0,0,0,0,0,0,8111.76,0,0,8111.76,0,0,8111.76,0,0,8111.76,0,0,8111.76,0,0,8111.76,0,0,8111.76,0,0,8111.76,0,0,8111.76,0,0,8111.76
1,5-11,2021,7578,7578,7578,7578,7578,7578,7578,7578,7578,7578,7578,0,0,0,0,0,0,0,0,0,0,0,0,17779.93,0,0,17779.93,0,0,17779.93,0,0,17779.93,0,0,17779.93,0,0,17779.93,0,0,17779.93,0,0,17779.93,0,0,17779.93,0,0,17779.93
1,60-69,2020,52541,52541,52541,52541,52541,52541,52541,52541,52541,52541,52541,0,0,0,0,0,0,0,0,0,0,0,0,2564.4,0,0,2564.4,0,0,2564.4,0,0,2564.4,0,0,2564.4,0,0,2564.4,0,0,2564.4,0,0,2564.4,0,0,2564.4,0,0,2564.4
1,60-69,2021,17789,17789,17789,17789,17789,17789,17789,17789,17789,17789,17789,0,0,0,0,0,0,0,0,0,0,0,0,7574.14,0,0,7574.14,0,0,7574.14,0,0,7574.14,0,0,7574.14,0,0,7574.14,0,0,7574.14,0,0,7574.14,0,0,7574.14,0,0,7574.14
0,60-69,2020,56149,56149,56149,56149,56149,56149,56149,56149,56149,56149,56149,0,0,0,0,0,0,0,0,0,0,0,0,2399.62,0,0,2399.62,0,0,2399.62,0,0,2399.62,0,0,2399.62,0,0,2399.62,0,0,2399.62,0,0,2399.62,0,0,2399.62,0,0,2399.62
0,60-69,2021,18045,18045,18045,18045,18045,18045,18045,18045,18045,18045,18045,0,0,0,0,0,0,0,0,0,0,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68
0,18-24,2020,15701,15701,15701,15701,15701,15701,15701,15701,15701,15701,15701,0,0,0,0,0,0,0,0,0,0,0,0,8581.38,0,0,8581.38,0,0,8581.38,0,0,8581.38,0,0,8581.38,0,0,8581.38,0,0,8581.38,0,0,8581.38,0,0,8581.38,0,0,8581.38
0,18-24,2021,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,0,0,0,0,0,0,0,0,0,0,0,0,22671.43,0,0,22671.43,0,0,22671.43,0,0,22671.43,0,0,22671.43,0,0,22671.43,0,0,22671.43,0,0,22671.43,0,0,22671.43,0,0,22671.43
0,25-29,2020,20057,20057,20057,20057,20057,20057,20057,20057,20057,20057,20057,0,0,0,0,0,0,0,0,0,0,0,0,6717.67,0,0,6717.67,0,0,6717.67,0,0,6717.67,0,0,6717.67,0,0,6717.67,0,0,6717.67,0,0,6717.67,0,0,6717.67,0,0,6717.67
0,25-29,2021,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,0,0,0,0,0,0,0,0,0,0,0,0,16155.43,0,0,16155.43,0,0,16155.43,0,0,16155.43,0,0,16155.43,0,0,16155.43,0,0,16155.43,0,0,16155.43,0,0,16155.43,0,0,16155.43
0,30-39,2021,15554,15554,15554,15554,15554,15554,15554,15554,15554,15554,15554,0,0,0,0,0,0,0,0,0,0,0,0,8662.49,0,0,8662.49,0,0,8662.49,0,0,8662.49,0,0,8662.49,0,0,8662.49,0,0,8662.49,0,0,8662.49,0,0,8662.49,0,0,8662.49
0,0-4,2020,4085,4085,4085,4085,4085,4085,4085,4085,4085,4085,4085,0,0,0,0,0,0,0,0,0,0,0,0,32983.19,0,0,32983.19,0,0,32983.19,0,0,32983.19,0,0,32983.19,0,0,32983.19,0,0,32983.19,0,0,32983.19,0,0,32983.19,0,0,32983.19
1,80+,2020,36867,36867,36867,36867,36867,36867,36867,36867,36867,36867,36867,0,0,0,0,0,0,0,0,0,0,0,0,3654.66,0,0,3654.66,0,0,3654.66,0,0,3654.66,0,0,3654.66,0,0,3654.66,0,0,3654.66,0,0,3654.66,0,0,3654.66,0,0,3654.66
1,80+,2021,8359,8359,8359,8359,8359,8359,8359,8359,8359,8359,8359,0,0,0,0,0,0,0,0,0,0,0,0,16118.71,0,0,16118.71,0,0,16118.71,0,0,16118.71,0,0,16118.71,0,0,16118.71,0,0,16118.71,0,0,16118.71,0,0,16118.71,0,0,16118.71
0,0-4,2021,1448,1448,1448,1448,1448,1448,1448,1448,1448,1448,1448,0,0,0,0,0,0,0,0,0,0,0,0,93049.95,0,0,93049.95,0,0,93049.95,0,0,93049.95,0,0,93049.95,0,0,93049.95,0,0,93049.95,0,0,93049.95,0,0,93049.95,0,0,93049.95
0,12-17,2020,14558,14558,14558,14558,14558,14558,14558,14558,14558,14558,14558,0,0,0,0,0,0,0,0,0,0,0,0,9255.14,0,0,9255.14,0,0,9255.14,0,0,9255.14,0,0,9255.14,0,0,9255.14,0,0,9255.14,0,0,9255.14,0,0,9255.14,0,0,9255.14
0,12-17,2021,5879,5879,5879,5879,5879,5879,5879,5879,5879,5879,5879,0,0,0,0,0,0,0,0,0,0,0,0,22918.24,0,0,22918.24,0,0,22918.24,0,0,22918.24,0,0,22918.24,0,0,22918.24,0,0,22918.24,0,0,22918.24,0,0,22918.24,0,0,22918.24
1,12-17,2020,17710,17710,17710,17710,17710,17710,17710,17710,17710,17710,17710,0,0,0,0,0,0,0,0,0,0,0,0,7607.92,0,0,7607.92,0,0,7607.92,0,0,7607.92,0,0,7607.92,0,0,7607.92,0,0,7607.92,0,0,7607.92,0,0,7607.92,0,0,7607.92
1,12-17,2021,7757,7757,7757,7757,7757,7757,7757,7757,7757,7757,7757,0,0,0,0,0,0,0,0,0,0,0,0,17369.64,0,0,17369.64,0,0,17369.64,0,0,17369.64,0,0,17369.64,0,0,17369.64,0,0,17369.64,0,0,17369.64,0,0,17369.64,0,0,17369.64
1,18-24,2020,16957,16957,16957,16957,16957,16957,16957,16957,16957,16957,16957,0,0,0,0,0,0,0,0,0,0,0,0,7945.76,0,0,7945.76,0,0,7945.76,0,0,7945.76,0,0,7945.76,0,0,7945.76,0,0,7945.76,0,0,7945.76,0,0,7945.76,0,0,7945.76
1,18-24,2021,6823,6823,6823,6823,6823,6823,6823,6823,6823,6823,6823,0,0,0,0,0,0,0,0,0,0,0,0,19747.37,0,0,19747.37,0,0,19747.37,0,0,19747.37,0,0,19747.37,0,0,19747.37,0,0,19747.37,0,0,19747.37,0,0,19747.37,0,0,19747.37
1,0-4,2020,5124,5124,5124,5124,5124,5124,5124,5124,5124,5124,5124,0,0,0,0,0,0,0,0,0,0,0,0,26295.14,0,0,26295.14,0,0,26295.14,0,0,26295.14,0,0,26295.14,0,0,26295.14,0,0,26295.14,0,0,26295.14,0,0,26295.14,0,0,26295.14
1,0-4,2021,2308,2308,2308,2308,2308,2308,2308,2308,2308,2308,2308,0,0,0,0,0,0,0,0,0,0,0,0,58377.96,0,0,58377.96,0,0,58377.96,0,0,58377.96,0,0,58377.96,0,0,58377.96,0,0,58377.96,0,0,58377.96,0,0,58377.96,0,0,58377.96
