DAP,Vaccine brand,Year,Week,Number of doses,Number vaccinate,Number present,Coverage
TEST,UKN,2021,2,0,0,352,0
TEST,AstraZeneca,2021,3,0,0,352,0
TEST,AstraZeneca,2021,3,0,0,352,0
TEST,J&J,2021,3,0,0,352,0
TEST,J&J,2021,3,0,0,352,0
TEST,Moderna,2021,3,0,0,352,0
TEST,Moderna,2021,3,0,0,352,0
TEST,Pfizer,2021,3,1,1,352,0.3
TEST,Pfizer,2021,3,1,0,352,0
TEST,UKN,2021,3,0,0,352,0
TEST,UKN,2021,3,0,0,352,0
TEST,AstraZeneca,2021,4,0,0,352,0
TEST,AstraZeneca,2021,4,0,0,352,0
TEST,J&J,2021,4,0,0,352,0
TEST,J&J,2021,4,0,0,352,0
TEST,Moderna,2021,4,0,0,352,0
TEST,Moderna,2021,4,0,0,352,0
TEST,Pfizer,2021,4,1,1,352,0.3
TEST,Pfizer,2021,4,1,0,352,0
TEST,UKN,2021,4,0,0,352,0
TEST,UKN,2021,4,0,0,352,0
TEST,AstraZeneca,2021,5,0,0,351,0
TEST,AstraZeneca,2021,5,0,0,351,0
TEST,J&J,2021,5,0,0,351,0
TEST,J&J,2021,5,0,0,351,0
TEST,Moderna,2021,5,0,0,351,0
TEST,Moderna,2021,5,0,0,351,0
TEST,Pfizer,2021,5,2,2,351,0.6
TEST,Pfizer,2021,5,2,0,351,0
TEST,UKN,2021,5,0,0,351,0
TEST,UKN,2021,5,0,0,351,0
TEST,AstraZeneca,2021,6,0,0,349,0
TEST,AstraZeneca,2021,6,0,0,349,0
TEST,J&J,2021,6,0,0,349,0
TEST,J&J,2021,6,0,0,349,0
TEST,Moderna,2021,6,0,0,349,0
TEST,Moderna,2021,6,0,0,349,0
TEST,Pfizer,2021,6,2,2,349,0.6
TEST,Pfizer,2021,6,2,0,349,0
TEST,UKN,2021,6,0,0,349,0
TEST,UKN,2021,6,0,0,349,0
TEST,AstraZeneca,2021,7,0,0,348,0
TEST,AstraZeneca,2021,7,0,0,348,0
TEST,J&J,2021,7,0,0,348,0
TEST,J&J,2021,7,0,0,348,0
TEST,Moderna,2021,7,0,0,348,0
TEST,Moderna,2021,7,0,0,348,0
TEST,Pfizer,2021,7,2,2,348,0.6
TEST,Pfizer,2021,7,2,0,348,0
TEST,UKN,2021,7,0,0,348,0
TEST,UKN,2021,7,0,0,348,0
TEST,AstraZeneca,2021,8,0,0,348,0
TEST,AstraZeneca,2021,8,0,0,348,0
TEST,J&J,2021,8,0,0,348,0
TEST,J&J,2021,8,0,0,348,0
TEST,Moderna,2021,8,0,0,348,0
TEST,Moderna,2021,8,0,0,348,0
TEST,Pfizer,2021,8,2,2,348,0.6
TEST,Pfizer,2021,8,2,0,348,0
TEST,UKN,2021,8,0,0,348,0
TEST,UKN,2021,8,0,0,348,0
TEST,AstraZeneca,2021,9,0,0,348,0
TEST,AstraZeneca,2021,9,0,0,348,0
TEST,J&J,2021,9,0,0,348,0
TEST,J&J,2021,9,0,0,348,0
TEST,Moderna,2021,9,0,0,348,0
TEST,Moderna,2021,9,0,0,348,0
TEST,Pfizer,2021,9,3,3,348,0.9
TEST,Pfizer,2021,9,3,0,348,0
TEST,UKN,2021,9,0,0,348,0
TEST,UKN,2021,9,0,0,348,0
TEST,AstraZeneca,2021,10,0,0,346,0
TEST,AstraZeneca,2021,10,0,0,346,0
TEST,J&J,2021,10,0,0,346,0
TEST,J&J,2021,10,0,0,346,0
TEST,Moderna,2021,10,0,0,346,0
TEST,Moderna,2021,10,0,0,346,0
TEST,Pfizer,2021,10,7,7,346,2
TEST,Pfizer,2021,10,7,0,346,0
TEST,UKN,2021,10,0,0,346,0
TEST,UKN,2021,10,0,0,346,0
TEST,AstraZeneca,2021,11,0,0,344,0
TEST,AstraZeneca,2021,11,0,0,344,0
TEST,J&J,2021,11,0,0,344,0
TEST,J&J,2021,11,0,0,344,0
TEST,Moderna,2021,11,0,0,344,0
TEST,Moderna,2021,11,0,0,344,0
TEST,Pfizer,2021,11,9,8,344,2.3
TEST,Pfizer,2021,11,9,1,344,0.3
TEST,UKN,2021,11,0,0,344,0
TEST,UKN,2021,11,0,0,344,0
TEST,AstraZeneca,2021,12,0,0,344,0
TEST,AstraZeneca,2021,12,0,0,344,0
TEST,J&J,2021,12,0,0,344,0
TEST,J&J,2021,12,0,0,344,0
TEST,Moderna,2021,12,0,0,344,0
TEST,Moderna,2021,12,0,0,344,0
TEST,Pfizer,2021,12,10,9,344,2.6
TEST,Pfizer,2021,12,10,1,344,0.3
TEST,UKN,2021,12,0,0,344,0
TEST,UKN,2021,12,0,0,344,0
TEST,AstraZeneca,2021,13,2,2,344,0.6
TEST,AstraZeneca,2021,13,2,0,344,0
TEST,J&J,2021,13,0,0,344,0
TEST,J&J,2021,13,0,0,344,0
TEST,Moderna,2021,13,0,0,344,0
TEST,Moderna,2021,13,0,0,344,0
TEST,Pfizer,2021,13,13,11,344,3.2
TEST,Pfizer,2021,13,13,2,344,0.6
TEST,UKN,2021,13,0,0,344,0
TEST,UKN,2021,13,0,0,344,0
TEST,AstraZeneca,2021,14,2,2,343,0.6
TEST,AstraZeneca,2021,14,2,0,343,0
TEST,J&J,2021,14,0,0,343,0
TEST,J&J,2021,14,0,0,343,0
TEST,Moderna,2021,14,0,0,343,0
TEST,Moderna,2021,14,0,0,343,0
TEST,Pfizer,2021,14,17,15,343,4.4
TEST,Pfizer,2021,14,17,2,343,0.6
TEST,UKN,2021,14,0,0,343,0
TEST,UKN,2021,14,0,0,343,0
