datasource,week,vx_manufacturer,dose,ageband,COVID,Numerator,IR,lb,ub
TEST,20200210,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200210,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200217,none,no_dose,18-24,L1,0,0,0,874911.18
TEST,20200217,none,no_dose,40-49,L1,0,0,0,326238.07
TEST,20200217,none,no_dose,80+,L1,0,0,0,520217.46
TEST,20200217,none,no_dose,70-79,L1,0,0,0,427734.36
TEST,20200217,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200217,none,no_dose,60-69,L1,0,0,0,377412.67
TEST,20200217,none,no_dose,50-59,L1,0,0,0,274972.09
TEST,20200217,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200217,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200217,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200217,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200224,none,no_dose,18-24,L1,0,0,0,910380.55
TEST,20200224,none,no_dose,40-49,L1,0,0,0,326238.07
TEST,20200224,none,no_dose,80+,L1,0,0,0,520217.46
TEST,20200224,none,no_dose,70-79,L1,0,0,0,427734.36
TEST,20200224,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200224,none,no_dose,60-69,L1,0,0,0,377412.67
TEST,20200224,none,no_dose,50-59,L1,0,0,0,274972.09
TEST,20200224,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200224,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200224,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200224,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200302,none,no_dose,18-24,L1,0,0,0,916573.62
TEST,20200302,none,no_dose,40-49,L1,0,0,0,326238.07
TEST,20200302,none,no_dose,80+,L1,0,0,0,520217.46
TEST,20200302,none,no_dose,70-79,L1,0,0,0,427734.36
TEST,20200302,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200302,none,no_dose,60-69,L1,0,0,0,377412.67
TEST,20200302,none,no_dose,50-59,L1,0,0,0,274972.09
TEST,20200302,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200302,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200302,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200302,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200309,none,no_dose,18-24,L1,0,0,0,916573.62
TEST,20200309,none,no_dose,40-49,L1,0,0,0,329428.66
TEST,20200309,none,no_dose,80+,L1,0,0,0,520217.46
TEST,20200309,none,no_dose,70-79,L1,0,0,0,427734.36
TEST,20200309,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200309,none,no_dose,60-69,L1,0,0,0,377412.67
TEST,20200309,none,no_dose,50-59,L1,0,0,0,274972.09
TEST,20200309,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200309,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200309,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200309,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200316,none,no_dose,18-24,L1,0,0,0,916573.62
TEST,20200316,none,no_dose,40-49,L1,0,0,0,331862.86
TEST,20200316,none,no_dose,80+,L1,0,0,0,520217.46
TEST,20200316,none,no_dose,70-79,L1,0,0,0,427734.36
TEST,20200316,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200316,none,no_dose,60-69,L1,0,0,0,383864.17
TEST,20200316,none,no_dose,50-59,L1,0,0,0,274972.09
TEST,20200316,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200316,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200316,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200316,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200323,none,no_dose,18-24,L1,0,0,0,916573.62
TEST,20200323,none,no_dose,40-49,L1,0,0,0,331862.86
TEST,20200323,none,no_dose,80+,L1,0,0,0,520217.46
TEST,20200323,none,no_dose,70-79,L1,0,0,0,427734.36
TEST,20200323,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200323,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200323,none,no_dose,50-59,L1,0,0,0,274972.09
TEST,20200323,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200323,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200323,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200323,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200330,none,no_dose,18-24,L1,0,0,0,916573.62
TEST,20200330,none,no_dose,40-49,L1,0,0,0,331862.86
TEST,20200330,none,no_dose,80+,L1,0,0,0,520217.46
TEST,20200330,none,no_dose,70-79,L1,0,0,0,427734.36
TEST,20200330,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200330,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200330,none,no_dose,50-59,L1,0,0,0,276665.96
TEST,20200330,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200330,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200330,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200330,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200406,none,no_dose,18-24,L1,0,0,0,916573.62
TEST,20200406,none,no_dose,40-49,L1,0,0,0,331862.86
TEST,20200406,none,no_dose,80+,L1,0,0,0,530457.96
TEST,20200406,none,no_dose,70-79,L1,0,0,0,427734.36
TEST,20200406,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200406,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200406,none,no_dose,50-59,L1,0,0,0,278957.19
TEST,20200406,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200406,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200406,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200406,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200413,none,no_dose,18-24,L1,0,0,0,916573.62
TEST,20200413,none,no_dose,40-49,L1,0,0,0,331862.86
TEST,20200413,none,no_dose,80+,L1,0,0,0,534667.94
TEST,20200413,none,no_dose,70-79,L1,0,0,0,427734.36
TEST,20200413,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200413,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200413,none,no_dose,50-59,L1,0,0,0,278957.19
TEST,20200413,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200413,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200413,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200413,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200420,none,no_dose,18-24,L1,0,0,0,916573.62
TEST,20200420,none,no_dose,40-49,L1,0,0,0,331862.86
TEST,20200420,none,no_dose,80+,L1,0,0,0,534667.94
TEST,20200420,none,no_dose,70-79,L1,0,0,0,427734.36
TEST,20200420,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200420,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200420,none,no_dose,50-59,L1,0,0,0,278957.19
TEST,20200420,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200420,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200420,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200420,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200427,none,no_dose,18-24,L1,0,0,0,916573.62
TEST,20200427,none,no_dose,40-49,L1,0,0,0,336000.8
TEST,20200427,none,no_dose,80+,L1,0,0,0,534667.94
TEST,20200427,none,no_dose,70-79,L1,0,0,0,431847.19
TEST,20200427,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200427,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200427,none,no_dose,50-59,L1,0,0,0,278957.19
TEST,20200427,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200427,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200427,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200427,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200504,none,no_dose,18-24,L1,0,0,0,916573.62
TEST,20200504,none,no_dose,40-49,L1,0,0,0,337685.02
TEST,20200504,none,no_dose,80+,L1,0,0,0,534667.94
TEST,20200504,none,no_dose,70-79,L1,0,0,0,437455.59
TEST,20200504,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200504,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200504,none,no_dose,50-59,L1,0,0,0,278957.19
TEST,20200504,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200504,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200504,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200504,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200511,none,no_dose,18-24,L1,0,0,0,916573.62
TEST,20200511,none,no_dose,40-49,L1,0,0,0,342840.51
TEST,20200511,none,no_dose,80+,L1,0,0,0,534667.94
TEST,20200511,none,no_dose,70-79,L1,0,0,0,437455.59
TEST,20200511,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200511,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200511,none,no_dose,50-59,L1,0,0,0,278957.19
TEST,20200511,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200511,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200511,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200511,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200518,none,no_dose,18-24,L1,0,0,0,916573.62
TEST,20200518,none,no_dose,40-49,L1,0,0,0,343715.11
TEST,20200518,none,no_dose,80+,L1,0,0,0,534667.94
TEST,20200518,none,no_dose,70-79,L1,0,0,0,437455.59
TEST,20200518,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200518,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200518,none,no_dose,50-59,L1,0,0,0,278957.19
TEST,20200518,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200518,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200518,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200518,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200525,none,no_dose,18-24,L1,0,0,0,916573.62
TEST,20200525,none,no_dose,40-49,L1,0,0,0,343715.11
TEST,20200525,none,no_dose,80+,L1,0,0,0,534667.94
TEST,20200525,none,no_dose,70-79,L1,0,0,0,437455.59
TEST,20200525,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200525,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200525,none,no_dose,50-59,L1,1,76572.33,1938.64,426633.7
TEST,20200525,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200525,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200525,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200525,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200601,none,no_dose,18-24,L1,0,0,0,916573.62
TEST,20200601,none,no_dose,40-49,L1,0,0,0,343715.11
TEST,20200601,none,no_dose,80+,L1,0,0,0,534667.94
TEST,20200601,none,no_dose,70-79,L1,0,0,0,437455.59
TEST,20200601,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200601,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200601,none,no_dose,50-59,L1,0,0,0,283059.5
TEST,20200601,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200601,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200601,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200601,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200608,none,no_dose,18-24,L1,0,0,0,916573.62
TEST,20200608,none,no_dose,40-49,L1,0,0,0,343715.11
TEST,20200608,none,no_dose,80+,L1,0,0,0,534667.94
TEST,20200608,none,no_dose,70-79,L1,0,0,0,437455.59
TEST,20200608,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200608,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200608,none,no_dose,50-59,L1,0,0,0,283059.5
TEST,20200608,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200608,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200608,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200608,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200615,none,no_dose,18-24,L1,0,0,0,955576.75
TEST,20200615,none,no_dose,40-49,L1,0,0,0,343715.11
TEST,20200615,none,no_dose,80+,L1,0,0,0,534667.94
TEST,20200615,none,no_dose,70-79,L1,0,0,0,446146.76
TEST,20200615,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200615,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200615,none,no_dose,50-59,L1,1,77712.77,1967.52,432987.82
TEST,20200615,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200615,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200615,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200615,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200622,none,no_dose,18-24,L1,0,0,0,962402.3
TEST,20200622,none,no_dose,40-49,L1,0,0,0,343715.11
TEST,20200622,none,no_dose,80+,L1,0,0,0,534667.94
TEST,20200622,none,no_dose,70-79,L1,0,0,0,447628.98
TEST,20200622,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200622,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200622,none,no_dose,50-59,L1,0,0,0,289133.74
TEST,20200622,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200622,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200622,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200622,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200629,none,no_dose,18-24,L1,0,0,0,962402.3
TEST,20200629,none,no_dose,40-49,L1,0,0,0,343715.11
TEST,20200629,none,no_dose,80+,L1,0,0,0,534667.94
TEST,20200629,none,no_dose,70-79,L1,0,0,0,447628.98
TEST,20200629,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200629,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200629,none,no_dose,50-59,L1,0,0,0,291637.06
TEST,20200629,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200629,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200629,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200629,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200706,none,no_dose,18-24,L1,0,0,0,962402.3
TEST,20200706,none,no_dose,40-49,L1,0,0,0,343715.11
TEST,20200706,none,no_dose,80+,L1,0,0,0,541109.73
TEST,20200706,none,no_dose,70-79,L1,0,0,0,447628.98
TEST,20200706,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200706,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200706,none,no_dose,50-59,L1,0,0,0,291637.06
TEST,20200706,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200706,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200706,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200706,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200713,none,no_dose,18-24,L1,0,0,0,962402.3
TEST,20200713,none,no_dose,40-49,L1,0,0,0,343715.11
TEST,20200713,none,no_dose,80+,L1,0,0,0,549944.17
TEST,20200713,none,no_dose,70-79,L1,0,0,0,450623.15
TEST,20200713,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200713,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200713,none,no_dose,50-59,L1,0,0,0,291637.06
TEST,20200713,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200713,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200713,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200713,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200720,none,no_dose,18-24,L1,0,0,0,962402.3
TEST,20200720,none,no_dose,40-49,L1,0,0,0,343715.11
TEST,20200720,none,no_dose,80+,L1,0,0,0,549944.17
TEST,20200720,none,no_dose,70-79,L1,0,0,0,458286.81
TEST,20200720,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200720,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200720,none,no_dose,50-59,L1,0,0,0,291637.06
TEST,20200720,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200720,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200720,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200720,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200727,none,no_dose,18-24,L1,0,0,0,962402.3
TEST,20200727,none,no_dose,40-49,L1,0,0,0,343715.11
TEST,20200727,none,no_dose,80+,L1,0,0,0,549944.17
TEST,20200727,none,no_dose,70-79,L1,0,0,0,458286.81
TEST,20200727,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200727,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200727,none,no_dose,50-59,L1,0,0,0,291637.06
TEST,20200727,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200727,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200727,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200727,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200803,none,no_dose,18-24,L1,0,0,0,962402.3
TEST,20200803,none,no_dose,40-49,L1,0,0,0,343715.11
TEST,20200803,none,no_dose,80+,L1,0,0,0,549944.17
TEST,20200803,none,no_dose,70-79,L1,0,0,0,458286.81
TEST,20200803,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200803,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200803,none,no_dose,50-59,L1,0,0,0,291637.06
TEST,20200803,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200803,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200803,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200803,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200810,none,no_dose,18-24,L1,0,0,0,962402.3
TEST,20200810,none,no_dose,40-49,L1,0,0,0,343715.11
TEST,20200810,none,no_dose,80+,L1,0,0,0,554470.46
TEST,20200810,none,no_dose,70-79,L1,0,0,0,458286.81
TEST,20200810,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200810,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200810,none,no_dose,50-59,L1,0,0,0,291637.06
TEST,20200810,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200810,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200810,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200810,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200817,none,no_dose,18-24,L1,0,0,0,962402.3
TEST,20200817,none,no_dose,40-49,L1,0,0,0,343715.11
TEST,20200817,none,no_dose,80+,L1,0,0,0,566119
TEST,20200817,none,no_dose,70-79,L1,0,0,0,458286.81
TEST,20200817,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200817,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200817,none,no_dose,50-59,L1,0,0,0,291637.06
TEST,20200817,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200817,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200817,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200817,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200824,none,no_dose,18-24,L1,0,0,0,962402.3
TEST,20200824,none,no_dose,40-49,L1,0,0,0,343715.11
TEST,20200824,none,no_dose,80+,L1,0,0,0,566119
TEST,20200824,none,no_dose,70-79,L1,0,0,0,458286.81
TEST,20200824,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200824,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200824,none,no_dose,50-59,L1,0,0,0,291637.06
TEST,20200824,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200824,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200824,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200824,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200831,none,no_dose,18-24,L1,0,0,0,962402.3
TEST,20200831,none,no_dose,40-49,L1,0,0,0,346365.87
TEST,20200831,none,no_dose,80+,L1,0,0,0,566119
TEST,20200831,none,no_dose,70-79,L1,0,0,0,458286.81
TEST,20200831,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200831,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200831,none,no_dose,50-59,L1,0,0,0,291637.06
TEST,20200831,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200831,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200831,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200831,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200907,none,no_dose,18-24,L1,0,0,0,962402.3
TEST,20200907,none,no_dose,40-49,L1,0,0,0,349964.47
TEST,20200907,none,no_dose,80+,L1,0,0,0,566119
TEST,20200907,none,no_dose,70-79,L1,0,0,0,458286.81
TEST,20200907,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200907,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200907,none,no_dose,50-59,L1,0,0,0,291637.06
TEST,20200907,none,no_dose,12-17,L1,0,0,0,916573.62
TEST,20200907,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200907,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200907,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200914,none,no_dose,18-24,L1,0,0,0,962402.3
TEST,20200914,none,no_dose,40-49,L1,0,0,0,349964.47
TEST,20200914,none,no_dose,80+,L1,0,0,0,566119
TEST,20200914,none,no_dose,70-79,L1,0,0,0,458286.81
TEST,20200914,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200914,none,no_dose,60-69,L1,0,0,0,384960.92
TEST,20200914,none,no_dose,50-59,L1,0,0,0,291637.06
TEST,20200914,none,no_dose,12-17,L1,0,0,0,916573.62
TEST,20200914,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200914,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200914,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200921,none,no_dose,18-24,L1,0,0,0,962402.3
TEST,20200921,none,no_dose,40-49,L1,0,0,0,349964.47
TEST,20200921,none,no_dose,80+,L1,0,0,0,566119
TEST,20200921,none,no_dose,70-79,L1,0,0,0,458286.81
TEST,20200921,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200921,none,no_dose,60-69,L1,1,104956.9,2657.28,584782.4
TEST,20200921,none,no_dose,50-59,L1,0,0,0,291637.06
TEST,20200921,none,no_dose,12-17,L1,0,0,0,916573.62
TEST,20200921,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200921,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200921,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200928,none,no_dose,18-24,L1,0,0,0,962402.3
