datasource,week,vx_manufacturer,dose,birth_cohort,COVID,Numerator,IR,lb,ub,ageband
TEST,20200302,none,no_dose,<1940,L1,0,0,0,88293.79,80+
TEST,20200302,none,no_dose,1950-1959,L1,0,0,0,62406.82,60-69
TEST,20200309,none,no_dose,1960-1969,L1,0,0,0,52858.5,50-59
TEST,20200309,none,no_dose,1970-1979,L1,0,0,0,59433.75,40-49
TEST,20200309,none,no_dose,1940-1949,L1,0,0,0,81559.52,70-79
TEST,20200309,none,no_dose,1980-1989,L1,0,0,0,91782.24,30-39
TEST,20200309,none,no_dose,1990+,L1,0,0,0,44659.04,<30
TEST,20200309,none,no_dose,<1940,L1,0,0,0,88409.66,80+
TEST,20200309,none,no_dose,1950-1959,L1,0,0,0,62493.66,60-69
TEST,20200316,none,no_dose,1960-1969,L1,0,0,0,52879.25,50-59
TEST,20200316,none,no_dose,1970-1979,L1,0,0,0,59591.47,40-49
TEST,20200316,none,no_dose,1940-1949,L1,0,0,0,81559.52,70-79
TEST,20200316,none,no_dose,1980-1989,L1,0,0,0,92095.91,30-39
TEST,20200316,none,no_dose,1990+,L1,0,0,0,44718.33,<30
TEST,20200316,none,no_dose,<1940,L1,0,0,0,88700.67,80+
TEST,20200316,none,no_dose,1950-1959,L1,0,0,0,62493.66,60-69
TEST,20200323,none,no_dose,1960-1969,L1,0,0,0,52879.25,50-59
TEST,20200323,none,no_dose,1970-1979,L1,0,0,0,59591.47,40-49
TEST,20200323,none,no_dose,1940-1949,L1,0,0,0,81807.12,70-79
TEST,20200323,none,no_dose,1980-1989,L1,0,0,0,92095.91,30-39
TEST,20200323,none,no_dose,1990+,L1,0,0,0,44762.9,<30
TEST,20200323,none,no_dose,<1940,L1,0,0,0,88700.67,80+
TEST,20200323,none,no_dose,1950-1959,L1,0,0,0,62493.66,60-69
TEST,20200330,none,no_dose,1960-1969,L1,0,0,0,52879.25,50-59
TEST,20200330,none,no_dose,1970-1979,L1,0,0,0,59591.47,40-49
TEST,20200330,none,no_dose,1940-1949,L1,0,0,0,82357.17,70-79
TEST,20200330,none,no_dose,1980-1989,L1,0,0,0,92095.91,30-39
TEST,20200330,none,no_dose,1990+,L1,0,0,0,44762.9,<30
TEST,20200330,none,no_dose,<1940,L1,0,0,0,88700.67,80+
TEST,20200330,none,no_dose,1950-1959,L1,0,0,0,62493.66,60-69
TEST,20200406,none,no_dose,1960-1969,L1,0,0,0,52879.25,50-59
TEST,20200406,none,no_dose,1970-1979,L1,0,0,0,59591.47,40-49
TEST,20200406,none,no_dose,1940-1949,L1,0,0,0,82965.72,70-79
TEST,20200406,none,no_dose,1980-1989,L1,0,0,0,92095.91,30-39
TEST,20200406,none,no_dose,1990+,L1,0,0,0,44762.9,<30
TEST,20200406,none,no_dose,<1940,L1,0,0,0,89170.3,80+
TEST,20200406,none,no_dose,1950-1959,L1,0,0,0,62493.66,60-69
TEST,20200413,none,no_dose,1960-1969,L1,0,0,0,52879.25,50-59
TEST,20200413,none,no_dose,1970-1979,L1,0,0,0,59591.47,40-49
TEST,20200413,none,no_dose,1940-1949,L1,0,0,0,82965.72,70-79
TEST,20200413,none,no_dose,1980-1989,L1,0,0,0,92285.15,30-39
TEST,20200413,none,no_dose,1990+,L1,0,0,0,44762.9,<30
TEST,20200413,none,no_dose,<1940,L1,0,0,0,89525.8,80+
TEST,20200413,none,no_dose,1950-1959,L1,0,0,0,62609.82,60-69
TEST,20200420,none,no_dose,1960-1969,L1,0,0,0,52879.25,50-59
TEST,20200420,none,no_dose,1970-1979,L1,0,0,0,59776.54,40-49
TEST,20200420,none,no_dose,1940-1949,L1,1,22532.39,570.47,125542.43,70-79
TEST,20200420,none,no_dose,1980-1989,L1,0,0,0,92538.68,30-39
TEST,20200420,none,no_dose,1990+,L1,0,0,0,45077.39,<30
TEST,20200420,none,no_dose,<1940,L1,0,0,0,89944.14,80+
TEST,20200420,none,no_dose,1950-1959,L1,0,0,0,63078.8,60-69
TEST,20200427,none,no_dose,1960-1969,L1,0,0,0,52879.25,50-59
TEST,20200427,none,no_dose,1970-1979,L1,0,0,0,59962.76,40-49
TEST,20200427,none,no_dose,1940-1949,L1,1,22658.19,573.66,126243.35,70-79
TEST,20200427,none,no_dose,1980-1989,L1,0,0,0,92538.68,30-39
TEST,20200427,none,no_dose,1990+,L1,0,0,0,45289.52,<30
TEST,20200427,none,no_dose,<1940,L1,0,0,0,90366.41,80+
TEST,20200427,none,no_dose,1950-1959,L1,0,0,0,63108.35,60-69
TEST,20200504,none,no_dose,1960-1969,L1,0,0,0,52920.79,50-59
TEST,20200504,none,no_dose,1970-1979,L1,0,0,0,59962.76,40-49
TEST,20200504,none,no_dose,1940-1949,L1,0,0,0,83687.16,70-79
TEST,20200504,none,no_dose,1980-1989,L1,0,0,0,92665.97,30-39
TEST,20200504,none,no_dose,1990+,L1,1,12281.44,310.94,68427.8,<30
TEST,20200504,none,no_dose,<1940,L1,0,0,0,90366.41,80+
TEST,20200504,none,no_dose,1950-1959,L1,0,0,0,63108.35,60-69
TEST,20200511,none,no_dose,1960-1969,L1,0,0,0,53129.46,50-59
TEST,20200511,none,no_dose,1970-1979,L1,0,0,0,60203.9,40-49
TEST,20200511,none,no_dose,1940-1949,L1,0,0,0,83687.16,70-79
TEST,20200511,none,no_dose,1980-1989,L1,0,0,0,92985.73,30-39
TEST,20200511,none,no_dose,1990+,L1,0,0,0,45396.33,<30
TEST,20200511,none,no_dose,<1940,L1,0,0,0,90853.89,80+
TEST,20200511,none,no_dose,1950-1959,L1,0,0,0,63256.49,60-69
TEST,20200518,none,no_dose,1960-1969,L1,0,0,0,53171.4,50-59
TEST,20200518,none,no_dose,1970-1979,L1,0,0,0,60528.45,40-49
TEST,20200518,none,no_dose,1940-1949,L1,0,0,0,83687.16,70-79
TEST,20200518,none,no_dose,1980-1989,L1,0,0,0,92985.73,30-39
TEST,20200518,none,no_dose,1990+,L1,0,0,0,45396.33,<30
TEST,20200518,none,no_dose,<1940,L1,0,0,0,91657.36,80+
TEST,20200518,none,no_dose,1950-1959,L1,0,0,0,63584.86,60-69
TEST,20200525,none,no_dose,1960-1969,L1,0,0,0,53171.4,50-59
TEST,20200525,none,no_dose,1970-1979,L1,1,16474.97,417.11,91792.64,40-49
TEST,20200525,none,no_dose,1940-1949,L1,0,0,0,83687.16,70-79
TEST,20200525,none,no_dose,1980-1989,L1,0,0,0,92985.73,30-39
TEST,20200525,none,no_dose,1990+,L1,0,0,0,45411.64,<30
TEST,20200525,none,no_dose,<1940,L1,0,0,0,91657.36,80+
TEST,20200525,none,no_dose,1950-1959,L1,1,17318.63,438.47,96493.26,60-69
TEST,20200601,none,no_dose,1960-1969,L1,2,28839.32,3492.58,104177.54,50-59
TEST,20200601,none,no_dose,1970-1979,L1,0,0,0,61104.91,40-49
TEST,20200601,none,no_dose,1940-1949,L1,0,0,0,83843.39,70-79
TEST,20200601,none,no_dose,1980-1989,L1,0,0,0,92985.73,30-39
TEST,20200601,none,no_dose,1990+,L1,0,0,0,45565.21,<30
TEST,20200601,none,no_dose,<1940,L1,0,0,0,91844.8,80+
TEST,20200601,none,no_dose,1950-1959,L1,0,0,0,64343.99,60-69
TEST,20200608,none,no_dose,1960-1969,L1,0,0,0,53466.79,50-59
TEST,20200608,none,no_dose,1970-1979,L1,0,0,0,61104.91,40-49
TEST,20200608,none,no_dose,1940-1949,L1,0,0,0,84052.6,70-79
TEST,20200608,none,no_dose,1980-1989,L1,0,0,0,92985.73,30-39
TEST,20200608,none,no_dose,1990+,L1,0,0,0,45611.48,<30
TEST,20200608,none,no_dose,<1940,L1,0,0,0,92095.91,80+
TEST,20200608,none,no_dose,1950-1959,L1,0,0,0,64374.74,60-69
TEST,20200615,none,no_dose,1960-1969,L1,0,0,0,53466.79,50-59
TEST,20200615,none,no_dose,1970-1979,L1,0,0,0,61104.91,40-49
TEST,20200615,none,no_dose,1940-1949,L1,0,0,0,84368.39,70-79
TEST,20200615,none,no_dose,1980-1989,L1,0,0,0,92985.73,30-39
TEST,20200615,none,no_dose,1990+,L1,0,0,0,45611.48,<30
TEST,20200615,none,no_dose,<1940,L1,0,0,0,92095.91,80+
TEST,20200615,none,no_dose,1950-1959,L1,0,0,0,64374.74,60-69
TEST,20200622,none,no_dose,1960-1969,L1,0,0,0,53615.73,50-59
TEST,20200622,none,no_dose,1970-1979,L1,0,0,0,61104.91,40-49
TEST,20200622,none,no_dose,1940-1949,L1,0,0,0,84953.54,70-79
TEST,20200622,none,no_dose,1980-1989,L1,0,0,0,92985.73,30-39
TEST,20200622,none,no_dose,1990+,L1,0,0,0,45642.39,<30
TEST,20200622,none,no_dose,<1940,L1,0,0,0,92411.74,80+
TEST,20200622,none,no_dose,1950-1959,L1,0,0,0,64374.74,60-69
TEST,20200629,none,no_dose,1960-1969,L1,0,0,0,53765.49,50-59
TEST,20200629,none,no_dose,1970-1979,L1,0,0,0,61104.91,40-49
TEST,20200629,none,no_dose,1940-1949,L1,0,0,0,85384.23,70-79
TEST,20200629,none,no_dose,1980-1989,L1,0,0,0,92985.73,30-39
TEST,20200629,none,no_dose,1990+,L1,0,0,0,45719.82,<30
TEST,20200629,none,no_dose,<1940,L1,0,0,0,92538.68,80+
TEST,20200629,none,no_dose,1950-1959,L1,0,0,0,64374.74,60-69
TEST,20200706,none,no_dose,1960-1969,L1,0,0,0,53786.95,50-59
TEST,20200706,none,no_dose,1970-1979,L1,0,0,0,61104.91,40-49
TEST,20200706,none,no_dose,1940-1949,L1,0,0,0,85655.64,70-79
TEST,20200706,none,no_dose,1980-1989,L1,0,0,0,92985.73,30-39
TEST,20200706,none,no_dose,1990+,L1,0,0,0,45735.34,<30
TEST,20200706,none,no_dose,<1940,L1,0,0,0,92665.97,80+
TEST,20200706,none,no_dose,1950-1959,L1,0,0,0,64374.74,60-69
TEST,20200713,none,no_dose,1960-1969,L1,0,0,0,53916.1,50-59
TEST,20200713,none,no_dose,1970-1979,L1,0,0,0,61243.78,40-49
TEST,20200713,none,no_dose,1940-1949,L1,0,0,0,85928.78,70-79
TEST,20200713,none,no_dose,1980-1989,L1,0,0,0,92985.73,30-39
TEST,20200713,none,no_dose,1990+,L1,0,0,0,45859.88,<30
TEST,20200713,none,no_dose,<1940,L1,0,0,0,92985.73,80+
TEST,20200713,none,no_dose,1950-1959,L1,0,0,0,64374.74,60-69
TEST,20200720,none,no_dose,1960-1969,L1,0,0,0,53916.1,50-59
TEST,20200720,none,no_dose,1970-1979,L1,0,0,0,61467.3,40-49
TEST,20200720,none,no_dose,1940-1949,L1,0,0,0,86314.11,70-79
TEST,20200720,none,no_dose,1980-1989,L1,1,25329.4,641.28,141126.4,30-39
TEST,20200720,none,no_dose,1990+,L1,0,0,0,46063.7,<30
TEST,20200720,none,no_dose,<1940,L1,0,0,0,93762.23,80+
TEST,20200720,none,no_dose,1950-1959,L1,0,0,0,64374.74,60-69
TEST,20200727,none,no_dose,1960-1969,L1,1,14651.02,370.93,81630.27,50-59
TEST,20200727,none,no_dose,1970-1979,L1,0,0,0,61692.46,40-49
TEST,20200727,none,no_dose,1940-1949,L1,0,0,0,86314.11,70-79
TEST,20200727,none,no_dose,1980-1989,L1,0,0,0,94353.17,30-39
TEST,20200727,none,no_dose,1990+,L1,0,0,0,46269.34,<30
TEST,20200727,none,no_dose,<1940,L1,0,0,0,93892.91,80+
TEST,20200727,none,no_dose,1950-1959,L1,0,0,0,64405.51,60-69
TEST,20200803,none,no_dose,1960-1969,L1,0,0,0,54067.54,50-59
TEST,20200803,none,no_dose,1970-1979,L1,0,0,0,62033.3,40-49
TEST,20200803,none,no_dose,1940-1949,L1,0,0,0,86314.11,70-79
TEST,20200803,none,no_dose,1980-1989,L1,0,0,0,94618.2,30-39
TEST,20200803,none,no_dose,1990+,L1,0,0,0,46269.34,<30
TEST,20200803,none,no_dose,<1940,L1,0,0,0,93892.91,80+
TEST,20200803,none,no_dose,1950-1959,L1,0,0,0,64590.76,60-69
TEST,20200810,none,no_dose,1960-1969,L1,0,0,0,54154.47,50-59
TEST,20200810,none,no_dose,1970-1979,L1,0,0,0,62090.47,40-49
TEST,20200810,none,no_dose,1940-1949,L1,0,0,0,86314.11,70-79
TEST,20200810,none,no_dose,1980-1989,L1,0,0,0,94817.96,30-39
TEST,20200810,none,no_dose,1990+,L1,0,0,0,46444.79,<30
TEST,20200810,none,no_dose,<1940,L1,0,0,0,93892.91,80+
TEST,20200810,none,no_dose,1950-1959,L1,0,0,0,64933.17,60-69
TEST,20200817,none,no_dose,1960-1969,L1,0,0,0,54219.85,50-59
TEST,20200817,none,no_dose,1970-1979,L1,0,0,0,62090.47,40-49
TEST,20200817,none,no_dose,1940-1949,L1,0,0,0,86982.78,70-79
TEST,20200817,none,no_dose,1980-1989,L1,0,0,0,94817.96,30-39
TEST,20200817,none,no_dose,1990+,L1,0,0,0,46589.32,<30
TEST,20200817,none,no_dose,<1940,L1,0,0,0,94353.17,80+
TEST,20200817,none,no_dose,1950-1959,L1,0,0,0,65121.47,60-69
TEST,20200824,none,no_dose,1960-1969,L1,0,0,0,54219.85,50-59
TEST,20200824,none,no_dose,1970-1979,L1,0,0,0,62233.87,40-49
TEST,20200824,none,no_dose,1940-1949,L1,0,0,0,87151.57,70-79
TEST,20200824,none,no_dose,1980-1989,L1,0,0,0,94817.96,30-39
TEST,20200824,none,no_dose,1990+,L1,0,0,0,46686.18,<30
TEST,20200824,none,no_dose,<1940,L1,0,0,0,94353.17,80+
TEST,20200824,none,no_dose,1950-1959,L1,0,0,0,65628.99,60-69
TEST,20200831,none,no_dose,1960-1969,L1,0,0,0,54219.85,50-59
TEST,20200831,none,no_dose,1970-1979,L1,0,0,0,62493.66,40-49
TEST,20200831,none,no_dose,1940-1949,L1,0,0,0,87491.12,70-79
TEST,20200831,none,no_dose,1980-1989,L1,0,0,0,94817.96,30-39
TEST,20200831,none,no_dose,1990+,L1,0,0,0,46979.19,<30
TEST,20200831,none,no_dose,<1940,L1,0,0,0,94353.17,80+
TEST,20200831,none,no_dose,1950-1959,L1,0,0,0,66144.49,60-69
TEST,20200907,none,no_dose,1960-1969,L1,0,0,0,54219.85,50-59
TEST,20200907,none,no_dose,1970-1979,L1,0,0,0,62638.92,40-49
TEST,20200907,none,no_dose,1940-1949,L1,0,0,0,87491.12,70-79
TEST,20200907,none,no_dose,1980-1989,L1,0,0,0,94817.96,30-39
TEST,20200907,none,no_dose,1990+,L1,0,0,0,47061.24,<30
TEST,20200907,none,no_dose,<1940,L1,0,0,0,94353.17,80+
TEST,20200907,none,no_dose,1950-1959,L1,0,0,0,66767.26,60-69
TEST,20200914,none,no_dose,1960-1969,L1,0,0,0,54285.38,50-59
TEST,20200914,none,no_dose,1970-1979,L1,0,0,0,62960.9,40-49
TEST,20200914,none,no_dose,1940-1949,L1,0,0,0,87491.12,70-79
TEST,20200914,none,no_dose,1980-1989,L1,0,0,0,94817.96,30-39
TEST,20200914,none,no_dose,1990+,L1,0,0,0,47176.58,<30
TEST,20200914,none,no_dose,<1940,L1,0,0,0,94353.17,80+
TEST,20200914,none,no_dose,1950-1959,L1,0,0,0,67099.76,60-69
TEST,20200921,none,no_dose,1960-1969,L1,0,0,0,54748.61,50-59
TEST,20200921,none,no_dose,1970-1979,L1,0,0,0,63108.35,40-49
TEST,20200921,none,no_dose,1940-1949,L1,1,23966.54,606.78,133532.99,70-79
TEST,20200921,none,no_dose,1980-1989,L1,0,0,0,94817.96,30-39
TEST,20200921,none,no_dose,1990+,L1,0,0,0,47193.11,<30
TEST,20200921,none,no_dose,<1940,L1,0,0,0,94353.17,80+
TEST,20200921,none,no_dose,1950-1959,L1,0,0,0,67300.86,60-69
TEST,20200928,none,no_dose,1960-1969,L1,0,0,0,54882.41,50-59
TEST,20200928,none,no_dose,1970-1979,L1,0,0,0,63108.35,40-49
TEST,20200928,none,no_dose,1940-1949,L1,0,0,0,88700.67,70-79
TEST,20200928,none,no_dose,1980-1989,L1,0,0,0,94817.96,30-39
TEST,20200928,none,no_dose,1990+,L1,0,0,0,47292.5,<30
TEST,20200928,none,no_dose,<1940,L1,0,0,0,94951.6,80+
TEST,20200928,none,no_dose,1950-1959,L1,0,0,0,67300.86,60-69
TEST,20201005,none,no_dose,1960-1969,L1,0,0,0,55106.88,50-59
TEST,20201005,none,no_dose,1970-1979,L1,0,0,0,63256.49,40-49
TEST,20201005,none,no_dose,1940-1949,L1,0,0,0,89111.32,70-79
TEST,20201005,none,no_dose,1980-1989,L1,0,0,0,94817.96,30-39
TEST,20201005,none,no_dose,1990+,L1,0,0,0,47358.99,<30
TEST,20201005,none,no_dose,<1940,L1,0,0,0,95287.36,80+
TEST,20201005,none,no_dose,1950-1959,L1,0,0,0,67300.86,60-69
TEST,20201012,none,no_dose,1960-1969,L1,0,0,0,55174.58,50-59
TEST,20201012,none,no_dose,1970-1979,L1,0,0,0,63315.94,40-49
TEST,20201012,none,no_dose,1940-1949,L1,0,0,0,89525.8,70-79
TEST,20201012,none,no_dose,1980-1989,L1,0,0,0,94817.96,30-39
TEST,20201012,none,no_dose,1990+,L1,0,0,0,47492.54,<30
TEST,20201012,none,no_dose,<1940,L1,0,0,0,95287.36,80+
TEST,20201012,none,no_dose,1950-1959,L1,0,0,0,67300.86,60-69
TEST,20201019,none,no_dose,1960-1969,L1,0,0,0,55333.19,50-59
TEST,20201019,none,no_dose,1970-1979,L1,0,0,0,63405.33,40-49
TEST,20201019,none,no_dose,1940-1949,L1,0,0,0,89525.8,70-79
TEST,20201019,none,no_dose,1980-1989,L1,1,25758.11,652.14,143515,30-39
TEST,20201019,none,no_dose,1990+,L1,0,0,0,47576.38,<30
TEST,20201019,none,no_dose,<1940,L1,0,0,0,95489.95,80+
TEST,20201019,none,no_dose,1950-1959,L1,0,0,0,67435.6,60-69
TEST,20201026,none,no_dose,1960-1969,L1,0,0,0,55515.58,50-59
TEST,20201026,none,no_dose,1970-1979,L1,0,0,0,63554.87,40-49
TEST,20201026,none,no_dose,1940-1949,L1,0,0,0,89525.8,70-79
TEST,20201026,none,no_dose,1980-1989,L1,0,0,0,95287.36,30-39
TEST,20201026,none,no_dose,1990+,L1,0,0,0,47948.87,<30
TEST,20201026,none,no_dose,<1940,L1,1,25977.95,657.7,144739.88,80+
TEST,20201026,none,no_dose,1950-1959,L1,0,0,0,67774.81,60-69
TEST,20201102,none,no_dose,1960-1969,L1,0,0,0,55630.19,50-59
TEST,20201102,none,no_dose,1970-1979,L1,1,17343.3,439.09,96630.71,40-49
TEST,20201102,none,no_dose,1940-1949,L1,0,0,0,89525.8,70-79
TEST,20201102,none,no_dose,1980-1989,L1,0,0,0,95287.36,30-39
TEST,20201102,none,no_dose,1990+,L1,1,13044.64,330.26,72680.1,<30
TEST,20201102,none,no_dose,<1940,L1,0,0,0,96446.9,80+
TEST,20201102,none,no_dose,1950-1959,L1,0,0,0,67843.06,60-69
TEST,20201109,none,no_dose,1960-1969,L1,0,0,0,55722.22,50-59
TEST,20201109,none,no_dose,1970-1979,L1,0,0,0,64590.76,40-49
TEST,20201109,none,no_dose,1940-1949,L1,0,0,0,89525.8,70-79
TEST,20201109,none,no_dose,1980-1989,L1,0,0,0,95287.36,30-39
TEST,20201109,none,no_dose,1990+,L1,0,0,0,48327.23,<30
TEST,20201109,none,no_dose,<1940,L1,0,0,0,96723.85,80+
TEST,20201109,none,no_dose,1950-1959,L1,0,0,0,68186.4,60-69
TEST,20201116,none,no_dose,1960-1969,L1,0,0,0,55791.44,50-59
TEST,20201116,none,no_dose,1970-1979,L1,0,0,0,64590.76,40-49
TEST,20201116,none,no_dose,1940-1949,L1,0,0,0,89525.8,70-79
TEST,20201116,none,no_dose,1980-1989,L1,0,0,0,95557.68,30-39
TEST,20201116,none,no_dose,1990+,L1,0,0,0,48588.65,<30
TEST,20201116,none,no_dose,<1940,L1,0,0,0,96862.92,80+
TEST,20201116,none,no_dose,1950-1959,L1,0,0,0,68290.08,60-69
TEST,20201123,none,no_dose,1960-1969,L1,0,0,0,55930.4,50-59
TEST,20201123,none,no_dose,1970-1979,L1,1,17636.41,446.52,98263.77,40-49
TEST,20201123,none,no_dose,1940-1949,L1,0,0,0,89824.21,70-79
TEST,20201123,none,no_dose,1980-1989,L1,1,26145.31,661.94,145672.35,30-39
TEST,20201123,none,no_dose,1990+,L1,1,13248.1,335.41,73813.67,<30
TEST,20201123,none,no_dose,<1940,L1,0,0,0,97352.83,80+
TEST,20201123,none,no_dose,1950-1959,L1,0,0,0,68498.38,60-69
TEST,20201130,none,no_dose,1960-1969,L1,0,0,0,56163.54,50-59
TEST,20201130,none,no_dose,1970-1979,L1,0,0,0,65247.61,40-49
TEST,20201130,none,no_dose,1940-1949,L1,0,0,0,90427.06,70-79
TEST,20201130,none,no_dose,1980-1989,L1,0,0,0,97212.35,30-39
TEST,20201130,none,no_dose,1990+,L1,0,0,0,49012.85,<30
TEST,20201130,none,no_dose,<1940,L1,0,0,0,97705.82,80+
TEST,20201130,none,no_dose,1950-1959,L1,0,0,0,68672.95,60-69
TEST,20201207,none,no_dose,1960-1969,L1,0,0,0,56445.88,50-59
TEST,20201207,none,no_dose,1970-1979,L1,2,35547.45,4304.96,128409.59,40-49
TEST,20201207,none,no_dose,1940-1949,L1,0,0,0,91222.97,70-79
TEST,20201207,none,no_dose,1980-1989,L1,1,26467.39,670.1,147466.87,30-39
TEST,20201207,none,no_dose,1990+,L1,0,0,0,49191.79,<30
TEST,20201207,none,no_dose,<1940,L1,1,26699.56,675.97,148760.43,80+
TEST,20201207,none,no_dose,1950-1959,L1,0,0,0,69202.01,60-69
TEST,20201214,none,no_dose,1960-1969,L1,2,30732.02,3721.79,111014.61,50-59
TEST,20201214,none,no_dose,1970-1979,L1,2,36199.21,4383.89,130763.98,40-49
TEST,20201214,none,no_dose,1940-1949,L1,0,0,0,91222.97,70-79
TEST,20201214,none,no_dose,1980-1989,L1,0,0,0,98707.93,30-39
TEST,20201214,none,no_dose,1990+,L1,0,0,0,49227.74,<30
TEST,20201214,none,no_dose,<1940,L1,0,0,0,99070.83,80+
TEST,20201214,none,no_dose,1950-1959,L1,0,0,0,69415.93,60-69
TEST,20201221,none,no_dose,1960-1969,L1,0,0,0,57091.66,50-59
TEST,20201221,none,no_dose,1970-1979,L1,0,0,0,67066.36,40-49
TEST,20201221,none,no_dose,1940-1949,L1,0,0,0,91222.97,70-79
TEST,20201221,none,no_dose,1980-1989,L1,1,26817.18,678.95,149415.77,30-39
TEST,20201221,none,no_dose,1990+,L1,0,0,0,49227.74,<30
TEST,20201221,none,no_dose,<1940,L1,0,0,0,99216.73,80+
TEST,20201221,none,no_dose,1950-1959,L1,1,18895.5,478.39,105278.98,60-69
TEST,20201228,none,no_dose,1960-1969,L1,0,0,0,57359.01,50-59
TEST,20201228,none,no_dose,1970-1979,L1,0,0,0,67233.69,40-49
TEST,20201228,none,no_dose,1940-1949,L1,0,0,0,91470.69,70-79
TEST,20201228,none,no_dose,1980-1989,L1,0,0,0,99583.39,30-39
