datasource,week_since_vaccination,vx_manufacturer,dose,ageband,COVID,Numerator,IR,lb,ub
TEST,1,Pfizer,2,60-69,L1,0,0,0,137206.03
TEST,2,Pfizer,2,60-69,L1,0,0,0,166546.75
TEST,3,Pfizer,2,60-69,L1,0,0,0,170336.69
TEST,4,Pfizer,2,60-69,L1,0,0,0,171857.55
TEST,5,Pfizer,2,60-69,L1,0,0,0,208570.16
TEST,6,Pfizer,2,60-69,L1,0,0,0,291007.18
TEST,7,Pfizer,2,60-69,L1,0,0,0,374267.56
TEST,8,Pfizer,2,60-69,L1,0,0,0,518216.62
TEST,9,Pfizer,2,60-69,L1,0,0,0,561401.34
TEST,10,Pfizer,2,60-69,L1,0,0,0,570916.62
TEST,11,Pfizer,2,60-69,L1,0,0,0,596178.42
TEST,12,Pfizer,2,60-69,L1,0,0,0,601501.44
TEST,13,Pfizer,2,60-69,L1,0,0,0,601501.44
TEST,14,Pfizer,2,60-69,L1,0,0,0,601501.44
TEST,15,Pfizer,2,60-69,L1,0,0,0,604198.75
TEST,16,Pfizer,2,60-69,L1,0,0,0,654059.82
TEST,17,Pfizer,2,60-69,L1,0,0,0,787931.71
TEST,18,Pfizer,2,60-69,L1,0,0,0,1069335.89
TEST,19,Pfizer,2,60-69,L1,0,0,0,1132238
TEST,20,Pfizer,2,60-69,L1,0,0,0,1132238
TEST,21,Pfizer,2,60-69,L1,0,0,0,1334022.99
TEST,0,none,no_dose,30-39,L1,10,1342.3,643.68,2468.53
TEST,1,Moderna,1,30-39,L1,0,0,0,270012.67
TEST,0,none,no_dose,80+,L1,8,1195.13,515.97,2354.88
TEST,1,Pfizer,1,80+,L1,0,0,0,37478.81
TEST,2,Pfizer,1,80+,L1,0,0,0,37656.88
TEST,3,Pfizer,1,80+,L1,0,0,0,41610.97
TEST,1,Pfizer,2,80+,L1,0,0,0,43407.32
TEST,2,Pfizer,2,80+,L1,0,0,0,43449.31
TEST,3,Pfizer,2,80+,L1,0,0,0,43491.39
TEST,4,Pfizer,2,80+,L1,0,0,0,43547.62
TEST,5,Pfizer,2,80+,L1,0,0,0,43533.55
TEST,6,Pfizer,2,80+,L1,0,0,0,43759.77
TEST,7,Pfizer,2,80+,L1,0,0,0,44703.49
TEST,8,Pfizer,2,80+,L1,0,0,0,47728.06
TEST,9,Pfizer,2,80+,L1,0,0,0,57407.89
TEST,10,Pfizer,2,80+,L1,0,0,0,77124.4
TEST,11,Pfizer,2,80+,L1,0,0,0,107961.8
TEST,12,Pfizer,2,80+,L1,0,0,0,137486.04
TEST,13,Pfizer,2,80+,L1,0,0,0,176125.91
TEST,14,Pfizer,2,80+,L1,0,0,0,382773.64
TEST,15,Pfizer,2,80+,L1,0,0,0,1113523.32
TEST,16,Pfizer,2,80+,L1,0,0,0,1924804.6
TEST,17,Pfizer,2,80+,L1,0,0,0,2138671.78
TEST,18,Pfizer,2,80+,L1,0,0,0,2138671.78
TEST,19,Pfizer,2,80+,L1,0,0,0,2138671.78
TEST,20,Pfizer,2,80+,L1,0,0,0,2138671.78
TEST,21,Pfizer,2,80+,L1,0,0,0,2245605.37
TEST,2,Moderna,1,30-39,L1,0,0,0,339386.2
TEST,4,Pfizer,1,80+,L1,0,0,0,162921.79
TEST,1,Pfizer,1,25-29,L1,0,0,0,357390.77
TEST,1,Moderna,1,40-49,L1,0,0,0,380611.08
TEST,2,Moderna,1,40-49,L1,0,0,0,409532.89
TEST,3,Moderna,1,40-49,L1,0,0,0,463011.42
TEST,4,Moderna,1,40-49,L1,0,0,0,811664.59
TEST,1,AstraZeneca,1,30-39,L1,0,0,0,677066.95
TEST,2,AstraZeneca,1,30-39,L1,0,0,0,698115.66
TEST,3,AstraZeneca,1,30-39,L1,0,0,0,712890.59
TEST,4,AstraZeneca,1,30-39,L1,0,0,0,712890.59
TEST,5,AstraZeneca,1,30-39,L1,0,0,0,748535.12
TEST,4,Pfizer,1,70-79,L1,0,0,0,191659.06
TEST,5,Pfizer,1,70-79,L1,0,0,0,280117.09
TEST,6,Pfizer,1,70-79,L1,0,0,0,449121.07
TEST,0,none,no_dose,5-11,L1,1,334.11,8.46,1861.53
TEST,1,Pfizer,2,70-79,L1,0,0,0,88759.11
TEST,2,Pfizer,2,70-79,L1,0,0,0,92538.68
TEST,3,Pfizer,2,70-79,L1,0,0,0,92857.56
TEST,4,Pfizer,2,70-79,L1,0,0,0,93372.36
TEST,5,Pfizer,2,70-79,L1,0,0,0,102227.86
TEST,6,Pfizer,2,70-79,L1,0,0,0,123046.87
TEST,7,Pfizer,2,70-79,L1,0,0,0,141977.16
TEST,8,Pfizer,2,70-79,L1,0,0,0,264707.9
TEST,9,Pfizer,2,70-79,L1,0,0,0,484663.03
TEST,1,Moderna,1,18-24,L1,0,0,0,769921.84
TEST,2,Moderna,1,18-24,L1,0,0,0,929216.01
TEST,1,AstraZeneca,1,60-69,L1,0,0,0,123384.91
TEST,2,AstraZeneca,1,60-69,L1,0,0,0,123611.3
TEST,3,AstraZeneca,1,60-69,L1,0,0,0,124180.94
TEST,4,AstraZeneca,1,60-69,L1,0,0,0,124640.45
TEST,5,AstraZeneca,1,60-69,L1,0,0,0,130432.06
TEST,6,AstraZeneca,1,60-69,L1,0,0,0,140643.34
TEST,7,AstraZeneca,1,60-69,L1,0,0,0,169054.36
TEST,0,none,no_dose,12-17,L1,6,1761.88,646.58,3834.88
TEST,1,Moderna,1,70-79,L1,0,0,0,401000.96
TEST,2,Moderna,1,70-79,L1,0,0,0,401000.96
TEST,3,Moderna,1,70-79,L1,0,0,0,401000.96
TEST,4,Moderna,1,70-79,L1,0,0,0,429096.57
TEST,5,Moderna,1,70-79,L1,0,0,0,1334022.99
TEST,6,Moderna,1,70-79,L1,0,0,0,2138671.78
TEST,7,Moderna,1,70-79,L1,0,0,0,2406005.75
TEST,8,Moderna,1,70-79,L1,0,0,0,3545692.69
TEST,1,UKN,1,50-59,L1,0,0,0,409532.89
TEST,2,UKN,1,50-59,L1,0,0,0,409532.89
TEST,3,UKN,1,50-59,L1,0,0,0,453657.65
TEST,4,UKN,1,50-59,L1,0,0,0,606920.37
TEST,5,UKN,1,50-59,L1,0,0,0,1448777.66
TEST,5,Pfizer,1,60-69,L1,0,0,0,118501.6
TEST,6,Pfizer,1,60-69,L1,0,0,0,254219.48
TEST,2,AstraZeneca,2,70-79,L1,0,0,0,384960.92
TEST,2,Pfizer,2,50-59,L1,1,68785.31,1741.49,383247.22
TEST,3,Pfizer,2,50-59,L1,0,0,0,260108.73
TEST,4,Pfizer,2,50-59,L1,0,0,0,260611.84
TEST,5,Pfizer,2,50-59,L1,0,0,0,296123.78
TEST,6,Pfizer,2,50-59,L1,0,0,0,330236.08
TEST,13,AstraZeneca,1,70-79,L1,0,0,0,942212.04
TEST,1,Moderna,1,60-69,L1,0,0,0,287284.27
TEST,2,Moderna,1,60-69,L1,0,0,0,287284.27
TEST,3,Moderna,1,60-69,L1,0,0,0,289133.74
TEST,4,Moderna,1,60-69,L1,0,0,0,312613.28
TEST,5,Moderna,1,60-69,L1,0,0,0,787931.71
TEST,1,Moderna,2,60-69,L1,0,0,0,373230.81
TEST,2,Moderna,2,60-69,L1,0,0,0,423699.13
TEST,3,Moderna,2,60-69,L1,0,0,0,426380.77
TEST,4,Moderna,2,60-69,L1,0,0,0,474423.67
TEST,5,Moderna,2,60-69,L1,0,0,0,554470.46
TEST,6,Moderna,2,60-69,L1,0,0,0,612437.83
TEST,7,Moderna,2,60-69,L1,0,0,0,647770.78
TEST,8,Moderna,2,60-69,L1,0,0,0,863694.37
TEST,9,Moderna,2,60-69,L1,0,0,0,1028521.54
TEST,10,Moderna,2,60-69,L1,0,0,0,1924804.6
TEST,5,Pfizer,1,80+,L1,0,0,0,271099.24
TEST,6,Pfizer,1,80+,L1,0,0,0,276099.02
TEST,7,Pfizer,1,80+,L1,0,0,0,298089.21
TEST,8,Pfizer,1,80+,L1,0,0,0,314070.68
TEST,9,Pfizer,1,80+,L1,0,0,0,340243.24
TEST,10,Pfizer,1,80+,L1,0,0,0,386063.96
TEST,11,Pfizer,1,80+,L1,0,0,0,474423.67
TEST,1,Pfizer,1,18-24,L1,0,0,0,253740.72
TEST,2,Pfizer,1,18-24,L1,0,0,0,397452.28
TEST,3,Pfizer,1,18-24,L1,0,0,0,635548.69
TEST,8,AstraZeneca,1,60-69,L1,0,0,0,286673.03
TEST,9,AstraZeneca,1,60-69,L1,0,0,0,347258.56
TEST,10,AstraZeneca,1,60-69,L1,0,0,0,399811.04
TEST,11,AstraZeneca,1,60-69,L1,0,0,0,452135.31
TEST,12,AstraZeneca,1,60-69,L1,0,0,0,604198.75
TEST,1,AstraZeneca,2,60-69,L1,0,0,0,1028521.54
TEST,3,Moderna,1,30-39,L1,0,0,0,541109.73
TEST,4,Moderna,1,30-39,L1,0,0,0,1347363.22
TEST,1,Moderna,2,30-39,L1,0,0,0,2406005.75
TEST,2,Moderna,2,30-39,L1,0,0,0,2406005.75
TEST,3,Moderna,2,30-39,L1,0,0,0,2406005.75
TEST,4,Moderna,2,30-39,L1,0,0,0,2994140.49
TEST,1,Pfizer,1,30-39,L1,0,0,0,116857.17
TEST,2,Pfizer,1,30-39,L1,0,0,0,140790.31
TEST,3,Pfizer,1,30-39,L1,0,0,0,213190.38
TEST,1,Pfizer,2,30-39,L1,0,0,0,500878.52
TEST,2,Pfizer,2,30-39,L1,0,0,0,559071.88
TEST,3,Pfizer,2,30-39,L1,0,0,0,583274.12
TEST,4,Pfizer,2,30-39,L1,0,0,0,604198.75
TEST,5,Pfizer,2,30-39,L1,0,0,0,629608.98
TEST,6,Pfizer,2,30-39,L1,0,0,0,654059.82
TEST,7,Pfizer,2,30-39,L1,0,0,0,724388.83
TEST,8,Pfizer,2,30-39,L1,0,0,0,783350.71
TEST,9,Pfizer,2,30-39,L1,0,0,0,836871.57
TEST,10,Pfizer,2,30-39,L1,0,0,0,831705.69
TEST,11,Pfizer,2,30-39,L1,0,0,0,874911.18
TEST,12,Pfizer,2,30-39,L1,0,0,0,874911.18
TEST,13,Pfizer,2,30-39,L1,0,0,0,874911.18
TEST,14,Pfizer,2,30-39,L1,0,0,0,935668.9
TEST,15,Pfizer,2,30-39,L1,0,0,0,969326.06
TEST,16,Pfizer,2,30-39,L1,0,0,0,1036433.25
TEST,17,Pfizer,2,30-39,L1,0,0,0,1643125.88
TEST,18,Pfizer,2,30-39,L1,0,0,0,1924804.6
TEST,19,Pfizer,2,30-39,L1,0,0,0,1924804.6
TEST,20,Pfizer,2,30-39,L1,0,0,0,1952700.32
TEST,21,Pfizer,2,30-39,L1,0,0,0,2173166.48
TEST,22,Pfizer,2,30-39,L1,0,0,0,4210510.06
TEST,1,Moderna,1,25-29,L1,0,0,0,1749822.36
TEST,2,Moderna,1,25-29,L1,0,0,0,1845703.04
TEST,7,Pfizer,2,50-59,L1,0,0,0,357390.77
TEST,8,Pfizer,2,50-59,L1,0,0,0,384960.92
TEST,9,Pfizer,2,50-59,L1,0,0,0,392817.27
TEST,10,Pfizer,2,50-59,L1,0,0,0,401000.96
TEST,11,Pfizer,2,50-59,L1,0,0,0,404613.58
TEST,12,Pfizer,2,50-59,L1,0,0,0,409532.89
TEST,13,Pfizer,2,50-59,L1,0,0,0,413301.6
TEST,14,Pfizer,2,50-59,L1,0,0,0,427734.36
TEST,15,Pfizer,2,50-59,L1,0,0,0,443211.59
TEST,16,Pfizer,2,50-59,L1,0,0,0,500878.52
TEST,17,Pfizer,2,50-59,L1,0,0,0,709138.54
TEST,18,Pfizer,2,50-59,L1,0,0,0,942212.04
TEST,19,Pfizer,2,50-59,L1,0,0,0,1069335.89
TEST,20,Pfizer,2,50-59,L1,0,0,0,1069335.89
TEST,21,Pfizer,2,50-59,L1,0,0,0,1213840.74
TEST,1,AstraZeneca,1,50-59,L1,0,0,0,209217.89
TEST,2,AstraZeneca,1,50-59,L1,0,0,0,210525.5
TEST,3,AstraZeneca,1,50-59,L1,0,0,0,211516.99
TEST,4,AstraZeneca,1,50-59,L1,0,0,0,211516.99
TEST,5,AstraZeneca,1,50-59,L1,0,0,0,232705.22
TEST,6,AstraZeneca,1,50-59,L1,0,0,0,271645.81
TEST,7,AstraZeneca,1,50-59,L1,0,0,0,300750.72
TEST,8,AstraZeneca,1,50-59,L1,0,0,0,326238.07
TEST,9,AstraZeneca,1,50-59,L1,0,0,0,325450.05
TEST,10,AstraZeneca,1,50-59,L1,0,0,0,333505.75
TEST,11,AstraZeneca,1,50-59,L1,0,0,0,337685.02
TEST,12,AstraZeneca,1,50-59,L1,0,0,0,368132.03
TEST,1,AstraZeneca,2,50-59,L1,0,0,0,427734.36
TEST,2,AstraZeneca,2,50-59,L1,0,0,0,427734.36
TEST,3,AstraZeneca,2,50-59,L1,0,0,0,427734.36
TEST,4,AstraZeneca,2,50-59,L1,0,0,0,461425.76
TEST,5,AstraZeneca,2,50-59,L1,0,0,0,598828.1
TEST,6,AstraZeneca,2,50-59,L1,0,0,0,1259217.96
TEST,6,Moderna,1,60-69,L1,0,0,0,1036433.25
TEST,12,Pfizer,1,80+,L1,0,0,0,590948.78
TEST,13,AstraZeneca,1,50-59,L1,0,0,0,1513891.26
TEST,14,AstraZeneca,1,50-59,L1,0,0,0,2749720.86
TEST,15,AstraZeneca,1,50-59,L1,0,0,0,2749720.86
TEST,16,AstraZeneca,1,50-59,L1,0,0,0,2749720.86
TEST,17,AstraZeneca,1,50-59,L1,0,0,0,3742675.61
TEST,3,Moderna,1,18-24,L1,0,0,0,1566701.42
TEST,4,Moderna,1,18-24,L1,0,0,0,1845703.04
TEST,5,Moderna,1,18-24,L1,0,0,0,7091385.37
TEST,6,Moderna,1,18-24,L1,0,0,0,19248046.01
TEST,7,Moderna,1,18-24,L1,0,0,0,19248046.01
TEST,8,Moderna,1,18-24,L1,0,0,0,44912107.35
TEST,4,Pfizer,1,30-39,L1,0,0,0,436039.88
TEST,5,Pfizer,1,30-39,L1,0,0,0,948847.34
TEST,22,Pfizer,2,50-59,L1,0,0,0,2138671.78
TEST,3,AstraZeneca,2,70-79,L1,0,0,0,2994140.49
TEST,1,UKN,1,70-79,L1,0,0,0,1480618.92
TEST,2,UKN,1,70-79,L1,0,0,0,1566701.42
TEST,3,UKN,1,70-79,L1,0,0,0,1604003.83
TEST,4,UKN,1,70-79,L1,0,0,0,1684204.03
TEST,7,Pfizer,1,60-69,L1,0,0,0,1897694.68
TEST,1,AstraZeneca,1,40-49,L1,0,0,0,260108.73
TEST,2,AstraZeneca,1,40-49,L1,0,0,0,260108.73
TEST,3,AstraZeneca,1,40-49,L1,0,0,0,259607.56
TEST,4,AstraZeneca,1,40-49,L1,0,0,0,263156.88
TEST,5,AstraZeneca,1,40-49,L1,0,0,0,272745.59
TEST,6,AstraZeneca,1,40-49,L1,0,0,0,283059.5
TEST,7,AstraZeneca,1,40-49,L1,0,0,0,292269.68
TEST,8,AstraZeneca,1,40-49,L1,0,0,0,304145.2
TEST,9,AstraZeneca,1,40-49,L1,0,0,0,308321.1
TEST,10,AstraZeneca,1,40-49,L1,0,0,0,310452.35
TEST,11,AstraZeneca,1,40-49,L1,0,0,0,315541.74
TEST,12,AstraZeneca,1,40-49,L1,0,0,0,340243.24
TEST,1,AstraZeneca,2,40-49,L1,0,0,0,433235.76
TEST,2,AstraZeneca,2,40-49,L1,0,0,0,437455.59
TEST,3,AstraZeneca,2,40-49,L1,0,0,0,443211.59
TEST,4,AstraZeneca,2,40-49,L1,0,0,0,464608.01
TEST,5,AstraZeneca,2,40-49,L1,0,0,0,493539.64
TEST,6,AstraZeneca,2,40-49,L1,0,0,0,612437.83
TEST,1,Moderna,1,50-59,L1,0,0,0,196408.63
TEST,2,Moderna,1,50-59,L1,0,0,0,197850.69
TEST,3,Moderna,1,50-59,L1,0,0,0,200500.48
TEST,4,Moderna,1,50-59,L1,0,0,0,212517.86
TEST,5,Moderna,1,50-59,L1,0,0,0,389411.34
TEST,6,Moderna,1,50-59,L1,0,0,0,842102.01
TEST,7,Moderna,1,50-59,L1,0,0,0,4346332.97
TEST,8,Moderna,1,50-59,L1,0,0,0,4812011.5
TEST,9,Moderna,1,50-59,L1,0,0,0,4812011.5
TEST,10,Moderna,1,50-59,L1,0,0,0,5858100.96
TEST,11,Moderna,1,50-59,L1,0,0,0,8421020.13
TEST,12,Moderna,1,50-59,L1,0,0,0,9624023
TEST,13,Moderna,1,50-59,L1,0,0,0,13473632.21
TEST,14,Moderna,1,50-59,L1,0,0,0,19248046.01
TEST,15,Moderna,1,50-59,L1,0,0,0,22456053.68
TEST,1,UKN,1,60-69,L1,0,0,0,449121.07
TEST,2,UKN,1,60-69,L1,0,0,0,477788.38
TEST,3,UKN,1,60-69,L1,0,0,0,575796.25
TEST,4,UKN,1,60-69,L1,0,0,0,769921.84
TEST,5,UKN,1,60-69,L1,0,0,0,898242.15
TEST,2,AstraZeneca,2,60-69,L1,0,0,0,1643125.88
TEST,3,AstraZeneca,2,60-69,L1,0,0,0,1871337.81
TEST,4,AstraZeneca,2,60-69,L1,0,0,0,3368408.05
TEST,2,Pfizer,1,25-29,L1,0,0,0,518216.62
TEST,3,Pfizer,1,25-29,L1,0,0,0,787931.71
TEST,4,Pfizer,1,25-29,L1,0,0,0,1684204.03
TEST,5,Pfizer,1,25-29,L1,0,0,0,2807006.71
TEST,6,Pfizer,1,25-29,L1,1,1043571.43,26420.94,5814407.85
TEST,7,Pfizer,1,25-29,L1,0,0,0,10364332.47
TEST,8,Pfizer,1,25-29,L1,0,0,0,19248046.01
TEST,9,Pfizer,1,25-29,L1,0,0,0,19248046.01
TEST,10,Pfizer,1,25-29,L1,0,0,0,19248046.01
TEST,11,Pfizer,1,25-29,L1,0,0,0,19248046.01
TEST,12,Pfizer,1,25-29,L1,0,0,0,19248046.01
TEST,13,Pfizer,1,25-29,L1,0,0,0,19248046.01
TEST,14,Pfizer,1,25-29,L1,0,0,0,19248046.01
TEST,15,Pfizer,1,25-29,L1,0,0,0,19248046.01
TEST,16,Pfizer,1,25-29,L1,0,0,0,19248046.01
TEST,17,Pfizer,1,25-29,L1,0,0,0,19248046.01
TEST,18,Pfizer,1,25-29,L1,0,0,0,26947264.41
TEST,1,Pfizer,1,12-17,L1,0,0,0,441758.43
TEST,2,Pfizer,1,12-17,L1,0,0,0,641601.53
TEST,3,Pfizer,1,12-17,L1,0,0,0,1086583.24
TEST,6,UKN,1,60-69,L1,0,0,0,1005494.94
TEST,1,Moderna,2,50-59,L1,0,0,0,585810.1
TEST,2,Moderna,2,50-59,L1,0,0,0,604198.75
TEST,3,Moderna,2,50-59,L1,0,0,0,618056.52
TEST,4,Moderna,2,50-59,L1,0,0,0,709138.54
TEST,5,Moderna,2,50-59,L1,0,0,0,892293.52
TEST,6,Moderna,2,50-59,L1,0,0,0,935668.9
TEST,7,Moderna,2,50-59,L1,0,0,0,955576.75
TEST,8,Moderna,2,50-59,L1,0,0,0,1104396.08
TEST,9,Moderna,2,50-59,L1,0,0,0,1334022.99
TEST,10,Moderna,2,50-59,L1,0,0,0,1924804.6
TEST,11,Moderna,2,50-59,L1,0,0,0,2323040.04
TEST,1,AstraZeneca,2,25-29,L1,0,0,0,1924804.6
TEST,2,AstraZeneca,2,25-29,L1,0,0,0,1924804.6
TEST,3,AstraZeneca,2,25-29,L1,0,0,0,1924804.6
TEST,4,AstraZeneca,2,25-29,L1,0,0,0,2041459.43
TEST,5,AstraZeneca,2,25-29,L1,0,0,0,2138671.78
TEST,6,AstraZeneca,2,25-29,L1,0,0,0,2363795.12
TEST,7,AstraZeneca,2,25-29,L1,0,0,0,3454777.49
TEST,1,Pfizer,2,18-24,L1,0,0,0,2138671.78
TEST,2,Pfizer,2,18-24,L1,0,0,0,2138671.78
TEST,3,Pfizer,2,18-24,L1,0,0,0,2406005.75
TEST,4,Pfizer,2,18-24,L1,0,0,0,2363795.12
TEST,3,Moderna,1,25-29,L1,0,0,0,2138671.78
TEST,4,Moderna,1,25-29,L1,0,0,0,2245605.37
TEST,5,Moderna,1,25-29,L1,0,0,0,22456053.68
TEST,1,Moderna,2,25-29,L1,0,0,0,2138671.78
TEST,2,Moderna,2,25-29,L1,0,0,0,2138671.78
TEST,3,Moderna,2,25-29,L1,0,0,0,2138671.78
TEST,4,Moderna,2,25-29,L1,0,0,0,2694726.44
TEST,5,Moderna,2,25-29,L1,0,0,0,4812011.5
TEST,6,Moderna,2,25-29,L1,0,0,0,4812011.5
TEST,7,Moderna,2,25-29,L1,0,0,0,4812011.5
TEST,8,Moderna,2,25-29,L1,0,0,0,5182166.23
TEST,9,Moderna,2,25-29,L1,0,0,0,6416015.34
TEST,10,Moderna,2,25-29,L1,0,0,0,10364332.47
TEST,7,Moderna,1,60-69,L1,0,0,0,3962833
TEST,1,Moderna,2,18-24,L1,0,0,0,1749822.36
TEST,2,Moderna,2,18-24,L1,0,0,0,1749822.36
TEST,3,Moderna,2,18-24,L1,0,0,0,1727388.74
TEST,4,Moderna,2,18-24,L1,0,0,0,2542194.76
TEST,5,Moderna,2,18-24,L1,0,0,0,4491210.74
TEST,6,AstraZeneca,1,30-39,L1,0,0,0,802001.92
TEST,7,AstraZeneca,1,30-39,L1,0,0,0,802001.92
TEST,8,AstraZeneca,1,30-39,L1,0,0,0,797256.34
TEST,9,AstraZeneca,1,30-39,L1,0,0,0,836871.57
TEST,10,AstraZeneca,1,30-39,L1,0,0,0,836871.57
TEST,11,AstraZeneca,1,30-39,L1,0,0,0,836871.57
TEST,12,AstraZeneca,1,30-39,L1,0,0,0,983476.8
TEST,13,AstraZeneca,1,30-39,L1,0,0,0,5182166.23
TEST,7,AstraZeneca,2,40-49,L1,0,0,0,1192356.83
TEST,8,AstraZeneca,2,40-49,L1,0,0,0,4812011.5
TEST,1,AstraZeneca,2,30-39,L1,0,0,0,1013055.05
TEST,2,AstraZeneca,2,30-39,L1,0,0,0,1013055.05
TEST,3,AstraZeneca,2,30-39,L1,0,0,0,1013055.05
TEST,4,AstraZeneca,2,30-39,L1,0,0,0,1069335.89
TEST,8,Pfizer,1,60-69,L1,0,0,0,3208007.67
TEST,9,Pfizer,1,60-69,L1,0,0,0,4491210.74
TEST,10,Pfizer,1,60-69,L1,0,0,0,4990234.15
TEST,1,Moderna,1,12-17,L1,0,0,0,6736816.1
TEST,2,Moderna,1,12-17,L1,0,0,0,26947264.41
TEST,7,Pfizer,1,70-79,L1,0,0,0,1060915.92
TEST,1,Moderna,2,70-79,L1,0,0,0,506527.53
TEST,2,Moderna,2,70-79,L1,0,0,0,506527.53
TEST,3,Moderna,2,70-79,L1,0,0,0,506527.53
TEST,4,Moderna,2,70-79,L1,0,0,0,526313.76
TEST,5,Moderna,2,70-79,L1,0,0,0,561401.34
