sex,ageband_at_1_jan_2021,type_vax_1,history_covid,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
1,70-79,Pfizer,0,2021,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,2113,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Moderna,0,2021,220,220,220,220,220,220,220,220,220,220,220,220,220,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,AstraZeneca,0,2021,3177,3177,3177,3177,3177,3177,3177,3177,3177,3177,3177,3177,3177,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,0,2021,3771,3771,3771,3771,3771,3771,3771,3771,3771,3771,3771,3771,3771,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Pfizer,0,2021,938,938,938,938,938,938,938,883,938,938,938,883,938,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,Pfizer,0,2021,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,Moderna,0,2021,131,131,131,131,131,131,131,131,131,131,131,131,131,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,Pfizer,0,2021,7414,7414,7414,7414,7400,7414,7400,7414,7414,7414,7414,7414,7414,0,0,0,< 5,0,< 5,0,0,0,0,0,0
1,50-59,AstraZeneca,0,2021,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,AstraZeneca,0,2021,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,J&J,0,2021,213,213,213,213,213,213,213,213,213,213,213,213,213,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Moderna,0,2021,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,Pfizer,0,2021,376,376,376,376,376,376,376,376,376,376,376,376,376,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,J&J,0,2021,182,182,182,182,182,182,182,182,182,182,182,182,182,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Moderna,0,2021,805,805,805,805,805,805,805,805,805,805,805,805,805,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,Pfizer,0,2021,58,58,58,58,58,58,58,58,58,58,58,58,58,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Pfizer,1,2021,174,174,174,174,174,174,174,174,174,174,174,174,174,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,AstraZeneca,0,2021,834,834,834,834,834,834,834,834,834,834,834,834,834,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,Moderna,0,2021,843,843,843,843,843,843,843,819,843,843,843,819,843,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,Pfizer,0,2021,69,69,69,69,69,69,69,69,69,69,69,69,69,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Pfizer,1,2021,144,144,144,144,144,144,144,144,144,144,144,144,144,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Pfizer,0,2021,823,823,823,823,823,823,823,823,823,823,823,823,823,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Moderna,0,2021,594,594,594,594,594,594,594,594,594,594,594,594,594,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,Moderna,0,2021,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,AstraZeneca,0,2021,68,68,68,68,68,68,68,68,68,68,68,68,68,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,J&J,0,2021,109,109,109,109,109,109,109,109,109,109,109,109,109,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,AstraZeneca,1,2021,86,86,86,86,86,86,86,86,86,86,86,86,86,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,1,2021,69,69,69,69,69,69,69,69,69,69,69,69,69,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,Pfizer,1,2021,37,37,37,37,37,37,37,37,37,37,37,37,37,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,Pfizer,1,2021,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,AstraZeneca,1,2021,111,111,111,111,111,111,111,111,111,111,111,111,111,0,0,0,0,0,0,0,0,0,0,0,0
