type_of_metadata;tablename;columnname;other;values
presence_of_column;EUROCAT;residmo;;No
presence_of_column;EUROCAT;totpreg;EUROmediCAT;No
presence_of_column;EUROCAT;condisc;;No
presence_of_column;EUROCAT;firstpre;;No
presence_of_column;EUROCAT;sp_firstpre;;No
presence_of_column;EUROCAT;karyo;EUROmediCAT;No
presence_of_column;EUROCAT;sp_karyo;EUROmediCAT;No
presence_of_column;EUROCAT;gentest;EUROmediCAT;No
presence_of_column;EUROCAT;sp_gentest;EUROmediCAT;No
presence_of_column;EUROCAT;pm;EUROmediCAT;No
presence_of_column;EUROCAT;presyn;;No
presence_of_column;EUROCAT;premal1;;No
presence_of_column;EUROCAT;premal2;;No
presence_of_column;EUROCAT;premal3;;No
presence_of_column;EUROCAT;premal4;;No
presence_of_column;EUROCAT;premal5;;No
presence_of_column;EUROCAT;premal6;;No
presence_of_column;EUROCAT;premal7;;No
presence_of_column;EUROCAT;premal8;;No
presence_of_column;EUROCAT;omim;EUROmediCAT;No
presence_of_column;EUROCAT;orpha;;No
presence_of_column;EUROCAT;assconcept;;No
presence_of_column;EUROCAT;occupmo;;No
presence_of_column;EUROCAT;illbef1;EUROmediCAT;No
presence_of_column;EUROCAT;illbef2;EUROmediCAT;No
presence_of_column;EUROCAT;matdiab;;No
presence_of_column;EUROCAT;hba1c;EUROmediCAT;No
presence_of_column;EUROCAT;illdur1;EUROmediCAT;No
presence_of_column;EUROCAT;illdur2;EUROmediCAT;No
presence_of_column;EUROCAT;folic_g14;EUROmediCAT;No
presence_of_column;EUROCAT;firsttri;EUROmediCAT;No
presence_of_column;EUROCAT;drugs1;EUROmediCAT;No
presence_of_column;EUROCAT;sp_drugs1;EUROmediCAT;No
presence_of_column;EUROCAT;drugs2;EUROmediCAT;No
presence_of_column;EUROCAT;sp_drugs2;EUROmediCAT;No
presence_of_column;EUROCAT;drugs3;EUROmediCAT;No
presence_of_column;EUROCAT;sp_drugs3;EUROmediCAT;No
presence_of_column;EUROCAT;drugs4;EUROmediCAT;No
presence_of_column;EUROCAT;sp_drugs4;EUROmediCAT;No
presence_of_column;EUROCAT;drugs5;EUROmediCAT;No
presence_of_column;EUROCAT;sp_drugs5;EUROmediCAT;No
presence_of_column;EUROCAT;extra_drugs;EUROmediCAT;No
presence_of_column;EUROCAT;consang;;No
presence_of_column;EUROCAT;sp_consang;;No
presence_of_column;EUROCAT;sibanom;EUROmediCAT;No
presence_of_column;EUROCAT;sp_sibanom;EUROmediCAT;No
presence_of_column;EUROCAT;prevsib;EUROmediCAT;No
presence_of_column;EUROCAT;sib1;EUROmediCAT;No
presence_of_column;EUROCAT;sib2;EUROmediCAT;No
presence_of_column;EUROCAT;sib3;EUROmediCAT;No
presence_of_column;EUROCAT;moanom;EUROmediCAT;No
presence_of_column;EUROCAT;sp_moanom;EUROmediCAT;No
presence_of_column;EUROCAT;faanom;EUROmediCAT;No
presence_of_column;EUROCAT;sp_faanom;EUROmediCAT;No
presence_of_column;EUROCAT;matedu;EUROmediCAT;No
presence_of_column;EUROCAT;socm;EUROmediCAT;No
presence_of_column;EUROCAT;socf;EUROmediCAT;No
presence_of_column;EUROCAT;migrant;EUROmediCAT;No
presence_of_column;EUROCAT;genrem;EUROmediCAT;No
presence_of_column;EUROCAT;person_id_child;EUROmediCAT;No
presence_of_column;EUROCAT;person_id_mother;EUROmediCAT;No
presence_of_column;EUROCAT;survey_id;EUROmediCAT;No
list_of_values;VISIT_OCCURRENCE;specialty_of_visit_vocabulary;;SDO.REPDIM SPA.SPECIALI
list_of_values;VISIT_OCCURRENCE;status_at_discharge_vocabulary;;SDO.MODIM
list_of_values;VISIT_OCCURRENCE;meaning_of_visit;;hospitalisation_not_overnight hospitalisation oupatient_specialist_visit pathology_report
list_of_values;EVENTS;event_record_vocabulary;;ICD9 free_text_italian ICD10
list_of_values;EVENTS;present_on_admission;;hospitalisation_primary hospitalisation_secondary exemption emergency_room_diagnosis emergency_room_presentation
list_of_values;EVENTS;meaning_of_event;;SDO SALM SEA PS
list_of_values;PROCEDURES;procedure_code_vocabulary;;ICD9PROC ITA_procedures_coding_system
list_of_values;PROCEDURES;meaning_of_procedure;;procedure_during_hospitalisation italian_outpatient
list_of_values;MEDICAL_OBSERVATIONS;mo_record_vocabulary;;SNOMED3
list_of_values;MEDICAL_OBSERVATIONS;mo_source_table;;SDO AP SALM
list_of_values;MEDICAL_OBSERVATIONS;mo_unit;;mg/dL
list_of_values;MEDICAL_OBSERVATIONS;mo_meaning;;AP
list_of_values;SURVEY_ID;survey_meaning;;birth_registry_child birth_registry_mother spontaneous_abortion_registry death_registry induced_termination_registry
list_of_values;SURVEY_OBSERVATIONS;so_source_table;;CAP1 CAP2 IVG RMR ABS
list_of_values;SURVEY_OBSERVATIONS;so_unit;;g kg cm
list_of_values;SURVEY_OBSERVATIONS;so_meaning;;CAP1 CAP2 IVG RMR ABS
list_of_values;PERSONS;sex_at_instance_creation;;M F
list_of_values;PERSONS;quality;;reliable
list_of_values;OBSERVATION_PERIODS;op_meaning;;healthcare_office
list_of_values;PERSON_RELATIONSHIPS;meaning_of_relationship;;birth_registry
list_of_values;PERSON_RELATIONSHIPS;method_of_linkage;;deterministic
list_of_values;CDM_SOURCE;data_access_provider_code;;22
list_of_values;CDM_SOURCE;data_access_provider_name;;ARS
list_of_values;CDM_SOURCE;data_source_name;;ARS
list_of_values;CDM_SOURCE;cdm_vocabulary_version;;v2.2
list_of_values;CDM_SOURCE;cdm_version;;v2.2
list_of_values;INSTANCE;source_table_name;;SDO AP SDOTEMP IVG PS SPA SPF FED FEDTEMP SEA SALM CAP1 CAP2 ABS RMR VCN COD_FARMACI_SPF ARS_ANAG_MED_RES_storico
list_of_values;INSTANCE;included_in_instance;;yes no
list_of_values;INSTANCE;restriction_in_values;;yes no
list_of_values;VACCINES;meaning_of_vx_record;;administration_of_vaccine_unspecified
list_of_values;VACCINES;vx_dose;;1 2 4 5 3 6 7 9 10 8
list_of_values;MEDICINES;meaning_of_drug_record;;dispensing_in_community_pharmacy dispensing_in_hospital_pharmacy_unspecified
