datasource,week_since_vaccination,vx_manufacturer,dose,ageband,COVID,Numerator,IR,lb,ub
TEST,12,Pfizer,2,80+,L1,0,0,0,376358.44
TEST,0,none,no_dose,60-69,L1,3,851.9,175.68,2489.62
TEST,1,Pfizer,1,60-69,L1,0,0,0,126751.01
TEST,2,Pfizer,1,60-69,L1,0,0,0,127470.5
TEST,3,Pfizer,1,60-69,L1,0,0,0,137345.89
TEST,1,Pfizer,2,60-69,L1,0,0,0,358341.28
TEST,2,Pfizer,2,60-69,L1,0,0,0,422370.92
TEST,3,Pfizer,2,60-69,L1,0,0,0,427734.36
TEST,4,Pfizer,2,60-69,L1,0,0,0,427734.36
TEST,5,Pfizer,2,60-69,L1,0,0,0,504630.42
TEST,0,none,no_dose,5-11,L1,1,1025.38,25.96,5713.04
TEST,1,Pfizer,2,40-49,L1,0,0,0,831705.69
TEST,2,Pfizer,2,40-49,L1,0,0,0,983476.8
TEST,3,Pfizer,2,40-49,L1,0,0,0,1013055.05
TEST,4,Pfizer,2,40-49,L1,0,0,0,1013055.05
TEST,5,Pfizer,2,40-49,L1,0,0,0,1013055.05
TEST,6,Pfizer,2,40-49,L1,0,0,0,1044467.61
TEST,7,Pfizer,2,40-49,L1,0,0,0,1069335.89
TEST,8,Pfizer,2,40-49,L1,0,0,0,1104396.08
TEST,9,Pfizer,2,40-49,L1,0,0,0,1132238
TEST,10,Pfizer,2,40-49,L1,0,0,0,1132238
TEST,11,Pfizer,2,40-49,L1,0,0,0,1132238
TEST,12,Pfizer,2,40-49,L1,0,0,0,1151592.5
TEST,13,Pfizer,2,40-49,L1,0,0,0,1283203.07
TEST,14,Pfizer,2,40-49,L1,0,0,0,1283203.07
TEST,15,Pfizer,2,40-49,L1,0,0,0,1283203.07
TEST,16,Pfizer,2,40-49,L1,0,0,0,1448777.66
TEST,17,Pfizer,2,40-49,L1,0,0,0,1924804.6
TEST,18,Pfizer,2,40-49,L1,0,0,0,1924804.6
TEST,19,Pfizer,2,40-49,L1,0,0,0,1924804.6
TEST,20,Pfizer,2,40-49,L1,0,0,0,1981416.5
TEST,21,Pfizer,2,40-49,L1,0,0,0,2749720.86
TEST,1,AstraZeneca,1,70-79,L1,0,0,0,263671.86
TEST,2,AstraZeneca,1,70-79,L1,0,0,0,263671.86
TEST,3,AstraZeneca,1,70-79,L1,0,0,0,263671.86
TEST,4,AstraZeneca,1,70-79,L1,0,0,0,263671.86
TEST,5,AstraZeneca,1,70-79,L1,0,0,0,263671.86
TEST,6,AstraZeneca,1,70-79,L1,0,0,0,266277.32
TEST,7,AstraZeneca,1,70-79,L1,0,0,0,267333.97
TEST,8,AstraZeneca,1,70-79,L1,0,0,0,267333.97
TEST,9,AstraZeneca,1,70-79,L1,0,0,0,293543.19
TEST,10,AstraZeneca,1,70-79,L1,0,0,0,325450.05
TEST,11,AstraZeneca,1,70-79,L1,0,0,0,344594.17
TEST,12,AstraZeneca,1,70-79,L1,0,0,0,390540.06
TEST,1,AstraZeneca,2,70-79,L1,0,0,0,578267.48
TEST,2,AstraZeneca,2,70-79,L1,0,0,0,1295541.56
TEST,4,Pfizer,1,60-69,L1,0,0,0,232304
TEST,5,Pfizer,1,60-69,L1,0,0,0,333505.75
TEST,6,Pfizer,1,60-69,L1,0,0,0,774346.68
TEST,13,AstraZeneca,1,70-79,L1,0,0,0,3962833
TEST,1,Moderna,1,60-69,L1,0,0,0,534667.94
TEST,2,Moderna,1,60-69,L1,0,0,0,534667.94
TEST,3,Moderna,1,60-69,L1,0,0,0,541109.73
TEST,4,Moderna,1,60-69,L1,0,0,0,601501.44
TEST,5,Moderna,1,60-69,L1,0,0,0,1796484.29
TEST,1,Moderna,2,60-69,L1,0,0,0,687430.21
TEST,2,Moderna,2,60-69,L1,0,0,0,728304.44
TEST,3,Moderna,2,60-69,L1,0,0,0,736264.05
TEST,4,Moderna,2,60-69,L1,0,0,0,831705.69
TEST,5,Moderna,2,60-69,L1,0,0,0,1028521.54
TEST,6,Moderna,2,60-69,L1,0,0,0,1104396.08
TEST,7,Moderna,2,60-69,L1,0,0,0,1171620.19
TEST,8,Moderna,2,60-69,L1,0,0,0,1347363.22
TEST,9,Moderna,2,60-69,L1,0,0,0,1604003.83
TEST,10,Moderna,2,60-69,L1,0,0,0,3062189.14
TEST,2,Moderna,1,30-39,L1,0,0,0,1236113.05
TEST,3,Moderna,1,30-39,L1,0,0,0,2866730.26
TEST,4,Moderna,1,30-39,L1,0,0,0,6416015.34
TEST,1,Moderna,2,30-39,L1,0,0,0,6416015.34
TEST,2,Moderna,2,30-39,L1,0,0,0,6416015.34
TEST,3,Moderna,2,30-39,L1,0,0,0,6416015.34
TEST,4,Moderna,2,30-39,L1,0,0,0,7485351.23
TEST,1,Pfizer,1,30-39,L1,0,0,0,390540.06
TEST,2,Pfizer,1,30-39,L1,0,0,0,484663.03
TEST,3,Pfizer,1,30-39,L1,0,0,0,736264.05
TEST,0,none,no_dose,18-24,L1,0,0,0,3855.12
TEST,4,Pfizer,1,80+,L1,0,0,0,506527.53
TEST,5,Pfizer,1,80+,L1,0,0,0,802001.92
TEST,6,Pfizer,1,80+,L1,0,0,0,821562.94
TEST,7,Pfizer,1,80+,L1,0,0,0,886423.17
TEST,8,Pfizer,1,80+,L1,0,0,0,948847.34
TEST,9,Pfizer,1,80+,L1,0,0,0,1005494.94
TEST,1,Moderna,1,25-29,L1,0,0,0,4812011.5
TEST,2,Moderna,1,25-29,L1,0,0,0,5389452.88
TEST,0,none,no_dose,0-4,L1,0,0,0,8411.56
TEST,4,Pfizer,1,70-79,L1,0,0,0,601501.44
TEST,5,Pfizer,1,70-79,L1,0,0,0,1020729.71
TEST,1,AstraZeneca,1,50-59,L1,0,0,0,534667.94
TEST,2,AstraZeneca,1,50-59,L1,0,0,0,534667.94
TEST,3,AstraZeneca,1,50-59,L1,0,0,0,534667.94
TEST,4,AstraZeneca,1,50-59,L1,0,0,0,538945.29
TEST,5,AstraZeneca,1,50-59,L1,0,0,0,598828.1
TEST,6,AstraZeneca,1,50-59,L1,0,0,0,740309.46
TEST,7,AstraZeneca,1,50-59,L1,0,0,0,852761.53
TEST,8,AstraZeneca,1,50-59,L1,0,0,0,962402.3
TEST,9,AstraZeneca,1,50-59,L1,0,0,0,962402.3
TEST,10,AstraZeneca,1,50-59,L1,0,0,0,962402.3
TEST,11,AstraZeneca,1,50-59,L1,0,0,0,962402.3
TEST,12,AstraZeneca,1,50-59,L1,0,0,0,1052627.52
TEST,13,AstraZeneca,1,50-59,L1,0,0,0,3641522.22
TEST,14,AstraZeneca,1,50-59,L1,0,0,0,9624023
TEST,15,AstraZeneca,1,50-59,L1,0,0,0,9624023
TEST,16,AstraZeneca,1,50-59,L1,0,0,0,9624023
TEST,17,AstraZeneca,1,50-59,L1,0,0,0,13473632.21
TEST,1,Pfizer,2,50-59,L1,0,0,0,922851.52
TEST,2,Pfizer,2,50-59,L1,1,285351.56,7224.48,1589877.15
TEST,3,Pfizer,2,50-59,L1,0,0,0,1069335.89
TEST,4,Pfizer,2,50-59,L1,0,0,0,1069335.89
TEST,5,Pfizer,2,50-59,L1,0,0,0,1334022.99
TEST,6,Pfizer,2,50-59,L1,0,0,0,1643125.88
TEST,7,Pfizer,2,50-59,L1,0,0,0,1772846.34
TEST,8,Pfizer,2,50-59,L1,0,0,0,1924804.6
TEST,9,Pfizer,2,50-59,L1,0,0,0,1924804.6
TEST,10,Pfizer,2,50-59,L1,0,0,0,1924804.6
TEST,11,Pfizer,2,50-59,L1,0,0,0,1924804.6
TEST,12,Pfizer,2,50-59,L1,0,0,0,1924804.6
TEST,13,Pfizer,2,50-59,L1,0,0,0,1924804.6
TEST,14,Pfizer,2,50-59,L1,0,0,0,1924804.6
TEST,15,Pfizer,2,50-59,L1,0,0,0,1924804.6
TEST,16,Pfizer,2,50-59,L1,0,0,0,1924804.6
TEST,17,Pfizer,2,50-59,L1,0,0,0,2363795.12
TEST,18,Pfizer,2,50-59,L1,0,0,0,2807006.71
TEST,19,Pfizer,2,50-59,L1,0,0,0,3208007.67
TEST,20,Pfizer,2,50-59,L1,0,0,0,3208007.67
TEST,21,Pfizer,2,50-59,L1,0,0,0,4210510.06
TEST,22,Pfizer,2,50-59,L1,0,0,0,6416015.34
TEST,3,AstraZeneca,2,70-79,L1,0,0,0,12248756.55
TEST,1,J&J,1,70-79,L1,0,0,0,2749720.86
TEST,2,J&J,1,70-79,L1,0,0,0,2749720.86
TEST,3,J&J,1,70-79,L1,0,0,0,2749720.86
TEST,4,J&J,1,70-79,L1,0,0,0,2994140.49
TEST,7,Pfizer,1,60-69,L1,0,0,0,5182166.23
TEST,1,Moderna,1,50-59,L1,0,0,0,566119
TEST,2,Moderna,1,50-59,L1,0,0,0,566119
TEST,3,Moderna,1,50-59,L1,0,0,0,566119
TEST,4,Moderna,1,50-59,L1,0,0,0,612437.83
TEST,5,Moderna,1,50-59,L1,0,0,0,1052627.52
TEST,6,Moderna,1,50-59,L1,0,0,0,2010989.88
TEST,7,Moderna,1,50-59,L1,0,0,0,6416015.34
TEST,8,Moderna,1,50-59,L1,0,0,0,6416015.34
TEST,9,Moderna,1,50-59,L1,0,0,0,6416015.34
TEST,10,Moderna,1,50-59,L1,0,0,0,8421020.13
TEST,11,Moderna,1,50-59,L1,0,0,0,9624023
TEST,12,Moderna,1,50-59,L1,0,0,0,9624023
TEST,13,Moderna,1,50-59,L1,0,0,0,13473632.21
TEST,14,Moderna,1,50-59,L1,0,0,0,19248046.01
TEST,15,Moderna,1,50-59,L1,0,0,0,22456053.68
TEST,1,Pfizer,2,70-79,L1,0,0,0,278380.83
TEST,2,Pfizer,2,70-79,L1,0,0,0,287284.27
TEST,3,Pfizer,2,70-79,L1,0,0,0,287284.27
TEST,4,Pfizer,2,70-79,L1,0,0,0,286673.03
TEST,5,Pfizer,2,70-79,L1,0,0,0,320038.77
TEST,6,Pfizer,2,70-79,L1,0,0,0,415852.85
TEST,7,Pfizer,2,70-79,L1,0,0,0,477788.38
TEST,8,Pfizer,2,70-79,L1,0,0,0,886423.17
TEST,0,none,no_dose,12-17,L1,0,0,0,3703.28
TEST,13,Pfizer,2,80+,L1,0,0,0,495354.13
TEST,14,Pfizer,2,80+,L1,0,0,0,1247558.54
TEST,15,Pfizer,2,80+,L1,0,0,0,6124378.28
TEST,1,AstraZeneca,1,60-69,L1,0,0,0,310452.35
TEST,2,AstraZeneca,1,60-69,L1,0,0,0,310452.35
TEST,3,AstraZeneca,1,60-69,L1,0,0,0,310452.35
TEST,4,AstraZeneca,1,60-69,L1,0,0,0,309738.67
TEST,5,AstraZeneca,1,60-69,L1,0,0,0,329428.66
TEST,1,Pfizer,1,25-29,L1,0,0,0,1224875.66
TEST,2,Pfizer,1,25-29,L1,0,0,0,2010989.88
TEST,3,Pfizer,1,25-29,L1,0,0,0,2283666.48
TEST,4,Pfizer,1,25-29,L1,0,0,0,4210510.06
TEST,5,Pfizer,1,25-29,L1,0,0,0,4990234.15
TEST,6,Pfizer,1,25-29,L1,1,1922368.42,48670.15,10710751.31
TEST,7,Pfizer,1,25-29,L1,0,0,0,10364332.47
TEST,8,Pfizer,1,25-29,L1,0,0,0,19248046.01
TEST,9,Pfizer,1,25-29,L1,0,0,0,19248046.01
TEST,10,Pfizer,1,25-29,L1,0,0,0,19248046.01
TEST,11,Pfizer,1,25-29,L1,0,0,0,19248046.01
TEST,12,Pfizer,1,25-29,L1,0,0,0,19248046.01
TEST,13,Pfizer,1,25-29,L1,0,0,0,19248046.01
TEST,14,Pfizer,1,25-29,L1,0,0,0,19248046.01
TEST,15,Pfizer,1,25-29,L1,0,0,0,19248046.01
TEST,16,Pfizer,1,25-29,L1,0,0,0,19248046.01
TEST,17,Pfizer,1,25-29,L1,0,0,0,19248046.01
TEST,18,Pfizer,1,25-29,L1,0,0,0,26947264.41
TEST,6,Pfizer,2,60-69,L1,0,0,0,709138.54
TEST,7,Pfizer,2,60-69,L1,0,0,0,910380.55
TEST,8,Pfizer,2,60-69,L1,0,0,0,1389034.25
TEST,9,Pfizer,2,60-69,L1,0,0,0,1480618.92
TEST,10,Pfizer,2,60-69,L1,0,0,0,1513891.26
TEST,11,Pfizer,2,60-69,L1,0,0,0,1604003.83
TEST,12,Pfizer,2,60-69,L1,0,0,0,1604003.83
TEST,13,Pfizer,2,60-69,L1,0,0,0,1604003.83
TEST,14,Pfizer,2,60-69,L1,0,0,0,1604003.83
TEST,15,Pfizer,2,60-69,L1,0,0,0,1623329.18
TEST,16,Pfizer,2,60-69,L1,0,0,0,1845703.04
TEST,17,Pfizer,2,60-69,L1,0,0,0,1897694.68
TEST,18,Pfizer,2,60-69,L1,0,0,0,2406005.75
TEST,19,Pfizer,2,60-69,L1,0,0,0,2749720.86
TEST,20,Pfizer,2,60-69,L1,0,0,0,2749720.86
TEST,21,Pfizer,2,60-69,L1,0,0,0,4082918.85
TEST,1,J&J,1,50-59,L1,0,0,0,1924804.6
TEST,2,J&J,1,50-59,L1,0,0,0,1924804.6
TEST,3,J&J,1,50-59,L1,0,0,0,1924804.6
TEST,4,J&J,1,50-59,L1,0,0,0,2283666.48
TEST,1,J&J,1,60-69,L1,0,0,0,1604003.83
TEST,2,J&J,1,60-69,L1,0,0,0,1604003.83
TEST,3,J&J,1,60-69,L1,0,0,0,1871337.81
TEST,4,J&J,1,60-69,L1,0,0,0,2929050.48
TEST,5,J&J,1,60-69,L1,0,0,0,3208007.67
TEST,6,J&J,1,60-69,L1,0,0,0,3454777.49
TEST,6,AstraZeneca,1,60-69,L1,0,0,0,352712.88
TEST,7,AstraZeneca,1,60-69,L1,0,0,0,414573.3
TEST,8,AstraZeneca,1,60-69,L1,0,0,0,677066.95
TEST,9,AstraZeneca,1,60-69,L1,0,0,0,806804.32
TEST,10,AstraZeneca,1,60-69,L1,0,0,0,962402.3
TEST,11,AstraZeneca,1,60-69,L1,0,0,0,1052627.52
TEST,12,AstraZeneca,1,60-69,L1,0,0,0,1389034.25
TEST,3,Moderna,1,25-29,L1,0,0,0,6416015.34
TEST,4,Moderna,1,25-29,L1,0,0,0,6124378.28
TEST,5,Moderna,1,25-29,L1,0,0,0,44912107.35
TEST,1,Moderna,2,25-29,L1,0,0,0,6416015.34
TEST,2,Moderna,2,25-29,L1,0,0,0,6416015.34
TEST,3,Moderna,2,25-29,L1,0,0,0,6416015.34
TEST,4,Moderna,2,25-29,L1,0,0,0,8982421.47
TEST,5,Moderna,2,25-29,L1,0,0,0,19248046.01
TEST,6,Moderna,2,25-29,L1,0,0,0,19248046.01
TEST,7,Moderna,2,25-29,L1,0,0,0,19248046.01
TEST,8,Moderna,2,25-29,L1,0,0,0,19248046.01
TEST,9,Moderna,2,25-29,L1,0,0,0,19248046.01
TEST,10,Moderna,2,25-29,L1,0,0,0,16842040.26
TEST,1,Moderna,1,40-49,L1,0,0,0,1069335.89
TEST,2,Moderna,1,40-49,L1,0,0,0,1069335.89
TEST,3,Moderna,1,40-49,L1,0,0,0,1141833.24
TEST,4,Moderna,1,40-49,L1,0,0,0,1705523.06
TEST,1,Moderna,1,18-24,L1,0,0,0,2138671.78
TEST,2,Moderna,1,18-24,L1,0,0,0,2449751.31
TEST,3,Moderna,1,18-24,L1,0,0,0,4812011.5
TEST,4,Moderna,1,18-24,L1,0,0,0,6416015.34
TEST,1,Moderna,2,18-24,L1,0,0,0,4812011.5
TEST,2,Moderna,2,18-24,L1,0,0,0,4812011.5
TEST,3,Moderna,2,18-24,L1,0,0,0,4812011.5
TEST,4,Moderna,2,18-24,L1,0,0,0,7091385.37
TEST,5,Moderna,2,18-24,L1,0,0,0,67368161.03
TEST,1,AstraZeneca,2,60-69,L1,0,0,0,2749720.86
TEST,1,AstraZeneca,1,40-49,L1,0,0,0,874911.18
TEST,2,AstraZeneca,1,40-49,L1,0,0,0,874911.18
TEST,3,AstraZeneca,1,40-49,L1,0,0,0,874911.18
TEST,4,AstraZeneca,1,40-49,L1,0,0,0,874911.18
TEST,5,AstraZeneca,1,40-49,L1,0,0,0,935668.9
TEST,6,AstraZeneca,1,40-49,L1,0,0,0,1069335.89
TEST,7,AstraZeneca,1,40-49,L1,0,0,0,1161520.02
TEST,8,AstraZeneca,1,40-49,L1,0,0,0,1283203.07
TEST,9,AstraZeneca,1,40-49,L1,0,0,0,1283203.07
TEST,10,AstraZeneca,1,40-49,L1,0,0,0,1283203.07
TEST,11,AstraZeneca,1,40-49,L1,0,0,0,1283203.07
TEST,12,AstraZeneca,1,40-49,L1,0,0,0,1334022.99
TEST,1,AstraZeneca,2,40-49,L1,0,0,0,1845703.04
TEST,2,AstraZeneca,2,40-49,L1,0,0,0,2072866.49
TEST,3,AstraZeneca,2,40-49,L1,0,0,0,2138671.78
TEST,4,AstraZeneca,2,40-49,L1,0,0,0,2138671.78
TEST,5,AstraZeneca,2,40-49,L1,0,0,0,2173166.48
TEST,6,AstraZeneca,2,40-49,L1,0,0,0,2807006.71
TEST,7,AstraZeneca,2,40-49,L1,0,0,0,6416015.34
TEST,8,AstraZeneca,2,40-49,L1,0,0,0,33684080.52
TEST,8,Pfizer,1,60-69,L1,0,0,0,11228026.84
TEST,9,Pfizer,1,60-69,L1,0,0,0,19248046.01
TEST,10,Pfizer,1,60-69,L1,0,0,0,22456053.68
TEST,1,Pfizer,1,12-17,L1,0,0,0,1796484.29
TEST,2,Pfizer,1,12-17,L1,0,0,0,2041459.43
TEST,3,Pfizer,1,12-17,L1,0,0,0,5389452.88
TEST,1,AstraZeneca,1,30-39,L1,0,0,0,4346332.97
TEST,1,Moderna,1,70-79,L1,0,0,0,1203002.88
TEST,2,Moderna,1,70-79,L1,0,0,0,1236113.05
TEST,3,Moderna,1,70-79,L1,0,0,0,1283203.07
TEST,4,Moderna,1,70-79,L1,0,0,0,1320944.33
TEST,1,Moderna,2,70-79,L1,0,0,0,1749822.36
TEST,2,Moderna,2,70-79,L1,0,0,0,1749822.36
TEST,3,Moderna,2,70-79,L1,0,0,0,1749822.36
TEST,4,Moderna,2,70-79,L1,0,0,0,1820761.11
TEST,5,Moderna,2,70-79,L1,0,0,0,2323040.04
TEST,6,Moderna,2,70-79,L1,0,0,0,2495117.08
TEST,7,Moderna,2,70-79,L1,0,0,0,2749720.86
TEST,8,Moderna,2,70-79,L1,0,0,0,2929050.48
TEST,9,Moderna,2,70-79,L1,0,0,0,3286251.76
TEST,10,Moderna,2,70-79,L1,0,0,0,7091385.37
TEST,5,Moderna,1,40-49,L1,0,0,0,12248756.55
TEST,6,Moderna,1,40-49,L1,0,0,0,19248046.01
TEST,7,Moderna,1,40-49,L1,0,0,0,19248046.01
TEST,8,Moderna,1,40-49,L1,0,0,0,19248046.01
TEST,9,Moderna,1,40-49,L1,0,0,0,19248046.01
TEST,10,Moderna,1,40-49,L1,0,0,0,19248046.01
TEST,11,Moderna,1,40-49,L1,0,0,0,19248046.01
TEST,12,Moderna,1,40-49,L1,0,0,0,44912107.35
TEST,6,Pfizer,1,70-79,L1,0,0,0,1749822.36
TEST,1,AstraZeneca,2,50-59,L1,0,0,0,1283203.07
TEST,2,AstraZeneca,2,50-59,L1,0,0,0,1283203.07
TEST,3,AstraZeneca,2,50-59,L1,0,0,0,1283203.07
TEST,4,AstraZeneca,2,50-59,L1,0,0,0,1360972.95
TEST,5,AstraZeneca,2,50-59,L1,0,0,0,1623329.18
TEST,6,AstraZeneca,2,50-59,L1,0,0,0,2866730.26
TEST,7,AstraZeneca,2,50-59,L1,0,0,0,5182166.23
TEST,9,Pfizer,2,70-79,L1,0,0,0,1727388.74
TEST,1,Moderna,2,40-49,L1,0,0,0,2406005.75
TEST,2,Moderna,2,40-49,L1,0,0,0,2406005.75
TEST,3,Moderna,2,40-49,L1,0,0,0,2406005.75
TEST,4,Moderna,2,40-49,L1,0,0,0,2591083.12
TEST,5,Moderna,2,40-49,L1,0,0,0,3849609.2
TEST,6,Moderna,2,40-49,L1,0,0,0,3849609.2
TEST,7,Moderna,2,40-49,L1,0,0,0,3849609.2
TEST,8,Moderna,2,40-49,L1,0,0,0,4990234.15
TEST,9,Moderna,2,40-49,L1,0,0,0,6416015.34
TEST,10,Moderna,2,40-49,L1,0,0,0,8982421.47
TEST,11,Moderna,2,40-49,L1,0,0,0,19248046.01
TEST,10,Pfizer,1,80+,L1,0,0,0,1141833.24
TEST,11,Pfizer,1,80+,L1,0,0,0,1513891.26
TEST,12,Pfizer,1,80+,L1,0,0,0,1749822.36
TEST,13,Pfizer,1,80+,L1,0,0,0,2542194.76
TEST,1,Pfizer,2,30-39,L1,0,0,0,1418277.07
TEST,2,Pfizer,2,30-39,L1,0,0,0,1604003.83
TEST,3,Pfizer,2,30-39,L1,0,0,0,1749822.36
TEST,4,Pfizer,2,30-39,L1,0,0,0,1871337.81
TEST,5,Pfizer,2,30-39,L1,0,0,0,1924804.6
TEST,6,Pfizer,2,30-39,L1,0,0,0,1952700.32
TEST,7,Pfizer,2,30-39,L1,0,0,0,2542194.76
TEST,8,Pfizer,2,30-39,L1,0,0,0,3286251.76
TEST,9,Pfizer,2,30-39,L1,0,0,0,3849609.2
TEST,10,Pfizer,2,30-39,L1,0,0,0,3742675.61
TEST,11,Pfizer,2,30-39,L1,0,0,0,4812011.5
TEST,12,Pfizer,2,30-39,L1,0,0,0,4812011.5
TEST,13,Pfizer,2,30-39,L1,0,0,0,4812011.5
TEST,14,Pfizer,2,30-39,L1,0,0,0,6416015.34
TEST,15,Pfizer,2,30-39,L1,0,0,0,6416015.34
TEST,16,Pfizer,2,30-39,L1,0,0,0,6416015.34
TEST,17,Pfizer,2,30-39,L1,0,0,0,6736816.1
TEST,18,Pfizer,2,30-39,L1,0,0,0,9624023
TEST,19,Pfizer,2,30-39,L1,0,0,0,9624023
TEST,20,Pfizer,2,30-39,L1,0,0,0,9624023
TEST,21,Pfizer,2,30-39,L1,0,0,0,9624023
TEST,22,Pfizer,2,30-39,L1,0,0,0,26947264.41
TEST,14,Pfizer,1,80+,L1,0,0,0,4812011.5
TEST,15,Pfizer,1,80+,L1,0,0,0,4646080.07
TEST,16,Pfizer,1,80+,L1,0,0,0,7091385.37
TEST,4,Pfizer,1,30-39,L1,0,0,0,1433365.13
TEST,5,J&J,1,50-59,L1,0,0,0,6736816.1
TEST,6,J&J,1,50-59,L1,0,0,0,44912107.35
TEST,5,J&J,1,70-79,L1,0,0,0,3208007.67
TEST,6,J&J,1,70-79,L1,0,0,0,3208007.67
TEST,7,J&J,1,70-79,L1,0,0,0,3208007.67
TEST,8,J&J,1,70-79,L1,0,0,0,3208007.67
TEST,9,J&J,1,70-79,L1,0,0,0,3208007.67
TEST,22,Pfizer,2,60-69,L1,0,0,0,8982421.47
TEST,10,J&J,1,70-79,L1,0,0,0,16842040.26
TEST,6,Moderna,1,60-69,L1,0,0,0,2591083.12
TEST,7,Moderna,1,60-69,L1,0,0,0,7091385.37
TEST,8,Moderna,1,60-69,L1,0,0,0,9624023
TEST,9,Moderna,1,60-69,L1,0,0,0,9624023
TEST,10,Moderna,1,60-69,L1,0,0,0,13473632.21
TEST,1,Moderna,1,80+,L1,0,0,0,19248046.01
TEST,2,Moderna,1,80+,L1,0,0,0,19248046.01
TEST,3,Moderna,1,80+,L1,0,0,0,19248046.01
TEST,4,Moderna,1,80+,L1,0,0,0,19248046.01
TEST,5,Moderna,1,80+,L1,0,0,0,44912107.35
TEST,1,Moderna,2,80+,L1,0,0,0,19248046.01
TEST,2,Moderna,2,80+,L1,0,0,0,19248046.01
TEST,3,Moderna,2,80+,L1,0,0,0,19248046.01
TEST,4,Moderna,2,80+,L1,0,0,0,19248046.01
TEST,5,Moderna,2,80+,L1,0,0,0,19248046.01
TEST,6,Moderna,2,80+,L1,0,0,0,19248046.01
TEST,7,Moderna,2,80+,L1,0,0,0,19248046.01
TEST,8,Moderna,2,80+,L1,0,0,0,19248046.01
TEST,9,Moderna,2,80+,L1,0,0,0,19248046.01
TEST,10,Moderna,2,80+,L1,0,0,0,33684080.52
TEST,1,Pfizer,1,18-24,L1,0,0,0,1389034.25
TEST,7,J&J,1,60-69,L1,0,0,0,3849609.2
TEST,8,J&J,1,60-69,L1,0,0,0,8982421.47
TEST,7,Pfizer,1,50-59,L1,0,0,0,3849609.2
TEST,8,Pfizer,1,50-59,L1,0,0,0,3849609.2
TEST,9,Pfizer,1,50-59,L1,0,0,0,3849609.2
TEST,10,Pfizer,1,50-59,L1,0,0,0,3849609.2
TEST,11,Pfizer,1,50-59,L1,0,0,0,3849609.2
TEST,12,Pfizer,1,50-59,L1,0,0,0,4491210.74
TEST,13,Pfizer,1,50-59,L1,0,0,0,4812011.5
TEST,14,Pfizer,1,50-59,L1,0,0,0,4812011.5
TEST,15,Pfizer,1,50-59,L1,0,0,0,4812011.5
TEST,16,Pfizer,1,50-59,L1,0,0,0,6416015.34
TEST,17,Pfizer,1,50-59,L1,0,0,0,8421020.13
TEST,18,Pfizer,1,50-59,L1,0,0,0,9624023
TEST,19,Pfizer,1,50-59,L1,0,0,0,9624023
TEST,20,Pfizer,1,50-59,L1,0,0,0,9624023
TEST,21,Pfizer,1,50-59,L1,0,0,0,9624023
TEST,22,Pfizer,1,50-59,L1,0,0,0,14970702.45
TEST,23,Pfizer,1,50-59,L1,0,0,0,19248046.01
TEST,24,Pfizer,1,50-59,L1,0,0,0,19248046.01
