sex,Birthcohort_persons,Dose,type_vax,CV,COVCANCER,COVCOPD,COVHIV,COVCKD,COVDIAB,COVOBES,COVSICKLE,IMMUNOSUPPR,any_risk_factors,week,Persontime.x,Persontime_ACUASEARTHRITIS_broad,Persontime_DM_broad,Persontime_HF_narrow,Persontime_HF_broad,Persontime_CAD_narrow,Persontime_CAD_broad,Persontime_Ischstroke_narrow,Persontime_Ischstroke_broad,Persontime_VTE_narrow,Persontime_VTE_broad,Persontime_CONTRDIVERTIC,Persontime_CONTRHYPERT,Persontime_DEATH,Persontime_ArterialNoTP,Persontime_VTENoTP,Persontime_ArterialVTENoTP,ACUASEARTHRITIS_broad_b,DM_broad_b,HF_narrow_b,HF_broad_b,CAD_narrow_b,CAD_broad_b,Ischstroke_narrow_b,Ischstroke_broad_b,VTE_narrow_b,VTE_broad_b,CONTRDIVERTIC_b,CONTRHYPERT_b,DEATH_b,ArterialNoTP_b,VTENoTP_b,ArterialVTENoTP_b,Persontime.y,Persontime_GENCONV_narrow,Persontime_GENCONV_broad,Persontime_ANAPHYL_broad,GENCONV_narrow_b,GENCONV_broad_b,ANAPHYL_broad_b
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-16,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-23,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-30,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-04-06,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-04-13,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-04-20,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-04-27,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-05-04,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-05-11,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-05-18,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-05-25,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-06-01,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-06-08,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-06-15,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-06-22,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-06-29,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-06,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-13,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-20,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-27,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-08-03,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-08-10,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-08-17,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-08-24,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-08-31,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-09-07,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-09-14,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-09-21,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-09-28,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-10-05,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-10-12,84,84,84,84,84,84,84,84,84,84,84,84,35,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-10-19,78,78,78,78,78,78,78,78,78,78,78,78,29,78,78,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,78,78,78,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-10-26,77,77,77,77,77,77,77,77,77,77,77,77,28,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-02,77,77,77,77,77,77,77,77,77,77,77,77,28,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-09,77,77,77,77,77,77,77,77,77,77,77,77,28,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-16,77,77,77,77,77,77,77,77,77,77,77,77,28,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-23,77,77,77,77,77,77,77,77,77,77,77,77,28,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-30,77,77,77,77,77,77,77,77,77,77,77,77,28,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-07,77,77,77,77,77,77,77,77,77,77,77,77,28,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-14,77,77,77,77,77,77,77,77,77,77,77,77,28,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-21,77,77,77,77,77,77,77,77,77,77,77,77,28,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-28,77,77,77,77,77,77,77,77,77,77,77,77,28,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-04,77,77,77,77,77,77,77,77,77,77,77,77,28,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-11,77,77,77,77,77,77,77,77,77,77,77,77,28,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-18,77,77,77,77,77,77,77,77,77,77,77,77,28,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-25,77,77,77,77,77,77,77,77,77,77,77,77,28,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2021-02-01,77,77,77,77,77,77,77,77,77,77,77,77,28,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2021-02-08,77,77,77,77,77,77,77,77,77,77,77,77,28,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2021-02-15,77,77,77,77,77,77,77,77,77,77,77,77,28,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2021-02-22,77,77,77,77,77,77,77,77,77,77,77,77,28,77,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-01,72,72,72,72,72,72,72,72,72,72,72,72,28,72,72,72,72,0,0,0,0,0,0,0,0,0,0,0,0,< 5,0,0,0,72,72,72,72,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-08,70,70,70,70,70,70,70,70,70,70,70,70,28,70,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,70,70,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-15,70,70,70,70,70,70,70,70,70,70,70,70,28,70,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,70,70,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-22,70,70,70,70,70,70,70,70,70,70,70,70,28,70,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,70,70,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-29,70,70,70,70,70,70,70,70,70,70,70,70,28,70,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,70,70,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-01-06,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-01-13,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-01-20,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-01-27,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-02-03,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-02-10,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-02-17,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-02-24,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-03-02,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-03-09,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-03-16,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-03-23,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-03-30,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-04-06,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-04-13,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-04-20,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-04-27,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-05-04,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-05-11,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-05-18,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-05-25,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-06-01,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-06-08,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-06-15,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-06-22,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-06-29,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-07-06,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-07-13,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-07-20,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-07-27,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-08-03,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-08-10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-08-17,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-08-24,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-08-31,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-09-07,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-09-14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-09-21,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-09-28,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-10-05,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0
0,1940-1949,0,0,0,0,0,0,0,0,0,0,< 5,< 5,2020-10-12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0
