Event,Vaccination,Cases-IT-ARS,IR-IT-ARS,lb-IT-ARS,ub-IT-ARS
CVSTNoTP,J&J dose 1,0,0,0,52365.46
DEATH,Pre-vaccination,46,660.53,483.59,881.06
DEATH,Post-vaccination,0,0,0,1126.35
DEATH,Pfizer dose 1,0,0,0,2586.31
DEATH,Pfizer dose 2,0,0,0,4834.46
DEATH,Moderna dose 1,0,0,0,14645.25
DEATH,Moderna dose 2,0,0,0,29835.32
DEATH,AstraZeneca dose 1,0,0,0,7295.27
DEATH,AstraZeneca dose 2,0,0,0,27508.44
DEATH,J&J dose 1,0,0,0,52365.46
DM1,Pre-vaccination,2,28.73,3.48,103.77
DM1,Post-vaccination,0,0,0,1126.82
DM1,Pfizer dose 1,0,0,0,2587.4
DM1,Pfizer dose 2,0,0,0,4839.32
DM1,Moderna dose 1,0,0,0,14645.25
DM1,Moderna dose 2,0,0,0,29835.32
DM1,AstraZeneca dose 1,0,0,0,7295.27
DM1,AstraZeneca dose 2,0,0,0,27508.44
DM1,J&J dose 1,0,0,0,52365.46
GENCONV,Pre-vaccination,6,86.16,31.62,187.54
GENCONV,Post-vaccination,0,0,0,1126.4
GENCONV,Pfizer dose 1,0,0,0,2586.56
GENCONV,Pfizer dose 2,0,0,0,4834.46
GENCONV,Moderna dose 1,0,0,0,14645.25
GENCONV,Moderna dose 2,0,0,0,29835.32
GENCONV,AstraZeneca dose 1,0,0,0,7295.27
GENCONV,AstraZeneca dose 2,0,0,0,27508.44
GENCONV,J&J dose 1,0,0,0,52365.46
HF,Pre-vaccination,20,288.83,176.43,446.08
HF,Post-vaccination,3,931.94,192.19,2723.53
HF,Pfizer dose 1,2,1425.34,172.62,5148.81
HF,Pfizer dose 2,1,1349.18,34.16,7517.15
HF,Moderna dose 1,0,0,0,14917.66
HF,Moderna dose 2,0,0,0,30988.11
HF,AstraZeneca dose 1,0,0,0,7321.43
HF,AstraZeneca dose 2,0,0,0,27508.44
HF,J&J dose 1,0,0,0,52365.46
Hemostroke,Pre-vaccination,4,57.48,15.66,147.18
Hemostroke,Post-vaccination,0,0,0,1127.26
Hemostroke,Pfizer dose 1,0,0,0,2589.69
Hemostroke,Pfizer dose 2,0,0,0,4839.32
Hemostroke,Moderna dose 1,0,0,0,14645.25
Hemostroke,Moderna dose 2,0,0,0,29835.32
Hemostroke,AstraZeneca dose 1,0,0,0,7295.27
Hemostroke,AstraZeneca dose 2,0,0,0,27508.44
Hemostroke,J&J dose 1,0,0,0,52365.46
Ischstroke,Pre-vaccination,9,129.41,59.18,245.67
Ischstroke,Post-vaccination,0,0,0,1130.25
Ischstroke,Pfizer dose 1,0,0,0,2598.63
Ischstroke,Pfizer dose 2,0,0,0,4863.42
Ischstroke,Moderna dose 1,0,0,0,14645.25
Ischstroke,Moderna dose 2,0,0,0,29835.32
Ischstroke,AstraZeneca dose 1,0,0,0,7295.27
Ischstroke,AstraZeneca dose 2,0,0,0,27508.44
Ischstroke,J&J dose 1,0,0,0,52365.46
KD,Pre-vaccination,0,0,0,52.98
KD,Post-vaccination,0,0,0,1126.35
KD,Pfizer dose 1,0,0,0,2586.31
KD,Pfizer dose 2,0,0,0,4834.46
KD,Moderna dose 1,0,0,0,14645.25
KD,Moderna dose 2,0,0,0,29835.32
KD,AstraZeneca dose 1,0,0,0,7295.27
KD,AstraZeneca dose 2,0,0,0,27508.44
KD,J&J dose 1,0,0,0,52365.46
MIS,Pre-vaccination,0,0,0,52.98
MIS,Post-vaccination,0,0,0,1126.35
MIS,Pfizer dose 1,0,0,0,2586.31
MIS,Pfizer dose 2,0,0,0,4834.46
MIS,Moderna dose 1,0,0,0,14645.25
MIS,Moderna dose 2,0,0,0,29835.32
MIS,AstraZeneca dose 1,0,0,0,7295.27
MIS,AstraZeneca dose 2,0,0,0,27508.44
MIS,J&J dose 1,0,0,0,52365.46
MISCC,Pre-vaccination,0,0,0,52.98
MISCC,Post-vaccination,0,0,0,1126.35
MISCC,Pfizer dose 1,0,0,0,2586.31
MISCC,Pfizer dose 2,0,0,0,4834.46
MISCC,Moderna dose 1,0,0,0,14645.25
MISCC,Moderna dose 2,0,0,0,29835.32
MISCC,AstraZeneca dose 1,0,0,0,7295.27
MISCC,AstraZeneca dose 2,0,0,0,27508.44
MISCC,J&J dose 1,0,0,0,52365.46
MYOCARD,Pre-vaccination,1,14.37,0.36,80.05
MYOCARD,Post-vaccination,0,0,0,1128.06
MYOCARD,Pfizer dose 1,0,0,0,2591.18
MYOCARD,Pfizer dose 2,0,0,0,4839.32
MYOCARD,Moderna dose 1,0,0,0,14728.5
MYOCARD,Moderna dose 2,0,0,0,29835.32
MYOCARD,AstraZeneca dose 1,0,0,0,7295.27
MYOCARD,AstraZeneca dose 2,0,0,0,27525.3
MYOCARD,J&J dose 1,0,0,0,52365.46
PERICARD,Pre-vaccination,1,14.37,0.36,80.05
PERICARD,Post-vaccination,0,0,0,1128.06
PERICARD,Pfizer dose 1,0,0,0,2591.18
PERICARD,Pfizer dose 2,0,0,0,4839.32
PERICARD,Moderna dose 1,0,0,0,14728.5
PERICARD,Moderna dose 2,0,0,0,29835.32
PERICARD,AstraZeneca dose 1,0,0,0,7295.27
PERICARD,AstraZeneca dose 2,0,0,0,27525.3
PERICARD,J&J dose 1,0,0,0,52365.46
Sinusthrom,Pre-vaccination,0,0,0,52.98
Sinusthrom,Post-vaccination,0,0,0,1126.38
Sinusthrom,Pfizer dose 1,0,0,0,2586.46
Sinusthrom,Pfizer dose 2,0,0,0,4834.46
Sinusthrom,Moderna dose 1,0,0,0,14645.25
Sinusthrom,Moderna dose 2,0,0,0,29835.32
Sinusthrom,AstraZeneca dose 1,0,0,0,7295.27
Sinusthrom,AstraZeneca dose 2,0,0,0,27508.44
Sinusthrom,J&J dose 1,0,0,0,52365.46
TP,Pre-vaccination,0,0,0,52.98
TP,Post-vaccination,0,0,0,1126.61
TP,Pfizer dose 1,0,0,0,2587.7
TP,Pfizer dose 2,0,0,0,4834.46
TP,Moderna dose 1,0,0,0,14645.25
TP,Moderna dose 2,0,0,0,29835.32
TP,AstraZeneca dose 1,0,0,0,7295.27
TP,AstraZeneca dose 2,0,0,0,27508.44
TP,J&J dose 1,0,0,0,52365.46
VTE,Pre-vaccination,5,71.9,23.34,167.78
VTE,Post-vaccination,0,0,0,1130.33
VTE,Pfizer dose 1,0,0,0,2596.13
VTE,Pfizer dose 2,0,0,0,4863.78
VTE,Moderna dose 1,0,0,0,14689.96
VTE,Moderna dose 2,0,0,0,29835.32
VTE,AstraZeneca dose 1,0,0,0,7306.35
VTE,AstraZeneca dose 2,0,0,0,27508.44
VTE,J&J dose 1,0,0,0,52365.46
VTENoTP,Pre-vaccination,5,71.9,23.34,167.78
VTENoTP,Post-vaccination,0,0,0,1130.33
VTENoTP,Pfizer dose 1,0,0,0,2596.13
VTENoTP,Pfizer dose 2,0,0,0,4863.78
VTENoTP,Moderna dose 1,0,0,0,14689.96
VTENoTP,Moderna dose 2,0,0,0,29835.32
VTENoTP,AstraZeneca dose 1,0,0,0,7306.35
VTENoTP,AstraZeneca dose 2,0,0,0,27508.44
VTENoTP,J&J dose 1,0,0,0,52365.46
