Event,Vaccination,Cases-IT-ARS,IR-IT-ARS,lb-IT-ARS,ub-IT-ARS
CONTRDIVERTIC,AstraZeneca dose 2,0,0,0,107359.62
CONTRDIVERTIC,J&J dose 1,0,0,0,172077.04
CONTRHYPERT,Pre-vaccination,150,7830.91,6627.88,9189.17
CONTRHYPERT,Post-vaccination,23,39084.16,24776.01,58645.43
CONTRHYPERT,Pfizer dose 1,8,30018.49,12959.85,59148.4
CONTRHYPERT,Pfizer dose 2,4,41529.28,11315.33,106331.45
CONTRHYPERT,Moderna dose 1,3,51540.45,10628.88,150623.07
CONTRHYPERT,Moderna dose 2,2,76894.74,9312.31,277770.23
CONTRHYPERT,AstraZeneca dose 1,5,50560.63,16416.9,117991.65
CONTRHYPERT,AstraZeneca dose 2,0,0,0,135822.91
CONTRHYPERT,J&J dose 1,1,64991.1,1645.43,362107.25
DEATH,Pre-vaccination,13,566.54,301.66,968.81
DEATH,Post-vaccination,0,0,0,3443.74
DEATH,Pfizer dose 1,0,0,0,7988.16
DEATH,Pfizer dose 2,0,0,0,14643.66
DEATH,Moderna dose 1,0,0,0,39316.11
DEATH,Moderna dose 2,0,0,0,73909.12
DEATH,AstraZeneca dose 1,0,0,0,23355.23
DEATH,AstraZeneca dose 2,0,0,0,107359.62
DEATH,J&J dose 1,0,0,0,172077.04
DM1,Pre-vaccination,1,43.6,1.1,242.9
DM1,Post-vaccination,0,0,0,3443.74
DM1,Pfizer dose 1,0,0,0,7988.16
DM1,Pfizer dose 2,0,0,0,14643.66
DM1,Moderna dose 1,0,0,0,39316.11
DM1,Moderna dose 2,0,0,0,73909.12
DM1,AstraZeneca dose 1,0,0,0,23355.23
DM1,AstraZeneca dose 2,0,0,0,107359.62
DM1,J&J dose 1,0,0,0,172077.04
GENCONV,Pre-vaccination,4,174.35,47.5,446.4
GENCONV,Post-vaccination,0,0,0,3443.74
GENCONV,Pfizer dose 1,0,0,0,7988.16
GENCONV,Pfizer dose 2,0,0,0,14643.66
GENCONV,Moderna dose 1,0,0,0,39316.11
GENCONV,Moderna dose 2,0,0,0,73909.12
GENCONV,AstraZeneca dose 1,0,0,0,23355.23
GENCONV,AstraZeneca dose 2,0,0,0,107359.62
GENCONV,J&J dose 1,0,0,0,172077.04
HF,Pre-vaccination,6,262.84,96.46,572.1
HF,Post-vaccination,2,1888.18,228.67,6820.76
HF,Pfizer dose 1,1,2195.54,55.59,12232.76
HF,Pfizer dose 2,1,4060.59,102.81,22624.16
HF,Moderna dose 1,0,0,0,39316.11
HF,Moderna dose 2,0,0,0,73909.12
HF,AstraZeneca dose 1,0,0,0,23355.23
HF,AstraZeneca dose 2,0,0,0,107359.62
HF,J&J dose 1,0,0,0,172077.04
Hemostroke,Pre-vaccination,1,43.58,1.1,242.82
Hemostroke,Post-vaccination,0,0,0,3443.74
Hemostroke,Pfizer dose 1,0,0,0,7988.16
Hemostroke,Pfizer dose 2,0,0,0,14643.66
Hemostroke,Moderna dose 1,0,0,0,39316.11
Hemostroke,Moderna dose 2,0,0,0,73909.12
Hemostroke,AstraZeneca dose 1,0,0,0,23355.23
Hemostroke,AstraZeneca dose 2,0,0,0,107359.62
Hemostroke,J&J dose 1,0,0,0,172077.04
Ischstroke,Pre-vaccination,4,174.9,47.65,447.81
Ischstroke,Post-vaccination,0,0,0,3458.5
Ischstroke,Pfizer dose 1,0,0,0,8040.12
Ischstroke,Pfizer dose 2,0,0,0,14736.55
Ischstroke,Moderna dose 1,0,0,0,39316.11
Ischstroke,Moderna dose 2,0,0,0,73909.12
Ischstroke,AstraZeneca dose 1,0,0,0,23355.23
Ischstroke,AstraZeneca dose 2,0,0,0,107359.62
Ischstroke,J&J dose 1,0,0,0,172077.04
MENINGOENC,Pre-vaccination,1,43.59,1.1,242.89
MENINGOENC,Post-vaccination,0,0,0,3443.74
MENINGOENC,Pfizer dose 1,0,0,0,7988.16
MENINGOENC,Pfizer dose 2,0,0,0,14643.66
MENINGOENC,Moderna dose 1,0,0,0,39316.11
MENINGOENC,Moderna dose 2,0,0,0,73909.12
MENINGOENC,AstraZeneca dose 1,0,0,0,23355.23
MENINGOENC,AstraZeneca dose 2,0,0,0,107359.62
MENINGOENC,J&J dose 1,0,0,0,172077.04
MIS,Pre-vaccination,0,0,0,160.76
MIS,Post-vaccination,0,0,0,3443.74
MIS,Pfizer dose 1,0,0,0,7988.16
MIS,Pfizer dose 2,0,0,0,14643.66
MIS,Moderna dose 1,0,0,0,39316.11
MIS,Moderna dose 2,0,0,0,73909.12
MIS,AstraZeneca dose 1,0,0,0,23355.23
MIS,AstraZeneca dose 2,0,0,0,107359.62
MIS,J&J dose 1,0,0,0,172077.04
MYOCARD,Pre-vaccination,1,43.63,1.1,243.08
MYOCARD,Post-vaccination,0,0,0,3450.09
MYOCARD,Pfizer dose 1,0,0,0,8009.53
MYOCARD,Pfizer dose 2,0,0,0,14643.66
MYOCARD,Moderna dose 1,0,0,0,39593.39
MYOCARD,Moderna dose 2,0,0,0,73909.12
MYOCARD,AstraZeneca dose 1,0,0,0,23355.23
MYOCARD,AstraZeneca dose 2,0,0,0,107616.87
MYOCARD,J&J dose 1,0,0,0,172077.04
PERICARD,Pre-vaccination,1,43.63,1.1,243.08
PERICARD,Post-vaccination,0,0,0,3450.09
PERICARD,Pfizer dose 1,0,0,0,8009.53
PERICARD,Pfizer dose 2,0,0,0,14643.66
PERICARD,Moderna dose 1,0,0,0,39593.39
PERICARD,Moderna dose 2,0,0,0,73909.12
PERICARD,AstraZeneca dose 1,0,0,0,23355.23
PERICARD,AstraZeneca dose 2,0,0,0,107616.87
PERICARD,J&J dose 1,0,0,0,172077.04
VTE,Pre-vaccination,3,131.05,27.03,382.98
VTE,Post-vaccination,1,939.45,23.78,5234.3
VTE,Pfizer dose 1,0,0,0,8018.11
VTE,Pfizer dose 2,0,0,0,14733.33
VTE,Moderna dose 1,0,0,0,39651.65
VTE,Moderna dose 2,1,20508.14,519.22,114264.05
VTE,AstraZeneca dose 1,0,0,0,23584.16
VTE,AstraZeneca dose 2,0,0,0,107359.62
VTE,J&J dose 1,0,0,0,172077.04
VTENoTP,Pre-vaccination,3,131.05,27.03,382.98
VTENoTP,Post-vaccination,1,939.45,23.78,5234.3
VTENoTP,Pfizer dose 1,0,0,0,8018.11
VTENoTP,Pfizer dose 2,0,0,0,14733.33
VTENoTP,Moderna dose 1,0,0,0,39651.65
VTENoTP,Moderna dose 2,1,20508.14,519.22,114264.05
VTENoTP,AstraZeneca dose 1,0,0,0,23584.16
VTENoTP,AstraZeneca dose 2,0,0,0,107359.62
VTENoTP,J&J dose 1,0,0,0,172077.04
