DAP,Vaccine brand,Year,Week,Number of doses,Number vaccinate,Number present,Coverage
TEST,J&J,2021,6,0,0,2070,0
TEST,J&J,2021,6,0,0,2070,0
TEST,Moderna,2021,6,3,3,2070,0.1
TEST,Moderna,2021,6,3,0,2070,0
TEST,Pfizer,2021,6,84,49,2070,2.4
TEST,Pfizer,2021,6,84,35,2070,1.7
TEST,UKN,2021,6,0,0,2070,0
TEST,UKN,2021,6,0,0,2070,0
TEST,AstraZeneca,2021,7,14,14,2065,0.7
TEST,AstraZeneca,2021,7,14,0,2065,0
TEST,J&J,2021,7,0,0,2065,0
TEST,J&J,2021,7,0,0,2065,0
TEST,Moderna,2021,7,5,3,2065,0.1
TEST,Moderna,2021,7,5,2,2065,0.1
TEST,Pfizer,2021,7,91,56,2065,2.7
TEST,Pfizer,2021,7,91,35,2065,1.7
TEST,UKN,2021,7,0,0,2065,0
TEST,UKN,2021,7,0,0,2065,0
TEST,AstraZeneca,2021,8,22,22,2051,1.1
TEST,AstraZeneca,2021,8,22,0,2051,0
TEST,J&J,2021,8,0,0,2051,0
TEST,J&J,2021,8,0,0,2051,0
TEST,Moderna,2021,8,8,5,2051,0.2
TEST,Moderna,2021,8,8,3,2051,0.1
TEST,Pfizer,2021,8,103,66,2051,3.2
TEST,Pfizer,2021,8,103,37,2051,1.8
TEST,UKN,2021,8,0,0,2051,0
TEST,UKN,2021,8,0,0,2051,0
TEST,AstraZeneca,2021,9,35,35,2041,1.7
TEST,AstraZeneca,2021,9,35,0,2041,0
TEST,J&J,2021,9,0,0,2041,0
TEST,J&J,2021,9,0,0,2041,0
TEST,Moderna,2021,9,8,5,2041,0.2
TEST,Moderna,2021,9,8,3,2041,0.1
TEST,Pfizer,2021,9,121,80,2041,3.9
TEST,Pfizer,2021,9,121,41,2041,2
TEST,UKN,2021,9,0,0,2041,0
TEST,UKN,2021,9,0,0,2041,0
TEST,AstraZeneca,2021,10,39,39,2040,1.9
TEST,AstraZeneca,2021,10,39,0,2040,0
TEST,J&J,2021,10,0,0,2040,0
TEST,J&J,2021,10,0,0,2040,0
TEST,Moderna,2021,10,9,6,2040,0.3
TEST,Moderna,2021,10,9,3,2040,0.1
TEST,Pfizer,2021,10,160,112,2040,5.5
TEST,Pfizer,2021,10,160,48,2040,2.4
TEST,UKN,2021,10,0,0,2040,0
TEST,UKN,2021,10,0,0,2040,0
TEST,AstraZeneca,2021,11,46,46,2032,2.3
TEST,AstraZeneca,2021,11,46,0,2032,0
TEST,J&J,2021,11,0,0,2032,0
TEST,J&J,2021,11,0,0,2032,0
TEST,Moderna,2021,11,15,10,2032,0.5
TEST,Moderna,2021,11,15,5,2032,0.2
TEST,Pfizer,2021,11,180,126,2032,6.2
TEST,Pfizer,2021,11,180,54,2032,2.7
TEST,UKN,2021,11,0,0,2032,0
TEST,UKN,2021,11,0,0,2032,0
TEST,AstraZeneca,2021,12,54,54,2026,2.7
TEST,AstraZeneca,2021,12,54,0,2026,0
TEST,J&J,2021,12,0,0,2026,0
TEST,J&J,2021,12,0,0,2026,0
TEST,Moderna,2021,12,23,18,2026,0.9
TEST,Moderna,2021,12,23,5,2026,0.2
TEST,Pfizer,2021,12,210,142,2026,7
TEST,Pfizer,2021,12,210,68,2026,3.4
TEST,UKN,2021,12,0,0,2026,0
TEST,UKN,2021,12,0,0,2026,0
TEST,AstraZeneca,2021,13,83,83,2022,4.1
TEST,AstraZeneca,2021,13,83,0,2022,0
TEST,J&J,2021,13,0,0,2022,0
TEST,J&J,2021,13,0,0,2022,0
TEST,Moderna,2021,13,36,31,2022,1.5
TEST,Moderna,2021,13,36,5,2022,0.2
TEST,Pfizer,2021,13,266,168,2022,8.3
TEST,Pfizer,2021,13,266,98,2022,4.8
TEST,UKN,2021,13,0,0,2022,0
TEST,UKN,2021,13,0,0,2022,0
TEST,AstraZeneca,2021,14,119,119,2009,5.9
TEST,AstraZeneca,2021,14,119,0,2009,0
TEST,J&J,2021,14,0,0,2009,0
TEST,J&J,2021,14,0,0,2009,0
TEST,Moderna,2021,14,43,37,2009,1.8
TEST,Moderna,2021,14,43,6,2009,0.3
TEST,Pfizer,2021,14,317,212,2009,10.6
TEST,Pfizer,2021,14,317,105,2009,5.2
TEST,UKN,2021,14,0,0,2009,0
TEST,UKN,2021,14,0,0,2009,0
TEST,AstraZeneca,2021,15,120,120,2001,6
TEST,AstraZeneca,2021,15,120,0,2001,0
TEST,J&J,2021,15,0,0,2001,0
TEST,J&J,2021,15,0,0,2001,0
TEST,Moderna,2021,15,52,44,2001,2.2
TEST,Moderna,2021,15,52,8,2001,0.4
TEST,Pfizer,2021,15,368,248,2001,12.4
TEST,Pfizer,2021,15,368,120,2001,6
TEST,UKN,2021,15,0,0,2001,0
TEST,UKN,2021,15,0,0,2001,0
TEST,AstraZeneca,2021,16,124,124,1996,6.2
TEST,AstraZeneca,2021,16,124,0,1996,0
TEST,J&J,2021,16,0,0,1996,0
TEST,J&J,2021,16,0,0,1996,0
TEST,Moderna,2021,16,64,47,1996,2.4
TEST,Moderna,2021,16,64,17,1996,0.9
TEST,Pfizer,2021,16,445,294,1996,14.7
TEST,Pfizer,2021,16,445,151,1996,7.6
TEST,UKN,2021,16,0,0,1996,0
TEST,UKN,2021,16,0,0,1996,0
TEST,AstraZeneca,2021,17,140,140,1993,7
TEST,AstraZeneca,2021,17,140,0,1993,0
TEST,J&J,2021,17,6,6,1993,0.3
TEST,J&J,2021,17,6,0,1993,0
TEST,Moderna,2021,17,82,53,1993,2.7
TEST,Moderna,2021,17,82,29,1993,1.5
TEST,Pfizer,2021,17,509,320,1993,16.1
TEST,Pfizer,2021,17,509,189,1993,9.5
TEST,UKN,2021,17,0,0,1993,0
TEST,UKN,2021,17,0,0,1993,0
TEST,AstraZeneca,2021,18,152,150,1989,7.5
TEST,AstraZeneca,2021,18,152,2,1989,0.1
TEST,J&J,2021,18,8,8,1989,0.4
TEST,J&J,2021,18,8,0,1989,0
TEST,Moderna,2021,18,109,74,1989,3.7
TEST,Moderna,2021,18,109,35,1989,1.8
TEST,Pfizer,2021,18,577,354,1989,17.8
TEST,Pfizer,2021,18,577,223,1989,11.2
TEST,UKN,2021,18,0,0,1989,0
TEST,UKN,2021,18,0,0,1989,0
TEST,AstraZeneca,2021,19,180,171,1977,8.6
TEST,AstraZeneca,2021,19,180,9,1977,0.5
TEST,J&J,2021,19,11,11,1977,0.6
TEST,J&J,2021,19,11,0,1977,0
TEST,Moderna,2021,19,116,79,1977,4
TEST,Moderna,2021,19,116,37,1977,1.9
TEST,Pfizer,2021,19,632,373,1977,18.9
TEST,Pfizer,2021,19,632,259,1977,13.1
TEST,UKN,2021,19,0,0,1977,0
TEST,UKN,2021,19,0,0,1977,0
TEST,AstraZeneca,2021,20,202,184,1972,9.3
TEST,AstraZeneca,2021,20,202,18,1972,0.9
TEST,J&J,2021,20,12,12,1972,0.6
TEST,J&J,2021,20,12,0,1972,0
TEST,Moderna,2021,20,133,93,1972,4.7
TEST,Moderna,2021,20,133,40,1972,2
TEST,Pfizer,2021,20,698,428,1972,21.7
TEST,Pfizer,2021,20,698,270,1972,13.7
TEST,UKN,2021,20,0,0,1972,0
TEST,UKN,2021,20,0,0,1972,0
TEST,AstraZeneca,2021,21,225,199,1967,10.1
TEST,AstraZeneca,2021,21,225,26,1967,1.3
TEST,J&J,2021,21,14,14,1967,0.7
TEST,J&J,2021,21,14,0,1967,0
TEST,Moderna,2021,21,141,99,1967,5
TEST,Moderna,2021,21,141,42,1967,2.1
TEST,Pfizer,2021,21,799,496,1967,25.2
TEST,Pfizer,2021,21,799,303,1967,15.4
TEST,UKN,2021,21,0,0,1967,0
TEST,UKN,2021,21,0,0,1967,0
TEST,AstraZeneca,2021,22,237,207,1961,10.6
TEST,AstraZeneca,2021,22,237,30,1961,1.5
TEST,J&J,2021,22,22,22,1961,1.1
TEST,J&J,2021,22,22,0,1961,0
TEST,Moderna,2021,22,172,109,1961,5.6
TEST,Moderna,2021,22,172,63,1961,3.2
TEST,Pfizer,2021,22,895,571,1961,29.1
TEST,Pfizer,2021,22,895,324,1961,16.5
TEST,UKN,2021,22,0,0,1961,0
TEST,UKN,2021,22,0,0,1961,0
TEST,AstraZeneca,2021,23,241,207,1953,10.6
TEST,AstraZeneca,2021,23,241,34,1953,1.7
TEST,J&J,2021,23,29,29,1953,1.5
TEST,J&J,2021,23,29,0,1953,0
TEST,Moderna,2021,23,185,119,1953,6.1
TEST,Moderna,2021,23,185,66,1953,3.4
TEST,Pfizer,2021,23,962,644,1953,33
TEST,Pfizer,2021,23,962,318,1953,16.3
TEST,UKN,2021,23,0,0,1953,0
TEST,UKN,2021,23,0,0,1953,0
TEST,AstraZeneca,2021,24,247,200,1950,10.3
TEST,AstraZeneca,2021,24,247,47,1950,2.4
TEST,J&J,2021,24,31,31,1950,1.6
TEST,J&J,2021,24,31,0,1950,0
TEST,Moderna,2021,24,202,135,1950,6.9
TEST,Moderna,2021,24,202,67,1950,3.4
TEST,Pfizer,2021,24,1044,718,1950,36.8
TEST,Pfizer,2021,24,1044,326,1950,16.7
TEST,UKN,2021,24,0,0,1950,0
TEST,UKN,2021,24,0,0,1950,0
TEST,AstraZeneca,2021,25,277,207,1944,10.6
TEST,AstraZeneca,2021,25,277,70,1944,3.6
TEST,J&J,2021,25,31,31,1944,1.6
TEST,J&J,2021,25,31,0,1944,0
TEST,Moderna,2021,25,204,135,1944,6.9
TEST,Moderna,2021,25,204,69,1944,3.5
TEST,Pfizer,2021,25,1108,775,1944,39.9
TEST,Pfizer,2021,25,1108,333,1944,17.1
TEST,UKN,2021,25,0,0,1944,0
TEST,UKN,2021,25,0,0,1944,0
TEST,AstraZeneca,2021,26,289,207,1940,10.7
TEST,AstraZeneca,2021,26,289,82,1940,4.2
TEST,J&J,2021,26,31,31,1940,1.6
TEST,J&J,2021,26,31,0,1940,0
TEST,Moderna,2021,26,205,136,1940,7
TEST,Moderna,2021,26,205,69,1940,3.6
TEST,Pfizer,2021,26,1120,777,1940,40.1
TEST,Pfizer,2021,26,1120,343,1940,17.7
TEST,UKN,2021,26,0,0,1940,0
TEST,UKN,2021,26,0,0,1940,0
