DAP,Event,Coding_system,First_4_digits_of_code,meaning_of_event,sum
TEST,ARR,ICD9,4276,hospitalisation_primary,2
TEST,ARR,ICD9,4274,hospitalisation_secondary,2
TEST,MYOCARD,ICD9,4209,emergency_room_diagnosis,2
TEST,MYOCARD,ICD9,4209,hospitalisation_secondary,2
TEST,PERICARD,ICD9,4209,emergency_room_diagnosis,2
TEST,PERICARD,ICD9,4209,hospitalisation_secondary,2
TEST,PERICARD,ICD9,4238,hospitalisation_secondary,1
TEST,PERICARD,ICD9,4230,hospitalisation_secondary,1
TEST,AKI,ICD9,5849,hospitalisation_secondary,10
TEST,AKI,ICD9,5849,hospitalisation_primary,10
TEST,AKI,ICD9,5849,emergency_room_diagnosis,6
TEST,AKI,ICD9,5845,hospitalisation_primary,2
TEST,AKI,ICD9,586,hospitalisation_secondary,2
TEST,AKI,ICD9,2765,emergency_room_diagnosis,3
TEST,AKI,ICD9,2765,hospitalisation_secondary,6
TEST,AKI,ICD9,2762,hospitalisation_secondary,1
TEST,AKI,ICD9,5933,hospitalisation_primary,2
TEST,GENCONV,ICD9,3459,emergency_room_diagnosis,8
TEST,MENINGOENC,ICD9,3239,emergency_room_diagnosis,2
TEST,ARD,ICD9,5188,hospitalisation_primary,2
TEST,CHILBLAIN,ICD9,9915,emergency_room_diagnosis,2
TEST,ANAPHYL,ICD9,4580,hospitalisation_secondary,1
TEST,ANAPHYL,ICD9,4580,hospitalisation_primary,1
TEST,ANAPHYL,ICD9,9952,hospitalisation_primary,1
TEST,ANAPHYL,ICD9,9953,emergency_room_diagnosis,1
TEST,ANAPHYL,ICD9,7823,emergency_room_diagnosis,2
TEST,ANAPHYL,ICD9,7823,hospitalisation_secondary,1
TEST,MIS,ICD9,7855,hospitalisation_secondary,1
TEST,MIS,ICD9,7855,hospitalisation_secondary,2
TEST,MIS,ICD9,7855,hospitalisation_primary,1
TEST,Hemostroke,ICD9,431,hospitalisation_primary,6
TEST,Hemostroke,ICD9,431,emergency_room_diagnosis,6
TEST,Hemostroke,ICD9,431,hospitalisation_secondary,2
TEST,Ischstroke,ICD9,4349,emergency_room_diagnosis,8
TEST,Ischstroke,ICD9,4340,hospitalisation_primary,2
TEST,Ischstroke,ICD9,4340,hospitalisation_primary,2
TEST,Ischstroke,ICD9,4359,emergency_room_diagnosis,3
TEST,VTE,ICD9,4151,emergency_room_diagnosis,6
TEST,VTE,ICD9,4538,hospitalisation_secondary,2
TEST,VTE,ICD9,4518,emergency_room_diagnosis,2
TEST,VTE,ICD9,4151,hospitalisation_primary,2
TEST,ArterialNoTP,ICD9,4101,hospitalisation_primary,1
TEST,ArterialNoTP,ICD9,4340,hospitalisation_primary,1
TEST,ArterialNoTP,ICD9,4105,hospitalisation_primary,1
TEST,ArterialNoTP,ICD9,4109,hospitalisation_secondary,1
TEST,ArterialNoTP,ICD9,4104,hospitalisation_primary,1
TEST,ArterialNoTP,ICD9,4107,hospitalisation_primary,1
TEST,ArterialNoTP,ICD9,4349,emergency_room_diagnosis,2
TEST,ArterialNoTP,ICD9,412,hospitalisation_secondary,1
TEST,ArterialNoTP,ICD9,4102,hospitalisation_primary,1
TEST,ArterialNoTP,ICD9,4109,emergency_room_diagnosis,2
TEST,ArterialNoTP,ICD9,4340,hospitalisation_primary,1
TEST,ArterialNoTP,ICD9,4101,hospitalisation_secondary,1
TEST,ArterialNoTP,ICD9,4107,emergency_room_diagnosis,3
TEST,ArterialNoTP,ICD9,4103,hospitalisation_primary,1
TEST,VTENoTP,ICD9,4151,emergency_room_diagnosis,3
TEST,VTENoTP,ICD9,4518,emergency_room_diagnosis,1
TEST,ArterialVTENoTP,ICD9,4101,hospitalisation_primary,1
TEST,ArterialVTENoTP,ICD9,4340,hospitalisation_primary,1
TEST,ArterialVTENoTP,ICD9,4105,hospitalisation_primary,1
TEST,ArterialVTENoTP,ICD9,4151,emergency_room_diagnosis,3
TEST,ArterialVTENoTP,ICD9,4109,hospitalisation_secondary,1
TEST,ArterialVTENoTP,ICD9,4518,emergency_room_diagnosis,1
TEST,ArterialVTENoTP,ICD9,4104,hospitalisation_primary,1
TEST,ArterialVTENoTP,ICD9,4107,hospitalisation_primary,1
TEST,ArterialVTENoTP,ICD9,4349,emergency_room_diagnosis,2
TEST,ArterialVTENoTP,ICD9,412,hospitalisation_secondary,1
TEST,ArterialVTENoTP,ICD9,4102,hospitalisation_primary,1
TEST,ArterialVTENoTP,ICD9,4109,emergency_room_diagnosis,2
TEST,ArterialVTENoTP,ICD9,4340,hospitalisation_primary,1
TEST,ArterialVTENoTP,ICD9,4101,hospitalisation_secondary,1
TEST,ArterialVTENoTP,ICD9,4107,emergency_room_diagnosis,3
TEST,ArterialVTENoTP,ICD9,4103,hospitalisation_primary,1
