DAP,AESI,Age in 2020,Person years,IR narrow,LL narrow,UL narrow,at_risk_at_study_entry
TEST,PERICARD_narrow,70-79,73566,0,0,1831.5,total
TEST,PERICARD_narrow,80+,66978,0,0,2011.65,total
TEST,PERICARD_narrow,0-59,195246,187.07,4.74,1042.3,total
TEST,PERICARD_narrow,60+,237900,0,0,566.36,total
TEST,AKI_narrow,12-17,4758,0,0,28317.85,total
TEST,AKI_narrow,18-24,9150,0,0,14725.28,total
TEST,AKI_narrow,25-29,9516,0,0,14158.92,total
TEST,AKI_narrow,30-39,28914,0,0,4659.9,total
TEST,AKI_narrow,40-49,53070,0,0,2538.84,total
TEST,AKI_narrow,50-59,90402,0,0,1490.41,total
TEST,AKI_narrow,60-69,97050,376.35,9.53,2096.9,total
TEST,AKI_narrow,70-79,73556,496.56,12.57,2766.66,total
TEST,AKI_narrow,80+,66850,546.37,13.83,3044.19,total
TEST,AKI_narrow,0-59,195810,0,0,688.1,total
TEST,AKI_narrow,60+,237456,461.45,95.16,1348.56,total
TEST,GENCONV_narrow,12-17,4758,0,0,28317.85,total
TEST,GENCONV_narrow,18-24,9150,0,0,14725.28,total
TEST,GENCONV_narrow,25-29,9516,0,0,14158.92,total
TEST,GENCONV_narrow,30-39,28914,0,0,4659.9,total
TEST,GENCONV_narrow,40-49,53070,0,0,2538.84,total
TEST,GENCONV_narrow,50-59,90402,0,0,1490.41,total
TEST,GENCONV_narrow,60-69,97356,0,0,1383.95,total
TEST,GENCONV_narrow,70-79,73566,0,0,1831.5,total
TEST,GENCONV_narrow,80+,66918,1091.63,132.2,3943.36,total
TEST,GENCONV_narrow,0-59,195810,0,0,688.1,total
TEST,GENCONV_narrow,60+,237840,307.14,37.2,1109.49,total
TEST,MENINGOENC_narrow,12-17,4758,0,0,28317.85,total
TEST,MENINGOENC_narrow,18-24,9150,0,0,14725.28,total
TEST,MENINGOENC_narrow,25-29,9516,0,0,14158.92,total
TEST,MENINGOENC_narrow,30-39,28914,0,0,4659.9,total
TEST,MENINGOENC_narrow,40-49,53070,0,0,2538.84,total
TEST,MENINGOENC_narrow,50-59,90402,0,0,1490.41,total
TEST,MENINGOENC_narrow,60-69,97356,0,0,1383.95,total
TEST,MENINGOENC_narrow,70-79,73566,0,0,1831.5,total
TEST,MENINGOENC_narrow,80+,66978,0,0,2011.65,total
TEST,MENINGOENC_narrow,0-59,195810,0,0,688.1,total
TEST,MENINGOENC_narrow,60+,237900,0,0,566.36,total
TEST,ARD_narrow,12-17,4758,0,0,28317.85,total
TEST,ARD_narrow,18-24,9150,0,0,14725.28,total
TEST,ARD_narrow,25-29,9516,0,0,14158.92,total
TEST,ARD_narrow,30-39,28914,0,0,4659.9,total
TEST,ARD_narrow,40-49,53070,0,0,2538.84,total
TEST,ARD_narrow,50-59,90402,0,0,1490.41,total
TEST,ARD_narrow,60-69,97356,0,0,1383.95,total
TEST,ARD_narrow,70-79,73566,0,0,1831.5,total
TEST,ARD_narrow,80+,66978,0,0,2011.65,total
TEST,ARD_narrow,0-59,195810,0,0,688.1,total
TEST,ARD_narrow,60+,237900,0,0,566.36,total
TEST,CHILBLAIN_narrow,12-17,4758,0,0,28317.85,total
TEST,CHILBLAIN_narrow,18-24,9150,0,0,14725.28,total
TEST,CHILBLAIN_narrow,25-29,9516,0,0,14158.92,total
TEST,CHILBLAIN_narrow,30-39,28914,0,0,4659.9,total
TEST,CHILBLAIN_narrow,40-49,53070,0,0,2538.84,total
TEST,CHILBLAIN_narrow,50-59,90402,0,0,1490.41,total
TEST,CHILBLAIN_narrow,60-69,97356,0,0,1383.95,total
TEST,CHILBLAIN_narrow,70-79,73566,0,0,1831.5,total
TEST,CHILBLAIN_narrow,80+,66978,0,0,2011.65,total
TEST,CHILBLAIN_narrow,0-59,195810,0,0,688.1,total
TEST,CHILBLAIN_narrow,60+,237900,0,0,566.36,total
TEST,Hemostroke_narrow,12-17,4758,0,0,28317.85,total
TEST,Hemostroke_narrow,18-24,9150,0,0,14725.28,total
TEST,Hemostroke_narrow,25-29,9516,0,0,14158.92,total
TEST,Hemostroke_narrow,30-39,28914,0,0,4659.9,total
TEST,Hemostroke_narrow,40-49,53070,0,0,2538.84,total
TEST,Hemostroke_narrow,50-59,90402,0,0,1490.41,total
TEST,Hemostroke_narrow,60-69,97356,0,0,1383.95,total
TEST,Hemostroke_narrow,70-79,73566,0,0,1831.5,total
TEST,Hemostroke_narrow,80+,66978,0,0,2011.65,total
TEST,Hemostroke_narrow,0-59,195810,0,0,688.1,total
TEST,Hemostroke_narrow,60+,237900,0,0,566.36,total
TEST,Ischstroke_narrow,12-17,4758,0,0,28317.85,total
TEST,Ischstroke_narrow,18-24,9150,0,0,14725.28,total
TEST,Ischstroke_narrow,25-29,9516,0,0,14158.92,total
TEST,Ischstroke_narrow,30-39,28914,0,0,4659.9,total
TEST,Ischstroke_narrow,40-49,53070,0,0,2538.84,total
TEST,Ischstroke_narrow,50-59,89801,813.47,98.51,2938.52,total
TEST,Ischstroke_narrow,60-69,97356,0,0,1383.95,total
TEST,Ischstroke_narrow,70-79,73197,499,12.63,2780.23,total
TEST,Ischstroke_narrow,80+,66612,0,0,2022.7,total
TEST,Ischstroke_narrow,0-59,195209,374.21,45.32,1351.79,total
TEST,Ischstroke_narrow,60+,237165,154.01,3.9,858.07,total
TEST,VTE_narrow,12-17,4758,0,0,28317.85,total
TEST,VTE_narrow,18-24,9150,0,0,14725.28,total
TEST,VTE_narrow,25-29,9516,0,0,14158.92,total
TEST,VTE_narrow,30-39,28914,0,0,4659.9,total
TEST,VTE_narrow,40-49,53070,0,0,2538.84,total
TEST,VTE_narrow,50-59,90402,0,0,1490.41,total
TEST,VTE_narrow,60-69,96899,376.94,9.54,2100.17,total
TEST,VTE_narrow,70-79,73305,996.52,120.68,3599.78,total
TEST,VTE_narrow,80+,66246,0,0,2033.88,total
TEST,VTE_narrow,0-59,195810,0,0,688.1,total
TEST,VTE_narrow,60+,236450,463.42,95.57,1354.3,total
TEST,MIS_KD_narrow,12-17,4758,0,0,28317.85,total
TEST,MIS_KD_narrow,18-24,9150,0,0,14725.28,total
TEST,MIS_KD_narrow,25-29,9516,0,0,14158.92,total
TEST,MIS_KD_narrow,30-39,28914,0,0,4659.9,total
TEST,MIS_KD_narrow,40-49,53070,0,0,2538.84,total
TEST,MIS_KD_narrow,50-59,90402,0,0,1490.41,total
TEST,MIS_KD_narrow,60-69,97356,0,0,1383.95,total
TEST,MIS_KD_narrow,70-79,73566,0,0,1831.5,total
TEST,MIS_KD_narrow,80+,66978,0,0,2011.65,total
TEST,MIS_KD_narrow,0-59,195810,0,0,688.1,total
TEST,MIS_KD_narrow,60+,237900,0,0,566.36,total
TEST,ArterialNoTP,12-17,4758,0,0,28317.85,total
TEST,ArterialNoTP,18-24,9150,0,0,14725.28,total
TEST,ArterialNoTP,25-29,9516,0,0,14158.92,total
TEST,ArterialNoTP,30-39,28914,0,0,4659.9,total
TEST,ArterialNoTP,40-49,53070,0,0,2538.84,total
TEST,ArterialNoTP,50-59,89801,813.47,98.51,2938.52,total
TEST,ArterialNoTP,60-69,96652,755.8,91.53,2730.23,total
TEST,ArterialNoTP,70-79,72533,1510.69,311.54,4414.88,total
TEST,ArterialNoTP,80+,66385,550.2,13.93,3065.52,total
TEST,ArterialNoTP,0-59,195209,374.21,45.32,1351.79,total
TEST,ArterialNoTP,60+,235570,930.3,341.4,2024.86,total
TEST,VTENoTP,12-17,4758,0,0,28317.85,total
TEST,VTENoTP,18-24,9150,0,0,14725.28,total
TEST,VTENoTP,25-29,9516,0,0,14158.92,total
TEST,VTENoTP,30-39,28914,0,0,4659.9,total
TEST,VTENoTP,40-49,53070,0,0,2538.84,total
TEST,VTENoTP,50-59,90402,0,0,1490.41,total
TEST,VTENoTP,60-69,96899,376.94,9.54,2100.17,total
TEST,VTENoTP,70-79,73305,996.52,120.68,3599.78,total
TEST,VTENoTP,80+,66246,0,0,2033.88,total
TEST,VTENoTP,0-59,195810,0,0,688.1,total
TEST,VTENoTP,60+,236450,463.42,95.57,1354.3,total
TEST,ArterialVTENoTP,12-17,4758,0,0,28317.85,total
TEST,ArterialVTENoTP,18-24,9150,0,0,14725.28,total
TEST,ArterialVTENoTP,25-29,9516,0,0,14158.92,total
TEST,ArterialVTENoTP,30-39,28914,0,0,4659.9,total
TEST,ArterialVTENoTP,40-49,53070,0,0,2538.84,total
TEST,ArterialVTENoTP,50-59,89801,813.47,98.51,2938.52,total
TEST,ArterialVTENoTP,60-69,96195,1139.09,234.91,3328.91,total
TEST,ArterialVTENoTP,70-79,72272,2526.91,820.48,5896.97,total
TEST,ArterialVTENoTP,80+,65653,556.33,14.09,3099.69,total
TEST,ArterialVTENoTP,0-59,195209,374.21,45.32,1351.79,total
TEST,ArterialVTENoTP,60+,234120,1404.09,642.04,2665.4,total
