DAP,AESI,Age in 2020,Sex,Person years,IR narrow,LL narrow,UL narrow
TEST,HF_narrow,0-59,Female,0,0,0,8978.83
TEST,HF_narrow,0-59,Male,0,0,0,11155.52
TEST,HF_narrow,12-17,Male,0,0,0,184066.01
TEST,HF_narrow,18-24,Male,0,0,0,122710.68
TEST,HF_narrow,25-29,Female,0,0,0,368132.03
TEST,HF_narrow,25-29,Male,0,0,0,368132.03
TEST,HF_narrow,30-39,Female,0,0,0,61355.34
TEST,HF_narrow,30-39,Male,0,0,0,368132.03
TEST,HF_narrow,40-49,Female,0,0,0,33466.55
TEST,HF_narrow,40-49,Male,0,0,0,40903.56
TEST,HF_narrow,50-59,Female,0,0,0,16005.74
TEST,HF_narrow,50-59,Male,0,0,0,21654.83
TEST,HF_narrow,60+,Female,3,1716.29,353.94,5015.74
TEST,HF_narrow,60+,Male,1,629.05,15.93,3504.83
TEST,HF_narrow,60-69,Female,0,0,0,7669.42
TEST,HF_narrow,60-69,Male,0,0,0,6573.79
TEST,HF_narrow,70-79,Female,1,1792.11,45.37,9985
TEST,HF_narrow,70-79,Male,0,0,0,6573.79
TEST,HF_narrow,80+,Female,2,2821.01,341.64,10190.45
TEST,HF_narrow,80+,Male,1,2139.47,54.17,11920.35
TEST,Hemostroke_narrow,0-59,Female,0,0,0,8978.83
TEST,Hemostroke_narrow,0-59,Male,0,0,0,11155.52
TEST,Hemostroke_narrow,12-17,Male,0,0,0,184066.01
TEST,Hemostroke_narrow,18-24,Male,0,0,0,122710.68
TEST,Hemostroke_narrow,25-29,Female,0,0,0,368132.03
TEST,Hemostroke_narrow,25-29,Male,0,0,0,368132.03
TEST,Hemostroke_narrow,30-39,Female,0,0,0,61355.34
TEST,Hemostroke_narrow,30-39,Male,0,0,0,368132.03
TEST,Hemostroke_narrow,40-49,Female,0,0,0,33466.55
TEST,Hemostroke_narrow,40-49,Male,0,0,0,40903.56
TEST,Hemostroke_narrow,50-59,Female,0,0,0,16005.74
TEST,Hemostroke_narrow,50-59,Male,0,0,0,21654.83
TEST,Hemostroke_narrow,60+,Female,0,0,0,2033.88
TEST,Hemostroke_narrow,60+,Male,0,0,0,2300.83
TEST,Hemostroke_narrow,60-69,Female,0,0,0,7669.42
TEST,Hemostroke_narrow,60-69,Male,0,0,0,6573.79
TEST,Hemostroke_narrow,70-79,Female,0,0,0,6573.79
TEST,Hemostroke_narrow,70-79,Male,0,0,0,6573.79
TEST,Hemostroke_narrow,80+,Female,0,0,0,4780.94
TEST,Hemostroke_narrow,80+,Male,0,0,0,7669.42
TEST,Ischstroke_narrow,0-59,Female,0,0,0,8978.83
TEST,Ischstroke_narrow,0-59,Male,0,0,0,11155.52
TEST,Ischstroke_narrow,12-17,Male,0,0,0,184066.01
TEST,Ischstroke_narrow,18-24,Male,0,0,0,122710.68
TEST,Ischstroke_narrow,25-29,Female,0,0,0,368132.03
TEST,Ischstroke_narrow,25-29,Male,0,0,0,368132.03
TEST,Ischstroke_narrow,30-39,Female,0,0,0,61355.34
TEST,Ischstroke_narrow,30-39,Male,0,0,0,368132.03
TEST,Ischstroke_narrow,40-49,Female,0,0,0,33466.55
TEST,Ischstroke_narrow,40-49,Male,0,0,0,40903.56
TEST,Ischstroke_narrow,50-59,Female,0,0,0,16005.74
TEST,Ischstroke_narrow,50-59,Male,0,0,0,21654.83
TEST,Ischstroke_narrow,60+,Female,0,0,0,2056.6
TEST,Ischstroke_narrow,60+,Male,0,0,0,2300.83
TEST,Ischstroke_narrow,60-69,Female,0,0,0,7669.42
TEST,Ischstroke_narrow,60-69,Male,0,0,0,6573.79
TEST,Ischstroke_narrow,70-79,Female,0,0,0,6693.31
TEST,Ischstroke_narrow,70-79,Male,0,0,0,6573.79
TEST,Ischstroke_narrow,80+,Female,0,0,0,4843.84
TEST,Ischstroke_narrow,80+,Male,0,0,0,7669.42
TEST,MENINGOENC_narrow,0-59,Female,0,0,0,8978.83
TEST,MENINGOENC_narrow,0-59,Male,0,0,0,11155.52
TEST,MENINGOENC_narrow,12-17,Male,0,0,0,184066.01
TEST,MENINGOENC_narrow,18-24,Male,0,0,0,122710.68
TEST,MENINGOENC_narrow,25-29,Female,0,0,0,368132.03
TEST,MENINGOENC_narrow,25-29,Male,0,0,0,368132.03
TEST,MENINGOENC_narrow,30-39,Female,0,0,0,61355.34
TEST,MENINGOENC_narrow,30-39,Male,0,0,0,368132.03
TEST,MENINGOENC_narrow,40-49,Female,0,0,0,33466.55
TEST,MENINGOENC_narrow,40-49,Male,0,0,0,40903.56
TEST,MENINGOENC_narrow,50-59,Female,0,0,0,16005.74
TEST,MENINGOENC_narrow,50-59,Male,0,0,0,21654.83
TEST,MENINGOENC_narrow,60+,Female,0,0,0,2033.88
TEST,MENINGOENC_narrow,60+,Male,0,0,0,2300.83
TEST,MENINGOENC_narrow,60-69,Female,0,0,0,7669.42
TEST,MENINGOENC_narrow,60-69,Male,0,0,0,6573.79
TEST,MENINGOENC_narrow,70-79,Female,0,0,0,6573.79
TEST,MENINGOENC_narrow,70-79,Male,0,0,0,6573.79
TEST,MENINGOENC_narrow,80+,Female,0,0,0,4780.94
TEST,MENINGOENC_narrow,80+,Male,0,0,0,7669.42
TEST,MIS_KD_narrow,0-59,Female,0,0,0,8978.83
TEST,MIS_KD_narrow,0-59,Male,0,0,0,11155.52
TEST,MIS_KD_narrow,12-17,Male,0,0,0,184066.01
TEST,MIS_KD_narrow,18-24,Male,0,0,0,122710.68
TEST,MIS_KD_narrow,25-29,Female,0,0,0,368132.03
TEST,MIS_KD_narrow,25-29,Male,0,0,0,368132.03
TEST,MIS_KD_narrow,30-39,Female,0,0,0,61355.34
TEST,MIS_KD_narrow,30-39,Male,0,0,0,368132.03
TEST,MIS_KD_narrow,40-49,Female,0,0,0,33466.55
TEST,MIS_KD_narrow,40-49,Male,0,0,0,40903.56
TEST,MIS_KD_narrow,50-59,Female,0,0,0,16005.74
TEST,MIS_KD_narrow,50-59,Male,0,0,0,21654.83
TEST,MIS_KD_narrow,60+,Female,0,0,0,2033.88
TEST,MIS_KD_narrow,60+,Male,0,0,0,2300.83
TEST,MIS_KD_narrow,60-69,Female,0,0,0,7669.42
TEST,MIS_KD_narrow,60-69,Male,0,0,0,6573.79
TEST,MIS_KD_narrow,70-79,Female,0,0,0,6573.79
TEST,MIS_KD_narrow,70-79,Male,0,0,0,6573.79
TEST,MIS_KD_narrow,80+,Female,0,0,0,4780.94
TEST,MIS_KD_narrow,80+,Male,0,0,0,7669.42
TEST,MYOCARD_narrow,0-59,Female,0,0,0,8978.83
TEST,MYOCARD_narrow,0-59,Male,0,0,0,11504.13
TEST,MYOCARD_narrow,12-17,Male,0,0,0,184066.01
TEST,MYOCARD_narrow,18-24,Male,0,0,0,122710.68
TEST,MYOCARD_narrow,25-29,Female,0,0,0,368132.03
TEST,MYOCARD_narrow,25-29,Male,0,0,0,368132.03
TEST,MYOCARD_narrow,30-39,Female,0,0,0,61355.34
TEST,MYOCARD_narrow,30-39,Male,0,0,0,368132.03
TEST,MYOCARD_narrow,40-49,Female,0,0,0,33466.55
TEST,MYOCARD_narrow,40-49,Male,0,0,0,40903.56
TEST,MYOCARD_narrow,50-59,Female,0,0,0,16005.74
TEST,MYOCARD_narrow,50-59,Male,0,0,0,23008.25
TEST,MYOCARD_narrow,60+,Female,0,0,0,2033.88
TEST,MYOCARD_narrow,60+,Male,0,0,0,2300.83
TEST,MYOCARD_narrow,60-69,Female,0,0,0,7669.42
TEST,MYOCARD_narrow,60-69,Male,0,0,0,6573.79
TEST,MYOCARD_narrow,70-79,Female,0,0,0,6573.79
TEST,MYOCARD_narrow,70-79,Male,0,0,0,6573.79
TEST,MYOCARD_narrow,80+,Female,0,0,0,4780.94
TEST,MYOCARD_narrow,80+,Male,0,0,0,7669.42
TEST,PERICARD_narrow,0-59,Female,0,0,0,8978.83
TEST,PERICARD_narrow,0-59,Male,0,0,0,11504.13
TEST,PERICARD_narrow,12-17,Male,0,0,0,184066.01
TEST,PERICARD_narrow,18-24,Male,0,0,0,122710.68
TEST,PERICARD_narrow,25-29,Female,0,0,0,368132.03
TEST,PERICARD_narrow,25-29,Male,0,0,0,368132.03
TEST,PERICARD_narrow,30-39,Female,0,0,0,61355.34
TEST,PERICARD_narrow,30-39,Male,0,0,0,368132.03
TEST,PERICARD_narrow,40-49,Female,0,0,0,33466.55
TEST,PERICARD_narrow,40-49,Male,0,0,0,40903.56
TEST,PERICARD_narrow,50-59,Female,0,0,0,16005.74
TEST,PERICARD_narrow,50-59,Male,0,0,0,23008.25
TEST,PERICARD_narrow,60+,Female,0,0,0,2033.88
TEST,PERICARD_narrow,60+,Male,0,0,0,2300.83
TEST,PERICARD_narrow,60-69,Female,0,0,0,7669.42
TEST,PERICARD_narrow,60-69,Male,0,0,0,6573.79
TEST,PERICARD_narrow,70-79,Female,0,0,0,6573.79
TEST,PERICARD_narrow,70-79,Male,0,0,0,6573.79
TEST,PERICARD_narrow,80+,Female,0,0,0,4780.94
TEST,PERICARD_narrow,80+,Male,0,0,0,7669.42
TEST,VTENoTP,0-59,Female,0,0,0,8978.83
TEST,VTENoTP,0-59,Male,0,0,0,11155.52
TEST,VTENoTP,12-17,Male,0,0,0,184066.01
TEST,VTENoTP,18-24,Male,0,0,0,122710.68
TEST,VTENoTP,25-29,Female,0,0,0,368132.03
TEST,VTENoTP,25-29,Male,0,0,0,368132.03
TEST,VTENoTP,30-39,Female,0,0,0,61355.34
TEST,VTENoTP,30-39,Male,0,0,0,368132.03
TEST,VTENoTP,40-49,Female,0,0,0,33466.55
TEST,VTENoTP,40-49,Male,0,0,0,40903.56
TEST,VTENoTP,50-59,Female,0,0,0,16005.74
TEST,VTENoTP,50-59,Male,0,0,0,21654.83
TEST,VTENoTP,60+,Female,2,1119.49,135.58,4043.98
TEST,VTENoTP,60+,Male,1,624.69,15.82,3480.55
TEST,VTENoTP,60-69,Female,0,0,0,7832.6
TEST,VTENoTP,60-69,Male,1,1790,45.32,9973.26
TEST,VTENoTP,70-79,Female,2,3610.08,437.2,13040.86
TEST,VTENoTP,70-79,Male,0,0,0,6573.79
TEST,VTENoTP,80+,Female,0,0,0,4843.84
TEST,VTENoTP,80+,Male,0,0,0,7669.42
TEST,VTE_narrow,0-59,Female,0,0,0,8978.83
TEST,VTE_narrow,0-59,Male,0,0,0,11155.52
TEST,VTE_narrow,12-17,Male,0,0,0,184066.01
TEST,VTE_narrow,18-24,Male,0,0,0,122710.68
TEST,VTE_narrow,25-29,Female,0,0,0,368132.03
TEST,VTE_narrow,25-29,Male,0,0,0,368132.03
TEST,VTE_narrow,30-39,Female,0,0,0,61355.34
TEST,VTE_narrow,30-39,Male,0,0,0,368132.03
TEST,VTE_narrow,40-49,Female,0,0,0,33466.55
TEST,VTE_narrow,40-49,Male,0,0,0,40903.56
TEST,VTE_narrow,50-59,Female,0,0,0,16005.74
TEST,VTE_narrow,50-59,Male,0,0,0,21654.83
TEST,VTE_narrow,60+,Female,2,1119.49,135.58,4043.98
TEST,VTE_narrow,60+,Male,1,624.69,15.82,3480.55
TEST,VTE_narrow,60-69,Female,0,0,0,7832.6
TEST,VTE_narrow,60-69,Male,1,1790,45.32,9973.26
TEST,VTE_narrow,70-79,Female,2,3610.08,437.2,13040.86
TEST,VTE_narrow,70-79,Male,0,0,0,6573.79
TEST,VTE_narrow,80+,Female,0,0,0,4843.84
TEST,VTE_narrow,80+,Male,0,0,0,7669.42
