DAP,Vaccine brand,Year,Week,Number of doses,Number vaccinate,Number present,Coverage
TEST,J&J,2021,4,0,0,2081,0
TEST,J&J,2021,4,0,0,2081,0
TEST,Moderna,2021,4,3,3,2081,0.1
TEST,Moderna,2021,4,3,0,2081,0
TEST,Pfizer,2021,4,55,39,2081,1.9
TEST,Pfizer,2021,4,55,16,2081,0.8
TEST,UKN,2021,4,0,0,2081,0
TEST,UKN,2021,4,0,0,2081,0
TEST,AstraZeneca,2021,5,0,0,2078,0
TEST,AstraZeneca,2021,5,0,0,2078,0
TEST,J&J,2021,5,0,0,2078,0
TEST,J&J,2021,5,0,0,2078,0
TEST,Moderna,2021,5,3,3,2078,0.1
TEST,Moderna,2021,5,3,0,2078,0
TEST,Pfizer,2021,5,69,42,2078,2
TEST,Pfizer,2021,5,69,27,2078,1.3
TEST,UKN,2021,5,0,0,2078,0
TEST,UKN,2021,5,0,0,2078,0
TEST,AstraZeneca,2021,6,4,4,2069,0.2
TEST,AstraZeneca,2021,6,4,0,2069,0
TEST,J&J,2021,6,0,0,2069,0
TEST,J&J,2021,6,0,0,2069,0
TEST,Moderna,2021,6,3,3,2069,0.1
TEST,Moderna,2021,6,3,0,2069,0
TEST,Pfizer,2021,6,84,49,2069,2.4
TEST,Pfizer,2021,6,84,35,2069,1.7
TEST,UKN,2021,6,0,0,2069,0
TEST,UKN,2021,6,0,0,2069,0
TEST,AstraZeneca,2021,7,14,14,2064,0.7
TEST,AstraZeneca,2021,7,14,0,2064,0
TEST,J&J,2021,7,0,0,2064,0
TEST,J&J,2021,7,0,0,2064,0
TEST,Moderna,2021,7,5,3,2064,0.1
TEST,Moderna,2021,7,5,2,2064,0.1
TEST,Pfizer,2021,7,91,56,2064,2.7
TEST,Pfizer,2021,7,91,35,2064,1.7
TEST,UKN,2021,7,0,0,2064,0
TEST,UKN,2021,7,0,0,2064,0
TEST,AstraZeneca,2021,8,22,22,2050,1.1
TEST,AstraZeneca,2021,8,22,0,2050,0
TEST,J&J,2021,8,0,0,2050,0
TEST,J&J,2021,8,0,0,2050,0
TEST,Moderna,2021,8,8,5,2050,0.2
TEST,Moderna,2021,8,8,3,2050,0.1
TEST,Pfizer,2021,8,103,66,2050,3.2
TEST,Pfizer,2021,8,103,37,2050,1.8
TEST,UKN,2021,8,0,0,2050,0
TEST,UKN,2021,8,0,0,2050,0
TEST,AstraZeneca,2021,9,35,35,2040,1.7
TEST,AstraZeneca,2021,9,35,0,2040,0
TEST,J&J,2021,9,0,0,2040,0
TEST,J&J,2021,9,0,0,2040,0
TEST,Moderna,2021,9,8,5,2040,0.2
TEST,Moderna,2021,9,8,3,2040,0.1
TEST,Pfizer,2021,9,121,80,2040,3.9
TEST,Pfizer,2021,9,121,41,2040,2
TEST,UKN,2021,9,0,0,2040,0
TEST,UKN,2021,9,0,0,2040,0
TEST,AstraZeneca,2021,10,39,39,2039,1.9
TEST,AstraZeneca,2021,10,39,0,2039,0
TEST,J&J,2021,10,0,0,2039,0
TEST,J&J,2021,10,0,0,2039,0
TEST,Moderna,2021,10,9,6,2039,0.3
TEST,Moderna,2021,10,9,3,2039,0.1
TEST,Pfizer,2021,10,160,112,2039,5.5
TEST,Pfizer,2021,10,160,48,2039,2.4
TEST,UKN,2021,10,0,0,2039,0
TEST,UKN,2021,10,0,0,2039,0
TEST,AstraZeneca,2021,11,46,46,2031,2.3
TEST,AstraZeneca,2021,11,46,0,2031,0
TEST,J&J,2021,11,0,0,2031,0
TEST,J&J,2021,11,0,0,2031,0
TEST,Moderna,2021,11,15,10,2031,0.5
TEST,Moderna,2021,11,15,5,2031,0.2
TEST,Pfizer,2021,11,180,126,2031,6.2
TEST,Pfizer,2021,11,180,54,2031,2.7
TEST,UKN,2021,11,0,0,2031,0
TEST,UKN,2021,11,0,0,2031,0
TEST,AstraZeneca,2021,12,54,54,2025,2.7
TEST,AstraZeneca,2021,12,54,0,2025,0
TEST,J&J,2021,12,0,0,2025,0
TEST,J&J,2021,12,0,0,2025,0
TEST,Moderna,2021,12,23,18,2025,0.9
TEST,Moderna,2021,12,23,5,2025,0.2
TEST,Pfizer,2021,12,210,142,2025,7
TEST,Pfizer,2021,12,210,68,2025,3.4
TEST,UKN,2021,12,0,0,2025,0
TEST,UKN,2021,12,0,0,2025,0
TEST,AstraZeneca,2021,13,83,83,2021,4.1
TEST,AstraZeneca,2021,13,83,0,2021,0
TEST,J&J,2021,13,0,0,2021,0
TEST,J&J,2021,13,0,0,2021,0
TEST,Moderna,2021,13,36,31,2021,1.5
TEST,Moderna,2021,13,36,5,2021,0.2
TEST,Pfizer,2021,13,266,168,2021,8.3
TEST,Pfizer,2021,13,266,98,2021,4.8
TEST,UKN,2021,13,0,0,2021,0
TEST,UKN,2021,13,0,0,2021,0
TEST,AstraZeneca,2021,14,119,119,2008,5.9
TEST,AstraZeneca,2021,14,119,0,2008,0
TEST,J&J,2021,14,0,0,2008,0
TEST,J&J,2021,14,0,0,2008,0
TEST,Moderna,2021,14,43,37,2008,1.8
TEST,Moderna,2021,14,43,6,2008,0.3
TEST,Pfizer,2021,14,317,212,2008,10.6
TEST,Pfizer,2021,14,317,105,2008,5.2
TEST,UKN,2021,14,0,0,2008,0
TEST,UKN,2021,14,0,0,2008,0
TEST,AstraZeneca,2021,15,120,120,2000,6
TEST,AstraZeneca,2021,15,120,0,2000,0
TEST,J&J,2021,15,0,0,2000,0
TEST,J&J,2021,15,0,0,2000,0
TEST,Moderna,2021,15,52,44,2000,2.2
TEST,Moderna,2021,15,52,8,2000,0.4
TEST,Pfizer,2021,15,368,248,2000,12.4
TEST,Pfizer,2021,15,368,120,2000,6
TEST,UKN,2021,15,0,0,2000,0
TEST,UKN,2021,15,0,0,2000,0
TEST,AstraZeneca,2021,16,124,124,1995,6.2
TEST,AstraZeneca,2021,16,124,0,1995,0
TEST,J&J,2021,16,0,0,1995,0
TEST,J&J,2021,16,0,0,1995,0
TEST,Moderna,2021,16,64,47,1995,2.4
TEST,Moderna,2021,16,64,17,1995,0.9
TEST,Pfizer,2021,16,445,294,1995,14.7
TEST,Pfizer,2021,16,445,151,1995,7.6
TEST,UKN,2021,16,0,0,1995,0
TEST,UKN,2021,16,0,0,1995,0
TEST,AstraZeneca,2021,17,140,140,1992,7
TEST,AstraZeneca,2021,17,140,0,1992,0
TEST,J&J,2021,17,6,6,1992,0.3
TEST,J&J,2021,17,6,0,1992,0
TEST,Moderna,2021,17,82,53,1992,2.7
TEST,Moderna,2021,17,82,29,1992,1.5
TEST,Pfizer,2021,17,509,320,1992,16.1
TEST,Pfizer,2021,17,509,189,1992,9.5
TEST,UKN,2021,17,0,0,1992,0
TEST,UKN,2021,17,0,0,1992,0
TEST,AstraZeneca,2021,18,152,150,1988,7.5
TEST,AstraZeneca,2021,18,152,2,1988,0.1
TEST,J&J,2021,18,8,8,1988,0.4
TEST,J&J,2021,18,8,0,1988,0
TEST,Moderna,2021,18,109,74,1988,3.7
TEST,Moderna,2021,18,109,35,1988,1.8
TEST,Pfizer,2021,18,577,354,1988,17.8
TEST,Pfizer,2021,18,577,223,1988,11.2
TEST,UKN,2021,18,0,0,1988,0
TEST,UKN,2021,18,0,0,1988,0
TEST,AstraZeneca,2021,19,180,171,1976,8.7
TEST,AstraZeneca,2021,19,180,9,1976,0.5
TEST,J&J,2021,19,11,11,1976,0.6
TEST,J&J,2021,19,11,0,1976,0
TEST,Moderna,2021,19,116,79,1976,4
TEST,Moderna,2021,19,116,37,1976,1.9
TEST,Pfizer,2021,19,632,373,1976,18.9
TEST,Pfizer,2021,19,632,259,1976,13.1
TEST,UKN,2021,19,0,0,1976,0
TEST,UKN,2021,19,0,0,1976,0
TEST,AstraZeneca,2021,20,202,184,1971,9.3
TEST,AstraZeneca,2021,20,202,18,1971,0.9
TEST,J&J,2021,20,12,12,1971,0.6
TEST,J&J,2021,20,12,0,1971,0
TEST,Moderna,2021,20,133,93,1971,4.7
TEST,Moderna,2021,20,133,40,1971,2
TEST,Pfizer,2021,20,698,428,1971,21.7
TEST,Pfizer,2021,20,698,270,1971,13.7
TEST,UKN,2021,20,0,0,1971,0
TEST,UKN,2021,20,0,0,1971,0
TEST,AstraZeneca,2021,21,225,199,1966,10.1
TEST,AstraZeneca,2021,21,225,26,1966,1.3
TEST,J&J,2021,21,14,14,1966,0.7
TEST,J&J,2021,21,14,0,1966,0
TEST,Moderna,2021,21,141,99,1966,5
TEST,Moderna,2021,21,141,42,1966,2.1
TEST,Pfizer,2021,21,799,496,1966,25.2
TEST,Pfizer,2021,21,799,303,1966,15.4
TEST,UKN,2021,21,0,0,1966,0
TEST,UKN,2021,21,0,0,1966,0
TEST,AstraZeneca,2021,22,237,207,1960,10.6
TEST,AstraZeneca,2021,22,237,30,1960,1.5
TEST,J&J,2021,22,22,22,1960,1.1
TEST,J&J,2021,22,22,0,1960,0
TEST,Moderna,2021,22,172,109,1960,5.6
TEST,Moderna,2021,22,172,63,1960,3.2
TEST,Pfizer,2021,22,895,571,1960,29.1
TEST,Pfizer,2021,22,895,324,1960,16.5
TEST,UKN,2021,22,0,0,1960,0
TEST,UKN,2021,22,0,0,1960,0
TEST,AstraZeneca,2021,23,241,207,1952,10.6
TEST,AstraZeneca,2021,23,241,34,1952,1.7
TEST,J&J,2021,23,29,29,1952,1.5
TEST,J&J,2021,23,29,0,1952,0
TEST,Moderna,2021,23,185,119,1952,6.1
TEST,Moderna,2021,23,185,66,1952,3.4
TEST,Pfizer,2021,23,961,643,1952,32.9
TEST,Pfizer,2021,23,961,318,1952,16.3
TEST,UKN,2021,23,0,0,1952,0
TEST,UKN,2021,23,0,0,1952,0
TEST,AstraZeneca,2021,24,247,200,1949,10.3
TEST,AstraZeneca,2021,24,247,47,1949,2.4
TEST,J&J,2021,24,31,31,1949,1.6
TEST,J&J,2021,24,31,0,1949,0
TEST,Moderna,2021,24,202,135,1949,6.9
TEST,Moderna,2021,24,202,67,1949,3.4
TEST,Pfizer,2021,24,1043,717,1949,36.8
TEST,Pfizer,2021,24,1043,326,1949,16.7
TEST,UKN,2021,24,0,0,1949,0
TEST,UKN,2021,24,0,0,1949,0
TEST,AstraZeneca,2021,25,277,207,1943,10.7
TEST,AstraZeneca,2021,25,277,70,1943,3.6
TEST,J&J,2021,25,31,31,1943,1.6
TEST,J&J,2021,25,31,0,1943,0
TEST,Moderna,2021,25,204,135,1943,6.9
TEST,Moderna,2021,25,204,69,1943,3.6
TEST,Pfizer,2021,25,1107,774,1943,39.8
TEST,Pfizer,2021,25,1107,333,1943,17.1
TEST,UKN,2021,25,0,0,1943,0
TEST,UKN,2021,25,0,0,1943,0
TEST,AstraZeneca,2021,26,289,207,1939,10.7
TEST,AstraZeneca,2021,26,289,82,1939,4.2
TEST,J&J,2021,26,31,31,1939,1.6
TEST,J&J,2021,26,31,0,1939,0
TEST,Moderna,2021,26,205,136,1939,7
TEST,Moderna,2021,26,205,69,1939,3.6
TEST,Pfizer,2021,26,1119,776,1939,40
TEST,Pfizer,2021,26,1119,343,1939,17.7
TEST,UKN,2021,26,0,0,1939,0
TEST,UKN,2021,26,0,0,1939,0
