DAP,AESI,Age in 2020,Sex,Person years,IR narrow,LL narrow,UL narrow
TEST,ARR_narrow,0-59,Female,14640,0,0,9203.3
TEST,ARR_narrow,0-59,Male,11712,0,0,11504.13
TEST,ARR_narrow,60+,Female,63076,2316.25,631.1,5930.53
TEST,ARR_narrow,60+,Male,55158,4635.32,1863.64,9550.53
TEST,ArterialNoTP,12-17,Male,732,0,0,184066.01
TEST,ArterialNoTP,18-24,Male,1098,0,0,122710.68
TEST,ArterialNoTP,25-29,Female,366,0,0,368132.03
TEST,ArterialNoTP,25-29,Male,366,0,0,368132.03
TEST,ArterialNoTP,30-39,Female,2196,0,0,61355.34
TEST,ArterialNoTP,30-39,Male,366,0,0,368132.03
TEST,ArterialNoTP,40-49,Female,4026,0,0,33466.55
TEST,ArterialNoTP,40-49,Male,3294,0,0,40903.56
TEST,ArterialNoTP,50-59,Female,8418,0,0,16005.74
TEST,ArterialNoTP,50-59,Male,6222,0,0,21654.83
TEST,ArterialNoTP,60-69,Female,17568,0,0,7669.42
TEST,ArterialNoTP,60-69,Male,19892,1836.17,46.49,10230.46
TEST,ArterialNoTP,70-79,Female,20023,1824.15,46.18,10163.53
TEST,ArterialNoTP,70-79,Male,20130,0,0,6693.31
TEST,ArterialNoTP,80+,Female,27589,1323.9,33.52,7376.28
TEST,ArterialNoTP,80+,Male,17568,0,0,7669.42
TEST,ArterialNoTP,0-59,Female,15006,0,0,8978.83
TEST,ArterialNoTP,0-59,Male,12078,0,0,11155.52
TEST,ArterialNoTP,60+,Female,65180,1120.74,135.73,4048.51
TEST,ArterialNoTP,60+,Male,57590,634.22,16.06,3533.67
TEST,ArterialVTENoTP,12-17,Male,732,0,0,184066.01
TEST,ArterialVTENoTP,18-24,Male,1098,0,0,122710.68
TEST,ArterialVTENoTP,25-29,Female,366,0,0,368132.03
TEST,ArterialVTENoTP,25-29,Male,366,0,0,368132.03
TEST,ArterialVTENoTP,30-39,Female,2196,0,0,61355.34
TEST,ArterialVTENoTP,30-39,Male,366,0,0,368132.03
TEST,ArterialVTENoTP,40-49,Female,4026,0,0,33466.55
TEST,ArterialVTENoTP,40-49,Male,3294,0,0,40903.56
TEST,ArterialVTENoTP,50-59,Female,8418,0,0,16005.74
TEST,ArterialVTENoTP,50-59,Male,6222,0,0,21654.83
TEST,ArterialVTENoTP,60-69,Female,17202,0,0,7832.6
TEST,ArterialVTENoTP,60-69,Male,19801,3689.21,446.78,13326.69
TEST,ArterialVTENoTP,70-79,Female,19762,5544.73,1143.46,16204.06
TEST,ArterialVTENoTP,70-79,Male,20130,0,0,6693.31
TEST,ArterialVTENoTP,80+,Female,27223,1341.7,33.97,7475.45
TEST,ArterialVTENoTP,80+,Male,17568,0,0,7669.42
TEST,ArterialVTENoTP,0-59,Female,15006,0,0,8978.83
TEST,ArterialVTENoTP,0-59,Male,12078,0,0,11155.52
TEST,ArterialVTENoTP,60+,Female,64187,2276.16,620.18,5827.88
TEST,ArterialVTENoTP,60+,Male,57499,1270.46,153.86,4589.33
TEST,CAD_narrow,12-17,Male,732,0,0,184066.01
TEST,CAD_narrow,18-24,Male,1098,0,0,122710.68
TEST,CAD_narrow,25-29,Female,366,0,0,368132.03
TEST,CAD_narrow,25-29,Male,366,0,0,368132.03
TEST,CAD_narrow,30-39,Female,2196,0,0,61355.34
TEST,CAD_narrow,30-39,Male,366,0,0,368132.03
TEST,CAD_narrow,40-49,Female,4026,0,0,33466.55
TEST,CAD_narrow,40-49,Male,3294,0,0,40903.56
TEST,CAD_narrow,50-59,Female,8418,0,0,16005.74
TEST,CAD_narrow,50-59,Male,6222,0,0,21654.83
TEST,CAD_narrow,60-69,Female,17568,0,0,7669.42
TEST,CAD_narrow,60-69,Male,19892,1836.17,46.49,10230.46
TEST,CAD_narrow,70-79,Female,20389,1791.41,45.35,9981.08
TEST,CAD_narrow,70-79,Male,20130,0,0,6693.31
TEST,CAD_narrow,80+,Female,27955,1306.56,33.08,7279.71
TEST,CAD_narrow,80+,Male,17568,0,0,7669.42
TEST,CAD_narrow,0-59,Female,15006,0,0,8978.83
TEST,CAD_narrow,0-59,Male,12078,0,0,11155.52
TEST,CAD_narrow,60+,Female,65912,1108.3,134.22,4003.55
TEST,CAD_narrow,60+,Male,57590,634.22,16.06,3533.67
TEST,CHILBLAIN_narrow,12-17,Male,732,0,0,184066.01
TEST,CHILBLAIN_narrow,18-24,Male,1098,0,0,122710.68
TEST,CHILBLAIN_narrow,25-29,Female,366,0,0,368132.03
TEST,CHILBLAIN_narrow,25-29,Male,366,0,0,368132.03
TEST,CHILBLAIN_narrow,30-39,Female,2196,0,0,61355.34
TEST,CHILBLAIN_narrow,30-39,Male,366,0,0,368132.03
TEST,CHILBLAIN_narrow,40-49,Female,4026,0,0,33466.55
TEST,CHILBLAIN_narrow,40-49,Male,3294,0,0,40903.56
TEST,CHILBLAIN_narrow,50-59,Female,8418,0,0,16005.74
TEST,CHILBLAIN_narrow,50-59,Male,6222,0,0,21654.83
TEST,CHILBLAIN_narrow,60-69,Female,17568,0,0,7669.42
TEST,CHILBLAIN_narrow,60-69,Male,20496,0,0,6573.79
TEST,CHILBLAIN_narrow,70-79,Female,20496,0,0,6573.79
TEST,CHILBLAIN_narrow,70-79,Male,20496,0,0,6573.79
TEST,CHILBLAIN_narrow,80+,Female,28182,0,0,4780.94
TEST,CHILBLAIN_narrow,80+,Male,17568,0,0,7669.42
TEST,CHILBLAIN_narrow,0-59,Female,15006,0,0,8978.83
TEST,CHILBLAIN_narrow,0-59,Male,12078,0,0,11155.52
TEST,CHILBLAIN_narrow,60+,Female,66246,0,0,2033.88
TEST,CHILBLAIN_narrow,60+,Male,58560,0,0,2300.83
TEST,DM1_narrow,12-17,Male,732,0,0,184066.01
TEST,DM1_narrow,18-24,Male,1098,0,0,122710.68
TEST,DM1_narrow,25-29,Female,366,0,0,368132.03
TEST,DM1_narrow,25-29,Male,366,0,0,368132.03
TEST,DM1_narrow,30-39,Female,2196,0,0,61355.34
TEST,DM1_narrow,30-39,Male,366,0,0,368132.03
TEST,DM1_narrow,40-49,Female,4026,0,0,33466.55
TEST,DM1_narrow,40-49,Male,3294,0,0,40903.56
TEST,DM1_narrow,50-59,Female,8418,0,0,16005.74
TEST,DM1_narrow,50-59,Male,6222,0,0,21654.83
TEST,DM1_narrow,60-69,Female,17568,0,0,7669.42
TEST,DM1_narrow,60-69,Male,20496,0,0,6573.79
TEST,DM1_narrow,70-79,Female,20496,0,0,6573.79
TEST,DM1_narrow,70-79,Male,20496,0,0,6573.79
TEST,DM1_narrow,80+,Female,28182,0,0,4780.94
TEST,DM1_narrow,80+,Male,17568,0,0,7669.42
TEST,DM1_narrow,0-59,Female,15006,0,0,8978.83
TEST,DM1_narrow,0-59,Male,12078,0,0,11155.52
TEST,DM1_narrow,60+,Female,66246,0,0,2033.88
TEST,DM1_narrow,60+,Male,58560,0,0,2300.83
TEST,GENCONV_narrow,12-17,Male,732,0,0,184066.01
TEST,GENCONV_narrow,18-24,Male,1098,0,0,122710.68
TEST,GENCONV_narrow,25-29,Female,366,0,0,368132.03
TEST,GENCONV_narrow,25-29,Male,366,0,0,368132.03
TEST,GENCONV_narrow,30-39,Female,2196,0,0,61355.34
TEST,GENCONV_narrow,30-39,Male,366,0,0,368132.03
TEST,GENCONV_narrow,40-49,Female,4026,0,0,33466.55
TEST,GENCONV_narrow,40-49,Male,3294,0,0,40903.56
TEST,GENCONV_narrow,50-59,Female,8418,0,0,16005.74
TEST,GENCONV_narrow,50-59,Male,6222,0,0,21654.83
TEST,GENCONV_narrow,60-69,Female,17568,0,0,7669.42
TEST,GENCONV_narrow,60-69,Male,20496,0,0,6573.79
TEST,GENCONV_narrow,70-79,Female,20496,0,0,6573.79
TEST,GENCONV_narrow,70-79,Male,20496,0,0,6573.79
TEST,GENCONV_narrow,80+,Female,28152,1297.42,32.85,7228.77
TEST,GENCONV_narrow,80+,Male,17568,0,0,7669.42
TEST,GENCONV_narrow,0-59,Female,15006,0,0,8978.83
TEST,GENCONV_narrow,0-59,Male,12078,0,0,11155.52
TEST,GENCONV_narrow,60+,Female,66216,551.6,13.97,3073.34
TEST,GENCONV_narrow,60+,Male,58560,0,0,2300.83
TEST,HF_narrow,12-17,Male,732,0,0,184066.01
TEST,HF_narrow,18-24,Male,1098,0,0,122710.68
TEST,HF_narrow,25-29,Female,366,0,0,368132.03
TEST,HF_narrow,25-29,Male,366,0,0,368132.03
TEST,HF_narrow,30-39,Female,2196,0,0,61355.34
TEST,HF_narrow,30-39,Male,366,0,0,368132.03
TEST,HF_narrow,40-49,Female,4026,0,0,33466.55
TEST,HF_narrow,40-49,Male,3294,0,0,40903.56
TEST,HF_narrow,50-59,Female,8418,0,0,16005.74
TEST,HF_narrow,50-59,Male,6222,0,0,21654.83
TEST,HF_narrow,60-69,Female,17568,0,0,7669.42
TEST,HF_narrow,60-69,Male,20496,0,0,6573.79
TEST,HF_narrow,70-79,Female,20381,1792.11,45.37,9985
TEST,HF_narrow,70-79,Male,20496,0,0,6573.79
TEST,HF_narrow,80+,Female,25895,2821.01,341.64,10190.45
TEST,HF_narrow,80+,Male,17072,2139.47,54.17,11920.35
TEST,HF_narrow,0-59,Female,15006,0,0,8978.83
TEST,HF_narrow,0-59,Male,12078,0,0,11155.52
TEST,HF_narrow,60+,Female,63844,1716.29,353.94,5015.74
TEST,HF_narrow,60+,Male,58064,629.05,15.93,3504.83
TEST,Hemostroke_narrow,12-17,Male,732,0,0,184066.01
TEST,Hemostroke_narrow,18-24,Male,1098,0,0,122710.68
TEST,Hemostroke_narrow,25-29,Female,366,0,0,368132.03
TEST,Hemostroke_narrow,25-29,Male,366,0,0,368132.03
TEST,Hemostroke_narrow,30-39,Female,2196,0,0,61355.34
TEST,Hemostroke_narrow,30-39,Male,366,0,0,368132.03
TEST,Hemostroke_narrow,40-49,Female,4026,0,0,33466.55
TEST,Hemostroke_narrow,40-49,Male,3294,0,0,40903.56
TEST,Hemostroke_narrow,50-59,Female,8418,0,0,16005.74
TEST,Hemostroke_narrow,50-59,Male,6222,0,0,21654.83
TEST,Hemostroke_narrow,60-69,Female,17568,0,0,7669.42
TEST,Hemostroke_narrow,60-69,Male,20496,0,0,6573.79
TEST,Hemostroke_narrow,70-79,Female,20496,0,0,6573.79
TEST,Hemostroke_narrow,70-79,Male,20496,0,0,6573.79
TEST,Hemostroke_narrow,80+,Female,28182,0,0,4780.94
TEST,Hemostroke_narrow,80+,Male,17568,0,0,7669.42
TEST,Hemostroke_narrow,0-59,Female,15006,0,0,8978.83
TEST,Hemostroke_narrow,0-59,Male,12078,0,0,11155.52
TEST,Hemostroke_narrow,60+,Female,66246,0,0,2033.88
TEST,Hemostroke_narrow,60+,Male,58560,0,0,2300.83
TEST,Ischstroke_narrow,12-17,Male,732,0,0,184066.01
TEST,Ischstroke_narrow,18-24,Male,1098,0,0,122710.68
TEST,Ischstroke_narrow,25-29,Female,366,0,0,368132.03
TEST,Ischstroke_narrow,25-29,Male,366,0,0,368132.03
TEST,Ischstroke_narrow,30-39,Female,2196,0,0,61355.34
TEST,Ischstroke_narrow,30-39,Male,366,0,0,368132.03
TEST,Ischstroke_narrow,40-49,Female,4026,0,0,33466.55
TEST,Ischstroke_narrow,40-49,Male,3294,0,0,40903.56
TEST,Ischstroke_narrow,50-59,Female,8418,0,0,16005.74
TEST,Ischstroke_narrow,50-59,Male,6222,0,0,21654.83
TEST,Ischstroke_narrow,60-69,Female,17568,0,0,7669.42
TEST,Ischstroke_narrow,60-69,Male,20496,0,0,6573.79
TEST,Ischstroke_narrow,70-79,Female,20130,0,0,6693.31
TEST,Ischstroke_narrow,70-79,Male,20496,0,0,6573.79
TEST,Ischstroke_narrow,80+,Female,27816,0,0,4843.84
TEST,Ischstroke_narrow,80+,Male,17568,0,0,7669.42
TEST,Ischstroke_narrow,0-59,Female,15006,0,0,8978.83
TEST,Ischstroke_narrow,0-59,Male,12078,0,0,11155.52
TEST,Ischstroke_narrow,60+,Female,65514,0,0,2056.6
TEST,Ischstroke_narrow,60+,Male,58560,0,0,2300.83
TEST,MENINGOENC_narrow,12-17,Male,732,0,0,184066.01
TEST,MENINGOENC_narrow,18-24,Male,1098,0,0,122710.68
TEST,MENINGOENC_narrow,25-29,Female,366,0,0,368132.03
TEST,MENINGOENC_narrow,25-29,Male,366,0,0,368132.03
TEST,MENINGOENC_narrow,30-39,Female,2196,0,0,61355.34
TEST,MENINGOENC_narrow,30-39,Male,366,0,0,368132.03
TEST,MENINGOENC_narrow,40-49,Female,4026,0,0,33466.55
TEST,MENINGOENC_narrow,40-49,Male,3294,0,0,40903.56
TEST,MENINGOENC_narrow,50-59,Female,8418,0,0,16005.74
TEST,MENINGOENC_narrow,50-59,Male,6222,0,0,21654.83
TEST,MENINGOENC_narrow,60-69,Female,17568,0,0,7669.42
TEST,MENINGOENC_narrow,60-69,Male,20496,0,0,6573.79
TEST,MENINGOENC_narrow,70-79,Female,20496,0,0,6573.79
TEST,MENINGOENC_narrow,70-79,Male,20496,0,0,6573.79
TEST,MENINGOENC_narrow,80+,Female,28182,0,0,4780.94
TEST,MENINGOENC_narrow,80+,Male,17568,0,0,7669.42
TEST,MENINGOENC_narrow,0-59,Female,15006,0,0,8978.83
TEST,MENINGOENC_narrow,0-59,Male,12078,0,0,11155.52
TEST,MENINGOENC_narrow,60+,Female,66246,0,0,2033.88
TEST,MENINGOENC_narrow,60+,Male,58560,0,0,2300.83
TEST,MIS_KD_narrow,12-17,Male,732,0,0,184066.01
TEST,MIS_KD_narrow,18-24,Male,1098,0,0,122710.68
TEST,MIS_KD_narrow,25-29,Female,366,0,0,368132.03
TEST,MIS_KD_narrow,25-29,Male,366,0,0,368132.03
TEST,MIS_KD_narrow,30-39,Female,2196,0,0,61355.34
TEST,MIS_KD_narrow,30-39,Male,366,0,0,368132.03
TEST,MIS_KD_narrow,40-49,Female,4026,0,0,33466.55
TEST,MIS_KD_narrow,40-49,Male,3294,0,0,40903.56
TEST,MIS_KD_narrow,50-59,Female,8418,0,0,16005.74
TEST,MIS_KD_narrow,50-59,Male,6222,0,0,21654.83
TEST,MIS_KD_narrow,60-69,Female,17568,0,0,7669.42
TEST,MIS_KD_narrow,60-69,Male,20496,0,0,6573.79
TEST,MIS_KD_narrow,70-79,Female,20496,0,0,6573.79
TEST,MIS_KD_narrow,70-79,Male,20496,0,0,6573.79
TEST,MIS_KD_narrow,80+,Female,28182,0,0,4780.94
TEST,MIS_KD_narrow,80+,Male,17568,0,0,7669.42
TEST,MIS_KD_narrow,0-59,Female,15006,0,0,8978.83
TEST,MIS_KD_narrow,0-59,Male,12078,0,0,11155.52
TEST,MIS_KD_narrow,60+,Female,66246,0,0,2033.88
TEST,MIS_KD_narrow,60+,Male,58560,0,0,2300.83
TEST,MYOCARD_narrow,12-17,Male,732,0,0,184066.01
TEST,MYOCARD_narrow,18-24,Male,1098,0,0,122710.68
TEST,MYOCARD_narrow,25-29,Female,366,0,0,368132.03
TEST,MYOCARD_narrow,25-29,Male,366,0,0,368132.03
TEST,MYOCARD_narrow,30-39,Female,2196,0,0,61355.34
TEST,MYOCARD_narrow,30-39,Male,366,0,0,368132.03
TEST,MYOCARD_narrow,40-49,Female,4026,0,0,33466.55
TEST,MYOCARD_narrow,40-49,Male,3294,0,0,40903.56
TEST,MYOCARD_narrow,50-59,Female,8418,0,0,16005.74
TEST,MYOCARD_narrow,50-59,Male,5856,0,0,23008.25
TEST,MYOCARD_narrow,60-69,Female,17568,0,0,7669.42
TEST,MYOCARD_narrow,60-69,Male,20496,0,0,6573.79
TEST,MYOCARD_narrow,70-79,Female,20496,0,0,6573.79
TEST,MYOCARD_narrow,70-79,Male,20496,0,0,6573.79
TEST,MYOCARD_narrow,80+,Female,28182,0,0,4780.94
TEST,MYOCARD_narrow,80+,Male,17568,0,0,7669.42
TEST,MYOCARD_narrow,0-59,Female,15006,0,0,8978.83
TEST,MYOCARD_narrow,0-59,Male,11712,0,0,11504.13
TEST,MYOCARD_narrow,60+,Female,66246,0,0,2033.88
TEST,MYOCARD_narrow,60+,Male,58560,0,0,2300.83
TEST,PERICARD_narrow,12-17,Male,732,0,0,184066.01
TEST,PERICARD_narrow,18-24,Male,1098,0,0,122710.68
TEST,PERICARD_narrow,25-29,Female,366,0,0,368132.03
TEST,PERICARD_narrow,25-29,Male,366,0,0,368132.03
TEST,PERICARD_narrow,30-39,Female,2196,0,0,61355.34
TEST,PERICARD_narrow,30-39,Male,366,0,0,368132.03
TEST,PERICARD_narrow,40-49,Female,4026,0,0,33466.55
TEST,PERICARD_narrow,40-49,Male,3294,0,0,40903.56
TEST,PERICARD_narrow,50-59,Female,8418,0,0,16005.74
TEST,PERICARD_narrow,50-59,Male,5856,0,0,23008.25
TEST,PERICARD_narrow,60-69,Female,17568,0,0,7669.42
TEST,PERICARD_narrow,60-69,Male,20496,0,0,6573.79
TEST,PERICARD_narrow,70-79,Female,20496,0,0,6573.79
TEST,PERICARD_narrow,70-79,Male,20496,0,0,6573.79
TEST,PERICARD_narrow,80+,Female,28182,0,0,4780.94
TEST,PERICARD_narrow,80+,Male,17568,0,0,7669.42
TEST,PERICARD_narrow,0-59,Female,15006,0,0,8978.83
TEST,PERICARD_narrow,0-59,Male,11712,0,0,11504.13
TEST,PERICARD_narrow,60+,Female,66246,0,0,2033.88
TEST,PERICARD_narrow,60+,Male,58560,0,0,2300.83
TEST,VTENoTP,12-17,Male,732,0,0,184066.01
TEST,VTENoTP,18-24,Male,1098,0,0,122710.68
TEST,VTENoTP,25-29,Female,366,0,0,368132.03
TEST,VTENoTP,25-29,Male,366,0,0,368132.03
TEST,VTENoTP,30-39,Female,2196,0,0,61355.34
TEST,VTENoTP,30-39,Male,366,0,0,368132.03
TEST,VTENoTP,40-49,Female,4026,0,0,33466.55
TEST,VTENoTP,40-49,Male,3294,0,0,40903.56
TEST,VTENoTP,50-59,Female,8418,0,0,16005.74
TEST,VTENoTP,50-59,Male,6222,0,0,21654.83
TEST,VTENoTP,60-69,Female,17202,0,0,7832.6
TEST,VTENoTP,60-69,Male,20405,1790,45.32,9973.26
TEST,VTENoTP,70-79,Female,20235,3610.08,437.2,13040.86
TEST,VTENoTP,70-79,Male,20496,0,0,6573.79
TEST,VTENoTP,80+,Female,27816,0,0,4843.84
TEST,VTENoTP,80+,Male,17568,0,0,7669.42
TEST,VTENoTP,0-59,Female,15006,0,0,8978.83
TEST,VTENoTP,0-59,Male,12078,0,0,11155.52
TEST,VTENoTP,60+,Female,65253,1119.49,135.58,4043.98
TEST,VTENoTP,60+,Male,58469,624.69,15.82,3480.55
TEST,VTE_narrow,12-17,Male,732,0,0,184066.01
TEST,VTE_narrow,18-24,Male,1098,0,0,122710.68
TEST,VTE_narrow,25-29,Female,366,0,0,368132.03
TEST,VTE_narrow,25-29,Male,366,0,0,368132.03
TEST,VTE_narrow,30-39,Female,2196,0,0,61355.34
TEST,VTE_narrow,30-39,Male,366,0,0,368132.03
TEST,VTE_narrow,40-49,Female,4026,0,0,33466.55
TEST,VTE_narrow,40-49,Male,3294,0,0,40903.56
TEST,VTE_narrow,50-59,Female,8418,0,0,16005.74
TEST,VTE_narrow,50-59,Male,6222,0,0,21654.83
TEST,VTE_narrow,60-69,Female,17202,0,0,7832.6
TEST,VTE_narrow,60-69,Male,20405,1790,45.32,9973.26
TEST,VTE_narrow,70-79,Female,20235,3610.08,437.2,13040.86
TEST,VTE_narrow,70-79,Male,20496,0,0,6573.79
TEST,VTE_narrow,80+,Female,27816,0,0,4843.84
TEST,VTE_narrow,80+,Male,17568,0,0,7669.42
TEST,VTE_narrow,0-59,Female,15006,0,0,8978.83
TEST,VTE_narrow,0-59,Male,12078,0,0,11155.52
TEST,VTE_narrow,60+,Female,65253,1119.49,135.58,4043.98
TEST,VTE_narrow,60+,Male,58469,624.69,15.82,3480.55
