sex,month,year,Ageband,type_vax_1,history_covid,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible
0,April,2021,70-79,AstraZeneca,0,3435,3435,3435,3435,3435,3435,3435,3435,3435,3435,3435,0,0,0,0,0,0,0,0,0,0,0,0,39224.55,0,0,39224.55,0,0,39224.55,0,0,39224.55,0,0,39224.55,0,0,39224.55,0,0,39224.55,0,0,39224.55,0,0,39224.55,0,0,39224.55
0,June,2021,60-69,Pfizer,0,5410,5410,5410,5410,5410,5410,5410,5410,5410,5410,5410,0,0,0,0,0,0,0,0,0,0,0,0,24905.05,0,0,24905.05,0,0,24905.05,0,0,24905.05,0,0,24905.05,0,0,24905.05,0,0,24905.05,0,0,24905.05,0,0,24905.05,0,0,24905.05
0,January,2021,50-59,Pfizer,0,433,433,433,433,433,433,433,433,433,433,433,0,0,0,0,0,0,0,0,0,0,0,0,311169.34,0,0,311169.34,0,0,311169.34,0,0,311169.34,0,0,311169.34,0,0,311169.34,0,0,311169.34,0,0,311169.34,0,0,311169.34,0,0,311169.34
0,February,2021,50-59,Pfizer,0,904,904,904,904,904,904,904,904,904,904,904,0,0,0,0,0,0,0,0,0,0,0,0,149044.6,0,0,149044.6,0,0,149044.6,0,0,149044.6,0,0,149044.6,0,0,149044.6,0,0,149044.6,0,0,149044.6,0,0,149044.6,0,0,149044.6
0,March,2021,50-59,Pfizer,0,1442,1442,1442,1442,1442,1442,1442,1442,1442,1442,1442,0,0,0,0,0,0,0,0,0,0,0,0,93437.12,0,0,93437.12,0,0,93437.12,0,0,93437.12,0,0,93437.12,0,0,93437.12,0,0,93437.12,0,0,93437.12,0,0,93437.12,0,0,93437.12
0,April,2021,50-59,Pfizer,0,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,0,0,0,0,0,0,0,0,0,0,0,0,89944.14,0,0,89944.14,0,0,89944.14,0,0,89944.14,0,0,89944.14,0,0,89944.14,0,0,89944.14,0,0,89944.14,0,0,89944.14,0,0,89944.14
1,January,2021,60-69,Pfizer,0,233,233,233,233,233,233,233,233,233,233,233,0,0,0,0,0,0,0,0,0,0,0,0,578267.48,0,0,578267.48,0,0,578267.48,0,0,578267.48,0,0,578267.48,0,0,578267.48,0,0,578267.48,0,0,578267.48,0,0,578267.48,0,0,578267.48
1,February,2021,60-69,Pfizer,0,437,437,437,437,437,437,437,437,437,437,437,0,0,0,0,0,0,0,0,0,0,0,0,308321.1,0,0,308321.1,0,0,308321.1,0,0,308321.1,0,0,308321.1,0,0,308321.1,0,0,308321.1,0,0,308321.1,0,0,308321.1,0,0,308321.1
1,March,2021,60-69,Pfizer,0,667,667,667,667,667,667,667,667,667,667,667,0,0,0,0,0,0,0,0,0,0,0,0,202003.48,0,0,202003.48,0,0,202003.48,0,0,202003.48,0,0,202003.48,0,0,202003.48,0,0,202003.48,0,0,202003.48,0,0,202003.48,0,0,202003.48
1,April,2021,60-69,Pfizer,0,730,730,730,730,730,730,730,730,730,730,730,0,0,0,0,0,0,0,0,0,0,0,0,184570.3,0,0,184570.3,0,0,184570.3,0,0,184570.3,0,0,184570.3,0,0,184570.3,0,0,184570.3,0,0,184570.3,0,0,184570.3,0,0,184570.3
1,May,2021,60-69,Pfizer,0,2589,2589,2589,2589,2589,2589,2589,2589,2589,2589,2589,0,0,0,0,0,0,0,0,0,0,0,0,52041.84,0,0,52041.84,0,0,52041.84,0,0,52041.84,0,0,52041.84,0,0,52041.84,0,0,52041.84,0,0,52041.84,0,0,52041.84,0,0,52041.84
1,June,2021,60-69,Pfizer,0,5962,5962,5962,5962,5962,5962,5962,5962,5962,5962,5962,0,0,0,0,0,0,0,0,0,0,0,0,22599.18,0,0,22599.18,0,0,22599.18,0,0,22599.18,0,0,22599.18,0,0,22599.18,0,0,22599.18,0,0,22599.18,0,0,22599.18,0,0,22599.18
1,June,2021,30-39,Moderna,0,534,534,534,534,534,534,534,534,534,534,534,0,0,0,0,0,0,0,0,0,0,0,0,252315.21,0,0,252315.21,0,0,252315.21,0,0,252315.21,0,0,252315.21,0,0,252315.21,0,0,252315.21,0,0,252315.21,0,0,252315.21,0,0,252315.21
0,March,2021,80+,Pfizer,0,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,0,0,0,0,0,0,0,0,0,0,0,0,56540.63,0,0,56540.63,0,0,56540.63,0,0,56540.63,0,0,56540.63,0,0,56540.63,0,0,56540.63,0,0,56540.63,0,0,56540.63,0,0,56540.63
0,April,2021,80+,Pfizer,0,7748,7748,7748,7748,7748,7748,7748,7748,7748,7748,7748,0,0,0,0,0,0,0,0,0,0,0,0,17389.82,0,0,17389.82,0,0,17389.82,0,0,17389.82,0,0,17389.82,0,0,17389.82,0,0,17389.82,0,0,17389.82,0,0,17389.82,0,0,17389.82
0,May,2021,80+,Pfizer,0,10332,10332,10332,10332,10332,10332,10332,10332,10332,10332,10332,0,0,0,0,0,0,0,0,0,0,0,0,13040.68,0,0,13040.68,0,0,13040.68,0,0,13040.68,0,0,13040.68,0,0,13040.68,0,0,13040.68,0,0,13040.68,0,0,13040.68,0,0,13040.68
0,June,2021,80+,Pfizer,0,10056,10056,10056,10056,10056,10056,10056,10056,10056,10056,10056,0,0,0,0,0,0,0,0,0,0,0,0,13398.6,0,0,13398.6,0,0,13398.6,0,0,13398.6,0,0,13398.6,0,0,13398.6,0,0,13398.6,0,0,13398.6,0,0,13398.6,0,0,13398.6
1,June,2021,50-59,Pfizer,0,5248,5248,5248,5248,5248,5248,5248,5248,5248,5248,5248,0,0,0,0,0,0,0,0,0,0,0,0,25673.84,0,0,25673.84,0,0,25673.84,0,0,25673.84,0,0,25673.84,0,0,25673.84,0,0,25673.84,0,0,25673.84,0,0,25673.84,0,0,25673.84
1,January,2021,80+,Pfizer,0,189,189,189,189,189,189,189,189,189,189,189,0,0,0,0,0,0,0,0,0,0,0,0,712890.59,0,0,712890.59,0,0,712890.59,0,0,712890.59,0,0,712890.59,0,0,712890.59,0,0,712890.59,0,0,712890.59,0,0,712890.59,0,0,712890.59
1,February,2021,80+,Pfizer,0,230,230,230,230,230,230,230,230,230,230,230,0,0,0,0,0,0,0,0,0,0,0,0,585810.1,0,0,585810.1,0,0,585810.1,0,0,585810.1,0,0,585810.1,0,0,585810.1,0,0,585810.1,0,0,585810.1,0,0,585810.1,0,0,585810.1
1,March,2021,80+,Pfizer,0,1641,1641,1641,1641,1632,1641,1632,1641,1641,1641,1641,0,0,0,1,0,1,0,0,0,0,0,0,82106.23,0,0,82106.23,0,0,82106.23,22380.51,566.63,124696.25,0,0,82106.23,22380.51,566.63,124696.25,0,0,82106.23,0,0,82106.23,0,0,82106.23,0,0,82106.23
1,April,2021,80+,Pfizer,0,5436,5436,5436,5436,5431,5436,5431,5436,5436,5436,5436,0,0,0,0,0,0,0,0,0,0,0,0,24785.93,0,0,24785.93,0,0,24785.93,0,0,24808.75,0,0,24785.93,0,0,24808.75,0,0,24785.93,0,0,24785.93,0,0,24785.93,0,0,24785.93
1,May,2021,80+,Pfizer,0,7306,7306,7306,7306,7306,7306,7306,7306,7306,7306,7306,0,0,0,0,0,0,0,0,0,0,0,0,18441.87,0,0,18441.87,0,0,18441.87,0,0,18441.87,0,0,18441.87,0,0,18441.87,0,0,18441.87,0,0,18441.87,0,0,18441.87,0,0,18441.87
1,June,2021,80+,Pfizer,0,7011,7011,7011,7011,7011,7011,7011,7011,7011,7011,7011,0,0,0,0,0,0,0,0,0,0,0,0,19217.85,0,0,19217.85,0,0,19217.85,0,0,19217.85,0,0,19217.85,0,0,19217.85,0,0,19217.85,0,0,19217.85,0,0,19217.85,0,0,19217.85
1,June,2021,40-49,Moderna,1,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,11228026.84,0,0,11228026.84,0,0,11228026.84,0,0,11228026.84,0,0,11228026.84,0,0,11228026.84,0,0,11228026.84,0,0,11228026.84,0,0,11228026.84,0,0,11228026.84
1,June,2021,40-49,Pfizer,1,86,86,86,86,86,86,86,86,86,86,86,0,0,0,0,0,0,0,0,0,0,0,0,1566701.42,0,0,1566701.42,0,0,1566701.42,0,0,1566701.42,0,0,1566701.42,0,0,1566701.42,0,0,1566701.42,0,0,1566701.42,0,0,1566701.42,0,0,1566701.42
1,June,2021,40-49,Pfizer,0,2798,2798,2798,2798,2798,2798,2798,2751,2798,2798,2798,0,0,0,0,0,0,0,0,0,0,0,0,48154.51,0,0,48154.51,0,0,48154.51,0,0,48154.51,0,0,48154.51,0,0,48154.51,0,0,48977.22,0,0,48154.51,0,0,48154.51,0,0,48154.51
1,June,2021,25-29,Pfizer,0,474,474,474,474,474,474,474,474,474,474,474,0,0,0,0,0,0,0,0,0,0,0,0,284253.84,0,0,284253.84,0,0,284253.84,0,0,284253.84,0,0,284253.84,0,0,284253.84,0,0,284253.84,0,0,284253.84,0,0,284253.84,0,0,284253.84
0,June,2021,40-49,Moderna,0,505,505,505,505,505,505,505,505,505,505,505,0,0,0,0,0,0,0,0,0,0,0,0,266804.6,0,0,266804.6,0,0,266804.6,0,0,266804.6,0,0,266804.6,0,0,266804.6,0,0,266804.6,0,0,266804.6,0,0,266804.6,0,0,266804.6
0,June,2021,40-49,Pfizer,0,3576,3576,3576,3576,3576,3576,3576,3576,3576,3576,3576,0,0,0,0,0,0,0,0,0,0,0,0,37677.94,0,0,37677.94,0,0,37677.94,0,0,37677.94,0,0,37677.94,0,0,37677.94,0,0,37677.94,0,0,37677.94,0,0,37677.94,0,0,37677.94
0,May,2021,30-39,AstraZeneca,0,501,501,501,501,501,501,501,501,501,501,501,0,0,0,0,0,0,0,0,0,0,0,0,268934.77,0,0,268934.77,0,0,268934.77,0,0,268934.77,0,0,268934.77,0,0,268934.77,0,0,268934.77,0,0,268934.77,0,0,268934.77,0,0,268934.77
0,June,2021,30-39,AstraZeneca,0,521,521,521,521,521,521,521,521,521,521,521,0,0,0,0,0,0,0,0,0,0,0,0,258610.98,0,0,258610.98,0,0,258610.98,0,0,258610.98,0,0,258610.98,0,0,258610.98,0,0,258610.98,0,0,258610.98,0,0,258610.98,0,0,258610.98
0,May,2021,70-79,Pfizer,0,3115,3115,3115,3115,3115,3115,3115,3115,3115,3115,3115,0,0,0,0,0,0,0,0,0,0,0,0,43254.04,0,0,43254.04,0,0,43254.04,0,0,43254.04,0,0,43254.04,0,0,43254.04,0,0,43254.04,0,0,43254.04,0,0,43254.04,0,0,43254.04
0,June,2021,70-79,Pfizer,0,4412,4412,4412,4412,4412,4412,4412,4412,4412,4412,4412,0,0,0,0,0,0,0,0,0,0,0,0,30538.6,0,0,30538.6,0,0,30538.6,0,0,30538.6,0,0,30538.6,0,0,30538.6,0,0,30538.6,0,0,30538.6,0,0,30538.6,0,0,30538.6
1,June,2021,70-79,Pfizer,0,3247,3247,3247,3247,3247,3247,3247,3247,3247,3247,3247,0,0,0,0,0,0,0,0,0,0,0,0,41495.63,0,0,41495.63,0,0,41495.63,0,0,41495.63,0,0,41495.63,0,0,41495.63,0,0,41495.63,0,0,41495.63,0,0,41495.63,0,0,41495.63
0,April,2021,70-79,Pfizer,0,628,628,628,628,628,628,628,628,628,628,628,0,0,0,0,0,0,0,0,0,0,0,0,214548.28,0,0,214548.28,0,0,214548.28,0,0,214548.28,0,0,214548.28,0,0,214548.28,0,0,214548.28,0,0,214548.28,0,0,214548.28,0,0,214548.28
0,June,2021,18-24,Moderna,0,327,327,327,327,327,327,327,327,327,327,327,0,0,0,0,0,0,0,0,0,0,0,0,412037.68,0,0,412037.68,0,0,412037.68,0,0,412037.68,0,0,412037.68,0,0,412037.68,0,0,412037.68,0,0,412037.68,0,0,412037.68,0,0,412037.68
1,May,2021,60-69,AstraZeneca,0,1146,1146,1146,1146,1146,1146,1146,1146,1146,1146,1146,0,0,0,0,0,0,0,0,0,0,0,0,117570.96,0,0,117570.96,0,0,117570.96,0,0,117570.96,0,0,117570.96,0,0,117570.96,0,0,117570.96,0,0,117570.96,0,0,117570.96,0,0,117570.96
1,June,2021,60-69,AstraZeneca,0,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,0,0,0,0,0,0,0,0,0,0,0,0,67066.36,0,0,67066.36,0,0,67066.36,0,0,67066.36,0,0,67066.36,0,0,67066.36,0,0,67066.36,0,0,67066.36,0,0,67066.36,0,0,67066.36
1,April,2021,70-79,AstraZeneca,0,2698,2698,2698,2698,2698,2698,2698,2698,2698,2698,2698,0,0,0,0,0,0,0,0,0,0,0,0,49939.33,0,0,49939.33,0,0,49939.33,0,0,49939.33,0,0,49939.33,0,0,49939.33,0,0,49939.33,0,0,49939.33,0,0,49939.33,0,0,49939.33
1,May,2021,70-79,AstraZeneca,0,3917,3917,3917,3917,3917,3917,3917,3917,3917,3917,3917,0,0,0,0,0,0,0,0,0,0,0,0,34397.84,0,0,34397.84,0,0,34397.84,0,0,34397.84,0,0,34397.84,0,0,34397.84,0,0,34397.84,0,0,34397.84,0,0,34397.84,0,0,34397.84
1,June,2021,70-79,AstraZeneca,0,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752,0,0,0,0,0,0,0,0,0,0,0,0,35910.53,0,0,35910.53,0,0,35910.53,0,0,35910.53,0,0,35910.53,0,0,35910.53,0,0,35910.53,0,0,35910.53,0,0,35910.53,0,0,35910.53
1,May,2021,70-79,Moderna,0,961,961,961,961,961,961,961,961,961,961,961,0,0,0,0,0,0,0,0,0,0,0,0,140204.29,0,0,140204.29,0,0,140204.29,0,0,140204.29,0,0,140204.29,0,0,140204.29,0,0,140204.29,0,0,140204.29,0,0,140204.29,0,0,140204.29
1,June,2021,70-79,Moderna,0,955,955,955,955,955,955,955,955,955,955,955,0,0,0,0,0,0,0,0,0,0,0,0,141085.15,0,0,141085.15,0,0,141085.15,0,0,141085.15,0,0,141085.15,0,0,141085.15,0,0,141085.15,0,0,141085.15,0,0,141085.15,0,0,141085.15
1,May,2021,50-59,J&J,0,21,21,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,6416015.34,0,0,6416015.34,0,0,6416015.34,0,0,6416015.34,0,0,6416015.34,0,0,6416015.34,0,0,6416015.34,0,0,6416015.34,0,0,6416015.34,0,0,6416015.34
1,June,2021,50-59,J&J,0,362,362,362,362,362,362,362,362,362,362,362,0,0,0,0,0,0,0,0,0,0,0,0,372199.78,0,0,372199.78,0,0,372199.78,0,0,372199.78,0,0,372199.78,0,0,372199.78,0,0,372199.78,0,0,372199.78,0,0,372199.78,0,0,372199.78
0,May,2021,60-69,Pfizer,0,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,0,0,0,0,0,0,0,0,0,0,0,0,67945.7,0,0,67945.7,0,0,67945.7,0,0,67945.7,0,0,67945.7,0,0,67945.7,0,0,67945.7,0,0,67945.7,0,0,67945.7,0,0,67945.7
1,March,2021,70-79,AstraZeneca,0,200,200,200,200,200,200,200,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,673681.61,0,0,673681.61,0,0,673681.61,0,0,673681.61,0,0,673681.61,0,0,673681.61,0,0,673681.61,0,0,673681.61,0,0,673681.61,0,0,673681.61
0,March,2021,60-69,Moderna,0,75,75,75,75,75,75,75,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,1796484.29,0,0,1796484.29,0,0,1796484.29,0,0,1796484.29,0,0,1796484.29,0,0,1796484.29,0,0,1796484.29,0,0,1796484.29,0,0,1796484.29,0,0,1796484.29
0,April,2021,60-69,Moderna,0,392,392,392,392,392,392,392,392,392,392,392,0,0,0,0,0,0,0,0,0,0,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11
0,May,2021,60-69,Moderna,0,776,776,776,776,776,776,776,776,776,776,776,0,0,0,0,0,0,0,0,0,0,0,0,173629.28,0,0,173629.28,0,0,173629.28,0,0,173629.28,0,0,173629.28,0,0,173629.28,0,0,173629.28,0,0,173629.28,0,0,173629.28,0,0,173629.28
0,June,2021,60-69,Moderna,0,930,930,930,930,930,930,930,930,930,930,930,0,0,0,0,0,0,0,0,0,0,0,0,144877.77,0,0,144877.77,0,0,144877.77,0,0,144877.77,0,0,144877.77,0,0,144877.77,0,0,144877.77,0,0,144877.77,0,0,144877.77,0,0,144877.77
1,June,2021,40-49,Moderna,0,762,762,762,762,762,762,762,762,762,762,762,0,0,0,0,0,0,0,0,0,0,0,0,176819.32,0,0,176819.32,0,0,176819.32,0,0,176819.32,0,0,176819.32,0,0,176819.32,0,0,176819.32,0,0,176819.32,0,0,176819.32,0,0,176819.32
0,March,2021,70-79,AstraZeneca,0,198,198,198,198,198,198,198,198,198,198,198,0,0,0,0,0,0,0,0,0,0,0,0,680486.48,0,0,680486.48,0,0,680486.48,0,0,680486.48,0,0,680486.48,0,0,680486.48,0,0,680486.48,0,0,680486.48,0,0,680486.48,0,0,680486.48
1,June,2021,18-24,Pfizer,0,645,645,645,645,645,645,645,645,645,645,645,0,0,0,0,0,0,0,0,0,0,0,0,208893.52,0,0,208893.52,0,0,208893.52,0,0,208893.52,0,0,208893.52,0,0,208893.52,0,0,208893.52,0,0,208893.52,0,0,208893.52,0,0,208893.52
1,May,2021,30-39,Moderna,0,120,120,120,120,120,120,120,120,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,1122802.68,0,0,1122802.68,0,0,1122802.68,0,0,1122802.68,0,0,1122802.68,0,0,1122802.68,0,0,1122802.68,0,0,1122802.68,0,0,1122802.68,0,0,1122802.68
0,June,2021,30-39,Moderna,0,605,605,605,605,605,605,605,605,605,605,605,0,0,0,0,0,0,0,0,0,0,0,0,222704.66,0,0,222704.66,0,0,222704.66,0,0,222704.66,0,0,222704.66,0,0,222704.66,0,0,222704.66,0,0,222704.66,0,0,222704.66,0,0,222704.66
1,April,2021,60-69,Moderna,0,419,419,419,419,419,419,419,419,419,419,419,0,0,0,0,0,0,0,0,0,0,0,0,321566.4,0,0,321566.4,0,0,321566.4,0,0,321566.4,0,0,321566.4,0,0,321566.4,0,0,321566.4,0,0,321566.4,0,0,321566.4,0,0,321566.4
1,May,2021,60-69,Moderna,0,812,812,812,812,812,812,812,812,812,812,812,0,0,0,0,0,0,0,0,0,0,0,0,165931.43,0,0,165931.43,0,0,165931.43,0,0,165931.43,0,0,165931.43,0,0,165931.43,0,0,165931.43,0,0,165931.43,0,0,165931.43,0,0,165931.43
1,June,2021,60-69,Moderna,0,956,956,956,956,956,956,956,956,956,956,956,0,0,0,0,0,0,0,0,0,0,0,0,140937.58,0,0,140937.58,0,0,140937.58,0,0,140937.58,0,0,140937.58,0,0,140937.58,0,0,140937.58,0,0,140937.58,0,0,140937.58,0,0,140937.58
1,May,2021,50-59,Pfizer,0,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,0,0,0,0,0,0,0,0,0,0,0,0,93762.23,0,0,93762.23,0,0,93762.23,0,0,93762.23,0,0,93762.23,0,0,93762.23,0,0,93762.23,0,0,93762.23,0,0,93762.23,0,0,93762.23
0,May,2021,60-69,AstraZeneca,0,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,0,0,0,0,0,0,0,0,0,0,0,0,90609.5,0,0,90609.5,0,0,90609.5,0,0,90609.5,0,0,90609.5,0,0,90609.5,0,0,90609.5,0,0,90609.5,0,0,90609.5,0,0,90609.5
0,June,2021,60-69,AstraZeneca,0,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,0,0,0,0,0,0,0,0,0,0,0,0,59723.55,0,0,59723.55,0,0,59723.55,0,0,59723.55,0,0,59723.55,0,0,59723.55,0,0,59723.55,0,0,59723.55,0,0,59723.55,0,0,59723.55
1,January,2021,30-39,Pfizer,0,121,121,121,121,121,121,121,121,121,121,121,0,0,0,0,0,0,0,0,0,0,0,0,1113523.32,0,0,1113523.32,0,0,1113523.32,0,0,1113523.32,0,0,1113523.32,0,0,1113523.32,0,0,1113523.32,0,0,1113523.32,0,0,1113523.32,0,0,1113523.32
1,February,2021,30-39,Pfizer,0,197,197,197,197,197,197,197,197,197,197,197,0,0,0,0,0,0,0,0,0,0,0,0,683940.72,0,0,683940.72,0,0,683940.72,0,0,683940.72,0,0,683940.72,0,0,683940.72,0,0,683940.72,0,0,683940.72,0,0,683940.72,0,0,683940.72
1,March,2021,30-39,Pfizer,0,248,248,248,248,248,248,248,248,248,248,248,0,0,0,0,0,0,0,0,0,0,0,0,543291.62,0,0,543291.62,0,0,543291.62,0,0,543291.62,0,0,543291.62,0,0,543291.62,0,0,543291.62,0,0,543291.62,0,0,543291.62,0,0,543291.62
1,April,2021,30-39,Pfizer,0,236,236,236,236,236,236,236,236,236,236,236,0,0,0,0,0,0,0,0,0,0,0,0,570916.62,0,0,570916.62,0,0,570916.62,0,0,570916.62,0,0,570916.62,0,0,570916.62,0,0,570916.62,0,0,570916.62,0,0,570916.62,0,0,570916.62
1,May,2021,30-39,Pfizer,0,451,451,451,451,451,451,451,451,451,451,451,0,0,0,0,0,0,0,0,0,0,0,0,298750.16,0,0,298750.16,0,0,298750.16,0,0,298750.16,0,0,298750.16,0,0,298750.16,0,0,298750.16,0,0,298750.16,0,0,298750.16,0,0,298750.16
1,June,2021,30-39,Pfizer,0,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,0,0,0,0,0,0,0,0,0,0,0,0,100926.08,0,0,100926.08,0,0,100926.08,0,0,100926.08,0,0,100926.08,0,0,100926.08,0,0,100926.08,0,0,100926.08,0,0,100926.08,0,0,100926.08
0,June,2021,18-24,Pfizer,0,760,760,760,760,760,760,760,760,760,760,760,0,0,0,0,0,0,0,0,0,0,0,0,177284.63,0,0,177284.63,0,0,177284.63,0,0,177284.63,0,0,177284.63,0,0,177284.63,0,0,177284.63,0,0,177284.63,0,0,177284.63,0,0,177284.63
