monday_week,A_duplicated_records,B_missing_date,C_date_before_start_vax,D_distance_btw_1_2_doses,E_distance_btw_2_3_doses,F_dose_after_3,G_dose_after_2,H_dose_not_in_persons,I_birth_date_absurd,J_no_observation_period,K_death_before_study_entry,L_no_observation_period_including_study_start,M_insufficient_run_in,N_death_before_vax,O_exit_spell_before_vax,P_study_end_before_vax,N
2021-03-08,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4
2021-03-08,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,9
2021-03-08,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2
2021-03-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,9
2021-03-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,145
2021-03-15,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2
2021-03-15,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,7
2021-03-15,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
2021-03-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,9
2021-03-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,107
2021-03-22,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
2021-03-22,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6
2021-03-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,14
2021-03-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144
2021-03-29,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,10
2021-03-29,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,10
2021-03-29,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
2021-03-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,19
2021-03-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,284
2021-04-05,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021-04-05,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,11
2021-04-05,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,14
2021-04-05,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
2021-04-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,18
2021-04-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,291
2021-04-12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-04-12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-04-12,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3
2021-04-12,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,11
2021-04-12,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
2021-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,17
2021-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,207
2021-04-19,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5
2021-04-19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,10
2021-04-19,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
2021-04-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,21
2021-04-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,257
2021-04-26,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-04-26,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5
2021-04-26,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,14
2021-04-26,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,6
2021-04-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,24
2021-04-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,274
2021-05-03,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-05-03,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,10
2021-05-03,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
2021-05-03,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,11
2021-05-03,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,4
2021-05-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,28
2021-05-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,301
2021-05-10,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8
2021-05-10,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,22
2021-05-10,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,10
2021-05-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,41
2021-05-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,379
2021-05-17,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-05-17,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7
2021-05-17,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,25
2021-05-17,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,10
2021-05-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,50
2021-05-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,294
2021-05-24,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,12
2021-05-24,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,30
2021-05-24,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,8
2021-05-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,48
2021-05-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,386
2021-05-31,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-05-31,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8
2021-05-31,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,25
2021-05-31,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,6
2021-05-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,37
2021-05-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,370
2021-06-07,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021-06-07,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2021-06-07,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8
2021-06-07,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,27
2021-06-07,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,18
2021-06-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,42
2021-06-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,373
2021-06-14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-06-14,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2021-06-14,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,10
2021-06-14,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,29
2021-06-14,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,25
2021-06-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,44
2021-06-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,346
2021-06-21,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,12
2021-06-21,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,31
2021-06-21,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,20
2021-06-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,40
2021-06-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,388
2021-06-28,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-06-28,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2
2021-06-28,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,14
2021-06-28,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,7
2021-06-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,23
2021-06-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,138
