sex,ageband_at_1_jan_2021,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible
0,60-69,2021,63847,63847,63847,63847,63847,63847,63847,63847,63847,63847,63847,0,0,0,0,0,0,0,0,0,0,0,0,2110.3,0,0,2110.3,0,0,2110.3,0,0,2110.3,0,0,2110.3,0,0,2110.3,0,0,2110.3,0,0,2110.3,0,0,2110.3,0,0,2110.3
1,60-69,2020,168696,168696,168696,168696,168696,168696,168696,168696,168696,168696,168696,0,0,0,0,0,0,0,0,0,0,0,0,798.69,0,0,798.69,0,0,798.69,0,0,798.69,0,0,798.69,0,0,798.69,0,0,798.69,0,0,798.69,0,0,798.69,0,0,798.69
1,60-69,2021,59266,59266,59266,59266,59266,59266,59266,59266,59266,59266,59266,0,0,0,0,0,0,0,0,0,0,0,0,2273.42,0,0,2273.42,0,0,2273.42,0,0,2273.42,0,0,2273.42,0,0,2273.42,0,0,2273.42,0,0,2273.42,0,0,2273.42,0,0,2273.42
1,30-39,2020,127819,127819,127819,127819,127819,127819,127819,127819,127819,127819,127819,0,0,0,0,0,0,0,0,0,0,0,0,1054.12,0,0,1054.12,0,0,1054.12,0,0,1054.12,0,0,1054.12,0,0,1054.12,0,0,1054.12,0,0,1054.12,0,0,1054.12,0,0,1054.12
1,30-39,2021,50574,50574,50574,50574,50574,50574,50574,50574,50574,50574,50574,0,0,0,0,0,0,0,0,0,0,0,0,2664.14,0,0,2664.14,0,0,2664.14,0,0,2664.14,0,0,2664.14,0,0,2664.14,0,0,2664.14,0,0,2664.14,0,0,2664.14,0,0,2664.14
1,40-49,2020,193871,193871,193871,193871,193871,193871,193871,193871,193871,193871,193871,0,0,0,0,0,0,0,0,0,0,0,0,694.98,0,0,694.98,0,0,694.98,0,0,694.98,0,0,694.98,0,0,694.98,0,0,694.98,0,0,694.98,0,0,694.98,0,0,694.98
1,40-49,2021,79101,79101,79101,79101,79101,79101,79101,79081,79101,79101,79101,0,0,0,0,0,0,1,0,0,0,0,0,1703.35,0,0,1703.35,0,0,1703.35,0,0,1703.35,0,0,1703.35,0,0,1703.35,461.87,11.69,2573.36,0,0,1703.35,0,0,1703.35,0,0,1703.35
0,80+,2020,162264,162264,162264,162264,161897,162264,161897,162264,162264,162264,162264,0,0,0,1,0,1,0,0,0,0,0,0,830.35,0,0,830.35,0,0,830.35,225.61,5.71,1257,0,0,830.35,225.61,5.71,1257,0,0,830.35,0,0,830.35,0,0,830.35,0,0,830.35
0,80+,2021,40212,40212,40212,40212,40073,40212,40073,40212,40212,40212,40212,0,0,0,1,0,1,0,0,0,0,0,0,3350.65,0,0,3350.65,0,0,3350.65,911.46,23.08,5078.34,0,0,3350.65,911.46,23.08,5078.34,0,0,3350.65,0,0,3350.65,0,0,3350.65,0,0,3350.65
1,50-59,2020,222270,222270,222270,222270,222270,222270,222270,221904,222270,222270,222270,0,0,0,0,0,0,0,0,0,0,0,0,606.18,0,0,606.18,0,0,606.18,0,0,606.18,0,0,606.18,0,0,606.18,0,0,607.18,0,0,606.18,0,0,606.18,0,0,606.18
1,50-59,2021,84387,84387,84387,84387,84387,84387,84387,84230,84387,84387,84387,0,0,0,0,0,0,0,0,0,0,0,0,1596.65,0,0,1596.65,0,0,1596.65,0,0,1596.65,0,0,1596.65,0,0,1596.65,0,0,1599.62,0,0,1596.65,0,0,1596.65,0,0,1596.65
1,80+,2020,110884,110884,110884,110884,110556,110884,110556,110518,110884,110884,110884,0,0,0,1,0,1,0,0,0,0,0,0,1215.11,0,0,1215.11,0,0,1215.11,330.38,8.36,1840.73,0,0,1215.11,330.38,8.36,1840.73,0,0,1219.13,0,0,1215.11,0,0,1215.11,0,0,1215.11
1,80+,2021,25401,25401,25401,25401,25345,25401,25345,25311,25401,25401,25401,0,0,0,0,0,0,0,0,0,0,0,0,5304.37,0,0,5304.37,0,0,5304.37,0,0,5316.09,0,0,5304.37,0,0,5316.09,0,0,5323.23,0,0,5304.37,0,0,5304.37,0,0,5304.37
0,30-39,2020,135341,135341,135341,135341,135341,135341,135341,135341,135341,135341,135341,0,0,0,0,0,0,0,0,0,0,0,0,995.53,0,0,995.53,0,0,995.53,0,0,995.53,0,0,995.53,0,0,995.53,0,0,995.53,0,0,995.53,0,0,995.53,0,0,995.53
0,30-39,2021,53231,53231,53231,53231,53231,53231,53231,53231,53231,53231,53231,0,0,0,0,0,0,0,0,0,0,0,0,2531.16,0,0,2531.16,0,0,2531.16,0,0,2531.16,0,0,2531.16,0,0,2531.16,0,0,2531.16,0,0,2531.16,0,0,2531.16,0,0,2531.16
0,5-11,2020,43064,43064,43064,43064,43064,43064,43064,43064,43064,43064,43064,0,0,0,0,0,0,0,0,0,0,0,0,3128.75,0,0,3128.75,0,0,3128.75,0,0,3128.75,0,0,3128.75,0,0,3128.75,0,0,3128.75,0,0,3128.75,0,0,3128.75,0,0,3128.75
0,5-11,2021,18459,18459,18459,18459,18459,18459,18459,18459,18459,18459,18459,0,0,0,0,0,0,0,0,0,0,0,0,7299.22,0,0,7299.22,0,0,7299.22,0,0,7299.22,0,0,7299.22,0,0,7299.22,0,0,7299.22,0,0,7299.22,0,0,7299.22,0,0,7299.22
0,18-24,2020,64594,64594,64594,64594,64594,64594,64594,64594,64594,64594,64594,0,0,0,0,0,0,0,0,0,0,0,0,2085.9,0,0,2085.9,0,0,2085.9,0,0,2085.9,0,0,2085.9,0,0,2085.9,0,0,2085.9,0,0,2085.9,0,0,2085.9,0,0,2085.9
0,18-24,2021,26461,26461,26461,26461,26461,26461,26461,26461,26461,26461,26461,0,0,0,0,0,0,0,0,0,0,0,0,5091.88,0,0,5091.88,0,0,5091.88,0,0,5091.88,0,0,5091.88,0,0,5091.88,0,0,5091.88,0,0,5091.88,0,0,5091.88,0,0,5091.88
1,5-11,2020,55968,55968,55968,55968,55968,55968,55968,55968,55968,55968,55968,0,0,0,0,0,0,0,0,0,0,0,0,2407.38,0,0,2407.38,0,0,2407.38,0,0,2407.38,0,0,2407.38,0,0,2407.38,0,0,2407.38,0,0,2407.38,0,0,2407.38,0,0,2407.38
1,5-11,2021,25789,25789,25789,25789,25789,25789,25789,25789,25789,25789,25789,0,0,0,0,0,0,0,0,0,0,0,0,5224.57,0,0,5224.57,0,0,5224.57,0,0,5224.57,0,0,5224.57,0,0,5224.57,0,0,5224.57,0,0,5224.57,0,0,5224.57,0,0,5224.57
0,12-17,2020,55649,55649,55649,55649,55649,55649,55649,55649,55649,55649,55649,0,0,0,0,0,0,0,0,0,0,0,0,2421.18,0,0,2421.18,0,0,2421.18,0,0,2421.18,0,0,2421.18,0,0,2421.18,0,0,2421.18,0,0,2421.18,0,0,2421.18,0,0,2421.18
0,12-17,2021,22268,22268,22268,22268,22268,22268,22268,22268,22268,22268,22268,0,0,0,0,0,0,0,0,0,0,0,0,6050.67,0,0,6050.67,0,0,6050.67,0,0,6050.67,0,0,6050.67,0,0,6050.67,0,0,6050.67,0,0,6050.67,0,0,6050.67,0,0,6050.67
0,25-29,2020,56603,56603,56603,56603,56603,56603,56603,56603,56603,56603,56603,0,0,0,0,0,0,0,0,0,0,0,0,2380.37,0,0,2380.37,0,0,2380.37,0,0,2380.37,0,0,2380.37,0,0,2380.37,0,0,2380.37,0,0,2380.37,0,0,2380.37,0,0,2380.37
0,25-29,2021,22065,22065,22065,22065,22065,22065,22065,22065,22065,22065,22065,0,0,0,0,0,0,0,0,0,0,0,0,6106.34,0,0,6106.34,0,0,6106.34,0,0,6106.34,0,0,6106.34,0,0,6106.34,0,0,6106.34,0,0,6106.34,0,0,6106.34,0,0,6106.34
1,12-17,2020,70552,70552,70552,70552,70552,70552,70552,70552,70552,70552,70552,0,0,0,0,0,0,0,0,0,0,0,0,1909.74,0,0,1909.74,0,0,1909.74,0,0,1909.74,0,0,1909.74,0,0,1909.74,0,0,1909.74,0,0,1909.74,0,0,1909.74,0,0,1909.74
1,12-17,2021,31498,31498,31498,31498,31498,31498,31498,31498,31498,31498,31498,0,0,0,0,0,0,0,0,0,0,0,0,4277.62,0,0,4277.62,0,0,4277.62,0,0,4277.62,0,0,4277.62,0,0,4277.62,0,0,4277.62,0,0,4277.62,0,0,4277.62,0,0,4277.62
1,0-4,2020,13215,13215,13215,13215,13215,13215,13215,13215,13215,13215,13215,0,0,0,0,0,0,0,0,0,0,0,0,10195.71,0,0,10195.71,0,0,10195.71,0,0,10195.71,0,0,10195.71,0,0,10195.71,0,0,10195.71,0,0,10195.71,0,0,10195.71,0,0,10195.71
1,0-4,2021,5648,5648,5648,5648,5648,5648,5648,5648,5648,5648,5648,0,0,0,0,0,0,0,0,0,0,0,0,23855.58,0,0,23855.58,0,0,23855.58,0,0,23855.58,0,0,23855.58,0,0,23855.58,0,0,23855.58,0,0,23855.58,0,0,23855.58,0,0,23855.58
