sex,agebands_at_1_jan_2021,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MISCC_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MISCC_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MISCC_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MISCC_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b
1,30-39,2020,127819,127819,127819,127819,127819,127819,127819,127819,127819,127819,127819,127819,127819,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,2021,50574,50574,50574,50574,50574,50574,50574,50574,50574,50574,50574,50574,50574,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,2020,193871,193871,193871,193871,193871,193871,193871,193871,193871,193871,193871,193871,193871,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,2021,79101,79101,79101,79101,79101,79101,79101,79101,79101,79081,79101,79101,79101,0,0,0,0,0,0,0,0,1,0,0,0
0,80+,2020,162264,162264,162264,162264,162264,162264,162264,162264,162264,162264,162264,162264,162264,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2021,40212,40212,40212,40212,40212,40212,40212,40212,40212,40212,40212,40212,40212,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,2020,222270,222270,222270,222270,222270,222270,222270,222270,222270,221904,222270,222270,222270,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,2021,84387,84387,84387,84387,84387,84387,84387,84387,84387,84230,84387,84387,84387,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,2020,110884,110884,110884,110884,110884,110884,110884,110884,110884,110518,110884,110884,110884,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,2021,25401,25401,25401,25401,25401,25401,25401,25401,25401,25311,25401,25401,25401,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,2020,135341,135341,135341,135341,135341,135341,135341,135341,135341,135341,135341,135341,135341,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,2021,53231,53231,53231,53231,53231,53231,53231,53231,53231,53231,53231,53231,53231,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020,43064,43064,43064,43064,43064,43064,43064,43064,43064,43064,43064,43064,43064,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021,18459,18459,18459,18459,18459,18459,18459,18459,18459,18459,18459,18459,18459,0,0,0,0,0,0,0,0,0,0,0,0
0,20-29,2020,101336,101336,101336,101336,101336,101336,101336,101336,101336,101336,101336,101336,101336,0,0,0,0,0,0,0,0,0,0,0,0
0,20-29,2021,40004,40004,40004,40004,40004,40004,40004,40004,40004,40004,40004,40004,40004,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020,55968,55968,55968,55968,55968,55968,55968,55968,55968,55968,55968,55968,55968,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2021,25789,25789,25789,25789,25789,25789,25789,25789,25789,25789,25789,25789,25789,0,0,0,0,0,0,0,0,0,0,0,0
0,18-19,2020,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,0,0,0,0,0,0,0,0,0,0,0,0
0,18-19,2021,8522,8522,8522,8522,8522,8522,8522,8522,8522,8522,8522,8522,8522,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2020,55649,55649,55649,55649,55649,55649,55649,55649,55649,55649,55649,55649,55649,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2021,22268,22268,22268,22268,22268,22268,22268,22268,22268,22268,22268,22268,22268,0,0,0,0,0,0,0,0,0,0,0,0
1,18-19,2020,18161,18161,18161,18161,18161,18161,18161,18161,18161,18161,18161,18161,18161,0,0,0,0,0,0,0,0,0,0,0,0
1,18-19,2021,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2020,70552,70552,70552,70552,70552,70552,70552,70552,70552,70552,70552,70552,70552,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2021,31498,31498,31498,31498,31498,31498,31498,31498,31498,31498,31498,31498,31498,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020,13215,13215,12849,12849,12849,13215,12849,12849,12849,13215,13215,13215,13215,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2021,5648,5648,5467,5467,5467,5648,5467,5467,5467,5648,5648,5648,5648,0,0,0,0,0,0,0,0,0,0,0,0
