sex,ageband_at_1_jan_2021,year,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
0,50-59,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193308.93,0,0,193308.93,0,0,193308.93,0,0,193308.93,0,0,193308.93,0,0,193308.93,0,0,193308.93,0,0,193308.93,0,0,193308.93,0,0,193308.93,0,0,193308.93,0,0,193308.93
0,18-24,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38
0,70-79,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280700.67,0,0,280700.67,0,0,280700.67,0,0,280700.67,0,0,280700.67,0,0,280700.67,0,0,280700.67,0,0,280700.67,0,0,280700.67,0,0,280700.67,0,0,280700.67,0,0,280700.67
0,70-79,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05
0,18-24,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1236113.05,0,0,1236113.05,0,0,1236113.05,0,0,1236113.05,0,0,1236113.05,0,0,1236113.05,0,0,1236113.05,0,0,1236113.05,0,0,1236113.05,0,0,1236113.05,0,0,1236113.05,0,0,1236113.05
1,40-49,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84739.83,0,0,84739.83,0,0,84739.83,0,0,84739.83,0,0,84739.83,0,0,84739.83,0,0,84739.83,0,0,84739.83,0,0,84739.83,0,0,84739.83,0,0,84739.83,0,0,84739.83
1,40-49,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563750.3,0,0,563750.3,0,0,563750.3,0,0,563750.3,0,0,563750.3,0,0,563750.3,0,0,563750.3,0,0,563750.3,0,0,563750.3,0,0,563750.3,0,0,563750.3,0,0,563750.3
1,30-39,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55722.22,0,0,55722.22,0,0,55722.22,0,0,55722.22,0,0,55722.22,0,0,55722.22,0,0,55722.22,0,0,55722.22,0,0,55722.22,0,0,55722.22,0,0,55722.22,0,0,55722.22
1,50-59,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403503.35,0,0,1403503.35,0,0,1403503.35,0,0,1403503.35,0,0,1403503.35,0,0,1403503.35,0,0,1403503.35,0,0,1403503.35,0,0,1403503.35,0,0,1403503.35,0,0,1403503.35,0,0,1403503.35
1,50-59,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52223.38,0,0,52223.38,0,0,52223.38,0,0,52223.38,0,0,52223.38,0,0,52223.38,0,0,52223.38,0,0,52223.38,0,0,52223.38,0,0,52223.38,0,0,52223.38,0,0,52223.38
1,18-24,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25
1,18-24,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89288.48,0,0,89288.48,0,0,89288.48,0,0,89288.48,0,0,89288.48,0,0,89288.48,0,0,89288.48,0,0,89288.48,0,0,89288.48,0,0,89288.48,0,0,89288.48,0,0,89288.48
1,60-69,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1663411.38,0,0,1663411.38,0,0,1663411.38,0,0,1663411.38,0,0,1663411.38,0,0,1663411.38,0,0,1663411.38,0,0,1663411.38,0,0,1663411.38,0,0,1663411.38,0,0,1663411.38,0,0,1663411.38
1,60-69,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120839.75,0,0,120839.75,0,0,120839.75,0,0,120839.75,0,0,120839.75,0,0,120839.75,0,0,120839.75,0,0,120839.75,0,0,120839.75,0,0,120839.75,0,0,120839.75,0,0,120839.75
1,30-39,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327029.91,0,0,327029.91,0,0,327029.91,0,0,327029.91,0,0,327029.91,0,0,327029.91,0,0,327029.91,0,0,327029.91,0,0,327029.91,0,0,327029.91,0,0,327029.91,0,0,327029.91
1,80+,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1705523.06,0,0,1705523.06,0,0,1705523.06,0,0,1705523.06,0,0,1705523.06,0,0,1705523.06,0,0,1705523.06,0,0,1705523.06,0,0,1705523.06,0,0,1705523.06,0,0,1705523.06,0,0,1705523.06
1,80+,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227595.14,0,0,227595.14,0,0,227595.14,0,0,227595.14,0,0,227595.14,0,0,227595.14,0,0,227595.14,0,0,227595.14,0,0,227595.14,0,0,227595.14,0,0,227595.14,0,0,227595.14
1,12-17,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128442.63,0,0,128442.63,0,0,128442.63,0,0,128442.63,0,0,128442.63,0,0,128442.63,0,0,128442.63,0,0,128442.63,0,0,128442.63,0,0,128442.63,0,0,128442.63,0,0,128442.63
1,25-29,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169479.65,0,0,169479.65,0,0,169479.65,0,0,169479.65,0,0,169479.65,0,0,169479.65,0,0,169479.65,0,0,169479.65,0,0,169479.65,0,0,169479.65,0,0,169479.65,0,0,169479.65
1,25-29,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171620.19,0,0,1171620.19,0,0,1171620.19,0,0,1171620.19,0,0,1171620.19,0,0,1171620.19,0,0,1171620.19,0,0,1171620.19,0,0,1171620.19,0,0,1171620.19,0,0,1171620.19,0,0,1171620.19
1,12-17,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33684080.52,0,0,33684080.52,0,0,33684080.52,0,0,33684080.52,0,0,33684080.52,0,0,33684080.52,0,0,33684080.52,0,0,33684080.52,0,0,33684080.52,0,0,33684080.52,0,0,33684080.52,0,0,33684080.52
1,5-11,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052627.52,0,0,1052627.52,0,0,1052627.52,0,0,1052627.52,0,0,1052627.52,0,0,1052627.52,0,0,1052627.52,0,0,1052627.52,0,0,1052627.52,0,0,1052627.52,0,0,1052627.52,0,0,1052627.52
1,70-79,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532554.63,0,0,532554.63,0,0,532554.63,0,0,532554.63,0,0,532554.63,0,0,532554.63,0,0,532554.63,0,0,532554.63,0,0,532554.63,0,0,532554.63,0,0,532554.63,0,0,532554.63
1,70-79,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02
