sex,ageband_at_study_entry,Dose,type_vax,CV,COVCANCER,COVCOPD,COVHIV,COVCKD,COVDIAB,COVOBES,COVSICKLE,IMMUNOSUPPR,any_risk_factors,week,Persontime,Persontime_COVID_L1plus,Persontime_COVID_L2plus,Persontime_COVID_L3plus,Persontime_COVID_L4plus,Persontime_COVID_L5plus,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b
1,60-69,0,"",0,0,1,0,0,0,0,0,0,1,2020-01-06,105,105,105,105,105,105,0,0,0,0,0
1,80+,0,"",1,0,1,0,1,0,0,0,0,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
0,70-79,0,"",0,1,0,0,0,0,0,0,0,1,2020-01-06,28,28,28,28,28,28,0,0,0,0,0
1,60-69,0,"",0,0,0,0,0,1,0,0,0,1,2020-01-06,231,231,231,231,231,231,0,0,0,0,0
0,50-59,0,"",0,0,0,1,0,0,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,50-59,0,"",0,0,1,0,0,0,0,0,0,1,2020-01-06,147,147,147,147,147,147,0,0,0,0,0
1,30-39,0,"",0,0,1,0,0,0,0,0,1,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
0,40-49,0,"",0,0,0,0,0,0,0,0,1,1,2020-01-06,98,98,98,98,98,98,0,0,0,0,0
0,80+,0,"",1,0,1,0,0,0,0,0,1,1,2020-01-06,28,28,28,28,28,28,0,0,0,0,0
0,70-79,0,"",0,0,0,0,0,0,0,0,1,1,2020-01-06,154,154,154,154,154,154,0,0,0,0,0
1,30-39,0,"",0,0,1,0,0,0,0,0,0,1,2020-01-06,42,42,42,42,42,42,0,0,0,0,0
1,50-59,0,"",0,0,1,0,0,0,0,0,1,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
0,70-79,0,"",1,1,0,0,0,0,0,0,1,1,2020-01-06,28,28,28,28,28,28,0,0,0,0,0
1,70-79,0,"",0,1,0,0,0,0,0,0,1,1,2020-01-06,42,42,42,42,42,42,0,0,0,0,0
0,60-69,0,"",1,1,0,0,0,0,0,0,0,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
0,70-79,0,"",0,0,1,0,0,0,0,0,0,1,2020-01-06,99,99,99,99,99,99,0,0,0,0,0
0,0-4,0,"",0,0,1,0,0,0,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,60-69,0,"",0,1,0,0,0,0,0,0,1,1,2020-01-06,42,42,42,42,42,42,0,0,0,0,0
1,40-49,0,"",0,1,0,0,0,1,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,50-59,0,"",0,1,0,0,0,0,0,0,1,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
0,40-49,0,"",0,0,1,0,0,0,0,0,0,1,2020-01-06,112,112,112,112,112,112,0,0,0,0,0
1,70-79,0,"",1,0,0,0,1,0,1,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,80+,0,"",1,0,0,0,1,0,0,0,0,1,2020-01-06,28,28,28,28,28,28,0,0,0,0,0
1,18-24,0,"",0,0,0,1,0,0,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,80+,0,"",1,0,0,0,0,0,0,0,1,1,2020-01-06,133,133,133,133,133,133,0,0,0,0,0
1,18-24,0,"",0,0,1,0,0,0,0,0,0,1,2020-01-06,49,49,49,49,49,49,0,0,0,0,0
0,70-79,0,"",0,1,0,0,0,0,0,0,1,1,2020-01-06,21,21,21,21,21,21,0,0,0,0,0
1,40-49,0,"",0,1,0,0,0,0,0,0,1,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
0,60-69,0,"",0,0,0,0,0,1,0,0,0,1,2020-01-06,126,126,126,126,126,126,0,0,0,0,0
0,70-79,0,"",0,1,0,0,0,1,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,12-17,0,"",1,0,0,0,0,0,0,0,0,1,2020-01-06,28,28,28,28,28,28,0,0,0,0,0
0,80+,0,"",0,0,0,0,0,1,0,0,0,1,2020-01-06,105,105,105,105,105,105,0,0,0,0,0
1,80+,0,"",1,0,1,0,0,0,0,0,1,1,2020-01-06,49,49,49,49,49,49,0,0,0,0,0
1,80+,0,"",1,1,0,0,0,0,0,0,0,1,2020-01-06,21,21,21,21,21,21,0,0,0,0,0
0,60-69,0,"",0,1,1,0,0,0,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,60-69,0,"",0,0,0,0,0,0,0,0,1,1,2020-01-06,77,77,77,77,77,77,0,0,0,0,0
1,70-79,0,"",0,1,0,0,0,0,0,0,0,1,2020-01-06,56,56,56,56,56,56,0,0,0,0,0
0,12-17,0,"",0,0,1,0,0,0,0,0,0,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
0,50-59,0,"",0,0,0,0,0,0,0,0,1,1,2020-01-06,147,147,147,147,147,147,0,0,0,0,0
1,70-79,0,"",0,0,0,0,0,0,0,0,1,1,2020-01-06,42,42,42,42,42,42,0,0,0,0,0
0,18-24,0,"",0,0,0,0,0,0,0,0,1,1,2020-01-06,28,28,28,28,28,28,0,0,0,0,0
0,80+,0,"",1,0,1,0,0,0,0,0,0,1,2020-01-06,119,119,119,119,119,119,0,0,0,0,0
1,50-59,0,"",0,0,0,0,0,0,0,0,1,1,2020-01-06,63,63,63,63,63,63,0,0,0,0,0
1,80+,0,"",1,1,0,0,0,1,0,0,0,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
1,80+,0,"",0,0,0,0,0,1,0,0,0,1,2020-01-06,42,42,42,42,42,42,0,0,0,0,0
0,50-59,0,"",1,0,0,0,0,0,0,0,0,1,2020-01-06,175,175,175,175,175,175,0,0,0,0,0
1,70-79,0,"",1,1,0,0,0,0,0,0,0,1,2020-01-06,28,28,28,28,28,28,0,0,0,0,0
0,30-39,0,"",0,0,0,0,0,1,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,80+,0,"",1,0,1,0,0,1,0,0,0,1,2020-01-06,35,35,35,35,35,35,0,0,0,0,0
1,80+,0,"",0,0,1,0,0,1,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,50-59,0,"",0,0,0,0,1,0,1,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,80+,0,"",0,1,0,0,0,0,0,0,0,1,2020-01-06,35,35,35,35,35,35,0,0,0,0,0
0,70-79,0,"",1,1,0,0,1,0,0,0,1,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
1,60-69,0,"",0,1,0,0,1,0,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,30-39,0,"",1,0,0,0,0,0,0,0,0,1,2020-01-06,35,35,35,35,35,35,0,0,0,0,0
1,40-49,0,"",1,0,0,1,0,1,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,80+,0,"",1,1,1,0,0,0,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,80+,0,"",0,1,0,0,0,0,0,0,1,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
1,40-49,0,"",1,0,0,0,0,1,0,0,0,1,2020-01-06,21,21,21,21,21,21,0,0,0,0,0
1,80+,0,"",1,0,0,0,0,0,1,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,50-59,0,"",0,0,1,0,0,0,0,0,0,1,2020-01-06,91,91,91,91,91,91,0,0,0,0,0
1,50-59,0,"",1,1,0,0,0,0,0,0,0,1,2020-01-06,21,21,21,21,21,21,0,0,0,0,0
0,80+,0,"",1,0,0,0,1,1,0,0,0,1,2020-01-06,21,21,21,21,21,21,0,0,0,0,0
1,50-59,0,"",0,0,0,0,1,0,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,70-79,0,"",1,1,1,1,0,0,0,1,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,70-79,0,"",1,0,0,0,0,1,0,0,0,1,2020-01-06,182,182,182,182,182,182,0,0,0,0,0
1,80+,0,"",1,0,1,0,1,0,1,0,1,1,2020-01-06,1,1,1,1,1,1,0,0,0,0,0
1,60-69,0,"",1,0,1,0,0,1,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,30-39,0,"",1,1,0,1,0,0,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,50-59,0,"",0,1,0,0,0,0,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,30-39,0,"",0,0,1,0,0,0,0,0,0,1,2020-01-06,42,42,42,42,42,42,0,0,0,0,0
0,80+,0,"",1,0,0,0,1,0,0,0,0,1,2020-01-06,42,42,42,42,42,42,0,0,0,0,0
1,50-59,0,"",0,1,1,0,0,0,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,40-49,0,"",0,0,1,0,0,0,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,30-39,0,"",0,0,0,1,0,0,0,0,0,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
1,40-49,0,"",0,0,0,1,0,1,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,60-69,0,"",1,0,0,0,0,1,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,60-69,0,"",1,0,0,0,0,0,0,0,1,1,2020-01-06,21,21,21,21,21,21,0,0,0,0,0
0,70-79,0,"",0,0,0,0,1,0,0,0,0,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
1,60-69,0,"",0,0,0,1,0,1,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,80+,0,"",1,1,1,0,0,0,0,0,1,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
1,80+,0,"",1,0,0,1,1,0,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,70-79,0,"",1,0,0,0,0,1,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,0-4,0,"",0,0,1,0,0,0,0,0,0,1,2020-01-06,35,35,35,35,35,35,0,0,0,0,0
0,80+,0,"",1,1,0,0,0,1,0,1,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,5-11,0,"",0,0,1,0,0,0,0,0,0,1,2020-01-06,42,42,42,42,42,42,0,0,0,0,0
0,50-59,0,"",1,0,1,0,0,1,1,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,70-79,0,"",1,0,1,0,1,0,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,60-69,0,"",1,0,1,0,0,0,0,0,0,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
1,40-49,0,"",0,0,0,0,0,1,0,0,0,1,2020-01-06,49,49,49,49,49,49,0,0,0,0,0
0,30-39,0,"",0,0,0,0,0,0,0,0,1,1,2020-01-06,63,63,63,63,63,63,0,0,0,0,0
1,70-79,0,"",1,0,1,0,0,1,0,0,0,1,2020-01-06,42,42,42,42,42,42,0,0,0,0,0
1,18-24,0,"",1,0,0,0,0,0,0,0,0,1,2020-01-06,35,35,35,35,35,35,0,0,0,0,0
0,40-49,0,"",0,1,0,0,0,0,0,0,0,1,2020-01-06,66,66,66,66,66,66,0,0,0,0,0
0,80+,0,"",1,0,0,0,0,1,0,0,1,1,2020-01-06,20,20,20,20,20,20,0,0,0,0,0
1,40-49,0,"",0,0,1,0,0,1,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,30-39,0,"",1,0,0,0,0,0,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,40-49,0,"",0,0,0,0,0,0,1,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,80+,0,"",1,0,0,0,0,1,1,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,80+,0,"",0,0,1,0,0,0,0,0,1,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
0,40-49,0,"",0,0,0,0,0,0,0,1,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,70-79,0,"",0,0,1,0,0,0,0,0,1,1,2020-01-06,21,21,21,21,21,21,0,0,0,0,0
1,60-69,0,"",1,0,0,1,1,0,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,70-79,0,"",0,0,1,0,0,0,0,0,1,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
0,40-49,0,"",1,1,0,0,0,0,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,30-39,0,"",0,1,0,0,0,0,0,0,1,1,2020-01-06,21,21,21,21,21,21,0,0,0,0,0
0,40-49,0,"",1,0,0,0,0,0,1,0,0,1,2020-01-06,21,21,21,21,21,21,0,0,0,0,0
1,5-11,0,"",0,0,0,0,0,0,0,0,1,1,2020-01-06,28,28,28,28,28,28,0,0,0,0,0
1,50-59,0,"",1,0,0,0,0,0,0,0,1,1,2020-01-06,28,28,28,28,28,28,0,0,0,0,0
0,70-79,0,"",1,1,0,0,0,1,0,0,1,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
0,30-39,0,"",0,0,0,0,0,1,0,0,0,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
1,60-69,0,"",0,0,1,0,0,1,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,40-49,0,"",1,1,0,0,0,0,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,80+,0,"",1,1,0,0,0,1,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,50-59,0,"",0,0,0,0,0,1,0,0,1,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
0,5-11,0,"",0,0,0,0,0,0,0,0,1,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
1,70-79,0,"",0,0,1,0,0,1,0,0,0,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
0,18-24,0,"",0,1,0,0,0,0,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,70-79,0,"",1,0,1,0,0,0,0,0,1,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
1,60-69,0,"",0,0,0,0,0,1,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,0-4,0,"",0,0,1,0,0,0,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,60-69,0,"",1,1,1,0,0,0,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,50-59,0,"",1,1,0,0,0,0,0,0,1,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
0,12-17,0,"",0,0,0,0,0,1,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,80+,0,"",0,0,0,0,0,1,0,0,1,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
0,80+,0,"",1,0,1,0,1,1,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,60-69,0,"",0,1,0,1,0,0,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,50-59,0,"",1,0,0,0,0,0,0,0,1,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
0,40-49,0,"",0,1,0,0,0,0,0,0,1,1,2020-01-06,21,21,21,21,21,21,0,0,0,0,0
0,80+,0,"",1,1,0,0,1,0,0,1,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,40-49,0,"",0,0,1,0,0,0,0,0,1,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
1,30-39,0,"",0,0,0,0,0,0,0,0,1,1,2020-01-06,21,21,21,21,21,21,0,0,0,0,0
0,60-69,0,"",0,0,0,0,0,0,1,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
0,60-69,0,"",1,0,1,0,0,0,0,0,1,1,2020-01-06,35,35,35,35,35,35,0,0,0,0,0
0,50-59,0,"",1,1,0,1,0,0,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,60-69,0,"",1,0,0,0,0,0,1,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,50-59,0,"",0,0,0,1,0,0,0,0,0,1,2020-01-06,14,14,14,14,14,14,0,0,0,0,0
1,50-59,0,"",1,1,0,0,0,0,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,80+,0,"",0,0,0,0,0,0,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,70-79,0,"",1,1,0,0,0,0,0,1,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,80+,0,"",0,0,1,1,0,0,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,70-79,0,"",1,1,0,0,1,0,0,0,0,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
1,60-69,0,"",1,1,0,0,1,0,0,0,1,1,2020-01-06,7,7,7,7,7,7,0,0,0,0,0
