sex,agebands_at_1_jan_2021,type_vax_1,history_covid,month,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MISCC_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MISCC_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MISCC_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MISCC_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b
0,50-59,Pfizer,0,2021-01,433,433,433,433,433,433,433,433,433,433,433,433,433,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-02,904,904,904,904,904,904,904,904,904,904,904,904,904,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-03,1442,1442,1442,1442,1442,1442,1442,1442,1442,1442,1442,1442,1442,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-04,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,1498,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,0,2021-01,233,233,233,233,233,233,233,233,233,233,233,233,233,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,0,2021-02,437,437,437,437,437,437,437,437,437,437,437,437,437,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,0,2021-03,667,667,667,667,667,667,667,667,667,667,667,667,667,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,0,2021-04,730,730,730,730,730,730,730,730,730,730,730,730,730,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,0,2021-05,2589,2589,2589,2589,2589,2589,2589,2589,2589,2589,2589,2589,2589,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,0,2021-06,5962,5962,5962,5962,5962,5962,5962,5962,5962,5962,5962,5962,5962,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Moderna,0,2021-06,534,534,534,534,534,534,534,534,534,534,534,534,534,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021-03,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021-04,7748,7748,7748,7748,7748,7748,7748,7748,7748,7748,7748,7748,7748,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021-05,10332,10332,10332,10332,10332,10332,10332,10332,10332,10332,10332,10332,10332,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021-06,10056,10056,10056,10056,10056,10056,10056,10056,10056,10056,10056,10056,10056,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,Pfizer,0,2021-06,5248,5248,5248,5248,5248,5248,5248,5248,5248,5248,5248,5248,5248,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,Pfizer,0,2021-01,189,189,189,189,189,189,189,189,189,189,189,189,189,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,Pfizer,0,2021-02,230,230,230,230,230,230,230,230,230,230,230,230,230,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,Pfizer,0,2021-03,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,Pfizer,0,2021-04,5436,5436,5436,5436,5436,5436,5436,5436,5436,5436,5436,5436,5436,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,Pfizer,0,2021-05,7306,7306,7306,7306,7306,7306,7306,7306,7306,7306,7306,7306,7306,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,Pfizer,0,2021-06,7011,7011,7011,7011,7011,7011,7011,7011,7011,7011,7011,7011,7011,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Moderna,1,2021-06,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Pfizer,1,2021-06,86,86,86,86,86,86,86,86,86,86,86,86,86,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Pfizer,0,2021-06,2798,2798,2798,2798,2798,2798,2798,2798,2798,2751,2798,2798,2798,0,0,0,0,0,0,0,0,0,0,0,0
1,20-29,Pfizer,0,2021-06,901,901,901,901,901,901,901,901,901,901,901,901,901,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,1,2021-06,357,357,357,357,357,357,357,357,357,357,357,357,357,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Moderna,0,2021-06,505,505,505,505,505,505,505,505,505,505,505,505,505,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,0,2021-06,3576,3576,3576,3576,3576,3576,3576,3576,3576,3576,3576,3576,3576,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,AstraZeneca,0,2021-05,501,501,501,501,501,501,501,501,501,501,501,501,501,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,AstraZeneca,0,2021-06,521,521,521,521,521,521,521,521,521,521,521,521,521,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,Pfizer,0,2021-05,3115,3115,3115,3115,3115,3115,3115,3115,3115,3115,3115,3115,3115,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,Pfizer,0,2021-06,4412,4412,4412,4412,4412,4412,4412,4412,4412,4412,4412,4412,4412,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Pfizer,0,2021-06,3247,3247,3247,3247,3247,3247,3247,3247,3247,3247,3247,3247,3247,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,Pfizer,0,2021-04,628,628,628,628,628,628,628,628,628,628,628,628,628,0,0,0,0,0,0,0,0,0,0,0,0
0,18-19,Moderna,0,2021-06,104,104,104,104,104,104,104,104,104,104,104,104,104,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,AstraZeneca,0,2021-05,1146,1146,1146,1146,1146,1146,1146,1146,1146,1146,1146,1146,1146,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,AstraZeneca,0,2021-06,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,AstraZeneca,0,2021-04,2698,2698,2698,2698,2698,2698,2698,2698,2698,2698,2698,2698,2698,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,AstraZeneca,0,2021-05,3917,3917,3917,3917,3917,3917,3917,3917,3917,3917,3917,3917,3917,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,AstraZeneca,0,2021-06,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752,3752,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Moderna,0,2021-05,961,961,961,961,961,961,961,961,961,961,961,961,961,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Moderna,0,2021-06,955,955,955,955,955,955,955,955,955,955,955,955,955,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,UKN,0,2021-05,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,UKN,0,2021-06,362,362,362,362,362,362,362,362,362,362,362,362,362,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Pfizer,0,2021-05,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,AstraZeneca,0,2021-03,200,200,200,200,200,200,200,200,200,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Moderna,0,2021-03,75,75,75,75,75,75,75,75,75,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Moderna,0,2021-04,392,392,392,392,392,392,392,392,392,392,392,392,392,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Moderna,0,2021-05,776,776,776,776,776,776,776,776,776,776,776,776,776,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Moderna,0,2021-06,930,930,930,930,930,930,930,930,930,930,930,930,930,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Moderna,0,2021-06,762,762,762,762,762,762,762,762,762,762,762,762,762,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,AstraZeneca,0,2021-03,198,198,198,198,198,198,198,198,198,198,198,198,198,0,0,0,0,0,0,0,0,0,0,0,0
1,18-19,Pfizer,0,2021-06,218,218,218,218,218,218,218,218,218,218,218,218,218,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Moderna,0,2021-05,120,120,120,120,120,120,120,120,120,120,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,Moderna,0,2021-06,605,605,605,605,605,605,605,605,605,605,605,605,605,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Moderna,0,2021-04,419,419,419,419,419,419,419,419,419,419,419,419,419,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Moderna,0,2021-05,812,812,812,812,812,812,812,812,812,812,812,812,812,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Moderna,0,2021-06,956,956,956,956,956,956,956,956,956,956,956,956,956,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,Pfizer,0,2021-05,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,AstraZeneca,0,2021-05,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,AstraZeneca,0,2021-06,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Pfizer,0,2021-01,121,121,121,121,121,121,121,121,121,121,121,121,121,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Pfizer,0,2021-02,197,197,197,197,197,197,197,197,197,197,197,197,197,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Pfizer,0,2021-03,248,248,248,248,248,248,248,248,248,248,248,248,248,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Pfizer,0,2021-04,236,236,236,236,236,236,236,236,236,236,236,236,236,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Pfizer,0,2021-05,451,451,451,451,451,451,451,451,451,451,451,451,451,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Pfizer,0,2021-06,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,1335,0,0,0,0,0,0,0,0,0,0,0,0
0,20-29,Pfizer,0,2021-06,997,997,997,997,997,997,997,997,997,997,997,997,997,0,0,0,0,0,0,0,0,0,0,0,0
1,20-29,Moderna,0,2021-06,340,340,340,340,340,340,340,340,340,340,340,340,340,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,Pfizer,0,2021-01,150,150,150,150,150,150,150,150,150,150,150,150,150,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,Pfizer,0,2021-02,311,311,311,311,311,311,311,311,311,311,311,311,311,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,Pfizer,0,2021-03,610,610,610,610,610,610,610,610,610,610,610,610,610,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,Pfizer,0,2021-04,713,713,713,713,713,713,713,713,713,713,713,713,713,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,Pfizer,0,2021-06,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,AstraZeneca,0,2021-02,122,122,122,122,122,122,122,122,122,122,122,122,122,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,AstraZeneca,0,2021-03,896,896,896,896,896,896,896,896,896,896,896,896,896,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,AstraZeneca,0,2021-04,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,AstraZeneca,0,2021-05,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,AstraZeneca,0,2021-06,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376,1376,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,AstraZeneca,0,2021-03,625,625,625,625,625,625,625,625,625,625,625,625,625,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,AstraZeneca,0,2021-04,744,744,744,744,744,744,744,744,744,744,744,744,744,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,AstraZeneca,0,2021-05,853,853,853,853,853,853,853,853,853,853,853,853,853,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,AstraZeneca,0,2021-06,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,0,0,0,0,0,0,0,0,0,0,0,0
0,20-29,Moderna,0,2021-05,201,201,201,201,201,201,201,201,201,201,201,201,201,0,0,0,0,0,0,0,0,0,0,0,0
0,20-29,Moderna,0,2021-06,313,313,313,313,313,313,313,313,313,313,313,313,313,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,Pfizer,0,2021-05,778,778,778,778,778,778,778,778,778,778,778,778,778,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,UKN,0,2021-06,345,345,345,345,345,345,345,345,345,345,345,345,345,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,AstraZeneca,0,2021-03,997,997,997,997,997,997,997,997,997,997,997,997,997,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,AstraZeneca,0,2021-04,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,AstraZeneca,0,2021-05,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,AstraZeneca,0,2021-06,1341,1341,1341,1341,1341,1341,1341,1341,1341,1341,1341,1341,1341,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Moderna,0,2021-03,153,153,153,153,153,153,153,153,153,153,153,153,153,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,1,2021-05,132,132,132,132,132,132,132,132,132,132,132,132,132,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,1,2021-06,242,242,242,242,242,242,242,242,242,242,242,242,242,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,UKN,1,2021-05,2,< 5,< 5,< 5,< 5,< 5,< 5,< 5,< 5,< 5,< 5,< 5,< 5,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,UKN,1,2021-06,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021-02,230,230,230,230,230,230,230,230,230,230,230,230,230,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,Moderna,0,2021-06,1395,1395,1395,1395,1395,1395,1395,1395,1395,1371,1395,1395,1395,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,AstraZeneca,0,2021-03,179,179,179,179,179,179,179,179,179,179,179,179,179,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,AstraZeneca,0,2021-04,439,439,439,439,439,439,439,439,439,439,439,439,439,0,0,0,0,0,0,0,0,0,0,0,0
0,20-29,Pfizer,0,2021-02,251,251,251,251,251,251,251,251,251,251,251,251,251,0,0,0,0,0,0,0,0,0,0,0,0
0,20-29,Pfizer,0,2021-03,434,434,434,434,434,434,434,434,434,434,434,434,434,0,0,0,0,0,0,0,0,0,0,0,0
0,20-29,Pfizer,0,2021-04,420,420,420,420,420,420,420,420,420,420,420,420,420,0,0,0,0,0,0,0,0,0,0,0,0
0,20-29,Pfizer,0,2021-05,486,486,486,486,486,486,486,486,486,486,486,486,486,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,AstraZeneca,1,2021-04,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,AstraZeneca,1,2021-05,31,31,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,AstraZeneca,1,2021-06,60,60,60,60,60,60,60,60,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,Pfizer,0,2021-06,178,178,178,178,178,178,178,178,178,178,178,178,178,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,0,2021-04,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,0,2021-05,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Pfizer,0,2021-01,181,181,181,181,181,181,181,181,181,181,181,181,181,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Pfizer,0,2021-02,353,353,353,353,353,353,353,353,353,353,353,353,353,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Pfizer,0,2021-03,532,532,532,532,532,532,532,532,532,532,532,532,532,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Pfizer,0,2021-04,625,625,625,625,625,625,625,625,625,625,625,625,625,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,UKN,0,2021-06,778,778,778,778,778,778,778,778,778,778,778,778,778,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,UKN,0,2021-05,171,171,171,171,171,171,171,171,171,171,171,171,171,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,UKN,0,2021-06,598,598,598,598,598,598,598,598,598,598,598,598,598,0,0,0,0,0,0,0,0,0,0,0,0
0,18-19,Pfizer,0,2021-06,304,304,304,304,304,304,304,304,304,304,304,304,304,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,AstraZeneca,0,2021-02,225,225,225,225,225,225,225,225,225,225,225,225,225,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Moderna,0,2021-03,81,81,81,81,81,81,81,81,81,81,81,81,81,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Moderna,0,2021-04,269,269,269,269,269,269,269,269,269,269,269,269,269,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Moderna,0,2021-05,630,630,630,630,630,630,630,630,630,630,630,630,630,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Moderna,0,2021-06,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,1413,0,0,0,0,0,0,0,0,0,0,0,0
0,20-29,AstraZeneca,0,2021-02,73,73,73,73,73,73,73,73,73,73,73,73,73,0,0,0,0,0,0,0,0,0,0,0,0
0,20-29,AstraZeneca,0,2021-03,305,305,305,305,305,305,305,305,305,305,305,305,305,0,0,0,0,0,0,0,0,0,0,0,0
0,20-29,AstraZeneca,0,2021-04,373,373,373,373,373,373,373,373,373,373,373,373,373,0,0,0,0,0,0,0,0,0,0,0,0
0,20-29,AstraZeneca,0,2021-05,395,395,395,395,395,395,395,395,395,395,395,395,395,0,0,0,0,0,0,0,0,0,0,0,0
0,20-29,AstraZeneca,0,2021-06,390,390,390,390,390,390,390,390,390,390,390,390,390,0,0,0,0,0,0,0,0,0,0,0,0
0,20-29,Pfizer,1,2021-06,46,46,46,46,46,46,46,46,46,46,46,46,46,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,Moderna,0,2021-03,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,Moderna,0,2021-04,60,60,60,60,60,60,60,60,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,Moderna,0,2021-05,160,160,160,160,160,160,160,160,160,160,160,160,160,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,Pfizer,0,2021-06,121,121,121,121,121,121,121,121,121,121,121,121,121,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,0,2021-02,660,660,660,660,660,660,660,660,660,660,660,660,660,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,0,2021-03,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Pfizer,0,2021-03,246,246,246,246,246,246,246,246,246,246,246,246,246,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Pfizer,0,2021-04,330,330,330,330,330,330,330,330,330,330,330,330,330,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Pfizer,0,2021-05,681,681,681,681,681,681,681,681,681,673,681,681,681,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,Pfizer,0,2021-01,155,155,155,155,155,155,155,155,155,155,155,155,155,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,Pfizer,0,2021-02,281,281,281,281,281,281,281,281,281,281,281,281,281,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,Pfizer,0,2021-03,560,560,560,560,560,560,560,560,560,560,560,560,560,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,Pfizer,0,2021-04,604,604,604,604,604,604,604,604,604,604,604,604,604,0,0,0,0,0,0,0,0,0,0,0,0
0,18-19,Moderna,0,2021-05,54,54,54,54,54,54,54,54,54,54,54,54,54,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,Moderna,0,2021-05,670,670,670,670,670,670,670,670,670,670,670,670,670,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,AstraZeneca,0,2021-04,479,479,479,479,479,479,479,479,479,479,479,479,479,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,AstraZeneca,0,2021-03,195,195,195,195,195,195,195,195,195,195,195,195,195,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,AstraZeneca,0,2021-04,213,213,213,213,213,213,213,213,213,213,213,213,213,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,AstraZeneca,0,2021-05,218,218,218,218,218,218,218,218,218,218,218,218,218,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,AstraZeneca,0,2021-06,240,240,240,240,240,240,240,240,240,240,240,240,240,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Pfizer,0,2021-02,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,0,2021-01,262,262,262,262,262,262,262,262,262,262,262,262,262,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,AstraZeneca,0,2021-02,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0
1,20-29,Pfizer,0,2021-05,255,255,255,255,255,255,255,255,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Moderna,0,2021-03,128,128,128,128,128,128,128,128,128,128,128,128,128,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Moderna,0,2021-04,701,701,701,701,701,701,701,701,701,701,701,701,701,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,UKN,0,2021-05,32,32,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,UKN,0,2021-06,332,332,332,332,332,332,332,332,332,332,332,332,332,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,AstraZeneca,0,2021-03,437,437,437,437,437,437,437,437,437,437,437,437,437,0,0,0,0,0,0,0,0,0,0,0,0
0,20-29,Moderna,0,2021-04,51,51,51,51,51,51,51,51,51,51,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Moderna,0,2021-04,109,109,109,109,109,109,109,109,109,109,109,109,109,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Moderna,0,2021-05,205,205,205,205,205,205,205,205,205,205,205,205,205,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Moderna,1,2021-05,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Moderna,1,2021-06,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0
1,20-29,Pfizer,0,2021-03,206,206,206,206,206,206,206,206,206,206,206,206,206,0,0,0,0,0,0,0,0,0,0,0,0
1,20-29,Pfizer,0,2021-04,185,185,185,185,185,185,185,185,185,185,185,185,185,0,0,0,0,0,0,0,0,0,0,0,0
0,18-19,Pfizer,1,2021-06,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0
0,18-19,Pfizer,0,2021-05,27,27,27,27,27,27,27,27,27,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,AstraZeneca,0,2021-02,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Pfizer,1,2021-05,95,95,95,95,95,95,95,95,95,95,95,95,95,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Pfizer,1,2021-06,173,173,173,173,173,173,173,173,173,173,173,173,173,0,0,0,0,0,0,0,0,0,0,0,0
1,20-29,AstraZeneca,0,2021-03,55,55,55,55,55,55,55,55,55,55,55,55,55,0,0,0,0,0,0,0,0,0,0,0,0
