DAP,Event,Coding_system,First_4_digits_of_code,meaning_of_event,sum
TEST,HF,ICD9,4150,hospitalisation_secondary,1
TEST,CAD,ICD9,4101,hospitalisation_primary,4
TEST,CAD,ICD9,4100,hospitalisation_primary,2
TEST,CAD,ICD9,4100,hospitalisation_secondary,2
TEST,CAD,ICD9,4104,hospitalisation_primary,2
TEST,CAD,ICD9,412,hospitalisation_secondary,16
TEST,CAD,ICD9,4105,hospitalisation_primary,2
TEST,CAD,ICD9,4107,hospitalisation_primary,18
TEST,CAD,ICD9,4109,hospitalisation_secondary,2
TEST,CAD,ICD9,4104,hospitalisation_primary,2
TEST,CAD,ICD9,4102,hospitalisation_primary,4
TEST,CAD,ICD9,4109,hospitalisation_primary,2
TEST,CAD,ICD9,4103,hospitalisation_primary,6
TEST,CAD,ICD9,4100,hospitalisation_primary,4
TEST,CAD,ICD9,4101,hospitalisation_secondary,2
TEST,CAD,ICD9,4149,hospitalisation_secondary,23
TEST,CAD,ICD9,4110,hospitalisation_secondary,1
TEST,CAD,ICD9,4140,hospitalisation_secondary,14
TEST,CAD,ICD9,4402,hospitalisation_primary,3
TEST,CAD,ICD9,4140,hospitalisation_secondary,2
TEST,CAD,ICD9,4148,hospitalisation_secondary,11
TEST,CAD,ICD9,4139,hospitalisation_secondary,4
TEST,CAD,ICD9,414,exemption,15
TEST,CAD,ICD9,4111,hospitalisation_primary,3
TEST,CAD,ICD9,4140,hospitalisation_primary,4
TEST,CAD,ICD9,4402,hospitalisation_secondary,1
TEST,CAD,ICD9,4402,hospitalisation_primary,2
TEST,CAD,ICD9,4408,hospitalisation_secondary,3
TEST,CAD,ICD9,4139,hospitalisation_primary,4
TEST,CAD,ICD9,4402,hospitalisation_secondary,1
TEST,CAD,ICD9,4409,hospitalisation_secondary,1
TEST,CAD,ICD9,4131,hospitalisation_primary,1
TEST,ARR,ICD9,4261,hospitalisation_primary,4
TEST,ARR,ICD9,4260,hospitalisation_primary,16
TEST,ARR,ICD9,4273,hospitalisation_secondary,142
TEST,ARR,ICD9,4275,hospitalisation_secondary,8
TEST,ARR,ICD9,4260,hospitalisation_secondary,4
TEST,ARR,ICD9,4273,hospitalisation_primary,14
TEST,ARR,ICD9,4261,hospitalisation_secondary,4
TEST,ARR,ICD9,4278,hospitalisation_primary,8
TEST,ARR,ICD9,4270,hospitalisation_primary,2
TEST,ARR,ICD9,4263,hospitalisation_secondary,2
TEST,ARR,ICD9,4274,hospitalisation_primary,2
TEST,ARR,ICD9,427,exemption,12
TEST,ARR,ICD9,4278,hospitalisation_primary,2
TEST,ARR,ICD9,4278,hospitalisation_secondary,2
TEST,ARR,ICD9,4279,hospitalisation_secondary,2
TEST,ARR,ICD9,4273,hospitalisation_primary,2
TEST,ARR,ICD9,4265,hospitalisation_secondary,2
TEST,ARR,ICD9,4271,hospitalisation_primary,4
TEST,ARR,ICD9,4264,hospitalisation_secondary,2
TEST,ARR,ICD9,4271,hospitalisation_secondary,2
TEST,ARR,ICD9,4276,hospitalisation_primary,2
TEST,ARR,ICD9,4274,hospitalisation_secondary,2
TEST,MYOCARD,ICD9,4209,hospitalisation_primary,2
TEST,MYOCARD,ICD9,4209,hospitalisation_secondary,2
TEST,MYOCARD,ICD9,4209,hospitalisation_secondary,2
TEST,PERICARD,ICD9,4209,hospitalisation_primary,2
TEST,PERICARD,ICD9,4209,hospitalisation_secondary,2
TEST,PERICARD,ICD9,4209,hospitalisation_secondary,2
TEST,PERICARD,ICD9,4238,hospitalisation_secondary,1
TEST,PERICARD,ICD9,4230,hospitalisation_secondary,1
TEST,ALI,ICD9,5722,hospitalisation_primary,2
TEST,AKI,ICD9,5849,hospitalisation_secondary,36
TEST,AKI,ICD9,5849,hospitalisation_primary,28
TEST,AKI,ICD9,5846,hospitalisation_primary,2
TEST,AKI,ICD9,5845,hospitalisation_primary,2
TEST,AKI,ICD9,586,hospitalisation_secondary,8
TEST,AKI,ICD9,2765,hospitalisation_secondary,16
TEST,AKI,ICD9,2762,hospitalisation_secondary,2
TEST,AKI,ICD9,5933,hospitalisation_primary,3
TEST,GENCONV,ICD9,3458,hospitalisation_secondary,4
TEST,GENCONV,ICD9,3451,hospitalisation_secondary,2
TEST,GENCONV,ICD9,345,exemption,8
TEST,GENCONV,ICD9,7803,hospitalisation_secondary,2
TEST,GENCONV,ICD9,3451,hospitalisation_secondary,2
TEST,GENCONV,ICD9,3459,hospitalisation_secondary,2
TEST,GENCONV,ICD9,3450,hospitalisation_secondary,4
TEST,GENCONV,ICD9,3455,hospitalisation_secondary,2
TEST,MENINGOENC,ICD9,3483,hospitalisation_secondary,1
TEST,ARD,ICD9,5188,hospitalisation_secondary,8
TEST,ARD,ICD9,5188,hospitalisation_primary,4
TEST,ARD,ICD9,5184,hospitalisation_primary,2
TEST,ARD,ICD9,5184,hospitalisation_secondary,1
TEST,ARD,ICD9,5185,hospitalisation_secondary,1
TEST,ARD,ICD9,5185,hospitalisation_primary,1
TEST,ANAPHYL,ICD9,4580,hospitalisation_secondary,1
TEST,ANAPHYL,ICD9,4580,hospitalisation_primary,1
TEST,ANAPHYL,ICD9,9952,hospitalisation_secondary,1
TEST,ANAPHYL,ICD9,9952,hospitalisation_primary,1
TEST,ANAPHYL,ICD9,7823,hospitalisation_secondary,1
TEST,MIS,ICD9,7855,hospitalisation_primary,4
TEST,MIS,ICD9,7855,hospitalisation_secondary,2
TEST,MIS,ICD9,7855,hospitalisation_secondary,3
TEST,Hemostroke,ICD9,431,hospitalisation_primary,20
TEST,Hemostroke,ICD9,431,hospitalisation_secondary,2
TEST,Ischstroke,ICD9,4340,hospitalisation_primary,14
TEST,Ischstroke,ICD9,4341,hospitalisation_primary,10
TEST,Ischstroke,ICD9,434,exemption,2
TEST,Ischstroke,ICD9,4340,hospitalisation_primary,4
TEST,Ischstroke,ICD9,4340,hospitalisation_secondary,6
TEST,Ischstroke,ICD9,4349,hospitalisation_primary,2
TEST,Ischstroke,ICD9,4341,hospitalisation_secondary,2
TEST,Ischstroke,ICD9,4349,hospitalisation_secondary,2
TEST,Ischstroke,ICD9,4358,hospitalisation_primary,2
TEST,Ischstroke,ICD9,4359,hospitalisation_secondary,1
TEST,VTE,ICD9,4151,hospitalisation_secondary,2
TEST,VTE,ICD9,4538,hospitalisation_secondary,2
TEST,VTE,ICD9,4151,hospitalisation_primary,12
TEST,VTE,ICD9,4151,hospitalisation_secondary,6
TEST,VTE,ICD9,4534,hospitalisation_secondary,2
TEST,VTE,ICD9,4511,hospitalisation_secondary,4
TEST,TP,ICD9,2874,hospitalisation_secondary,2
TEST,BP,ICD9,3510,hospitalisation_secondary,2
TEST,ArterialNoTP,ICD9,4340,hospitalisation_primary,6
TEST,ArterialNoTP,ICD9,4101,hospitalisation_primary,2
TEST,ArterialNoTP,ICD9,434,exemption,1
TEST,ArterialNoTP,ICD9,4100,hospitalisation_primary,1
TEST,ArterialNoTP,ICD9,4340,hospitalisation_primary,2
TEST,ArterialNoTP,ICD9,4104,hospitalisation_primary,1
TEST,ArterialNoTP,ICD9,412,hospitalisation_secondary,5
TEST,ArterialNoTP,ICD9,4105,hospitalisation_primary,1
TEST,ArterialNoTP,ICD9,4107,hospitalisation_primary,8
TEST,ArterialNoTP,ICD9,4109,hospitalisation_secondary,1
TEST,ArterialNoTP,ICD9,4341,hospitalisation_primary,3
TEST,ArterialNoTP,ICD9,4104,hospitalisation_primary,1
TEST,ArterialNoTP,ICD9,4340,hospitalisation_secondary,1
TEST,ArterialNoTP,ICD9,4349,hospitalisation_primary,1
TEST,ArterialNoTP,ICD9,4341,hospitalisation_secondary,1
TEST,ArterialNoTP,ICD9,4102,hospitalisation_primary,2
TEST,ArterialNoTP,ICD9,4109,hospitalisation_primary,1
TEST,ArterialNoTP,ICD9,4103,hospitalisation_primary,2
TEST,ArterialNoTP,ICD9,4100,hospitalisation_primary,2
TEST,ArterialNoTP,ICD9,4349,hospitalisation_secondary,1
TEST,ArterialNoTP,ICD9,4101,hospitalisation_secondary,1
TEST,VTENoTP,ICD9,4151,hospitalisation_secondary,1
TEST,VTENoTP,ICD9,4538,hospitalisation_secondary,1
TEST,VTENoTP,ICD9,4151,hospitalisation_primary,5
TEST,VTENoTP,ICD9,4511,hospitalisation_secondary,1
TEST,VTENoTP,ICD9,4151,hospitalisation_secondary,2
TEST,ArterialVTENoTP,ICD9,4340,hospitalisation_primary,6
TEST,ArterialVTENoTP,ICD9,4101,hospitalisation_primary,2
TEST,ArterialVTENoTP,ICD9,434,exemption,1
TEST,ArterialVTENoTP,ICD9,4100,hospitalisation_primary,1
TEST,ArterialVTENoTP,ICD9,4340,hospitalisation_primary,2
TEST,ArterialVTENoTP,ICD9,4104,hospitalisation_primary,1
TEST,ArterialVTENoTP,ICD9,412,hospitalisation_secondary,4
TEST,ArterialVTENoTP,ICD9,4105,hospitalisation_primary,1
TEST,ArterialVTENoTP,ICD9,4107,hospitalisation_primary,8
TEST,ArterialVTENoTP,ICD9,4151,hospitalisation_secondary,1
TEST,ArterialVTENoTP,ICD9,4538,hospitalisation_secondary,1
TEST,ArterialVTENoTP,ICD9,4109,hospitalisation_secondary,1
TEST,ArterialVTENoTP,ICD9,4341,hospitalisation_primary,3
TEST,ArterialVTENoTP,ICD9,4151,hospitalisation_primary,5
TEST,ArterialVTENoTP,ICD9,4511,hospitalisation_secondary,1
TEST,ArterialVTENoTP,ICD9,4104,hospitalisation_primary,1
TEST,ArterialVTENoTP,ICD9,4340,hospitalisation_secondary,1
TEST,ArterialVTENoTP,ICD9,4349,hospitalisation_primary,1
TEST,ArterialVTENoTP,ICD9,4341,hospitalisation_secondary,1
TEST,ArterialVTENoTP,ICD9,4102,hospitalisation_primary,2
TEST,ArterialVTENoTP,ICD9,4151,hospitalisation_secondary,2
TEST,ArterialVTENoTP,ICD9,4109,hospitalisation_primary,1
TEST,ArterialVTENoTP,ICD9,4103,hospitalisation_primary,3
TEST,ArterialVTENoTP,ICD9,4100,hospitalisation_primary,2
TEST,ArterialVTENoTP,ICD9,4349,hospitalisation_secondary,1
TEST,ArterialVTENoTP,ICD9,4101,hospitalisation_secondary,1
