DAP,AESI,Age in 2020,Sex,Person years,IR narrow,LL narrow,UL narrow,at_risk_at_study_entry
TEST,CVSTNoTP,12-17,Male,8052,0,0,16733.27,total
TEST,CVSTNoTP,18-24,Female,20862,0,0,6458.46,total
TEST,CVSTNoTP,18-24,Male,21594,0,0,6239.53,total
TEST,CVSTNoTP,25-29,Female,16836,0,0,8002.87,total
TEST,CVSTNoTP,25-29,Male,17202,0,0,7832.6,total
TEST,CVSTNoTP,30-39,Female,55632,0,0,2421.92,total
TEST,CVSTNoTP,30-39,Male,46482,0,0,2898.68,total
TEST,CVSTNoTP,40-49,Female,92598,0,0,1455.07,total
TEST,CVSTNoTP,40-49,Male,77958,0,0,1728.32,total
TEST,CVSTNoTP,50-59,Female,149328,0,0,902.28,total
TEST,CVSTNoTP,50-59,Male,134688,0,0,1000.36,total
TEST,CVSTNoTP,60-69,Female,125904,0,0,1070.15,total
TEST,CVSTNoTP,60-69,Male,123708,0,0,1089.15,total
TEST,CVSTNoTP,70-79,Female,131760,0,0,1022.59,total
TEST,CVSTNoTP,70-79,Male,109434,0,0,1231.21,total
TEST,CVSTNoTP,80+,Female,115656,0,0,1164.97,total
TEST,CVSTNoTP,80+,Male,77592,0,0,1736.47,total
TEST,CVSTNoTP,0-59,Female,347700,0,0,387.51,total
TEST,CVSTNoTP,0-59,Male,305976,0,0,440.35,total
TEST,CVSTNoTP,60+,Female,373320,0,0,360.91,total
TEST,CVSTNoTP,60+,Male,310734,0,0,433.61,total
TEST,DM_narrow,12-17,Female,12444,0,0,10827.41,total
TEST,DM_narrow,12-17,Male,8052,0,0,16733.27,total
TEST,DM_narrow,18-24,Female,20862,0,0,6458.46,total
TEST,DM_narrow,18-24,Male,21594,0,0,6239.53,total
TEST,DM_narrow,25-29,Female,16836,0,0,8002.87,total
TEST,DM_narrow,25-29,Male,17202,0,0,7832.6,total
TEST,DM_narrow,30-39,Female,55632,0,0,2421.92,total
TEST,DM_narrow,30-39,Male,46482,0,0,2898.68,total
TEST,DM_narrow,40-49,Female,92964,0,0,1449.34,total
TEST,DM_narrow,40-49,Male,77958,0,0,1728.32,total
TEST,DM_narrow,50-59,Female,149328,0,0,902.28,total
TEST,DM_narrow,50-59,Male,134688,0,0,1000.36,total
TEST,DM_narrow,60-69,Female,125904,0,0,1070.15,total
TEST,DM_narrow,60-69,Male,123708,0,0,1089.15,total
TEST,DM_narrow,70-79,Female,131760,0,0,1022.59,total
TEST,DM_narrow,70-79,Male,109434,0,0,1231.21,total
TEST,DM_narrow,80+,Female,115656,0,0,1164.97,total
TEST,DM_narrow,80+,Male,77592,0,0,1736.47,total
TEST,DM_narrow,0-59,Female,348066,0,0,387.1,total
TEST,DM_narrow,0-59,Male,305976,0,0,440.35,total
TEST,DM_narrow,60+,Female,373320,0,0,360.91,total
TEST,DM_narrow,60+,Male,310734,0,0,433.61,total
TEST,GENCONV_narrow,12-17,Female,12444,0,0,10827.41,total
TEST,GENCONV_narrow,12-17,Male,8052,0,0,16733.27,total
TEST,GENCONV_narrow,18-24,Female,20862,0,0,6458.46,total
TEST,GENCONV_narrow,18-24,Male,21594,0,0,6239.53,total
TEST,GENCONV_narrow,25-29,Female,16836,0,0,8002.87,total
TEST,GENCONV_narrow,25-29,Male,17202,0,0,7832.6,total
TEST,GENCONV_narrow,30-39,Female,55632,0,0,2421.92,total
TEST,GENCONV_narrow,30-39,Male,46482,0,0,2898.68,total
TEST,GENCONV_narrow,40-49,Female,92904,786.3,95.22,2840.37,total
TEST,GENCONV_narrow,40-49,Male,77958,0,0,1728.32,total
TEST,GENCONV_narrow,50-59,Female,149328,0,0,902.28,total
TEST,GENCONV_narrow,50-59,Male,134688,0,0,1000.36,total
TEST,GENCONV_narrow,60-69,Female,125904,0,0,1070.15,total
TEST,GENCONV_narrow,60-69,Male,123678,295.32,7.48,1645.44,total
TEST,GENCONV_narrow,70-79,Female,131760,0,0,1022.59,total
TEST,GENCONV_narrow,70-79,Male,109434,0,0,1231.21,total
TEST,GENCONV_narrow,80+,Female,115656,0,0,1164.97,total
TEST,GENCONV_narrow,80+,Male,77592,0,0,1736.47,total
TEST,GENCONV_narrow,0-59,Female,348006,209.91,25.42,758.27,total
TEST,GENCONV_narrow,0-59,Male,305976,0,0,440.35,total
TEST,GENCONV_narrow,60+,Female,373320,0,0,360.91,total
TEST,GENCONV_narrow,60+,Male,310704,117.56,2.98,654.98,total
TEST,HF_narrow,12-17,Female,12444,0,0,10827.41,total
TEST,HF_narrow,12-17,Male,8052,0,0,16733.27,total
TEST,HF_narrow,18-24,Female,20862,0,0,6458.46,total
TEST,HF_narrow,18-24,Male,21594,0,0,6239.53,total
TEST,HF_narrow,25-29,Female,16836,0,0,8002.87,total
TEST,HF_narrow,25-29,Male,17202,0,0,7832.6,total
TEST,HF_narrow,30-39,Female,55632,0,0,2421.92,total
TEST,HF_narrow,30-39,Male,46482,0,0,2898.68,total
TEST,HF_narrow,40-49,Female,92964,0,0,1449.34,total
TEST,HF_narrow,40-49,Male,77958,0,0,1728.32,total
TEST,HF_narrow,50-59,Female,148962,0,0,904.5,total
TEST,HF_narrow,50-59,Male,134322,0,0,1003.08,total
TEST,HF_narrow,60-69,Female,125904,0,0,1070.15,total
TEST,HF_narrow,60-69,Male,123044,296.85,7.52,1653.91,total
TEST,HF_narrow,70-79,Female,131329,556.24,67.36,2009.32,total
TEST,HF_narrow,70-79,Male,106277,687.35,83.24,2482.96,total
TEST,HF_narrow,80+,Female,110769,1648.7,535.33,3847.52,total
TEST,HF_narrow,80+,Male,76334,1913.96,521.49,4900.49,total
TEST,HF_narrow,0-59,Female,347700,0,0,387.51,total
TEST,HF_narrow,0-59,Male,305610,0,0,440.88,total
TEST,HF_narrow,60+,Female,368002,694.77,279.33,1431.48,total
TEST,HF_narrow,60+,Male,305655,836.48,336.31,1723.47,total
TEST,Hemostroke_narrow,12-17,Female,12444,0,0,10827.41,total
TEST,Hemostroke_narrow,12-17,Male,8052,0,0,16733.27,total
TEST,Hemostroke_narrow,18-24,Female,20862,0,0,6458.46,total
TEST,Hemostroke_narrow,18-24,Male,21594,0,0,6239.53,total
TEST,Hemostroke_narrow,25-29,Female,16836,0,0,8002.87,total
TEST,Hemostroke_narrow,25-29,Male,17202,0,0,7832.6,total
TEST,Hemostroke_narrow,30-39,Female,55632,0,0,2421.92,total
TEST,Hemostroke_narrow,30-39,Male,46482,0,0,2898.68,total
TEST,Hemostroke_narrow,40-49,Female,92964,0,0,1449.34,total
TEST,Hemostroke_narrow,40-49,Male,77958,0,0,1728.32,total
TEST,Hemostroke_narrow,50-59,Female,149328,0,0,902.28,total
TEST,Hemostroke_narrow,50-59,Male,134688,0,0,1000.36,total
TEST,Hemostroke_narrow,60-69,Female,125688,290.6,7.36,1619.12,total
TEST,Hemostroke_narrow,60-69,Male,123708,0,0,1089.15,total
TEST,Hemostroke_narrow,70-79,Female,131518,277.72,7.03,1547.35,total
TEST,Hemostroke_narrow,70-79,Male,109068,0,0,1235.34,total
TEST,Hemostroke_narrow,80+,Female,115656,0,0,1164.97,total
TEST,Hemostroke_narrow,80+,Male,77592,0,0,1736.47,total
TEST,Hemostroke_narrow,0-59,Female,348066,0,0,387.1,total
TEST,Hemostroke_narrow,0-59,Male,305976,0,0,440.35,total
TEST,Hemostroke_narrow,60+,Female,372862,195.92,23.73,707.72,total
TEST,Hemostroke_narrow,60+,Male,310368,0,0,434.12,total
TEST,Ischstroke_narrow,12-17,Female,12444,0,0,10827.41,total
TEST,Ischstroke_narrow,12-17,Male,8052,0,0,16733.27,total
TEST,Ischstroke_narrow,18-24,Female,20862,0,0,6458.46,total
TEST,Ischstroke_narrow,18-24,Male,21594,0,0,6239.53,total
TEST,Ischstroke_narrow,25-29,Female,16836,0,0,8002.87,total
TEST,Ischstroke_narrow,25-29,Male,17202,0,0,7832.6,total
TEST,Ischstroke_narrow,30-39,Female,55632,0,0,2421.92,total
TEST,Ischstroke_narrow,30-39,Male,46482,0,0,2898.68,total
TEST,Ischstroke_narrow,40-49,Female,92964,0,0,1449.34,total
TEST,Ischstroke_narrow,40-49,Male,77958,0,0,1728.32,total
TEST,Ischstroke_narrow,50-59,Female,149328,0,0,902.28,total
TEST,Ischstroke_narrow,50-59,Male,134688,0,0,1000.36,total
TEST,Ischstroke_narrow,60-69,Female,125904,0,0,1070.15,total
TEST,Ischstroke_narrow,60-69,Male,123708,0,0,1089.15,total
TEST,Ischstroke_narrow,70-79,Female,131295,278.19,7.04,1549.98,total
TEST,Ischstroke_narrow,70-79,Male,109431,333.77,8.45,1859.66,total
TEST,Ischstroke_narrow,80+,Female,114559,637.66,77.22,2303.46,total
TEST,Ischstroke_narrow,80+,Male,77398,943.82,114.3,3409.41,total
TEST,Ischstroke_narrow,0-59,Female,348066,0,0,387.1,total
TEST,Ischstroke_narrow,0-59,Male,305976,0,0,440.35,total
TEST,Ischstroke_narrow,60+,Female,371758,294.75,60.78,861.38,total
TEST,Ischstroke_narrow,60+,Male,310537,352.86,72.77,1031.2,total
TEST,KD_narrow,12-17,Female,12444,0,0,10827.41,total
TEST,KD_narrow,12-17,Male,8052,0,0,16733.27,total
TEST,KD_narrow,18-24,Female,20862,0,0,6458.46,total
TEST,KD_narrow,18-24,Male,21594,0,0,6239.53,total
TEST,KD_narrow,25-29,Female,16836,0,0,8002.87,total
TEST,KD_narrow,25-29,Male,17202,0,0,7832.6,total
TEST,KD_narrow,30-39,Female,55632,0,0,2421.92,total
TEST,KD_narrow,30-39,Male,46482,0,0,2898.68,total
TEST,KD_narrow,40-49,Female,92964,0,0,1449.34,total
TEST,KD_narrow,40-49,Male,77958,0,0,1728.32,total
TEST,KD_narrow,50-59,Female,149328,0,0,902.28,total
TEST,KD_narrow,50-59,Male,134688,0,0,1000.36,total
TEST,KD_narrow,60-69,Female,125904,0,0,1070.15,total
TEST,KD_narrow,60-69,Male,123708,0,0,1089.15,total
TEST,KD_narrow,70-79,Female,131760,0,0,1022.59,total
TEST,KD_narrow,70-79,Male,109434,0,0,1231.21,total
TEST,KD_narrow,80+,Female,115656,0,0,1164.97,total
TEST,KD_narrow,80+,Male,77592,0,0,1736.47,total
TEST,KD_narrow,0-59,Female,348066,0,0,387.1,total
TEST,KD_narrow,0-59,Male,305976,0,0,440.35,total
TEST,KD_narrow,60+,Female,373320,0,0,360.91,total
TEST,KD_narrow,60+,Male,310734,0,0,433.61,total
TEST,MISCC_narrow,12-17,Female,12444,0,0,10827.41,total
TEST,MISCC_narrow,12-17,Male,8052,0,0,16733.27,total
TEST,MISCC_narrow,18-24,Female,20862,0,0,6458.46,total
TEST,MISCC_narrow,18-24,Male,21594,0,0,6239.53,total
TEST,MISCC_narrow,25-29,Female,16836,0,0,8002.87,total
TEST,MISCC_narrow,25-29,Male,17202,0,0,7832.6,total
TEST,MISCC_narrow,30-39,Female,55632,0,0,2421.92,total
TEST,MISCC_narrow,30-39,Male,46482,0,0,2898.68,total
TEST,MISCC_narrow,40-49,Female,92964,0,0,1449.34,total
TEST,MISCC_narrow,40-49,Male,77958,0,0,1728.32,total
TEST,MISCC_narrow,50-59,Female,149328,0,0,902.28,total
TEST,MISCC_narrow,50-59,Male,134688,0,0,1000.36,total
TEST,MISCC_narrow,60-69,Female,125904,0,0,1070.15,total
TEST,MISCC_narrow,60-69,Male,123708,0,0,1089.15,total
TEST,MISCC_narrow,70-79,Female,131760,0,0,1022.59,total
TEST,MISCC_narrow,70-79,Male,109434,0,0,1231.21,total
TEST,MISCC_narrow,80+,Female,115656,0,0,1164.97,total
TEST,MISCC_narrow,80+,Male,77592,0,0,1736.47,total
TEST,MISCC_narrow,0-59,Female,348066,0,0,387.1,total
TEST,MISCC_narrow,0-59,Male,305976,0,0,440.35,total
TEST,MISCC_narrow,60+,Female,373320,0,0,360.91,total
TEST,MISCC_narrow,60+,Male,310734,0,0,433.61,total
TEST,MIS_KD_narrow,12-17,Female,12444,0,0,10827.41,total
TEST,MIS_KD_narrow,12-17,Male,8052,0,0,16733.27,total
TEST,MIS_KD_narrow,18-24,Female,20862,0,0,6458.46,total
TEST,MIS_KD_narrow,18-24,Male,21594,0,0,6239.53,total
TEST,MIS_KD_narrow,25-29,Female,16836,0,0,8002.87,total
TEST,MIS_KD_narrow,25-29,Male,17202,0,0,7832.6,total
TEST,MIS_KD_narrow,30-39,Female,55632,0,0,2421.92,total
TEST,MIS_KD_narrow,30-39,Male,46482,0,0,2898.68,total
TEST,MIS_KD_narrow,40-49,Female,92964,0,0,1449.34,total
TEST,MIS_KD_narrow,40-49,Male,77958,0,0,1728.32,total
TEST,MIS_KD_narrow,50-59,Female,149328,0,0,902.28,total
TEST,MIS_KD_narrow,50-59,Male,134688,0,0,1000.36,total
TEST,MIS_KD_narrow,60-69,Female,125904,0,0,1070.15,total
TEST,MIS_KD_narrow,60-69,Male,123708,0,0,1089.15,total
TEST,MIS_KD_narrow,70-79,Female,131760,0,0,1022.59,total
TEST,MIS_KD_narrow,70-79,Male,109434,0,0,1231.21,total
TEST,MIS_KD_narrow,80+,Female,115656,0,0,1164.97,total
TEST,MIS_KD_narrow,80+,Male,77592,0,0,1736.47,total
TEST,MIS_KD_narrow,0-59,Female,348066,0,0,387.1,total
TEST,MIS_KD_narrow,0-59,Male,305976,0,0,440.35,total
TEST,MIS_KD_narrow,60+,Female,373320,0,0,360.91,total
TEST,MIS_KD_narrow,60+,Male,310734,0,0,433.61,total
TEST,MYOCARD_narrow,12-17,Female,12444,0,0,10827.41,total
TEST,MYOCARD_narrow,12-17,Male,8052,0,0,16733.27,total
TEST,MYOCARD_narrow,18-24,Female,20862,0,0,6458.46,total
TEST,MYOCARD_narrow,18-24,Male,21594,0,0,6239.53,total
TEST,MYOCARD_narrow,25-29,Female,16836,0,0,8002.87,total
TEST,MYOCARD_narrow,25-29,Male,17202,0,0,7832.6,total
TEST,MYOCARD_narrow,30-39,Female,55632,0,0,2421.92,total
TEST,MYOCARD_narrow,30-39,Male,46482,0,0,2898.68,total
TEST,MYOCARD_narrow,40-49,Female,92964,0,0,1449.34,total
TEST,MYOCARD_narrow,40-49,Male,77958,0,0,1728.32,total
TEST,MYOCARD_narrow,50-59,Female,149328,0,0,902.28,total
TEST,MYOCARD_narrow,50-59,Male,134322,0,0,1003.08,total
TEST,MYOCARD_narrow,60-69,Female,125904,0,0,1070.15,total
TEST,MYOCARD_narrow,60-69,Male,123708,0,0,1089.15,total
TEST,MYOCARD_narrow,70-79,Female,131432,277.9,7.04,1548.36,total
TEST,MYOCARD_narrow,70-79,Male,109068,0,0,1235.34,total
TEST,MYOCARD_narrow,80+,Female,115656,0,0,1164.97,total
TEST,MYOCARD_narrow,80+,Male,77226,0,0,1744.7,total
TEST,MYOCARD_narrow,0-59,Female,348066,0,0,387.1,total
TEST,MYOCARD_narrow,0-59,Male,305610,0,0,440.88,total
TEST,MYOCARD_narrow,60+,Female,372992,97.92,2.48,545.6,total
TEST,MYOCARD_narrow,60+,Male,310002,0,0,434.63,total
TEST,Sinusthrom_narrow,12-17,Female,12444,0,0,10827.41,total
TEST,Sinusthrom_narrow,12-17,Male,8052,0,0,16733.27,total
TEST,Sinusthrom_narrow,18-24,Female,20862,0,0,6458.46,total
TEST,Sinusthrom_narrow,18-24,Male,21594,0,0,6239.53,total
TEST,Sinusthrom_narrow,25-29,Female,16836,0,0,8002.87,total
TEST,Sinusthrom_narrow,25-29,Male,17202,0,0,7832.6,total
TEST,Sinusthrom_narrow,30-39,Female,55632,0,0,2421.92,total
TEST,Sinusthrom_narrow,30-39,Male,46482,0,0,2898.68,total
TEST,Sinusthrom_narrow,40-49,Female,92598,0,0,1455.07,total
