DAP,AESI,Age in 2020,Sex,Person years,IR narrow,LL narrow,UL narrow,at_risk_at_study_entry
TEST,ALI_narrow,40-49,Male,0,0,0,1728.32,total
TEST,ALI_narrow,50-59,Female,0,0,0,902.28,total
TEST,ALI_narrow,50-59,Male,0,0,0,1000.36,total
TEST,ALI_narrow,60+,Female,0,0,0,360.91,total
TEST,ALI_narrow,60+,Male,0,0,0,433.61,total
TEST,ALI_narrow,60-69,Female,0,0,0,1070.15,total
TEST,ALI_narrow,60-69,Male,0,0,0,1089.15,total
TEST,ALI_narrow,70-79,Female,0,0,0,1022.59,total
TEST,ALI_narrow,70-79,Male,0,0,0,1231.21,total
TEST,ALI_narrow,80+,Female,0,0,0,1164.97,total
TEST,ALI_narrow,80+,Male,0,0,0,1736.47,total
TEST,ARD_narrow,0-59,Female,0,0,0,387.1,total
TEST,ARD_narrow,0-59,Male,0,0,0,440.35,total
TEST,ARD_narrow,12-17,Female,0,0,0,10827.41,total
TEST,ARD_narrow,12-17,Male,0,0,0,16733.27,total
TEST,ARD_narrow,18-24,Female,0,0,0,6458.46,total
TEST,ARD_narrow,18-24,Male,0,0,0,6239.53,total
TEST,ARD_narrow,25-29,Female,0,0,0,8002.87,total
TEST,ARD_narrow,25-29,Male,0,0,0,7832.6,total
TEST,ARD_narrow,30-39,Female,0,0,0,2421.92,total
TEST,ARD_narrow,30-39,Male,0,0,0,2898.68,total
TEST,ARD_narrow,40-49,Female,0,0,0,1449.34,total
TEST,ARD_narrow,40-49,Male,0,0,0,1728.32,total
TEST,ARD_narrow,50-59,Female,0,0,0,902.28,total
TEST,ARD_narrow,50-59,Male,0,0,0,1000.36,total
TEST,ARD_narrow,60+,Female,0,0,0,360.91,total
TEST,ARD_narrow,60+,Male,0,0,0,433.61,total
TEST,ARD_narrow,60-69,Female,0,0,0,1070.15,total
TEST,ARD_narrow,60-69,Male,0,0,0,1089.15,total
TEST,ARD_narrow,70-79,Female,0,0,0,1022.59,total
TEST,ARD_narrow,70-79,Male,0,0,0,1231.21,total
TEST,ARD_narrow,80+,Female,0,0,0,1164.97,total
TEST,ARD_narrow,80+,Male,0,0,0,1736.47,total
TEST,ARR_narrow,0-59,Female,1,105.12,2.66,585.66,total
TEST,ARR_narrow,0-59,Male,0,0,0,441.94,total
TEST,ARR_narrow,12-17,Female,0,0,0,10827.41,total
TEST,ARR_narrow,12-17,Male,0,0,0,16733.27,total
TEST,ARR_narrow,18-24,Female,0,0,0,6458.46,total
TEST,ARR_narrow,18-24,Male,0,0,0,6239.53,total
TEST,ARR_narrow,25-29,Female,0,0,0,8002.87,total
TEST,ARR_narrow,25-29,Male,0,0,0,7832.6,total
TEST,ARR_narrow,30-39,Female,0,0,0,2421.92,total
TEST,ARR_narrow,30-39,Male,0,0,0,2921.68,total
TEST,ARR_narrow,40-49,Female,0,0,0,1449.34,total
TEST,ARR_narrow,40-49,Male,0,0,0,1736.47,total
TEST,ARR_narrow,50-59,Female,1,245.57,6.22,1368.21,total
TEST,ARR_narrow,50-59,Male,0,0,0,1003.08,total
TEST,ARR_narrow,60+,Female,10,992.28,475.84,1824.84,total
TEST,ARR_narrow,60+,Male,19,2314.33,1393.38,3614.11,total
TEST,ARR_narrow,60-69,Female,0,0,0,1073.27,total
TEST,ARR_narrow,60-69,Male,3,900.22,185.65,2630.83,total
TEST,ARR_narrow,70-79,Female,3,832.84,171.75,2433.91,total
TEST,ARR_narrow,70-79,Male,7,2422.93,974.14,4992.16,total
TEST,ARR_narrow,80+,Female,7,2303.69,926.2,4746.48,total
TEST,ARR_narrow,80+,Male,9,4526.83,2069.96,8593.34,total
TEST,ArterialNoTP,0-59,Female,0,0,0,387.1,total
TEST,ArterialNoTP,0-59,Male,0,0,0,440.88,total
TEST,ArterialNoTP,12-17,Female,0,0,0,10827.41,total
TEST,ArterialNoTP,12-17,Male,0,0,0,16733.27,total
TEST,ArterialNoTP,18-24,Female,0,0,0,6458.46,total
TEST,ArterialNoTP,18-24,Male,0,0,0,6239.53,total
TEST,ArterialNoTP,25-29,Female,0,0,0,8002.87,total
TEST,ArterialNoTP,25-29,Male,0,0,0,7832.6,total
TEST,ArterialNoTP,30-39,Female,0,0,0,2421.92,total
TEST,ArterialNoTP,30-39,Male,0,0,0,2898.68,total
TEST,ArterialNoTP,40-49,Female,0,0,0,1449.34,total
TEST,ArterialNoTP,40-49,Male,0,0,0,1728.32,total
TEST,ArterialNoTP,50-59,Female,0,0,0,902.28,total
TEST,ArterialNoTP,50-59,Male,0,0,0,1003.08,total
TEST,ArterialNoTP,60+,Female,8,791.2,341.58,1558.98,total
TEST,ArterialNoTP,60+,Male,10,1191.23,571.24,2190.72,total
TEST,ArterialNoTP,60-69,Female,0,0,0,1070.15,total
TEST,ArterialNoTP,60-69,Male,4,1196.38,325.97,3063.22,total
TEST,ArterialNoTP,70-79,Female,5,1406.89,456.81,3283.2,total
TEST,ArterialNoTP,70-79,Male,2,676.5,81.93,2443.73,total
TEST,ArterialNoTP,80+,Female,3,964.57,198.92,2818.88,total
TEST,ArterialNoTP,80+,Male,4,1909.45,520.26,4888.96,total
TEST,ArterialVTENoTP,0-59,Female,0,0,0,387.1,total
TEST,ArterialVTENoTP,0-59,Male,0,0,0,440.88,total
TEST,ArterialVTENoTP,12-17,Female,0,0,0,10827.41,total
TEST,ArterialVTENoTP,12-17,Male,0,0,0,16733.27,total
TEST,ArterialVTENoTP,18-24,Female,0,0,0,6458.46,total
TEST,ArterialVTENoTP,18-24,Male,0,0,0,6239.53,total
TEST,ArterialVTENoTP,25-29,Female,0,0,0,8002.87,total
TEST,ArterialVTENoTP,25-29,Male,0,0,0,7832.6,total
TEST,ArterialVTENoTP,30-39,Female,0,0,0,2421.92,total
TEST,ArterialVTENoTP,30-39,Male,0,0,0,2898.68,total
TEST,ArterialVTENoTP,40-49,Female,0,0,0,1449.34,total
TEST,ArterialVTENoTP,40-49,Male,0,0,0,1728.32,total
TEST,ArterialVTENoTP,50-59,Female,0,0,0,902.28,total
TEST,ArterialVTENoTP,50-59,Male,0,0,0,1003.08,total
TEST,ArterialVTENoTP,60+,Female,12,1193.41,616.65,2084.65,total
TEST,ArterialVTENoTP,60+,Male,10,1192.66,571.93,2193.34,total
TEST,ArterialVTENoTP,60-69,Female,0,0,0,1070.15,total
TEST,ArterialVTENoTP,60-69,Male,4,1196.38,325.97,3063.22,total
TEST,ArterialVTENoTP,70-79,Female,7,1978.68,795.53,4076.83,total
TEST,ArterialVTENoTP,70-79,Male,2,678.8,82.21,2452.04,total
TEST,ArterialVTENoTP,80+,Female,5,1628.43,528.75,3800.21,total
TEST,ArterialVTENoTP,80+,Male,4,1909.45,520.26,4888.96,total
TEST,BP_narrow,0-59,Female,0,0,0,387.1,total
TEST,BP_narrow,0-59,Male,0,0,0,440.35,total
TEST,BP_narrow,12-17,Female,0,0,0,10827.41,total
TEST,BP_narrow,12-17,Male,0,0,0,16733.27,total
TEST,BP_narrow,18-24,Female,0,0,0,6458.46,total
TEST,BP_narrow,18-24,Male,0,0,0,6239.53,total
TEST,BP_narrow,25-29,Female,0,0,0,8002.87,total
TEST,BP_narrow,25-29,Male,0,0,0,7832.6,total
TEST,BP_narrow,30-39,Female,0,0,0,2421.92,total
TEST,BP_narrow,30-39,Male,0,0,0,2898.68,total
TEST,BP_narrow,40-49,Female,0,0,0,1449.34,total
TEST,BP_narrow,40-49,Male,0,0,0,1728.32,total
TEST,BP_narrow,50-59,Female,0,0,0,902.28,total
TEST,BP_narrow,50-59,Male,0,0,0,1000.36,total
TEST,BP_narrow,60+,Female,1,97.88,2.48,545.34,total
TEST,BP_narrow,60+,Male,0,0,0,433.61,total
TEST,BP_narrow,60-69,Female,0,0,0,1070.15,total
TEST,BP_narrow,60-69,Male,0,0,0,1089.15,total
TEST,BP_narrow,70-79,Female,1,277.53,7.03,1546.29,total
TEST,BP_narrow,70-79,Male,0,0,0,1231.21,total
TEST,BP_narrow,80+,Female,0,0,0,1164.97,total
TEST,BP_narrow,80+,Male,0,0,0,1736.47,total
TEST,CAD_narrow,0-59,Female,0,0,0,387.1,total
TEST,CAD_narrow,0-59,Male,0,0,0,440.88,total
TEST,CAD_narrow,12-17,Female,0,0,0,10827.41,total
TEST,CAD_narrow,12-17,Male,0,0,0,16733.27,total
TEST,CAD_narrow,18-24,Female,0,0,0,6458.46,total
TEST,CAD_narrow,18-24,Male,0,0,0,6239.53,total
TEST,CAD_narrow,25-29,Female,0,0,0,8002.87,total
TEST,CAD_narrow,25-29,Male,0,0,0,7832.6,total
TEST,CAD_narrow,30-39,Female,0,0,0,2421.92,total
TEST,CAD_narrow,30-39,Male,0,0,0,2898.68,total
TEST,CAD_narrow,40-49,Female,0,0,0,1449.34,total
TEST,CAD_narrow,40-49,Male,0,0,0,1728.32,total
TEST,CAD_narrow,50-59,Female,0,0,0,902.28,total
TEST,CAD_narrow,50-59,Male,0,0,0,1003.08,total
TEST,CAD_narrow,60+,Female,5,492.42,159.89,1149.14,total
TEST,CAD_narrow,60+,Male,7,833.33,335.04,1716.97,total
TEST,CAD_narrow,60-69,Female,0,0,0,1070.15,total
TEST,CAD_narrow,60-69,Male,4,1196.38,325.97,3063.22,total
TEST,CAD_narrow,70-79,Female,4,1121.49,305.57,2871.46,total
TEST,CAD_narrow,70-79,Male,1,338.24,8.56,1884.54,total
TEST,CAD_narrow,80+,Female,1,318.45,8.06,1774.28,total
TEST,CAD_narrow,80+,Male,2,952.31,115.33,3440.08,total
TEST,CVSTNoTP,0-59,Female,0,0,0,387.51,total
TEST,CVSTNoTP,0-59,Male,0,0,0,440.35,total
TEST,CVSTNoTP,12-17,Female,0,0,0,10827.41,total
TEST,CVSTNoTP,12-17,Male,0,0,0,16733.27,total
TEST,CVSTNoTP,18-24,Female,0,0,0,6458.46,total
TEST,CVSTNoTP,18-24,Male,0,0,0,6239.53,total
TEST,CVSTNoTP,25-29,Female,0,0,0,8002.87,total
TEST,CVSTNoTP,25-29,Male,0,0,0,7832.6,total
TEST,CVSTNoTP,30-39,Female,0,0,0,2421.92,total
TEST,CVSTNoTP,30-39,Male,0,0,0,2898.68,total
TEST,CVSTNoTP,40-49,Female,0,0,0,1455.07,total
TEST,CVSTNoTP,40-49,Male,0,0,0,1728.32,total
TEST,CVSTNoTP,50-59,Female,0,0,0,902.28,total
TEST,CVSTNoTP,50-59,Male,0,0,0,1000.36,total
TEST,CVSTNoTP,60+,Female,0,0,0,360.91,total
TEST,CVSTNoTP,60+,Male,0,0,0,433.61,total
TEST,CVSTNoTP,60-69,Female,0,0,0,1070.15,total
TEST,CVSTNoTP,60-69,Male,0,0,0,1089.15,total
TEST,CVSTNoTP,70-79,Female,0,0,0,1022.59,total
TEST,CVSTNoTP,70-79,Male,0,0,0,1231.21,total
TEST,CVSTNoTP,80+,Female,0,0,0,1164.97,total
TEST,CVSTNoTP,80+,Male,0,0,0,1736.47,total
TEST,DM1_narrow,0-59,Female,0,0,0,387.1,total
TEST,DM1_narrow,0-59,Male,0,0,0,440.35,total
TEST,DM1_narrow,12-17,Female,0,0,0,10827.41,total
TEST,DM1_narrow,12-17,Male,0,0,0,16733.27,total
TEST,DM1_narrow,18-24,Female,0,0,0,6458.46,total
TEST,DM1_narrow,18-24,Male,0,0,0,6239.53,total
TEST,DM1_narrow,25-29,Female,0,0,0,8002.87,total
TEST,DM1_narrow,25-29,Male,0,0,0,7832.6,total
TEST,DM1_narrow,30-39,Female,0,0,0,2421.92,total
TEST,DM1_narrow,30-39,Male,0,0,0,2898.68,total
TEST,DM1_narrow,40-49,Female,0,0,0,1449.34,total
TEST,DM1_narrow,40-49,Male,0,0,0,1728.32,total
TEST,DM1_narrow,50-59,Female,0,0,0,902.28,total
TEST,DM1_narrow,50-59,Male,0,0,0,1000.36,total
TEST,DM1_narrow,60+,Female,0,0,0,360.91,total
TEST,DM1_narrow,60+,Male,0,0,0,433.61,total
TEST,DM1_narrow,60-69,Female,0,0,0,1070.15,total
TEST,DM1_narrow,60-69,Male,0,0,0,1089.15,total
TEST,DM1_narrow,70-79,Female,0,0,0,1022.59,total
TEST,DM1_narrow,70-79,Male,0,0,0,1231.21,total
TEST,DM1_narrow,80+,Female,0,0,0,1164.97,total
TEST,DM1_narrow,80+,Male,0,0,0,1736.47,total
TEST,GENCONV_narrow,0-59,Female,2,209.91,25.42,758.27,total
TEST,GENCONV_narrow,0-59,Male,0,0,0,440.35,total
TEST,GENCONV_narrow,12-17,Female,0,0,0,10827.41,total
TEST,GENCONV_narrow,12-17,Male,0,0,0,16733.27,total
TEST,GENCONV_narrow,18-24,Female,0,0,0,6458.46,total
TEST,GENCONV_narrow,18-24,Male,0,0,0,6239.53,total
TEST,GENCONV_narrow,25-29,Female,0,0,0,8002.87,total
TEST,GENCONV_narrow,25-29,Male,0,0,0,7832.6,total
TEST,GENCONV_narrow,30-39,Female,0,0,0,2421.92,total
TEST,GENCONV_narrow,30-39,Male,0,0,0,2898.68,total
TEST,GENCONV_narrow,40-49,Female,2,786.3,95.22,2840.37,total
TEST,GENCONV_narrow,40-49,Male,0,0,0,1728.32,total
TEST,GENCONV_narrow,50-59,Female,0,0,0,902.28,total
TEST,GENCONV_narrow,50-59,Male,0,0,0,1000.36,total
TEST,GENCONV_narrow,60+,Female,0,0,0,360.91,total
TEST,GENCONV_narrow,60+,Male,1,117.56,2.98,654.98,total
TEST,GENCONV_narrow,60-69,Female,0,0,0,1070.15,total
TEST,GENCONV_narrow,60-69,Male,1,295.32,7.48,1645.44,total
TEST,GENCONV_narrow,70-79,Female,0,0,0,1022.59,total
TEST,GENCONV_narrow,70-79,Male,0,0,0,1231.21,total
TEST,GENCONV_narrow,80+,Female,0,0,0,1164.97,total
TEST,GENCONV_narrow,80+,Male,0,0,0,1736.47,total
TEST,HF_narrow,0-59,Female,0,0,0,387.51,total
TEST,HF_narrow,0-59,Male,0,0,0,440.88,total
TEST,HF_narrow,12-17,Female,0,0,0,10827.41,total
TEST,HF_narrow,12-17,Male,0,0,0,16733.27,total
TEST,HF_narrow,18-24,Female,0,0,0,6458.46,total
TEST,HF_narrow,18-24,Male,0,0,0,6239.53,total
TEST,HF_narrow,25-29,Female,0,0,0,8002.87,total
TEST,HF_narrow,25-29,Male,0,0,0,7832.6,total
TEST,HF_narrow,30-39,Female,0,0,0,2421.92,total
TEST,HF_narrow,30-39,Male,0,0,0,2898.68,total
TEST,HF_narrow,40-49,Female,0,0,0,1449.34,total
TEST,HF_narrow,40-49,Male,0,0,0,1728.32,total
TEST,HF_narrow,50-59,Female,0,0,0,904.5,total
TEST,HF_narrow,50-59,Male,0,0,0,1003.08,total
TEST,HF_narrow,60+,Female,7,694.77,279.33,1431.48,total
TEST,HF_narrow,60+,Male,7,836.48,336.31,1723.47,total
TEST,HF_narrow,60-69,Female,0,0,0,1070.15,total
TEST,HF_narrow,60-69,Male,1,296.85,7.52,1653.91,total
TEST,HF_narrow,70-79,Female,2,556.24,67.36,2009.32,total
TEST,HF_narrow,70-79,Male,2,687.35,83.24,2482.96,total
TEST,HF_narrow,80+,Female,5,1648.7,535.33,3847.52,total
TEST,HF_narrow,80+,Male,4,1913.96,521.49,4900.49,total
TEST,Hemostroke_narrow,0-59,Female,0,0,0,387.1,total
TEST,Hemostroke_narrow,0-59,Male,0,0,0,440.35,total
TEST,Hemostroke_narrow,12-17,Female,0,0,0,10827.41,total
TEST,Hemostroke_narrow,12-17,Male,0,0,0,16733.27,total
TEST,Hemostroke_narrow,18-24,Female,0,0,0,6458.46,total
TEST,Hemostroke_narrow,18-24,Male,0,0,0,6239.53,total
TEST,Hemostroke_narrow,25-29,Female,0,0,0,8002.87,total
TEST,Hemostroke_narrow,25-29,Male,0,0,0,7832.6,total
TEST,Hemostroke_narrow,30-39,Female,0,0,0,2421.92,total
TEST,Hemostroke_narrow,30-39,Male,0,0,0,2898.68,total
TEST,Hemostroke_narrow,40-49,Female,0,0,0,1449.34,total
TEST,Hemostroke_narrow,40-49,Male,0,0,0,1728.32,total
TEST,Hemostroke_narrow,50-59,Female,0,0,0,902.28,total
TEST,Hemostroke_narrow,50-59,Male,0,0,0,1000.36,total
TEST,Hemostroke_narrow,60+,Female,2,195.92,23.73,707.72,total
TEST,Hemostroke_narrow,60+,Male,0,0,0,434.12,total
TEST,Hemostroke_narrow,60-69,Female,1,290.6,7.36,1619.12,total
TEST,Hemostroke_narrow,60-69,Male,0,0,0,1089.15,total
TEST,Hemostroke_narrow,70-79,Female,1,277.72,7.03,1547.35,total
TEST,Hemostroke_narrow,70-79,Male,0,0,0,1235.34,total
TEST,Hemostroke_narrow,80+,Female,0,0,0,1164.97,total
TEST,Hemostroke_narrow,80+,Male,0,0,0,1736.47,total
TEST,Ischstroke_narrow,0-59,Female,0,0,0,387.1,total
TEST,Ischstroke_narrow,0-59,Male,0,0,0,440.35,total
TEST,Ischstroke_narrow,12-17,Female,0,0,0,10827.41,total
TEST,Ischstroke_narrow,12-17,Male,0,0,0,16733.27,total
TEST,Ischstroke_narrow,18-24,Female,0,0,0,6458.46,total
TEST,Ischstroke_narrow,18-24,Male,0,0,0,6239.53,total
TEST,Ischstroke_narrow,25-29,Female,0,0,0,8002.87,total
TEST,Ischstroke_narrow,25-29,Male,0,0,0,7832.6,total
TEST,Ischstroke_narrow,30-39,Female,0,0,0,2421.92,total
TEST,Ischstroke_narrow,30-39,Male,0,0,0,2898.68,total
TEST,Ischstroke_narrow,40-49,Female,0,0,0,1449.34,total
TEST,Ischstroke_narrow,40-49,Male,0,0,0,1728.32,total
TEST,Ischstroke_narrow,50-59,Female,0,0,0,902.28,total
TEST,Ischstroke_narrow,50-59,Male,0,0,0,1000.36,total
TEST,Ischstroke_narrow,60+,Female,3,294.75,60.78,861.38,total
TEST,Ischstroke_narrow,60+,Male,3,352.86,72.77,1031.2,total
TEST,Ischstroke_narrow,60-69,Female,0,0,0,1070.15,total
TEST,Ischstroke_narrow,60-69,Male,0,0,0,1089.15,total
TEST,Ischstroke_narrow,70-79,Female,1,278.19,7.04,1549.98,total
TEST,Ischstroke_narrow,70-79,Male,1,333.77,8.45,1859.66,total
TEST,Ischstroke_narrow,80+,Female,2,637.66,77.22,2303.46,total
TEST,Ischstroke_narrow,80+,Male,2,943.82,114.3,3409.41,total
TEST,KD_narrow,0-59,Female,0,0,0,387.1,total
TEST,KD_narrow,0-59,Male,0,0,0,440.35,total
TEST,KD_narrow,12-17,Female,0,0,0,10827.41,total
TEST,KD_narrow,12-17,Male,0,0,0,16733.27,total
TEST,KD_narrow,18-24,Female,0,0,0,6458.46,total
TEST,KD_narrow,18-24,Male,0,0,0,6239.53,total
TEST,KD_narrow,25-29,Female,0,0,0,8002.87,total
TEST,KD_narrow,25-29,Male,0,0,0,7832.6,total
TEST,KD_narrow,30-39,Female,0,0,0,2421.92,total
TEST,KD_narrow,30-39,Male,0,0,0,2898.68,total
TEST,KD_narrow,40-49,Female,0,0,0,1449.34,total
TEST,KD_narrow,40-49,Male,0,0,0,1728.32,total
TEST,KD_narrow,50-59,Female,0,0,0,902.28,total
TEST,KD_narrow,50-59,Male,0,0,0,1000.36,total
TEST,KD_narrow,60+,Female,0,0,0,360.91,total
TEST,KD_narrow,60+,Male,0,0,0,433.61,total
TEST,KD_narrow,60-69,Female,0,0,0,1070.15,total
TEST,KD_narrow,60-69,Male,0,0,0,1089.15,total
TEST,KD_narrow,70-79,Female,0,0,0,1022.59,total
TEST,KD_narrow,70-79,Male,0,0,0,1231.21,total
TEST,KD_narrow,80+,Female,0,0,0,1164.97,total
TEST,KD_narrow,80+,Male,0,0,0,1736.47,total
TEST,MISCC_narrow,0-59,Female,0,0,0,387.1,total
TEST,MISCC_narrow,0-59,Male,0,0,0,440.35,total
TEST,MISCC_narrow,12-17,Female,0,0,0,10827.41,total
TEST,MISCC_narrow,12-17,Male,0,0,0,16733.27,total
TEST,MISCC_narrow,18-24,Female,0,0,0,6458.46,total
TEST,MISCC_narrow,18-24,Male,0,0,0,6239.53,total
TEST,MISCC_narrow,25-29,Female,0,0,0,8002.87,total
TEST,MISCC_narrow,25-29,Male,0,0,0,7832.6,total
TEST,MISCC_narrow,30-39,Female,0,0,0,2421.92,total
TEST,MISCC_narrow,30-39,Male,0,0,0,2898.68,total
TEST,MISCC_narrow,40-49,Female,0,0,0,1449.34,total
TEST,MISCC_narrow,40-49,Male,0,0,0,1728.32,total
TEST,MISCC_narrow,50-59,Female,0,0,0,902.28,total
TEST,MISCC_narrow,50-59,Male,0,0,0,1000.36,total
TEST,MISCC_narrow,60+,Female,0,0,0,360.91,total
TEST,MISCC_narrow,60+,Male,0,0,0,433.61,total
TEST,MISCC_narrow,60-69,Female,0,0,0,1070.15,total
TEST,MISCC_narrow,60-69,Male,0,0,0,1089.15,total
TEST,MISCC_narrow,70-79,Female,0,0,0,1022.59,total
TEST,MISCC_narrow,70-79,Male,0,0,0,1231.21,total
TEST,MISCC_narrow,80+,Female,0,0,0,1164.97,total
TEST,MISCC_narrow,80+,Male,0,0,0,1736.47,total
TEST,MIS_KD_narrow,0-59,Female,0,0,0,387.1,total
TEST,MIS_KD_narrow,0-59,Male,0,0,0,440.35,total
TEST,MIS_KD_narrow,12-17,Female,0,0,0,10827.41,total
TEST,MIS_KD_narrow,12-17,Male,0,0,0,16733.27,total
TEST,MIS_KD_narrow,18-24,Female,0,0,0,6458.46,total
TEST,MIS_KD_narrow,18-24,Male,0,0,0,6239.53,total
TEST,MIS_KD_narrow,25-29,Female,0,0,0,8002.87,total
TEST,MIS_KD_narrow,25-29,Male,0,0,0,7832.6,total
TEST,MIS_KD_narrow,30-39,Female,0,0,0,2421.92,total
TEST,MIS_KD_narrow,30-39,Male,0,0,0,2898.68,total
TEST,MIS_KD_narrow,40-49,Female,0,0,0,1449.34,total
TEST,MIS_KD_narrow,40-49,Male,0,0,0,1728.32,total
TEST,MIS_KD_narrow,50-59,Female,0,0,0,902.28,total
TEST,MIS_KD_narrow,50-59,Male,0,0,0,1000.36,total
TEST,MIS_KD_narrow,60+,Female,0,0,0,360.91,total
TEST,MIS_KD_narrow,60+,Male,0,0,0,433.61,total
TEST,MIS_KD_narrow,60-69,Female,0,0,0,1070.15,total
TEST,MIS_KD_narrow,60-69,Male,0,0,0,1089.15,total
TEST,MIS_KD_narrow,70-79,Female,0,0,0,1022.59,total
TEST,MIS_KD_narrow,70-79,Male,0,0,0,1231.21,total
TEST,MIS_KD_narrow,80+,Female,0,0,0,1164.97,total
TEST,MIS_KD_narrow,80+,Male,0,0,0,1736.47,total
TEST,MYOCARD_narrow,0-59,Female,0,0,0,387.1,total
TEST,MYOCARD_narrow,0-59,Male,0,0,0,440.88,total
TEST,MYOCARD_narrow,12-17,Female,0,0,0,10827.41,total
TEST,MYOCARD_narrow,12-17,Male,0,0,0,16733.27,total
TEST,MYOCARD_narrow,18-24,Female,0,0,0,6458.46,total
TEST,MYOCARD_narrow,18-24,Male,0,0,0,6239.53,total
TEST,MYOCARD_narrow,25-29,Female,0,0,0,8002.87,total
TEST,MYOCARD_narrow,25-29,Male,0,0,0,7832.6,total
TEST,MYOCARD_narrow,30-39,Female,0,0,0,2421.92,total
TEST,MYOCARD_narrow,30-39,Male,0,0,0,2898.68,total
TEST,MYOCARD_narrow,40-49,Female,0,0,0,1449.34,total
TEST,MYOCARD_narrow,40-49,Male,0,0,0,1728.32,total
TEST,MYOCARD_narrow,50-59,Female,0,0,0,902.28,total
TEST,MYOCARD_narrow,50-59,Male,0,0,0,1003.08,total
TEST,MYOCARD_narrow,60+,Female,1,97.92,2.48,545.6,total
TEST,MYOCARD_narrow,60+,Male,0,0,0,434.63,total
TEST,MYOCARD_narrow,60-69,Female,0,0,0,1070.15,total
TEST,MYOCARD_narrow,60-69,Male,0,0,0,1089.15,total
TEST,MYOCARD_narrow,70-79,Female,1,277.9,7.04,1548.36,total
TEST,MYOCARD_narrow,70-79,Male,0,0,0,1235.34,total
TEST,MYOCARD_narrow,80+,Female,0,0,0,1164.97,total
TEST,MYOCARD_narrow,80+,Male,0,0,0,1744.7,total
TEST,PERICARD_narrow,0-59,Female,0,0,0,387.1,total
TEST,PERICARD_narrow,0-59,Male,0,0,0,440.88,total
TEST,PERICARD_narrow,12-17,Female,0,0,0,10827.41,total
TEST,PERICARD_narrow,12-17,Male,0,0,0,16733.27,total
TEST,PERICARD_narrow,18-24,Female,0,0,0,6458.46,total
TEST,PERICARD_narrow,18-24,Male,0,0,0,6239.53,total
TEST,PERICARD_narrow,25-29,Female,0,0,0,8002.87,total
TEST,PERICARD_narrow,25-29,Male,0,0,0,7832.6,total
TEST,PERICARD_narrow,30-39,Female,0,0,0,2421.92,total
TEST,PERICARD_narrow,30-39,Male,0,0,0,2898.68,total
TEST,PERICARD_narrow,40-49,Female,0,0,0,1449.34,total
TEST,PERICARD_narrow,40-49,Male,0,0,0,1728.32,total
TEST,PERICARD_narrow,50-59,Female,0,0,0,902.28,total
TEST,PERICARD_narrow,50-59,Male,0,0,0,1003.08,total
TEST,PERICARD_narrow,60+,Female,1,97.92,2.48,545.6,total
TEST,PERICARD_narrow,60+,Male,0,0,0,434.63,total
TEST,PERICARD_narrow,60-69,Female,0,0,0,1070.15,total
TEST,PERICARD_narrow,60-69,Male,0,0,0,1089.15,total
TEST,PERICARD_narrow,70-79,Female,1,277.9,7.04,1548.36,total
TEST,PERICARD_narrow,70-79,Male,0,0,0,1235.34,total
TEST,PERICARD_narrow,80+,Female,0,0,0,1164.97,total
