DAP,Vaccine brand,Year,Week,Number of doses,Number vaccinate,Number present,Coverage,dose
TEST,Moderna,2021,4,5,5,60585,0.008,1
TEST,Moderna,2021,4,5,0,60585,0,2
TEST,Pfizer,2021,4,155,111,60585,0.183,1
TEST,Pfizer,2021,4,155,44,60585,0.073,2
TEST,UKN,2021,4,0,0,60585,0,1
TEST,UKN,2021,4,0,0,60585,0,2
TEST,AstraZeneca,2021,5,0,0,61595,0,1
TEST,AstraZeneca,2021,5,0,0,61595,0,2
TEST,J&J,2021,5,0,0,61595,0,1
TEST,J&J,2021,5,0,0,61595,0,2
TEST,Moderna,2021,5,6,6,61595,0.01,1
TEST,Moderna,2021,5,6,0,61595,0,2
TEST,Pfizer,2021,5,204,117,61595,0.19,1
TEST,Pfizer,2021,5,204,87,61595,0.141,2
TEST,UKN,2021,5,0,0,61595,0,1
TEST,UKN,2021,5,0,0,61595,0,2
TEST,AstraZeneca,2021,6,12,12,66103,0.018,1
TEST,AstraZeneca,2021,6,12,0,66103,0,2
TEST,J&J,2021,6,0,0,66103,0,1
TEST,J&J,2021,6,0,0,66103,0,2
TEST,Moderna,2021,6,9,9,66103,0.014,1
TEST,Moderna,2021,6,9,0,66103,0,2
TEST,Pfizer,2021,6,244,144,66103,0.218,1
TEST,Pfizer,2021,6,244,100,66103,0.151,2
TEST,UKN,2021,6,0,0,66103,0,1
TEST,UKN,2021,6,0,0,66103,0,2
TEST,AstraZeneca,2021,7,43,43,75476,0.057,1
TEST,AstraZeneca,2021,7,43,0,75476,0,2
TEST,J&J,2021,7,0,0,75476,0,1
TEST,J&J,2021,7,0,0,75476,0,2
TEST,Moderna,2021,7,14,10,75476,0.013,1
TEST,Moderna,2021,7,14,4,75476,0.005,2
TEST,Pfizer,2021,7,288,188,75476,0.249,1
TEST,Pfizer,2021,7,288,100,75476,0.132,2
TEST,UKN,2021,7,0,0,75476,0,1
TEST,UKN,2021,7,0,0,75476,0,2
TEST,AstraZeneca,2021,8,80,80,80598,0.099,1
TEST,AstraZeneca,2021,8,80,0,80598,0,2
TEST,J&J,2021,8,0,0,80598,0,1
TEST,J&J,2021,8,0,0,80598,0,2
TEST,Moderna,2021,8,21,16,80598,0.02,1
TEST,Moderna,2021,8,21,5,80598,0.006,2
TEST,Pfizer,2021,8,322,219,80598,0.272,1
TEST,Pfizer,2021,8,322,103,80598,0.128,2
TEST,UKN,2021,8,0,0,80598,0,1
TEST,UKN,2021,8,0,0,80598,0,2
TEST,AstraZeneca,2021,9,127,127,85791,0.148,1
TEST,AstraZeneca,2021,9,127,0,85791,0,2
TEST,J&J,2021,9,0,0,85791,0,1
TEST,J&J,2021,9,0,0,85791,0,2
TEST,Moderna,2021,9,26,18,85791,0.021,1
TEST,Moderna,2021,9,26,8,85791,0.009,2
TEST,Pfizer,2021,9,391,267,85791,0.311,1
TEST,Pfizer,2021,9,391,124,85791,0.145,2
TEST,UKN,2021,9,0,0,85791,0,1
TEST,UKN,2021,9,0,0,85791,0,2
TEST,AstraZeneca,2021,10,139,139,91339,0.152,1
TEST,AstraZeneca,2021,10,139,0,91339,0,2
TEST,J&J,2021,10,0,0,91339,0,1
TEST,J&J,2021,10,0,0,91339,0,2
TEST,Moderna,2021,10,34,25,91339,0.027,1
TEST,Moderna,2021,10,34,9,91339,0.01,2
TEST,Pfizer,2021,10,514,348,91339,0.381,1
TEST,Pfizer,2021,10,514,166,91339,0.182,2
TEST,UKN,2021,10,0,0,91339,0,1
TEST,UKN,2021,10,0,0,91339,0,2
TEST,AstraZeneca,2021,11,169,169,98579,0.171,1
TEST,AstraZeneca,2021,11,169,0,98579,0,2
TEST,J&J,2021,11,0,0,98579,0,1
TEST,J&J,2021,11,0,0,98579,0,2
TEST,Moderna,2021,11,44,33,98579,0.033,1
TEST,Moderna,2021,11,44,11,98579,0.011,2
TEST,Pfizer,2021,11,583,388,98579,0.394,1
TEST,Pfizer,2021,11,583,195,98579,0.198,2
TEST,UKN,2021,11,0,0,98579,0,1
TEST,UKN,2021,11,0,0,98579,0,2
TEST,AstraZeneca,2021,12,213,213,100914,0.211,1
TEST,AstraZeneca,2021,12,213,0,100914,0,2
TEST,J&J,2021,12,0,0,100914,0,1
TEST,J&J,2021,12,0,0,100914,0,2
TEST,Moderna,2021,12,60,47,100914,0.047,1
TEST,Moderna,2021,12,60,13,100914,0.013,2
TEST,Pfizer,2021,12,667,432,100914,0.428,1
TEST,Pfizer,2021,12,667,235,100914,0.233,2
TEST,UKN,2021,12,0,0,100914,0,1
TEST,UKN,2021,12,0,0,100914,0,2
TEST,AstraZeneca,2021,13,301,301,104623,0.288,1
TEST,AstraZeneca,2021,13,301,0,104623,0,2
TEST,J&J,2021,13,0,0,104623,0,1
TEST,J&J,2021,13,0,0,104623,0,2
TEST,Moderna,2021,13,93,78,104623,0.075,1
TEST,Moderna,2021,13,93,15,104623,0.014,2
TEST,Pfizer,2021,13,827,521,104623,0.498,1
TEST,Pfizer,2021,13,827,306,104623,0.292,2
TEST,UKN,2021,13,0,0,104623,0,1
TEST,UKN,2021,13,0,0,104623,0,2
TEST,AstraZeneca,2021,14,409,409,107813,0.379,1
TEST,AstraZeneca,2021,14,409,0,107813,0,2
TEST,J&J,2021,14,0,0,107813,0,1
TEST,J&J,2021,14,0,0,107813,0,2
TEST,Moderna,2021,14,118,96,107813,0.089,1
TEST,Moderna,2021,14,118,22,107813,0.02,2
TEST,Pfizer,2021,14,976,644,107813,0.597,1
TEST,Pfizer,2021,14,976,332,107813,0.308,2
TEST,UKN,2021,14,0,0,107813,0,1
TEST,UKN,2021,14,0,0,107813,0,2
TEST,AstraZeneca,2021,15,424,424,112801,0.376,1
TEST,AstraZeneca,2021,15,424,0,112801,0,2
TEST,J&J,2021,15,0,0,112801,0,1
TEST,J&J,2021,15,0,0,112801,0,2
TEST,Moderna,2021,15,145,118,112801,0.105,1
TEST,Moderna,2021,15,145,27,112801,0.024,2
TEST,Pfizer,2021,15,1142,770,112801,0.683,1
TEST,Pfizer,2021,15,1142,372,112801,0.33,2
TEST,UKN,2021,15,0,0,112801,0,1
TEST,UKN,2021,15,0,0,112801,0,2
TEST,AstraZeneca,2021,16,440,440,119352,0.369,1
TEST,AstraZeneca,2021,16,440,0,119352,0,2
TEST,J&J,2021,16,0,0,119352,0,1
TEST,J&J,2021,16,0,0,119352,0,2
TEST,Moderna,2021,16,168,125,119352,0.105,1
TEST,Moderna,2021,16,168,43,119352,0.036,2
TEST,Pfizer,2021,16,1358,903,119352,0.757,1
TEST,Pfizer,2021,16,1358,455,119352,0.381,2
TEST,UKN,2021,16,0,0,119352,0,1
TEST,UKN,2021,16,0,0,119352,0,2
TEST,AstraZeneca,2021,17,478,478,125042,0.382,1
TEST,AstraZeneca,2021,17,478,0,125042,0,2
TEST,J&J,2021,17,0,0,125042,0,1
TEST,J&J,2021,17,0,0,125042,0,2
TEST,Moderna,2021,17,210,136,125042,0.109,1
TEST,Moderna,2021,17,210,74,125042,0.059,2
TEST,Pfizer,2021,17,1541,977,125042,0.781,1
TEST,Pfizer,2021,17,1541,564,125042,0.451,2
TEST,UKN,2021,17,17,17,125042,0.014,1
TEST,UKN,2021,17,17,0,125042,0,2
TEST,AstraZeneca,2021,18,523,515,132200,0.39,1
TEST,AstraZeneca,2021,18,523,8,132200,0.006,2
TEST,J&J,2021,18,0,0,132200,0,1
TEST,J&J,2021,18,0,0,132200,0,2
TEST,Moderna,2021,18,256,170,132200,0.129,1
TEST,Moderna,2021,18,256,86,132200,0.065,2
TEST,Pfizer,2021,18,1729,1063,132200,0.804,1
TEST,Pfizer,2021,18,1729,666,132200,0.504,2
TEST,UKN,2021,18,22,22,132200,0.017,1
TEST,UKN,2021,18,22,0,132200,0,2
TEST,AstraZeneca,2021,19,619,580,139037,0.417,1
TEST,AstraZeneca,2021,19,619,39,139037,0.028,2
TEST,J&J,2021,19,0,0,139037,0,1
TEST,J&J,2021,19,0,0,139037,0,2
TEST,Moderna,2021,19,297,193,139037,0.139,1
TEST,Moderna,2021,19,297,104,139037,0.075,2
TEST,Pfizer,2021,19,1960,1165,139037,0.838,1
TEST,Pfizer,2021,19,1960,795,139037,0.572,2
TEST,UKN,2021,19,30,30,139037,0.022,1
TEST,UKN,2021,19,30,0,139037,0,2
TEST,AstraZeneca,2021,20,682,612,139367,0.439,1
TEST,AstraZeneca,2021,20,682,70,139367,0.05,2
TEST,J&J,2021,20,0,0,139367,0,1
TEST,J&J,2021,20,0,0,139367,0,2
TEST,Moderna,2021,20,339,227,139367,0.163,1
TEST,Moderna,2021,20,339,112,139367,0.08,2
TEST,Pfizer,2021,20,2174,1330,139367,0.954,1
TEST,Pfizer,2021,20,2174,844,139367,0.606,2
TEST,UKN,2021,20,32,32,139367,0.023,1
TEST,UKN,2021,20,32,0,139367,0,2
TEST,AstraZeneca,2021,21,740,639,144631,0.442,1
TEST,AstraZeneca,2021,21,740,101,144631,0.07,2
TEST,J&J,2021,21,0,0,144631,0,1
TEST,J&J,2021,21,0,0,144631,0,2
TEST,Moderna,2021,21,363,247,144631,0.171,1
TEST,Moderna,2021,21,363,116,144631,0.08,2
TEST,Pfizer,2021,21,2438,1516,144631,1.048,1
TEST,Pfizer,2021,21,2438,922,144631,0.637,2
TEST,UKN,2021,21,45,45,144631,0.031,1
TEST,UKN,2021,21,45,0,144631,0,2
TEST,AstraZeneca,2021,22,767,648,146573,0.442,1
TEST,AstraZeneca,2021,22,767,119,146573,0.081,2
TEST,J&J,2021,22,0,0,146573,0,1
TEST,J&J,2021,22,0,0,146573,0,2
TEST,Moderna,2021,22,430,277,146573,0.189,1
TEST,Moderna,2021,22,430,153,146573,0.104,2
TEST,Pfizer,2021,22,2704,1731,146573,1.181,1
TEST,Pfizer,2021,22,2704,973,146573,0.664,2
TEST,UKN,2021,22,70,70,146573,0.048,1
TEST,UKN,2021,22,70,0,146573,0,2
TEST,AstraZeneca,2021,23,786,648,150175,0.431,1
TEST,AstraZeneca,2021,23,786,138,150175,0.092,2
TEST,J&J,2021,23,0,0,150175,0,1
TEST,J&J,2021,23,0,0,150175,0,2
TEST,Moderna,2021,23,483,320,150175,0.213,1
TEST,Moderna,2021,23,483,163,150175,0.109,2
TEST,Pfizer,2021,23,2951,1983,150175,1.32,1
TEST,Pfizer,2021,23,2951,968,150175,0.645,2
TEST,UKN,2021,23,90,90,150175,0.06,1
TEST,UKN,2021,23,90,0,150175,0,2
TEST,AstraZeneca,2021,24,844,663,151821,0.437,1
TEST,AstraZeneca,2021,24,844,181,151821,0.119,2
TEST,J&J,2021,24,0,0,151821,0,1
TEST,J&J,2021,24,0,0,151821,0,2
TEST,Moderna,2021,24,521,357,151821,0.235,1
TEST,Moderna,2021,24,521,164,151821,0.108,2
TEST,Pfizer,2021,24,3209,2223,151821,1.464,1
TEST,Pfizer,2021,24,3209,986,151821,0.649,2
TEST,UKN,2021,24,103,103,151821,0.068,1
TEST,UKN,2021,24,103,0,151821,0,2
TEST,AstraZeneca,2021,25,922,664,152134,0.436,1
TEST,AstraZeneca,2021,25,922,258,152134,0.17,2
TEST,J&J,2021,25,0,0,152134,0,1
TEST,J&J,2021,25,0,0,152134,0,2
TEST,Moderna,2021,25,547,377,152134,0.248,1
TEST,Moderna,2021,25,547,170,152134,0.112,2
TEST,Pfizer,2021,25,3483,2434,152134,1.6,1
TEST,Pfizer,2021,25,3483,1049,152134,0.69,2
TEST,UKN,2021,25,106,106,152134,0.07,1
TEST,UKN,2021,25,106,0,152134,0,2
TEST,AstraZeneca,2021,26,937,650,152993,0.425,1
TEST,AstraZeneca,2021,26,937,287,152993,0.188,2
TEST,J&J,2021,26,0,0,152993,0,1
TEST,J&J,2021,26,0,0,152993,0,2
TEST,Moderna,2021,26,555,380,152993,0.248,1
TEST,Moderna,2021,26,555,175,152993,0.114,2
TEST,Pfizer,2021,26,3514,2452,152993,1.603,1
TEST,Pfizer,2021,26,3514,1062,152993,0.694,2
TEST,UKN,2021,26,106,106,152993,0.069,1
TEST,UKN,2021,26,106,0,152993,0,2
