sex,month,year,Ageband,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MISCC_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MISCC_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MISCC_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MISCC_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b
0,November,2020,50-59,18262,18262,18262,18262,18262,18262,18262,18262,18262,18262,18262,18262,18262,0,0,0,0,0,0,0,0,0,0,0,0
0,December,2020,50-59,18561,18561,18561,18561,18561,18561,18561,18561,18561,18561,18561,18561,18561,0,0,0,0,0,0,0,0,0,0,0,0
1,January,2020,20-29,10247,10247,10247,10247,10247,10247,10247,10247,10247,10247,10247,10247,10247,0,0,0,0,0,0,0,0,0,0,0,0
1,February,2020,20-29,9455,9455,9455,9455,9455,9455,9455,9455,9455,9455,9455,9455,9455,0,0,0,0,0,0,0,0,0,0,0,0
1,March,2020,20-29,10059,10059,10059,10059,10059,10059,10059,10059,10059,10059,10059,10059,10059,0,0,0,0,0,0,0,0,0,0,0,0
1,April,2020,20-29,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,9672,0,0,0,0,0,0,0,0,0,0,0,0
1,May,2020,20-29,9898,9898,9898,9898,9898,9898,9898,9898,9898,9898,9898,9898,9898,0,0,0,0,0,0,0,0,0,0,0,0
1,June,2020,20-29,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,0,0,0,0,0,0,0,0,0,0,0,0
1,July,2020,20-29,9782,9782,9782,9782,9782,9782,9782,9782,9782,9782,9782,9782,9782,0,0,0,0,0,0,0,0,0,0,0,0
1,August,2020,20-29,9743,9743,9743,9743,9743,9743,9743,9743,9743,9743,9743,9743,9743,0,0,0,0,0,0,0,0,0,0,0,0
1,September,2020,20-29,9344,9344,9344,9344,9344,9344,9344,9344,9344,9344,9344,9344,9344,0,0,0,0,0,0,0,0,0,0,0,0
1,October,2020,20-29,9480,9480,9480,9480,9480,9480,9480,9480,9480,9480,9480,9480,9480,0,0,0,0,0,0,0,0,0,0,0,0
1,November,2020,20-29,9036,9036,9036,9036,9036,9036,9036,9036,9036,9036,9036,9036,9036,0,0,0,0,0,0,0,0,0,0,0,0
1,December,2020,20-29,9177,9177,9177,9177,9177,9177,9177,9177,9177,9177,9177,9177,9177,0,0,0,0,0,0,0,0,0,0,0,0
1,January,2021,20-29,8912,8912,8912,8912,8912,8912,8912,8912,8912,8912,8912,8912,8912,0,0,0,0,0,0,0,0,0,0,0,0
1,February,2021,20-29,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,7815,0,0,0,0,0,0,0,0,0,0,0,0
1,March,2021,20-29,8392,8392,8392,8392,8392,8392,8392,8392,8392,8392,8392,8392,8392,0,0,0,0,0,0,0,0,0,0,0,0
1,April,2021,20-29,7906,7906,7906,7906,7906,7906,7906,7906,7906,7906,7906,7906,7906,0,0,0,0,0,0,0,0,0,0,0,0
1,May,2021,20-29,7825,7825,7825,7825,7825,7825,7825,7825,7825,7825,7825,7825,7825,0,0,0,0,0,0,0,0,0,0,0,0
1,June,2021,20-29,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,6694,0,0,0,0,0,0,0,0,0,0,0,0
0,January,2020,70-79,13936,13936,13936,13936,13936,13936,13936,13936,13936,13936,13936,13936,13936,0,0,0,0,0,0,0,0,0,0,0,0
0,February,2020,70-79,12929,12929,12929,12929,12929,12929,12929,12929,12929,12907,12929,12929,12929,0,0,0,0,0,0,0,0,1,0,0,0
0,March,2020,70-79,13745,13745,13745,13745,13745,13745,13745,13745,13745,13714,13745,13745,13745,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2020,70-79,13209,13209,13209,13209,13209,13209,13209,13209,13209,13179,13209,13209,13209,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2020,70-79,13571,13571,13571,13571,13571,13571,13571,13571,13571,13540,13571,13571,13571,0,0,0,0,0,0,0,0,0,0,0,0
0,June,2020,70-79,13038,13038,13038,13038,13038,13038,13038,13038,13038,13008,13038,13038,13038,0,0,0,0,0,0,0,0,0,0,0,0
0,July,2020,70-79,13340,13340,13340,13340,13340,13340,13340,13340,13340,13309,13340,13340,13340,0,0,0,0,0,0,0,0,0,0,0,0
0,August,2020,70-79,13299,13299,13299,13299,13299,13299,13299,13299,13299,13268,13299,13299,13299,0,0,0,0,0,0,0,0,0,0,0,0
0,September,2020,70-79,12836,12836,12836,12836,12836,12836,12836,12836,12836,12806,12836,12836,12836,0,0,0,0,0,0,0,0,0,0,0,0
0,October,2020,70-79,13179,13179,13179,13179,13179,13179,13179,13179,13179,13148,13179,13179,13179,0,0,0,0,0,0,0,0,0,0,0,0
0,November,2020,70-79,12670,12670,12670,12670,12670,12670,12670,12670,12670,12640,12670,12670,12670,0,0,0,0,0,0,0,0,0,0,0,0
0,December,2020,70-79,12997,12997,12997,12997,12997,12997,12997,12997,12997,12966,12997,12997,12997,0,0,0,0,0,0,0,0,0,0,0,0
0,January,2021,70-79,12781,12781,12781,12781,12781,12781,12781,12781,12781,12750,12781,12781,12781,0,0,0,0,0,0,0,0,0,0,0,0
0,February,2021,70-79,11315,11315,11315,11315,11315,11315,11315,11315,11315,11287,11315,11315,11315,0,0,0,0,0,0,0,0,0,0,0,0
0,March,2021,70-79,12160,12160,12160,12160,12160,12160,12160,12160,12160,12129,12160,12160,12160,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2021,70-79,7613,7613,7613,7613,7613,7613,7613,7613,7613,7583,7613,7613,7613,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2021,70-79,3074,3074,3074,3074,3074,3074,3074,3074,3074,3068,3074,3074,3074,0,0,0,0,0,0,0,0,0,0,0,0
0,January,2020,0-4,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,0,0,0,0,0,0,0,0,0,0,0,0
0,February,2020,0-4,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,0,0,0,0,0,0,0,0,0,0,0,0
0,March,2020,0-4,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2020,0-4,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2020,0-4,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,0,0,0,0,0,0,0,0,0,0,0,0
0,June,2020,0-4,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0
0,July,2020,0-4,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,0,0,0,0,0,0,0,0,0,0,0,0
0,August,2020,0-4,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,0,0,0,0,0,0,0,0,0,0,0,0
0,September,2020,0-4,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,0,0,0,0,0,0,0,0,0,0,0,0
0,October,2020,0-4,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,0,0,0,0,0,0,0,0,0,0,0,0
0,November,2020,0-4,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,0,0,0,0,0,0,0,0,0,0,0,0
0,December,2020,0-4,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,0,0,0,0,0,0,0,0,0,0,0,0
0,January,2021,0-4,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,0,0,0,0,0,0,0,0,0,0,0,0
0,February,2021,0-4,924,924,924,924,924,924,924,924,924,924,924,924,924,0,0,0,0,0,0,0,0,0,0,0,0
0,March,2021,0-4,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2021,0-4,960,960,960,960,960,960,960,960,960,960,960,960,960,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2021,0-4,992,992,992,992,992,992,992,992,992,992,992,992,992,0,0,0,0,0,0,0,0,0,0,0,0
0,June,2021,0-4,948,948,948,948,948,948,948,948,948,948,948,948,948,0,0,0,0,0,0,0,0,0,0,0,0
0,January,2021,50-59,17735,17735,17735,17735,17735,17735,17735,17735,17735,17735,17735,17735,17735,0,0,0,0,0,0,0,0,0,0,0,0
0,February,2021,50-59,15044,15044,15044,15044,15044,15044,15044,15044,15044,15044,15044,15044,15044,0,0,0,0,0,0,0,0,0,0,0,0
0,March,2021,50-59,15201,15201,15201,15201,15201,15201,15201,15201,15201,15201,15201,15201,15201,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2021,50-59,14169,14169,14169,14169,14169,14169,14169,14169,14169,14169,14169,14169,14169,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2021,50-59,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,0,0,0,0,0,0,0,0,0,0,0,0
1,January,2020,70-79,11315,11315,11315,11315,11315,11315,11315,11315,11315,11284,11315,11315,11315,0,0,0,0,0,0,0,0,0,0,0,0
1,February,2020,70-79,10576,10576,10576,10576,10576,10576,10576,10576,10576,10547,10576,10576,10576,0,0,0,0,0,0,0,0,0,0,0,0
1,March,2020,70-79,11163,11163,11163,11163,11163,11163,11163,11163,11163,11132,11163,11163,11163,0,0,0,0,0,0,0,0,0,0,0,0
1,April,2020,70-79,10699,10699,10699,10699,10699,10699,10699,10699,10699,10669,10699,10699,10699,0,0,0,0,0,0,0,0,0,0,0,0
1,May,2020,70-79,10920,10920,10920,10920,10920,10920,10920,10920,10920,10889,10920,10920,10920,0,0,0,0,0,0,0,0,0,0,0,0
1,June,2020,70-79,10495,10495,10495,10495,10495,10495,10495,10495,10495,10465,10495,10495,10495,0,0,0,0,0,0,0,0,0,0,0,0
1,July,2020,70-79,10759,10759,10759,10759,10759,10759,10759,10759,10759,10728,10759,10759,10759,0,0,0,0,0,0,0,0,0,0,0,0
1,August,2020,70-79,10664,10664,10664,10664,10664,10664,10664,10664,10664,10633,10664,10664,10664,0,0,0,0,0,0,0,0,0,0,0,0
1,September,2020,70-79,10259,10259,10259,10259,10259,10259,10259,10259,10259,10229,10259,10259,10259,0,0,0,0,0,0,0,0,0,0,0,0
1,October,2020,70-79,10508,10508,10508,10508,10508,10508,10508,10508,10508,10477,10508,10508,10508,0,0,0,0,0,0,0,0,0,0,0,0
1,November,2020,70-79,10072,10072,10072,10072,10072,10072,10072,10072,10072,10042,10072,10072,10072,0,0,0,0,0,0,0,0,0,0,0,0
1,December,2020,70-79,10280,10280,10280,10280,10280,10280,10280,10280,10280,10249,10280,10280,10280,0,0,0,0,0,0,0,0,0,0,0,0
1,January,2021,70-79,10139,10139,10139,10139,10139,10139,10139,10139,10139,10108,10139,10139,10139,0,0,0,0,0,0,0,0,0,0,0,0
1,February,2021,70-79,9041,9041,9041,9041,9041,9041,9041,9041,9041,9013,9041,9041,9041,0,0,0,0,0,0,0,0,0,0,0,0
1,March,2021,70-79,9574,9574,9574,9574,9574,9574,9574,9574,9574,9543,9574,9574,9574,0,0,0,0,0,0,0,0,0,0,0,0
1,April,2021,70-79,5669,5669,5669,5669,5669,5669,5669,5669,5669,5639,5669,5669,5669,0,0,0,0,0,0,0,0,0,0,0,0
0,January,2020,40-49,18664,18664,18664,18664,18664,18664,18664,18664,18664,18664,18664,18664,18664,0,0,0,0,0,0,0,0,0,0,0,0
0,February,2020,40-49,17341,17341,17341,17341,17341,17341,17341,17341,17341,17341,17341,17341,17341,0,0,0,0,0,0,0,0,0,0,0,0
0,March,2020,40-49,18492,18492,18492,18492,18492,18492,18492,18492,18492,18492,18492,18492,18492,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2020,40-49,17828,17828,17828,17828,17828,17828,17828,17828,17828,17828,17828,17828,17828,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2020,40-49,18271,18271,18271,18271,18271,18271,18271,18271,18271,18271,18271,18271,18271,0,0,0,0,0,0,0,0,0,0,0,0
0,June,2020,40-49,17458,17458,17458,17458,17458,17458,17458,17458,17458,17458,17458,17458,17458,0,0,0,0,0,0,0,0,0,0,0,0
0,July,2020,40-49,17981,17981,17981,17981,17981,17981,17981,17981,17981,17981,17981,17981,17981,0,0,0,0,0,0,0,0,0,0,0,0
0,August,2020,40-49,17927,17927,17927,17927,17927,17927,17927,17927,17927,17927,17927,17927,17927,0,0,0,0,0,0,0,0,0,0,0,0
0,September,2020,40-49,17174,17174,17174,17174,17174,17174,17174,17174,17174,17174,17174,17174,17174,0,0,0,0,0,0,0,0,0,0,0,0
0,October,2020,40-49,17665,17665,17665,17665,17665,17665,17665,17665,17665,17665,17665,17665,17665,0,0,0,0,0,0,0,0,0,0,0,0
0,November,2020,40-49,16826,16826,16826,16826,16826,16826,16826,16826,16826,16826,16826,16826,16826,0,0,0,0,0,0,0,0,0,0,0,0
0,December,2020,40-49,17072,17072,17072,17072,17072,17072,17072,17072,17072,17072,17072,17072,17072,0,0,0,0,0,0,0,0,0,0,0,0
0,January,2021,40-49,16507,16507,16507,16507,16507,16507,16507,16507,16507,16507,16507,16507,16507,0,0,0,0,0,0,0,0,0,0,0,0
0,February,2021,40-49,14032,14032,14032,14032,14032,14032,14032,14032,14032,14032,14032,14032,14032,0,0,0,0,0,0,0,0,0,0,0,0
0,March,2021,40-49,14126,14126,14126,14126,14126,14126,14126,14126,14126,14126,14126,14126,14126,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2021,40-49,13058,13058,13058,13058,13058,13058,13058,13058,13058,13058,13058,13058,13058,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2021,40-49,12824,12824,12824,12824,12824,12824,12824,12824,12824,12824,12824,12824,12824,0,0,0,0,0,0,0,0,0,0,0,0
0,June,2021,40-49,9901,9901,9901,9901,9901,9901,9901,9901,9901,9901,9901,9901,9901,0,0,0,0,0,0,0,0,0,0,0,0
0,January,2020,60-69,15998,15998,15998,15998,15998,15998,15998,15998,15998,15998,15998,15998,15998,0,0,0,0,0,0,0,0,0,0,0,0
0,February,2020,60-69,14869,14869,14869,14869,14869,14869,14869,14869,14869,14869,14869,14869,14869,0,0,0,0,0,0,0,0,0,0,0,0
0,March,2020,60-69,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2020,60-69,15290,15290,15290,15290,15290,15290,15290,15290,15290,15290,15290,15290,15290,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2020,60-69,15723,15723,15723,15723,15723,15723,15723,15723,15723,15723,15723,15723,15723,0,0,0,0,0,0,0,0,0,0,0,0
0,June,2020,60-69,15095,15095,15095,15095,15095,15095,15095,15095,15095,15095,15095,15095,15095,0,0,0,0,0,0,0,0,0,0,0,0
0,July,2020,60-69,15505,15505,15505,15505,15505,15505,15505,15505,15505,15505,15505,15505,15505,0,0,0,0,0,0,0,0,0,0,0,0
0,August,2020,60-69,15395,15395,15395,15395,15395,15395,15395,15395,15395,15395,15395,15395,15395,0,0,0,0,0,0,0,0,0,0,0,0
0,September,2020,60-69,14632,14632,14632,14632,14632,14632,14632,14632,14632,14632,14632,14632,14632,0,0,0,0,0,0,0,0,0,0,0,0
0,October,2020,60-69,14939,14939,14939,14939,14939,14939,14939,14939,14939,14939,14939,14939,14939,0,0,0,0,0,0,0,0,0,0,0,0
0,November,2020,60-69,14351,14351,14351,14351,14351,14351,14351,14351,14351,14351,14351,14351,14351,0,0,0,0,0,0,0,0,0,0,0,0
0,December,2020,60-69,14631,14631,14631,14631,14631,14631,14631,14631,14631,14631,14631,14631,14631,0,0,0,0,0,0,0,0,0,0,0,0
0,January,2021,60-69,14164,14164,14164,14164,14164,14164,14164,14164,14164,14164,14164,14164,14164,0,0,0,0,0,0,0,0,0,0,0,0
0,February,2021,60-69,12356,12356,12356,12356,12356,12356,12356,12356,12356,12356,12356,12356,12356,0,0,0,0,0,0,0,0,0,0,0,0
0,March,2021,60-69,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2021,60-69,11721,11721,11721,11721,11721,11721,11721,11721,11721,11721,11721,11721,11721,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2021,60-69,9012,9012,9012,9012,9012,9012,9012,9012,9012,9012,9012,9012,9012,0,0,0,0,0,0,0,0,0,0,0,0
0,June,2021,60-69,3581,3581,3581,3581,3581,3581,3581,3581,3581,3581,3581,3581,3581,0,0,0,0,0,0,0,0,0,0,0,0
1,January,2020,60-69,14765,14765,14765,14765,14765,14765,14765,14765,14765,14765,14765,14765,14765,0,0,0,0,0,0,0,0,0,0,0,0
1,February,2020,60-69,13712,13712,13712,13712,13712,13712,13712,13712,13712,13712,13712,13712,13712,0,0,0,0,0,0,0,0,0,0,0,0
1,March,2020,60-69,14621,14621,14621,14621,14621,14621,14621,14621,14621,14621,14621,14621,14621,0,0,0,0,0,0,0,0,0,0,0,0
1,April,2020,60-69,14082,14082,14082,14082,14082,14082,14082,14082,14082,14082,14082,14082,14082,0,0,0,0,0,0,0,0,0,0,0,0
1,May,2020,60-69,14441,14441,14441,14441,14441,14441,14441,14441,14441,14441,14441,14441,14441,0,0,0,0,0,0,0,0,0,0,0,0
1,June,2020,60-69,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,13904,0,0,0,0,0,0,0,0,0,0,0,0
1,July,2020,60-69,14272,14272,14272,14272,14272,14272,14272,14272,14272,14272,14272,14272,14272,0,0,0,0,0,0,0,0,0,0,0,0
1,August,2020,60-69,14145,14145,14145,14145,14145,14145,14145,14145,14145,14145,14145,14145,14145,0,0,0,0,0,0,0,0,0,0,0,0
1,September,2020,60-69,13600,13600,13600,13600,13600,13600,13600,13600,13600,13600,13600,13600,13600,0,0,0,0,0,0,0,0,0,0,0,0
1,October,2020,60-69,13974,13974,13974,13974,13974,13974,13974,13974,13974,13974,13974,13974,13974,0,0,0,0,0,0,0,0,0,0,0,0
1,November,2020,60-69,13444,13444,13444,13444,13444,13444,13444,13444,13444,13444,13444,13444,13444,0,0,0,0,0,0,0,0,0,0,0,0
1,December,2020,60-69,13736,13736,13736,13736,13736,13736,13736,13736,13736,13736,13736,13736,13736,0,0,0,0,0,0,0,0,0,0,0,0
1,January,2021,60-69,13190,13190,13190,13190,13190,13190,13190,13190,13190,13190,13190,13190,13190,0,0,0,0,0,0,0,0,0,0,0,0
1,January,2020,30-39,11390,11390,11390,11390,11390,11390,11390,11390,11390,11390,11390,11390,11390,0,0,0,0,0,0,0,0,0,0,0,0
1,February,2020,30-39,10581,10581,10581,10581,10581,10581,10581,10581,10581,10581,10581,10581,10581,0,0,0,0,0,0,0,0,0,0,0,0
1,March,2020,30-39,11262,11262,11262,11262,11262,11262,11262,11262,11262,11262,11262,11262,11262,0,0,0,0,0,0,0,0,0,0,0,0
1,April,2020,30-39,10767,10767,10767,10767,10767,10767,10767,10767,10767,10767,10767,10767,10767,0,0,0,0,0,0,0,0,0,0,0,0
1,May,2020,30-39,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,0,0,0,0,0,0,0,0,0,0,0,0
1,June,2020,30-39,10673,10673,10673,10673,10673,10673,10673,10673,10673,10673,10673,10673,10673,0,0,0,0,0,0,0,0,0,0,0,0
1,July,2020,30-39,10909,10909,10909,10909,10909,10909,10909,10909,10909,10909,10909,10909,10909,0,0,0,0,0,0,0,0,0,0,0,0
1,August,2020,30-39,10724,10724,10724,10724,10724,10724,10724,10724,10724,10724,10724,10724,10724,0,0,0,0,0,0,0,0,0,0,0,0
1,September,2020,30-39,10192,10192,10192,10192,10192,10192,10192,10192,10192,10192,10192,10192,10192,0,0,0,0,0,0,0,0,0,0,0,0
1,October,2020,30-39,10381,10381,10381,10381,10381,10381,10381,10381,10381,10381,10381,10381,10381,0,0,0,0,0,0,0,0,0,0,0,0
1,November,2020,30-39,9898,9898,9898,9898,9898,9898,9898,9898,9898,9898,9898,9898,9898,0,0,0,0,0,0,0,0,0,0,0,0
1,December,2020,30-39,9984,9984,9984,9984,9984,9984,9984,9984,9984,9984,9984,9984,9984,0,0,0,0,0,0,0,0,0,0,0,0
1,January,2021,30-39,9586,9586,9586,9586,9586,9586,9586,9586,9586,9586,9586,9586,9586,0,0,0,0,0,0,0,0,0,0,0,0
1,February,2021,30-39,8389,8389,8389,8389,8389,8389,8389,8389,8389,8389,8389,8389,8389,0,0,0,0,0,0,0,0,0,0,0,0
1,March,2021,30-39,8939,8939,8939,8939,8939,8939,8939,8939,8939,8939,8939,8939,8939,0,0,0,0,0,0,0,0,0,0,0,0
1,April,2021,30-39,8466,8466,8466,8466,8466,8466,8466,8466,8466,8466,8466,8466,8466,0,0,0,0,0,0,0,0,0,0,0,0
1,May,2021,30-39,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,0,0,0,0,0,0,0,0,0,0,0,0
1,June,2021,30-39,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,0,0,0,0,0,0,0,0,0,0,0,0
1,January,2020,40-49,17126,17126,17126,17126,17126,17126,17126,17126,17126,17126,17126,17126,17126,0,0,0,0,0,0,0,0,0,0,0,0
1,February,2020,40-49,15909,15909,15909,15909,15909,15909,15909,15909,15909,15909,15909,15909,15909,0,0,0,0,0,0,0,0,0,0,0,0
1,March,2020,40-49,16928,16928,16928,16928,16928,16928,16928,16928,16928,16928,16928,16928,16928,0,0,0,0,0,0,0,0,0,0,0,0
1,April,2020,40-49,16304,16304,16304,16304,16304,16304,16304,16304,16304,16304,16304,16304,16304,0,0,0,0,0,0,0,0,0,0,0,0
1,May,2020,40-49,16679,16679,16679,16679,16679,16679,16679,16679,16679,16679,16679,16679,16679,0,0,0,0,0,0,0,0,0,0,0,0
1,June,2020,40-49,15951,15951,15951,15951,15951,15951,15951,15951,15951,15951,15951,15951,15951,0,0,0,0,0,0,0,0,0,0,0,0
1,July,2020,40-49,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,0,0,0,0,0,0,0,0,0,0,0,0
1,August,2020,40-49,16255,16255,16255,16255,16255,16255,16255,16255,16255,16255,16255,16255,16255,0,0,0,0,0,0,0,0,0,0,0,0
1,September,2020,40-49,15553,15553,15553,15553,15553,15553,15553,15553,15553,15553,15553,15553,15553,0,0,0,0,0,0,0,0,0,0,0,0
1,October,2020,40-49,15956,15956,15956,15956,15956,15956,15956,15956,15956,15956,15956,15956,15956,0,0,0,0,0,0,0,0,0,0,0,0
1,November,2020,40-49,15252,15252,15252,15252,15252,15252,15252,15252,15252,15252,15252,15252,15252,0,0,0,0,0,0,0,0,0,0,0,0
1,December,2020,40-49,15550,15550,15550,15550,15550,15550,15550,15550,15550,15550,15550,15550,15550,0,0,0,0,0,0,0,0,0,0,0,0
1,January,2021,40-49,15366,15366,15366,15366,15366,15366,15366,15366,15366,15366,15366,15366,15366,0,0,0,0,0,0,0,0,0,0,0,0
1,February,2021,40-49,13527,13527,13527,13527,13527,13527,13527,13527,13527,13527,13527,13527,13527,0,0,0,0,0,0,0,0,0,0,0,0
1,March,2021,40-49,14141,14141,14141,14141,14141,14141,14141,14141,14141,14141,14141,14141,14141,0,0,0,0,0,0,0,0,0,0,0,0
1,April,2021,40-49,13248,13248,13248,13248,13248,13248,13248,13248,13248,13248,13248,13248,13248,0,0,0,0,0,0,0,0,0,0,0,0
1,May,2021,40-49,13005,13005,13005,13005,13005,13005,13005,13005,13005,12985,13005,13005,13005,0,0,0,0,0,0,0,0,1,0,0,0
1,June,2021,40-49,9814,9814,9814,9814,9814,9814,9814,9814,9814,9814,9814,9814,9814,0,0,0,0,0,0,0,0,0,0,0,0
0,January,2020,80+,14626,14626,14626,14626,14626,14626,14626,14626,14626,14626,14626,14626,14626,0,0,0,0,0,0,0,0,0,0,0,0
0,February,2020,80+,13546,13546,13546,13546,13546,13546,13546,13546,13546,13546,13546,13546,13546,0,0,0,0,0,0,0,0,0,0,0,0
0,March,2020,80+,14309,14309,14309,14309,14309,14309,14309,14309,14309,14309,14309,14309,14309,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2020,80+,13691,13691,13691,13691,13691,13691,13691,13691,13691,13691,13691,13691,13691,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2020,80+,13977,13977,13977,13977,13977,13977,13977,13977,13977,13977,13977,13977,13977,0,0,0,0,0,0,0,0,0,0,0,0
0,June,2020,80+,13333,13333,13333,13333,13333,13333,13333,13333,13333,13333,13333,13333,13333,0,0,0,0,0,0,0,0,0,0,0,0
0,July,2020,80+,13620,13620,13620,13620,13620,13620,13620,13620,13620,13620,13620,13620,13620,0,0,0,0,0,0,0,0,0,0,0,0
0,August,2020,80+,13489,13489,13489,13489,13489,13489,13489,13489,13489,13489,13489,13489,13489,0,0,0,0,0,0,0,0,0,0,0,0
0,September,2020,80+,12944,12944,12944,12944,12944,12944,12944,12944,12944,12944,12944,12944,12944,0,0,0,0,0,0,0,0,0,0,0,0
0,October,2020,80+,13219,13219,13219,13219,13219,13219,13219,13219,13219,13219,13219,13219,13219,0,0,0,0,0,0,0,0,0,0,0,0
