sex,Birthcohort_persons,Dose,type_vax,week,Persontime,Persontime_ACUASEARTHRITIS_broad,Persontime_DM_broad,Persontime_HF_narrow,Persontime_HF_broad,Persontime_CAD_narrow,Persontime_CAD_broad,Persontime_GENCONV_narrow,Persontime_GENCONV_broad,Persontime_ANAPHYL_broad,Persontime_Ischstroke_narrow,Persontime_Ischstroke_broad,Persontime_VTE_narrow,Persontime_VTE_broad,Persontime_CONTRDIVERTIC,Persontime_CONTRHYPERT,Persontime_DEATH,Persontime_ArterialNoTP,Persontime_VTENoTP,Persontime_ArterialVTENoTP,ACUASEARTHRITIS_broad_b,DM_broad_b,HF_narrow_b,HF_broad_b,CAD_narrow_b,CAD_broad_b,GENCONV_narrow_b,GENCONV_broad_b,ANAPHYL_broad_b,Ischstroke_narrow_b,Ischstroke_broad_b,VTE_narrow_b,VTE_broad_b,CONTRDIVERTIC_b,CONTRHYPERT_b,DEATH_b,ArterialNoTP_b,VTENoTP_b,ArterialVTENoTP_b
0,1980-1989,0,,2020-01-06,189,189,189,189,189,189,189,182,182,189,189,189,189,189,189,189,189,189,189,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1970-1979,0,,2020-01-06,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,189,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,<1940,0,,2020-01-06,112,112,98,112,112,112,112,112,112,112,112,112,112,112,112,14,112,112,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1980-1989,0,,2020-01-06,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1990+,0,,2020-01-13,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1970-1979,0,,2020-01-13,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,219,226,226,226,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,<1940,0,,2020-01-13,147,147,147,140,140,147,147,147,147,147,133,133,147,147,147,35,147,133,147,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1940-1949,0,,2020-01-13,119,119,119,119,119,119,119,119,119,119,112,112,119,119,119,42,119,112,119,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1940-1949,0,,2020-01-13,196,196,196,196,196,196,196,189,189,196,196,196,196,196,196,63,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1950-1959,0,,2020-01-13,182,175,182,182,182,182,182,182,182,182,175,175,182,182,182,105,182,175,182,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1960-1969,0,,2020-01-13,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,231,294,294,294,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1950-1959,0,,2020-01-13,175,175,175,175,175,175,175,168,168,175,175,175,168,168,175,147,175,175,168,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1960-1969,0,,2020-01-13,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,133,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1990+,0,,2020-01-13,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1980-1989,0,,2020-01-13,185,185,185,185,185,185,185,178,178,185,185,185,185,185,185,185,185,185,185,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1970-1979,0,,2020-01-13,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,189,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,<1940,0,,2020-01-13,112,112,98,112,112,112,112,112,112,112,112,112,112,112,112,14,112,112,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1980-1989,0,,2020-01-13,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1990+,0,,2020-01-20,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1970-1979,0,,2020-01-20,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,217,224,224,224,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,<1940,0,,2020-01-20,147,147,147,140,140,147,147,147,147,147,133,133,147,147,147,35,147,133,147,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1940-1949,0,,2020-01-20,119,119,119,119,119,119,119,119,119,119,112,112,119,119,119,42,119,112,119,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1940-1949,0,,2020-01-20,196,196,196,196,196,196,196,189,189,196,196,196,196,196,196,63,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1950-1959,0,,2020-01-20,182,175,182,182,182,182,182,182,182,182,175,175,182,182,182,105,182,175,182,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1960-1969,0,,2020-01-20,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,231,294,294,294,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1950-1959,0,,2020-01-20,175,175,175,175,175,175,175,168,168,175,175,175,168,168,175,147,175,175,168,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1960-1969,0,,2020-01-20,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,133,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1990+,0,,2020-01-20,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1980-1989,0,,2020-01-20,182,182,182,182,182,182,182,175,175,182,182,182,182,182,182,182,182,182,182,182,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1970-1979,0,,2020-01-20,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,189,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,<1940,0,,2020-01-20,112,112,98,112,112,112,112,112,112,112,112,112,112,112,112,14,112,112,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1980-1989,0,,2020-01-20,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1990+,0,,2020-01-27,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1970-1979,0,,2020-01-27,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,217,224,224,224,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,<1940,0,,2020-01-27,147,147,147,140,140,147,147,147,147,147,133,133,147,147,147,35,147,133,147,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1940-1949,0,,2020-01-27,119,119,119,119,119,119,119,119,119,119,112,112,119,119,119,42,119,112,119,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1940-1949,0,,2020-01-27,196,196,196,196,196,196,196,189,189,196,196,196,196,196,196,63,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1950-1959,0,,2020-01-27,182,175,182,182,182,182,182,182,182,182,175,175,182,182,182,105,182,175,182,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1960-1969,0,,2020-01-27,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,231,294,294,294,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1950-1959,0,,2020-01-27,175,175,175,175,175,175,175,168,168,175,175,175,168,168,175,147,175,175,168,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1960-1969,0,,2020-01-27,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,133,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1990+,0,,2020-01-27,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1980-1989,0,,2020-01-27,182,182,182,182,182,182,182,175,175,175,182,182,182,182,182,182,182,182,182,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1970-1979,0,,2020-01-27,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,189,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,<1940,0,,2020-01-27,112,112,98,112,112,112,112,112,112,112,112,112,112,112,112,14,112,112,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1980-1989,0,,2020-01-27,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1990+,0,,2020-02-03,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1970-1979,0,,2020-02-03,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,217,224,224,224,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,<1940,0,,2020-02-03,147,147,147,140,140,147,147,147,147,147,133,133,147,147,147,35,147,133,147,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1940-1949,0,,2020-02-03,119,119,119,119,119,119,119,119,119,119,112,112,119,119,119,42,119,112,119,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1940-1949,0,,2020-02-03,196,196,196,196,196,196,196,189,189,196,196,196,196,196,196,63,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1950-1959,0,,2020-02-03,182,175,182,182,182,182,182,182,182,182,175,175,182,182,182,105,182,175,182,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1960-1969,0,,2020-02-03,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,231,294,294,294,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1950-1959,0,,2020-02-03,175,175,175,175,175,175,175,168,168,175,175,175,168,168,175,147,175,175,168,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1960-1969,0,,2020-02-03,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,133,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1990+,0,,2020-02-03,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1980-1989,0,,2020-02-03,182,182,182,182,182,182,182,175,175,175,182,182,182,182,182,182,182,182,182,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1970-1979,0,,2020-02-03,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,189,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,<1940,0,,2020-02-03,112,112,98,112,112,112,112,112,112,112,112,112,112,112,112,14,112,112,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1980-1989,0,,2020-02-03,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1990+,0,,2020-02-10,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1970-1979,0,,2020-02-10,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,210,217,217,217,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,<1940,0,,2020-02-10,147,147,147,138,138,147,147,147,147,147,133,133,147,147,147,35,147,133,147,133,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1940-1949,0,,2020-02-10,119,119,119,119,119,119,119,119,119,119,112,112,119,119,119,42,119,112,119,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1940-1949,0,,2020-02-10,196,196,196,196,196,196,196,189,189,196,196,196,196,196,196,63,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1950-1959,0,,2020-02-10,182,175,182,182,182,182,182,182,182,182,175,175,182,182,182,105,182,175,182,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1960-1969,0,,2020-02-10,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,231,294,294,294,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1950-1959,0,,2020-02-10,175,175,175,175,175,175,175,168,168,175,175,175,168,168,175,147,175,175,168,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1960-1969,0,,2020-02-10,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,133,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1990+,0,,2020-02-10,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1980-1989,0,,2020-02-10,182,182,182,182,182,182,182,175,175,175,182,182,182,182,182,182,182,182,182,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1970-1979,0,,2020-02-10,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,189,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,<1940,0,,2020-02-10,112,112,98,112,112,112,112,112,112,112,112,112,112,112,112,14,112,112,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1980-1989,0,,2020-02-10,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1990+,0,,2020-02-17,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1970-1979,0,,2020-02-17,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,210,217,217,217,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,<1940,0,,2020-02-17,147,147,147,133,133,147,147,147,147,147,133,133,147,147,147,35,147,133,147,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1940-1949,0,,2020-02-17,119,119,119,119,119,119,119,119,119,119,112,112,119,119,119,42,119,112,119,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1940-1949,0,,2020-02-17,196,196,196,196,196,196,196,189,189,196,196,196,196,196,196,63,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1950-1959,0,,2020-02-17,182,175,182,182,182,182,182,182,182,182,175,175,182,182,182,105,182,175,182,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1960-1969,0,,2020-02-17,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,231,294,294,294,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1950-1959,0,,2020-02-17,175,175,175,175,175,175,175,168,168,175,175,175,168,168,175,147,175,175,168,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1960-1969,0,,2020-02-17,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,133,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1990+,0,,2020-02-17,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1980-1989,0,,2020-02-17,182,182,182,182,182,182,182,175,175,175,182,182,182,182,182,182,182,182,182,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1970-1979,0,,2020-02-17,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,189,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,<1940,0,,2020-02-17,112,112,98,112,112,112,112,112,112,112,112,112,112,112,112,14,112,112,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1980-1989,0,,2020-02-17,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1990+,0,,2020-02-24,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1970-1979,0,,2020-02-24,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,210,217,217,217,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,<1940,0,,2020-02-24,147,147,147,133,133,147,147,147,147,147,133,133,147,147,147,35,147,133,147,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1940-1949,0,,2020-02-24,119,119,119,119,119,119,119,119,119,119,112,112,119,119,119,42,119,112,119,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1940-1949,0,,2020-02-24,196,196,196,196,196,196,196,189,189,196,196,196,196,196,196,63,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1950-1959,0,,2020-02-24,182,175,182,182,182,182,182,182,182,182,175,175,182,182,182,105,182,175,182,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1960-1969,0,,2020-02-24,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,231,294,294,294,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1950-1959,0,,2020-02-24,175,175,175,175,175,175,175,168,168,175,175,175,168,168,175,147,175,175,168,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1960-1969,0,,2020-02-24,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,133,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1990+,0,,2020-02-24,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1980-1989,0,,2020-02-24,182,182,182,182,182,182,182,175,175,175,182,182,182,182,182,182,182,182,182,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1970-1979,0,,2020-02-24,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,189,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,<1940,0,,2020-02-24,112,112,98,112,112,112,112,112,112,112,112,112,112,112,112,14,112,112,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1980-1989,0,,2020-02-24,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1990+,0,,2020-03-02,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1970-1979,0,,2020-03-02,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,210,217,217,217,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,<1940,0,,2020-03-02,147,147,147,133,133,147,147,147,147,147,133,133,147,147,147,35,147,133,147,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1940-1949,0,,2020-03-02,119,119,119,119,119,119,119,119,119,119,112,112,119,119,119,42,119,112,119,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1940-1949,0,,2020-03-02,196,196,196,196,196,196,196,189,189,196,196,196,196,196,196,63,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1950-1959,0,,2020-03-02,182,175,182,182,182,182,182,182,182,182,175,175,182,182,182,105,182,175,182,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1960-1969,0,,2020-03-02,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,231,294,294,294,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1950-1959,0,,2020-03-02,175,175,175,175,175,175,175,168,168,175,175,175,168,168,175,147,175,175,168,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1960-1969,0,,2020-03-02,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,133,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1990+,0,,2020-03-02,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1980-1989,0,,2020-03-02,182,182,182,182,182,182,182,175,175,175,182,182,182,182,182,182,182,182,182,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1970-1979,0,,2020-03-02,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,189,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,<1940,0,,2020-03-02,112,112,98,112,112,112,112,112,112,112,112,112,112,112,112,14,112,112,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1980-1989,0,,2020-03-02,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1990+,0,,2020-03-09,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1970-1979,0,,2020-03-09,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,210,217,217,217,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,<1940,0,,2020-03-09,147,147,147,133,133,147,147,147,147,147,128,128,147,147,147,35,147,128,147,128,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
1,1940-1949,0,,2020-03-09,119,119,119,119,119,119,119,119,119,119,112,112,119,119,119,42,119,112,119,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1940-1949,0,,2020-03-09,196,196,196,196,196,196,196,189,189,196,196,196,196,196,196,63,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1950-1959,0,,2020-03-09,182,170,182,182,182,182,182,182,182,182,175,175,182,182,182,105,182,175,182,175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1960-1969,0,,2020-03-09,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,231,294,294,294,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1950-1959,0,,2020-03-09,175,175,175,175,175,175,175,168,168,175,175,175,168,168,175,147,175,175,168,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1960-1969,0,,2020-03-09,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,133,196,196,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1990+,0,,2020-03-09,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
