sex,ageband_at_1_jan_2021,month,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b
0,18-24,2021-01,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0
0,18-24,2021-02,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0
0,18-24,2021-03,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
0,18-24,2021-04,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0
1,80+,2021-04,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0
1,30-39,2021-03,55,55,55,55,55,55,55,55,55,55,55,0,0,0,0,0,0,0,0,0,0
1,30-39,2021-04,22,22,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0
0,70-79,2021-01,48,48,48,48,48,48,48,48,48,48,48,0,0,0,0,0,0,0,0,0,0
0,70-79,2021-02,56,56,56,56,56,56,56,56,56,56,56,0,0,0,0,0,0,0,0,0,0
0,70-79,2021-03,62,62,62,62,62,62,62,62,62,62,62,0,0,0,0,0,0,0,0,0,0
0,70-79,2021-04,22,22,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0
0,50-59,2021-01,34,34,34,34,34,34,34,34,34,34,34,0,0,0,0,0,0,0,0,0,0
0,50-59,2021-02,56,56,56,56,56,56,56,56,56,56,56,0,0,0,0,0,0,0,0,0,0
0,50-59,2021-03,62,62,62,62,62,62,62,62,62,62,62,0,0,0,0,0,0,0,0,0,0
0,50-59,2021-04,22,22,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-11,21,21,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-12,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,30-39,2020-12,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0
1,30-39,2021-01,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,30-39,2021-02,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0
1,25-29,2020-12,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0
1,25-29,2021-01,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,25-29,2021-02,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0
1,25-29,2021-03,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,25-29,2021-04,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-10,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-11,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-12,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
0,40-49,2021-01,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
0,40-49,2021-02,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0
0,40-49,2021-03,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
0,40-49,2021-04,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0
1,80+,2020-11,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
1,80+,2020-12,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,80+,2021-01,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,80+,2021-02,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0
1,80+,2021-03,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-11,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-12,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
