Dose,type_vax,week_fup,sex,riskfactor,ADEM_broad_b,ACUASEARTHRITIS_broad_b,DM_narrow_b,DM_broad_b,HF_narrow_b,HF_broad_b,CAD_narrow_b,CAD_broad_b,ARR_narrow_b,ARR_broad_b,MYOCARD_narrow_b,MYOCARD_broad_b,AKI_narrow_b,AKI_broad_b,MENINGOENC_narrow_b,MENINGOENC_broad_b,ARD_narrow_b,ARD_broad_b,CHILBLAIN_narrow_b,CHILBLAIN_broad_b,Hemostroke_narrow_b,Hemostroke_broad_b,Ischstroke_narrow_b,Ischstroke_broad_b,VTE_narrow_b,VTE_broad_b,CONTRDIVERTIC_b,CONTRHYPERT_b,MIS_KD_narrow_b,MIS_KD_broad_b,DEATH_b,ArterialNoTP_b,VTENoTP_b,ArterialVTENoTP_b,GENCONV_narrow_b,GENCONV_broad_b,ANAPHYL_broad_b,IR_ADEM_broad,lb_ADEM_broad,ub_ADEM_broad,IR_ACUASEARTHRITIS_broad,lb_ACUASEARTHRITIS_broad,ub_ACUASEARTHRITIS_broad,IR_DM_narrow,lb_DM_narrow,ub_DM_narrow,IR_DM_broad,lb_DM_broad,ub_DM_broad,IR_HF_narrow,lb_HF_narrow,ub_HF_narrow,IR_HF_broad,lb_HF_broad,ub_HF_broad,IR_CAD_narrow,lb_CAD_narrow,ub_CAD_narrow,IR_CAD_broad,lb_CAD_broad,ub_CAD_broad,IR_ARR_narrow,lb_ARR_narrow,ub_ARR_narrow,IR_ARR_broad,lb_ARR_broad,ub_ARR_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_broad,lb_MYOCARD_broad,ub_MYOCARD_broad,IR_AKI_narrow,lb_AKI_narrow,ub_AKI_narrow,IR_AKI_broad,lb_AKI_broad,ub_AKI_broad,IR_GENCONV_narrow,lb_GENCONV_narrow,ub_GENCONV_narrow,IR_GENCONV_broad,lb_GENCONV_broad,ub_GENCONV_broad,IR_MENINGOENC_narrow,lb_MENINGOENC_narrow,ub_MENINGOENC_narrow,IR_MENINGOENC_broad,lb_MENINGOENC_broad,ub_MENINGOENC_broad,IR_ARD_narrow,lb_ARD_narrow,ub_ARD_narrow,IR_ARD_broad,lb_ARD_broad,ub_ARD_broad,IR_CHILBLAIN_narrow,lb_CHILBLAIN_narrow,ub_CHILBLAIN_narrow,IR_CHILBLAIN_broad,lb_CHILBLAIN_broad,ub_CHILBLAIN_broad,IR_ANAPHYL_broad,lb_ANAPHYL_broad,ub_ANAPHYL_broad,IR_Hemostroke_narrow,lb_Hemostroke_narrow,ub_Hemostroke_narrow,IR_Hemostroke_broad,lb_Hemostroke_broad,ub_Hemostroke_broad,IR_Ischstroke_narrow,lb_Ischstroke_narrow,ub_Ischstroke_narrow,IR_Ischstroke_broad,lb_Ischstroke_broad,ub_Ischstroke_broad,IR_VTE_narrow,lb_VTE_narrow,ub_VTE_narrow,IR_VTE_broad,lb_VTE_broad,ub_VTE_broad,IR_CONTRDIVERTIC,lb_CONTRDIVERTIC,ub_CONTRDIVERTIC,IR_CONTRHYPERT,lb_CONTRHYPERT,ub_CONTRHYPERT,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_DEATH,lb_DEATH,ub_DEATH,IR_ArterialNoTP,lb_ArterialNoTP,ub_ArterialNoTP,IR_VTENoTP,lb_VTENoTP,ub_VTENoTP,IR_ArterialVTENoTP,lb_ArterialVTENoTP,ub_ArterialVTENoTP
0,0,0,1,COVCANCER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,1,0,1,1,0,0,0,0,0,15361.57,0,0,16030.5,0,0,15361.57,0,0,16030.5,0,0,15361.57,0,0,15361.57,0,0,15361.57,0,0,15361.57,0,0,16030.5,0,0,16030.5,0,0,16030.5,0,0,16030.5,0,0,15361.57,0,0,15361.57,0,0,15361.57,0,0,15361.57,0,0,15361.57,0,0,15361.57,0,0,15361.57,0,0,15361.57,0,0,15361.57,0,0,15361.57,0,0,15361.57,0,0,15361.57,0,0,15361.57,0,0,15361.57,0,0,15361.57,4474.46,113.28,24930.08,4474.46,113.28,24930.08,0,0,15361.57,39550.62,14514.38,86085.05,0,0,15361.57,0,0,15361.57,4164.29,105.43,23201.95,0,0,15361.57,4474.46,113.28,24930.08,4474.46,113.28,24930.08
0,0,0,1,COVCKD,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,59591.47,0,0,59591.47,0,0,59591.47,0,0,61188.16,17188.24,435.17,95766.72,17679.09,447.6,98501.59,0,0,59591.47,0,0,71100.96,0,0,71326.8,0,0,71326.8,0,0,59591.47,0,0,59591.47,16342.28,413.75,91053.37,16342.28,413.75,91053.37,0,0,59591.47,0,0,59591.47,0,0,59591.47,0,0,59591.47,0,0,59591.47,0,0,59591.47,0,0,59591.47,0,0,59591.47,0,0,59591.47,0,0,59591.47,0,0,59591.47,0,0,59591.47,0,0,61188.16,16831.8,426.14,93780.77,16831.8,426.14,93780.77,0,0,59591.47,0,0,184066.01,0,0,59591.47,0,0,59591.47,16154.36,408.99,90006.31,0,0,59591.47,16831.8,426.14,93780.77,16831.8,426.14,93780.77
0,0,0,1,COVCOPD,0,0,0,1,1,1,0,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,6224.82,0,0,6331.89,0,0,6224.82,1710.53,43.31,9530.48,1739.87,44.05,9693.91,1739.87,44.05,9693.91,0,0,6224.82,3544.05,429.2,12802.33,8782.58,2851.68,20495.62,8782.58,2851.68,20495.62,0,0,6224.82,0,0,6224.82,0,0,6224.82,0,0,6224.82,0,0,6224.82,0,0,6224.82,0,0,6224.82,0,0,6224.82,0,0,6224.82,0,0,6224.82,0,0,6224.82,0,0,6224.82,0,0,6224.82,0,0,6224.82,0,0,6224.82,0,0,6224.82,0,0,6224.82,0,0,6331.3,0,0,6331.3,0,0,6224.82,11169.04,3626.56,26064.82,0,0,6224.82,0,0,6224.82,3374.91,408.72,12191.35,0,0,6224.82,0,0,6331.3,0,0,6331.3
0,0,0,1,COVDIAB,0,0,1,5,0,1,0,2,4,4,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,10,0,0,4,0,0,0,1,1,1,0,0,5316.51,0,0,5316.51,1459.19,36.94,8130.09,8320.42,2701.62,19417.1,0,0,5316.51,1450.27,36.72,8080.38,0,0,5394.42,2969.39,359.61,10726.46,6141.24,1673.28,15724,6141.24,1673.28,15724,0,0,5316.51,0,0,5316.51,2886.55,349.57,10427.22,2886.55,349.57,10427.22,1442.93,36.53,8039.52,1442.93,36.53,8039.52,0,0,5316.51,0,0,5316.51,0,0,5316.51,0,0,5316.51,0,0,5316.51,0,0,5316.51,1442.93,36.53,8039.52,1442.54,36.52,8037.29,1442.54,36.52,8037.29,0,0,5316.51,0,0,5328.92,0,0,5316.51,0,0,5316.51,0,0,5316.51,30562.3,14655.81,56205.15,0,0,5316.51,0,0,5316.51,5764.91,1570.74,14760.45,0,0,5394.42,0,0,5316.51,0,0,5394.42
0,0,0,1,COVHIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,368132.03,0,0,368132.03,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,368132.03,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01
0,0,0,1,COVOBES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,,,0,,,0,0,0,22456053.68,0,0,22456053.68,,,0,,,0,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,,,0,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68
0,0,0,1,COVSICKLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,116693.29,2954.42,650173.4,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03
0,0,0,1,CV,0,0,0,3,2,2,1,5,8,8,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,22,0,0,7,1,1,2,1,1,1,0,0,2448.19,0,0,2448.19,0,0,2448.19,2063.13,425.47,6029.35,1364.88,165.29,4930.43,1366.39,165.48,4935.87,671.03,16.99,3738.76,3492.54,1134.02,8150.43,5708.15,2464.37,11247.32,5708.15,2464.37,11247.32,0,0,2481.19,0,0,2481.19,1328.21,160.85,4797.94,1993,411,5824.38,664.03,16.81,3699.74,664.03,16.81,3699.74,0,0,2448.19,0,0,2448.19,0,0,2448.19,0,0,2448.19,0,0,2448.19,0,0,2448.19,664.03,16.81,3699.74,0,0,2448.19,0,0,2448.19,0,0,2464.58,0,0,2467.25,669.2,16.94,3728.55,669.2,16.94,3728.55,0,0,2448.19,32437.83,20328.62,49111.27,0,0,2448.19,0,0,2448.19,4645.68,1867.8,9571.88,675.58,17.1,3764.07,669.2,16.94,3728.55,1362.62,165.02,4922.25
0,0,0,1,IMMUNOSUPPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,0,1,1,0,0,0,0,0,9304.99,0,0,9304.99,0,0,9304.99,0,0,9304.99,0,0,9550.35,0,0,9550.35,0,0,9304.99,0,0,9800.43,0,0,9804.71,0,0,9804.71,0,0,9546.29,0,0,9546.29,0,0,9304.99,0,0,9304.99,0,0,9304.99,0,0,9304.99,0,0,9304.99,0,0,9304.99,0,0,9304.99,0,0,9304.99,0,0,9304.99,0,0,9304.99,0,0,9304.99,0,0,9304.99,0,0,9304.99,0,0,9304.99,0,0,9304.99,2633,66.66,14670.15,2633,66.66,14670.15,0,0,9304.99,8080.75,978.62,29190.46,0,0,9304.99,0,0,9304.99,5044.89,610.96,18223.88,0,0,9304.99,2633,66.66,14670.15,2633,66.66,14670.15
0,0,0,1,any_risk_factors,0,0,1,5,2,3,1,5,10,10,0,0,2,3,0,0,0,0,0,0,1,1,0,0,1,1,0,29,0,0,9,1,1,2,1,1,1,0,0,1497.74,0,0,1503.85,407.43,10.32,2270.04,2109.66,685,4923.25,825.93,100.02,2983.53,1241.11,255.95,3627.05,408.76,10.35,2277.46,2093.96,679.9,4886.61,4261.31,2043.47,7836.71,4261.31,2043.47,7836.71,0,0,1510.02,0,0,1510.02,812.35,98.38,2934.5,1218.79,251.34,3561.81,406.15,10.28,2262.92,406.15,10.28,2262.92,0,0,1497.74,0,0,1497.74,0,0,1497.74,0,0,1497.74,0,0,1497.74,0,0,1497.74,406.15,10.28,2262.92,406.12,10.28,2262.74,406.12,10.28,2262.74,0,0,1503.85,0,0,1504.85,408.78,10.35,2277.56,408.78,10.35,2277.56,0,0,1497.74,20999.29,14063.55,30158.48,0,0,1497.74,0,0,1497.74,3654.12,1670.9,6936.67,410.44,10.39,2286.82,408.78,10.35,2277.56,826.53,100.1,2985.7
0,0,0,both_sexes,COVCANCER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,0,0,1,0,1,1,0,0,0,0,0,7675.1,0,0,7838.52,0,0,7675.1,0,0,7838.52,0,0,7675.1,0,0,7675.1,0,0,7675.1,0,0,7675.1,0,0,7838.52,0,0,7838.52,0,0,7838.52,0,0,7838.52,0,0,7675.1,0,0,7675.1,0,0,7675.1,0,0,7675.1,0,0,7675.1,0,0,7675.1,0,0,7675.1,0,0,7675.1,0,0,7675.1,0,0,7675.1,0,0,7675.1,0,0,7675.1,0,0,7675.1,0,0,7675.1,0,0,7675.1,2155.25,54.57,12008.28,2155.25,54.57,12008.28,0,0,7675.1,24232.87,10462.04,47748.42,0,0,7675.1,0,0,7675.1,2080.6,52.68,11592.38,0,0,7675.1,2155.25,54.57,12008.28,2155.25,54.57,12008.28
0,0,0,both_sexes,COVCKD,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,32934.81,0,0,32934.81,0,0,32934.81,0,0,36752.95,11332.61,286.92,63141.26,11543.93,292.27,64318.67,0,0,32934.81,0,0,40112.03,0,0,45107.57,0,0,45107.57,0,0,32934.81,0,0,32934.81,8985.24,227.49,50062.55,8985.24,227.49,50062.55,0,0,32934.81,0,0,32934.81,0,0,32934.81,0,0,32934.81,0,0,32934.81,0,0,32934.81,0,0,32934.81,0,0,32934.81,0,0,32934.81,0,0,32934.81,0,0,32934.81,0,0,36170.82,0,0,36752.95,9131.25,231.18,50876.07,9131.25,231.18,50876.07,0,0,36170.82,0,0,184066.01,0,0,32934.81,0,0,32934.81,8928.13,226.04,49744.38,0,0,36170.82,9131.25,231.18,50876.07,10050.91,254.47,56000.08
0,0,0,both_sexes,COVCOPD,0,0,0,3,2,2,1,3,7,7,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,12,0,0,2,1,0,1,0,0,0,0,0,3460.55,0,0,3493.38,0,0,3460.55,2865.83,591,8375.17,1911.25,231.46,6904.1,1911.25,231.46,6904.1,940.95,23.82,5242.66,2900.04,598.06,8475.14,6778.59,2725.35,13966.49,6778.59,2725.35,13966.49,0,0,3460.55,0,0,3460.55,0,0,3460.55,1899.38,230.02,6861.2,0,0,3460.55,0,0,3460.55,0,0,3460.55,0,0,3460.55,939.6,23.79,5235.11,939.6,23.79,5235.11,0,0,3460.55,0,0,3460.55,0,0,3460.55,0,0,3460.55,0,0,3460.55,0,0,3460.55,0,0,3460.55,0,0,3493.2,0,0,3493.2,940.13,23.8,5238.07,16123.45,8331.22,28164.43,0,0,3460.55,0,0,3460.55,1876.2,227.22,6777.49,940.95,23.82,5242.66,0,0,3493.2,949.86,24.05,5292.29
