Dose,sex,Birthcohort_persons,type_vax,fup,year,Persontime,Persontime_COVID_L1plus,Persontime_COVID_L2plus,Persontime_COVID_L3plus,Persontime_COVID_L4plus,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus
1,0,1940-1949,Moderna,4,2021,25,25,25,25,25,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1950-1959,,73,2020,8052,8036,8052,8052,8052,1,0,0,0,12.44,1.75,88.32,0,0,,0,0,,0,0,
0,1,1950-1959,,73,2021,3080,2940,3080,3080,3080,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1960-1969,,73,2020,13176,12939,12977,12977,12977,2,1,1,1,15.46,3.87,61.82,7.71,1.09,54.74,7.71,1.09,54.74,7.71,1.09,54.74
0,0,1960-1969,,73,2021,5040,4735,4900,4900,4900,1,0,0,0,21.12,2.97,149.94,0,0,,0,0,,0,0,
0,0,1950-1959,,73,2020,8418,8418,8418,8418,8418,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1950-1959,,73,2021,3220,3195,3220,3220,3220,1,0,0,0,31.3,4.41,222.21,0,0,,0,0,,0,0,
0,1,1960-1969,,73,2020,8418,8418,8418,8418,8418,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1960-1969,,73,2021,3220,3220,3220,3220,3220,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1990+,,73,2020,12078,12051,12078,12078,12078,1,0,0,0,8.3,1.17,58.92,0,0,,0,0,,0,0,
0,1,1990+,,73,2021,4620,4476,4620,4620,4620,1,0,0,0,22.34,3.15,158.6,0,0,,0,0,,0,0,
0,0,1980-1989,,73,2020,8418,8418,8418,8418,8418,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1980-1989,,73,2021,3220,3220,3220,3220,3220,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1940-1949,,67,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1940-1949,,67,2021,101,101,101,101,101,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,1,1940-1949,AstraZeneca,6,2021,39,39,39,39,39,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,<1940,,73,2020,3660,3660,3660,3660,3660,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,<1940,,73,2021,1400,1400,1400,1400,1400,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1970-1979,,72,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1970-1979,,72,2021,137,137,137,137,137,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,1970-1979,AstraZeneca,1,2021,3,3,3,3,3,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1970-1979,,65,2020,732,732,732,732,732,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1970-1979,,65,2021,169,169,169,169,169,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,1,1970-1979,Pfizer,2,2021,12,12,12,12,12,0,0,0,0,0,0,,0,0,,0,0,,0,0,
2,1,1970-1979,Pfizer,7,2021,46,46,46,46,46,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1970-1979,,73,2020,7686,7624,7686,7686,7686,1,0,0,0,13.12,1.85,93.14,0,0,,0,0,,0,0,
0,0,1970-1979,,73,2021,2940,2689,2829,2940,2940,1,1,0,0,37.19,5.24,264.02,35.35,4.98,250.96,0,0,,0,0,
0,1,1960-1969,,14,2020,93,93,93,93,93,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1950-1959,,62,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1950-1959,,62,2021,61,61,61,61,61,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1940-1949,,18,2020,121,121,121,121,121,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1940-1949,,73,2020,5490,5439,5490,5490,5490,1,0,0,0,18.39,2.59,130.56,0,0,,0,0,,0,0,
0,0,1940-1949,,73,2021,2100,1835,2100,2100,2100,1,0,0,0,54.5,7.68,386.91,0,0,,0,0,,0,0,
0,0,1940-1949,,24,2020,167,167,167,167,167,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1940-1949,,29,2020,199,199,199,199,199,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,<1940,,28,2020,191,191,191,191,191,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1970-1979,,18,2020,119,119,119,119,119,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1940-1949,,46,2020,315,315,315,315,315,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1940-1949,,70,2020,732,732,732,732,732,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1940-1949,,70,2021,240,240,240,240,240,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,1940-1949,AstraZeneca,4,2021,47,47,47,47,47,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1940-1949,,73,2020,1830,1830,1830,1830,1830,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1940-1949,,73,2021,699,699,699,699,699,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1960-1969,,66,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1960-1969,,66,2021,94,94,94,94,94,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,1,1960-1969,Pfizer,4,2021,51,51,51,51,51,0,0,0,0,0,0,,0,0,,0,0,,0,0,
2,1,1960-1969,Pfizer,4,2021,21,21,21,21,21,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,<1940,,67,2020,732,732,732,732,732,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,<1940,,67,2021,197,197,197,197,197,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,1,<1940,Pfizer,7,2021,89,89,89,89,89,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1990+,,24,2020,167,167,167,167,167,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1980-1989,,71,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1980-1989,,71,2021,130,130,130,130,130,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,1,1980-1989,AstraZeneca,2,2021,10,10,10,10,10,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1980-1989,,73,2020,4758,4744,4758,4758,4758,1,0,0,0,21.08,2.97,149.65,0,0,,0,0,,0,0,
0,1,1980-1989,,73,2021,1820,1607,1820,1820,1820,1,0,0,0,62.23,8.77,441.79,0,0,,0,0,,0,0,
1,1,<1940,Pfizer,6,2021,41,41,41,41,41,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1960-1969,,62,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1960-1969,,62,2021,62,62,62,62,62,0,0,0,0,0,0,,0,0,,0,0,,0,0,
2,1,1960-1969,Pfizer,8,2021,52,52,52,52,52,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1960-1969,,62,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1960-1969,,62,2021,66,66,66,66,66,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,1960-1969,Pfizer,11,2021,74,74,74,74,74,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,<1940,,66,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,<1940,,66,2021,91,91,91,91,91,0,0,0,0,0,0,,0,0,,0,0,,0,0,
2,1,<1940,Pfizer,1,2021,2,2,2,2,2,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,<1940,,73,2020,2196,2196,2196,2196,2196,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,<1940,,73,2021,840,795,840,840,840,1,0,0,0,125.79,17.72,893.02,0,0,,0,0,,0,0,
0,1,1970-1979,,6,2020,40,40,40,40,40,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1940-1949,,59,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1940-1949,,59,2021,45,45,45,45,45,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,<1940,,33,2020,227,227,227,227,227,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1940-1949,,71,2020,732,732,732,732,732,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1940-1949,,71,2021,251,251,251,251,251,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,1,1940-1949,Pfizer,3,2021,29,29,29,29,29,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1970-1979,,36,2020,247,247,247,247,247,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,<1940,,69,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,<1940,,69,2021,110,110,110,110,110,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,1,<1940,Pfizer,1,2021,6,6,6,6,6,0,0,0,0,0,0,,0,0,,0,0,,0,0,
2,1,<1940,Pfizer,4,2021,24,24,24,24,24,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1990+,,43,2020,297,297,297,297,297,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,<1940,,70,2020,732,732,732,732,732,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,<1940,,70,2021,243,243,243,243,243,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,1,<1940,Pfizer,3,2021,37,37,37,37,37,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1970-1979,,68,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1970-1979,,68,2021,107,107,107,107,107,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,1,1970-1979,AstraZeneca,5,2021,33,33,33,33,33,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1950-1959,,70,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1950-1959,,70,2021,121,121,121,121,121,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,1950-1959,Pfizer,3,2021,19,19,19,19,19,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1960-1969,,26,2020,177,177,177,177,177,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1980-1989,,63,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1980-1989,,63,2021,72,72,72,72,72,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,1980-1989,Pfizer,8,2021,50,50,50,50,50,0,0,0,0,0,0,,0,0,,0,0,,0,0,
2,0,1980-1989,Pfizer,3,2021,18,18,18,18,18,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,1,1970-1979,AstraZeneca,8,2021,53,53,53,53,53,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1940-1949,,66,2020,732,732,732,732,732,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1940-1949,,66,2021,182,182,182,182,182,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1980-1989,,49,2020,338,338,338,338,338,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1970-1979,,11,2020,71,71,71,71,71,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1940-1949,,72,2020,1098,1098,1098,1098,1098,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1940-1949,,72,2021,399,399,399,399,399,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,1940-1949,Pfizer,2,2021,7,7,7,7,7,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1940-1949,,67,2020,732,732,732,732,732,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1940-1949,,67,2021,204,204,204,204,204,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,1940-1949,Pfizer,6,2021,38,38,38,38,38,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,1940-1949,AstraZeneca,2,2021,8,8,8,8,8,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1960-1969,,63,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1960-1969,,63,2021,71,71,71,71,71,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1940-1949,,69,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1940-1949,,69,2021,111,111,111,111,111,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,1,1940-1949,Pfizer,5,2021,29,29,29,29,29,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1950-1959,,2,2020,8,8,8,8,8,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1950-1959,,40,2020,278,278,278,278,278,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,<1940,,63,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,<1940,,63,2021,68,68,68,68,68,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,<1940,Pfizer,8,2021,55,55,55,55,55,0,0,0,0,0,0,,0,0,,0,0,,0,0,
2,0,<1940,Pfizer,3,2021,17,17,17,17,17,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1960-1969,,64,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1960-1969,,64,2021,75,75,75,75,75,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,1,1960-1969,Pfizer,10,2021,65,65,65,65,65,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,1940-1949,AstraZeneca,6,2021,38,38,38,38,38,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1970-1979,,3,2020,14,14,14,14,14,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,1,1940-1949,AstraZeneca,7,2021,47,47,47,47,47,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1940-1949,,42,2020,293,293,293,293,293,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,1940-1949,AstraZeneca,1,2021,6,6,6,6,6,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1940-1949,,72,2020,732,732,732,732,732,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1940-1949,,72,2021,267,267,267,267,267,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,1,1940-1949,AstraZeneca,2,2021,9,9,9,9,9,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1970-1979,,66,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1970-1979,,66,2021,89,89,89,89,89,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,1970-1979,Pfizer,4,2021,25,25,25,25,25,0,0,0,0,0,0,,0,0,,0,0,,0,0,
2,0,1970-1979,Pfizer,4,2021,26,26,26,26,26,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1990+,,44,2020,303,303,303,303,303,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1990+,,50,2020,344,344,344,344,344,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1960-1969,,63,2020,732,732,732,732,732,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1960-1969,,63,2021,141,141,141,141,141,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1980-1989,,3,2020,15,15,15,15,15,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,<1940,,48,2020,333,333,333,333,333,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1990+,,36,2020,250,250,250,250,250,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1990+,,8,2020,55,55,55,55,55,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1970-1979,,68,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1970-1979,,68,2021,107,107,107,107,107,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1980-1989,,68,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1980-1989,,68,2021,108,108,108,108,108,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,1980-1989,Pfizer,5,2021,32,9,32,32,32,1,0,0,0,11111.11,1565.09,78881.4,0,0,,0,0,,0,0,
0,0,1970-1979,,54,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1970-1979,,54,2021,7,7,7,7,7,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,1970-1979,Pfizer,20,2021,133,133,133,133,133,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1980-1989,,58,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1980-1989,,58,2021,37,37,37,37,37,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,1980-1989,Pfizer,6,2021,39,39,39,39,39,0,0,0,0,0,0,,0,0,,0,0,,0,0,
2,0,1980-1989,Pfizer,10,2021,64,64,64,64,64,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1950-1959,,69,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1950-1959,,69,2021,113,113,113,113,113,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,1,1950-1959,Moderna,4,2021,27,27,27,27,27,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1970-1979,,71,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1970-1979,,71,2021,124,124,124,124,124,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,1,1970-1979,AstraZeneca,3,2021,16,16,16,16,16,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,<1940,Pfizer,7,2021,43,43,43,43,43,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,1940-1949,Moderna,3,2021,18,18,18,18,18,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1960-1969,,72,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1960-1969,,72,2021,133,133,133,133,133,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,1960-1969,Moderna,2,2021,7,7,7,7,7,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1940-1949,,62,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1940-1949,,62,2021,61,61,61,61,61,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,1960-1969,Pfizer,7,2021,47,47,47,47,47,0,0,0,0,0,0,,0,0,,0,0,,0,0,
2,0,1960-1969,Pfizer,4,2021,22,22,22,22,22,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,<1940,,68,2020,366,332,366,366,366,1,0,0,0,301.2,42.43,2138.32,0,0,,0,0,,0,0,
0,1,<1940,,68,2021,106,0,106,106,106,0,0,0,0,,,,0,0,,0,0,,0,0,
1,1,<1940,Pfizer,5,2021,34,0,34,34,34,0,0,0,0,,,,0,0,,0,0,,0,0,
0,1,1970-1979,,72,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1970-1979,,72,2021,137,137,137,137,137,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,1,1970-1979,Pfizer,1,2021,3,3,3,3,3,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,1,1940-1949,Pfizer,1,2021,1,1,1,1,1,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,<1940,,44,2020,302,302,302,302,302,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1950-1959,,11,2020,76,76,76,76,76,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1990+,,52,2020,357,357,357,357,357,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1980-1989,,2,2020,12,12,12,12,12,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1990+,,57,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1990+,,57,2021,30,30,30,30,30,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1960-1969,,58,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1960-1969,,58,2021,36,36,36,36,36,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,<1940,Pfizer,2,2021,11,11,11,11,11,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1970-1979,,49,2020,339,339,339,339,339,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,<1940,,69,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,<1940,,69,2021,111,111,111,111,111,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,<1940,Pfizer,5,2021,29,29,29,29,29,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,1,1940-1949,AstraZeneca,1,2021,4,4,4,4,4,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1990+,,71,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1990+,,71,2021,129,129,129,129,129,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,1990+,AstraZeneca,2,2021,11,11,11,11,11,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1950-1959,,68,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1950-1959,,68,2021,107,107,107,107,107,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,1,1950-1959,AstraZeneca,5,2021,33,33,33,33,33,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1970-1979,,19,2020,132,132,132,132,132,0,0,0,0,0,0,,0,0,,0,0,,0,0,
