datasource,week_since_vaccination,vx_manufacturer,dose,riskfactor,COVID,IR,lb,ub
ARS,2,Pfizer,1,COVDIAB,L5,0,0,0
ARS,2,Pfizer,1,any_risk_factors,L5,0,0,0
ARS,0,none,no_dose,COVCANCER,L5,0,0,0
ARS,0,none,no_dose,COVHIV,L5,0,0,0
ARS,1,Pfizer,1,COVCOPD,L5,0,0,0
ARS,2,Pfizer,1,COVCOPD,L5,0,0,0
ARS,3,Pfizer,1,COVCOPD,L5,0,0,0
ARS,3,Pfizer,1,any_risk_factors,L5,0,0,0
ARS,4,Pfizer,1,COVCOPD,L5,0,0,0
ARS,4,Pfizer,1,any_risk_factors,L5,0,0,0
ARS,5,Pfizer,1,COVCOPD,L5,0,0,0
ARS,5,Pfizer,1,any_risk_factors,L5,0,0,0
