datasource,week_since_vaccination,vx_manufacturer,dose,birth_cohort,COVID,IR,lb,ub
ARS,0,none,no_dose,1960-1969,L3,3.18,0.45,22.58
ARS,0,none,no_dose,1980-1989,L3,0,0,0
ARS,1,Pfizer,1,1970-1979,L3,0,0,0
ARS,2,Pfizer,1,1970-1979,L3,0,0,0
ARS,1,Pfizer,2,1970-1979,L3,0,0,0
ARS,1,Pfizer,1,1960-1969,L3,0,0,0
ARS,1,Pfizer,1,<1940,L3,0,0,0
ARS,2,Pfizer,1,1960-1969,L3,0,0,0
ARS,3,Pfizer,1,1960-1969,L3,0,0,0
ARS,4,Pfizer,1,1960-1969,L3,0,0,0
ARS,1,Pfizer,2,1960-1969,L3,0,0,0
ARS,2,Pfizer,2,1960-1969,L3,0,0,0
ARS,5,Pfizer,1,1960-1969,L3,0,0,0
ARS,2,Pfizer,1,<1940,L3,0,0,0
ARS,1,Pfizer,1,1980-1989,L3,0,0,0
ARS,2,Pfizer,1,1980-1989,L3,0,0,0
ARS,3,Pfizer,1,1980-1989,L3,0,0,0
ARS,4,Pfizer,1,1980-1989,L3,0,0,0
ARS,5,Pfizer,1,1980-1989,L3,0,0,0
ARS,1,AstraZeneca,1,1970-1979,L3,0,0,0
ARS,2,AstraZeneca,1,1970-1979,L3,0,0,0
ARS,3,Pfizer,1,<1940,L3,0,0,0
ARS,4,Pfizer,1,<1940,L3,0,0,0
ARS,5,Pfizer,1,<1940,L3,0,0,0
ARS,1,AstraZeneca,1,1940-1949,L3,0,0,0
ARS,2,AstraZeneca,1,1940-1949,L3,0,0,0
ARS,3,Pfizer,1,1970-1979,L3,0,0,0
ARS,4,Pfizer,1,1970-1979,L3,0,0,0
ARS,5,Pfizer,1,1970-1979,L3,0,0,0
ARS,6,Pfizer,1,1970-1979,L3,0,0,0
ARS,7,Pfizer,1,1970-1979,L3,0,0,0
ARS,8,Pfizer,1,1970-1979,L3,0,0,0
ARS,9,Pfizer,1,1970-1979,L3,0,0,0
ARS,10,Pfizer,1,1970-1979,L3,0,0,0
ARS,11,Pfizer,1,1970-1979,L3,0,0,0
ARS,12,Pfizer,1,1970-1979,L3,0,0,0
ARS,13,Pfizer,1,1970-1979,L3,0,0,0
ARS,14,Pfizer,1,1970-1979,L3,0,0,0
ARS,6,Pfizer,1,1980-1989,L3,0,0,0
ARS,1,Pfizer,2,1980-1989,L3,0,0,0
ARS,2,Pfizer,2,1980-1989,L3,0,0,0
ARS,3,Pfizer,2,1980-1989,L3,0,0,0
ARS,4,Pfizer,2,1980-1989,L3,0,0,0
ARS,0,none,no_dose,all_birth_cohorts,L3,0.59,0.08,4.19
ARS,1,Pfizer,1,all_birth_cohorts,L3,0,0,0
ARS,2,Pfizer,1,all_birth_cohorts,L3,0,0,0
ARS,1,Pfizer,2,all_birth_cohorts,L3,0,0,0
ARS,3,Pfizer,1,all_birth_cohorts,L3,0,0,0
ARS,4,Pfizer,1,all_birth_cohorts,L3,0,0,0
ARS,2,Pfizer,2,all_birth_cohorts,L3,0,0,0
ARS,5,Pfizer,1,all_birth_cohorts,L3,0,0,0
ARS,1,AstraZeneca,1,all_birth_cohorts,L3,0,0,0
ARS,2,AstraZeneca,1,all_birth_cohorts,L3,0,0,0
ARS,6,Pfizer,1,all_birth_cohorts,L3,0,0,0
ARS,7,Pfizer,1,all_birth_cohorts,L3,0,0,0
ARS,8,Pfizer,1,all_birth_cohorts,L3,0,0,0
ARS,9,Pfizer,1,all_birth_cohorts,L3,0,0,0
ARS,10,Pfizer,1,all_birth_cohorts,L3,0,0,0
ARS,11,Pfizer,1,all_birth_cohorts,L3,0,0,0
ARS,12,Pfizer,1,all_birth_cohorts,L3,0,0,0
ARS,13,Pfizer,1,all_birth_cohorts,L3,0,0,0
ARS,14,Pfizer,1,all_birth_cohorts,L3,0,0,0
ARS,3,Pfizer,2,all_birth_cohorts,L3,0,0,0
ARS,4,Pfizer,2,all_birth_cohorts,L3,0,0,0
ARS,0,none,no_dose,1990+,L4,0,0,0
ARS,0,none,no_dose,1970-1979,L4,0,0,0
ARS,0,none,no_dose,<1940,L4,0,0,0
ARS,0,none,no_dose,1940-1949,L4,0,0,0
ARS,0,none,no_dose,1950-1959,L4,0,0,0
ARS,0,none,no_dose,1960-1969,L4,3.18,0.45,22.58
ARS,0,none,no_dose,1980-1989,L4,0,0,0
ARS,1,Pfizer,1,1970-1979,L4,0,0,0
ARS,2,Pfizer,1,1970-1979,L4,0,0,0
ARS,1,Pfizer,2,1970-1979,L4,0,0,0
ARS,1,Pfizer,1,1960-1969,L4,0,0,0
ARS,1,Pfizer,1,<1940,L4,0,0,0
ARS,2,Pfizer,1,1960-1969,L4,0,0,0
ARS,3,Pfizer,1,1960-1969,L4,0,0,0
ARS,4,Pfizer,1,1960-1969,L4,0,0,0
ARS,1,Pfizer,2,1960-1969,L4,0,0,0
ARS,2,Pfizer,2,1960-1969,L4,0,0,0
ARS,5,Pfizer,1,1960-1969,L4,0,0,0
ARS,2,Pfizer,1,<1940,L4,0,0,0
ARS,1,Pfizer,1,1980-1989,L4,0,0,0
ARS,2,Pfizer,1,1980-1989,L4,0,0,0
ARS,3,Pfizer,1,1980-1989,L4,0,0,0
ARS,4,Pfizer,1,1980-1989,L4,0,0,0
ARS,5,Pfizer,1,1980-1989,L4,0,0,0
ARS,1,AstraZeneca,1,1970-1979,L4,0,0,0
ARS,2,AstraZeneca,1,1970-1979,L4,0,0,0
ARS,3,Pfizer,1,<1940,L4,0,0,0
ARS,4,Pfizer,1,<1940,L4,0,0,0
ARS,5,Pfizer,1,<1940,L4,0,0,0
ARS,1,AstraZeneca,1,1940-1949,L4,0,0,0
ARS,2,AstraZeneca,1,1940-1949,L4,0,0,0
ARS,3,Pfizer,1,1970-1979,L4,0,0,0
ARS,4,Pfizer,1,1970-1979,L4,0,0,0
ARS,5,Pfizer,1,1970-1979,L4,0,0,0
ARS,6,Pfizer,1,1970-1979,L4,0,0,0
ARS,7,Pfizer,1,1970-1979,L4,0,0,0
ARS,8,Pfizer,1,1970-1979,L4,0,0,0
ARS,9,Pfizer,1,1970-1979,L4,0,0,0
ARS,10,Pfizer,1,1970-1979,L4,0,0,0
ARS,11,Pfizer,1,1970-1979,L4,0,0,0
ARS,12,Pfizer,1,1970-1979,L4,0,0,0
ARS,13,Pfizer,1,1970-1979,L4,0,0,0
ARS,14,Pfizer,1,1970-1979,L4,0,0,0
ARS,6,Pfizer,1,1980-1989,L4,0,0,0
ARS,1,Pfizer,2,1980-1989,L4,0,0,0
ARS,2,Pfizer,2,1980-1989,L4,0,0,0
ARS,3,Pfizer,2,1980-1989,L4,0,0,0
ARS,4,Pfizer,2,1980-1989,L4,0,0,0
ARS,0,none,no_dose,all_birth_cohorts,L4,0.59,0.08,4.19
ARS,1,Pfizer,1,all_birth_cohorts,L4,0,0,0
ARS,2,Pfizer,1,all_birth_cohorts,L4,0,0,0
ARS,1,Pfizer,2,all_birth_cohorts,L4,0,0,0
ARS,3,Pfizer,1,all_birth_cohorts,L4,0,0,0
ARS,4,Pfizer,1,all_birth_cohorts,L4,0,0,0
ARS,2,Pfizer,2,all_birth_cohorts,L4,0,0,0
ARS,5,Pfizer,1,all_birth_cohorts,L4,0,0,0
ARS,1,AstraZeneca,1,all_birth_cohorts,L4,0,0,0
ARS,2,AstraZeneca,1,all_birth_cohorts,L4,0,0,0
ARS,6,Pfizer,1,all_birth_cohorts,L4,0,0,0
ARS,7,Pfizer,1,all_birth_cohorts,L4,0,0,0
ARS,8,Pfizer,1,all_birth_cohorts,L4,0,0,0
ARS,9,Pfizer,1,all_birth_cohorts,L4,0,0,0
ARS,10,Pfizer,1,all_birth_cohorts,L4,0,0,0
ARS,11,Pfizer,1,all_birth_cohorts,L4,0,0,0
ARS,12,Pfizer,1,all_birth_cohorts,L4,0,0,0
ARS,13,Pfizer,1,all_birth_cohorts,L4,0,0,0
ARS,14,Pfizer,1,all_birth_cohorts,L4,0,0,0
ARS,3,Pfizer,2,all_birth_cohorts,L4,0,0,0
ARS,4,Pfizer,2,all_birth_cohorts,L4,0,0,0
ARS,0,none,no_dose,1990+,L5,0,0,0
ARS,0,none,no_dose,1970-1979,L5,0,0,0
ARS,0,none,no_dose,<1940,L5,0,0,0
ARS,0,none,no_dose,1940-1949,L5,0,0,0
ARS,0,none,no_dose,1950-1959,L5,0,0,0
ARS,0,none,no_dose,1960-1969,L5,3.18,0.45,22.58
ARS,0,none,no_dose,1980-1989,L5,0,0,0
ARS,1,Pfizer,1,1970-1979,L5,0,0,0
ARS,2,Pfizer,1,1970-1979,L5,0,0,0
ARS,1,Pfizer,2,1970-1979,L5,0,0,0
ARS,1,Pfizer,1,1960-1969,L5,0,0,0
ARS,1,Pfizer,1,<1940,L5,0,0,0
ARS,2,Pfizer,1,1960-1969,L5,0,0,0
ARS,3,Pfizer,1,1960-1969,L5,0,0,0
ARS,4,Pfizer,1,1960-1969,L5,0,0,0
ARS,1,Pfizer,2,1960-1969,L5,0,0,0
ARS,2,Pfizer,2,1960-1969,L5,0,0,0
ARS,5,Pfizer,1,1960-1969,L5,0,0,0
ARS,2,Pfizer,1,<1940,L5,0,0,0
ARS,1,Pfizer,1,1980-1989,L5,0,0,0
ARS,2,Pfizer,1,1980-1989,L5,0,0,0
ARS,3,Pfizer,1,1980-1989,L5,0,0,0
ARS,4,Pfizer,1,1980-1989,L5,0,0,0
ARS,5,Pfizer,1,1980-1989,L5,0,0,0
ARS,1,AstraZeneca,1,1970-1979,L5,0,0,0
ARS,2,AstraZeneca,1,1970-1979,L5,0,0,0
ARS,3,Pfizer,1,<1940,L5,0,0,0
ARS,4,Pfizer,1,<1940,L5,0,0,0
ARS,5,Pfizer,1,<1940,L5,0,0,0
ARS,1,AstraZeneca,1,1940-1949,L5,0,0,0
ARS,2,AstraZeneca,1,1940-1949,L5,0,0,0
ARS,3,Pfizer,1,1970-1979,L5,0,0,0
ARS,4,Pfizer,1,1970-1979,L5,0,0,0
ARS,5,Pfizer,1,1970-1979,L5,0,0,0
ARS,6,Pfizer,1,1970-1979,L5,0,0,0
ARS,7,Pfizer,1,1970-1979,L5,0,0,0
ARS,8,Pfizer,1,1970-1979,L5,0,0,0
ARS,9,Pfizer,1,1970-1979,L5,0,0,0
ARS,10,Pfizer,1,1970-1979,L5,0,0,0
ARS,11,Pfizer,1,1970-1979,L5,0,0,0
ARS,12,Pfizer,1,1970-1979,L5,0,0,0
ARS,13,Pfizer,1,1970-1979,L5,0,0,0
ARS,14,Pfizer,1,1970-1979,L5,0,0,0
ARS,6,Pfizer,1,1980-1989,L5,0,0,0
ARS,1,Pfizer,2,1980-1989,L5,0,0,0
ARS,2,Pfizer,2,1980-1989,L5,0,0,0
ARS,3,Pfizer,2,1980-1989,L5,0,0,0
ARS,4,Pfizer,2,1980-1989,L5,0,0,0
ARS,0,none,no_dose,all_birth_cohorts,L5,0.59,0.08,4.19
ARS,1,Pfizer,1,all_birth_cohorts,L5,0,0,0
ARS,2,Pfizer,1,all_birth_cohorts,L5,0,0,0
ARS,1,Pfizer,2,all_birth_cohorts,L5,0,0,0
ARS,3,Pfizer,1,all_birth_cohorts,L5,0,0,0
ARS,4,Pfizer,1,all_birth_cohorts,L5,0,0,0
ARS,2,Pfizer,2,all_birth_cohorts,L5,0,0,0
ARS,5,Pfizer,1,all_birth_cohorts,L5,0,0,0
ARS,1,AstraZeneca,1,all_birth_cohorts,L5,0,0,0
ARS,2,AstraZeneca,1,all_birth_cohorts,L5,0,0,0
ARS,6,Pfizer,1,all_birth_cohorts,L5,0,0,0
ARS,7,Pfizer,1,all_birth_cohorts,L5,0,0,0
ARS,8,Pfizer,1,all_birth_cohorts,L5,0,0,0
ARS,9,Pfizer,1,all_birth_cohorts,L5,0,0,0
ARS,10,Pfizer,1,all_birth_cohorts,L5,0,0,0
ARS,11,Pfizer,1,all_birth_cohorts,L5,0,0,0
ARS,12,Pfizer,1,all_birth_cohorts,L5,0,0,0
ARS,13,Pfizer,1,all_birth_cohorts,L5,0,0,0
ARS,14,Pfizer,1,all_birth_cohorts,L5,0,0,0
ARS,3,Pfizer,2,all_birth_cohorts,L5,0,0,0
ARS,4,Pfizer,2,all_birth_cohorts,L5,0,0,0
