sex,month,Ageband,Persontime,Persontime_COVID_L1plus,Persontime_COVID_L2plus,Persontime_COVID_L3plus,Persontime_COVID_L4plus,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b
1,2021-04,60-69,690,660,690,690,690,0,0,0,0
1,2021-05,60-69,713,682,713,713,713,0,0,0,0
1,2021-01,50-59,813,813,813,813,813,0,0,0,0
1,2021-02,50-59,738,738,738,738,738,0,0,0,0
1,2021-03,50-59,806,806,806,806,806,0,0,0,0
1,2021-04,50-59,780,780,780,780,780,0,0,0,0
1,2021-05,50-59,806,806,806,806,806,0,0,0,0
0,2020-01,50-59,1319,1319,1319,1319,1319,0,0,0,0
0,2020-02,50-59,1247,1247,1247,1247,1247,0,0,0,0
0,2020-03,50-59,1333,1333,1333,1333,1333,0,0,0,0
0,2020-04,50-59,1271,1271,1271,1271,1271,0,0,0,0
0,2020-05,50-59,1302,1302,1302,1302,1302,0,0,0,0
0,2020-06,50-59,1255,1240,1240,1240,1240,1,1,1,1
0,2020-07,50-59,1284,1253,1253,1253,1253,0,0,0,0
0,2020-08,50-59,1294,1263,1263,1263,1263,0,0,0,0
0,2020-09,50-59,1203,1173,1173,1173,1173,0,0,0,0
0,2020-10,50-59,1240,1209,1209,1209,1209,0,0,0,0
0,2020-11,50-59,1200,1163,1170,1170,1170,1,0,0,0
0,2020-12,50-59,1240,1178,1209,1209,1209,0,0,0,0
0,2021-01,50-59,1240,1176,1207,1209,1209,1,1,0,0
0,2021-02,50-59,1097,1013,1041,1069,1069,0,0,0,0
0,2021-03,50-59,1189,1096,1127,1158,1158,0,0,0,0
0,2021-04,50-59,1140,1045,1080,1110,1110,1,0,0,0
0,2021-05,50-59,1176,1074,1136,1167,1167,0,0,0,0
0,2021-05,60-69,677,624,655,655,655,0,0,0,0
0,2020-01,60-69,775,775,775,775,775,0,0,0,0
0,2020-02,60-69,722,722,722,722,722,0,0,0,0
0,2020-03,60-69,729,729,729,729,729,0,0,0,0
0,2020-04,60-69,711,711,711,711,711,0,0,0,0
0,2020-05,60-69,775,775,775,775,775,0,0,0,0
0,2020-06,60-69,742,742,742,742,742,0,0,0,0
0,2020-07,60-69,744,744,744,744,744,0,0,0,0
0,2020-08,60-69,752,752,752,752,752,0,0,0,0
0,2020-09,60-69,750,750,750,750,750,0,0,0,0
0,2020-10,60-69,757,757,757,757,757,0,0,0,0
0,2020-11,60-69,720,720,720,720,720,0,0,0,0
0,2020-12,60-69,719,719,719,719,719,0,0,0,0
0,2021-01,60-69,682,682,682,682,682,0,0,0,0
0,2021-02,60-69,616,616,616,616,616,0,0,0,0
0,2021-03,60-69,682,682,682,682,682,0,0,0,0
0,2021-04,60-69,660,655,660,660,660,1,0,0,0
1,2020-01,50-59,877,877,877,877,877,0,0,0,0
1,2020-02,50-59,821,821,821,821,821,0,0,0,0
1,2020-03,50-59,872,872,872,872,872,0,0,0,0
1,2020-04,50-59,842,842,842,842,842,0,0,0,0
1,2020-05,50-59,842,842,842,842,842,0,0,0,0
1,2020-06,50-59,810,810,810,810,810,0,0,0,0
1,2020-07,50-59,837,837,837,837,837,0,0,0,0
1,2020-08,50-59,823,823,823,823,823,0,0,0,0
1,2020-09,50-59,780,780,780,780,780,0,0,0,0
1,2020-10,50-59,806,806,806,806,806,0,0,0,0
1,2020-11,50-59,780,780,780,780,780,0,0,0,0
1,2020-12,50-59,780,780,780,780,780,0,0,0,0
1,2020-01,0-19,713,713,713,713,713,0,0,0,0
1,2020-02,0-19,667,667,667,667,667,0,0,0,0
1,2020-03,0-19,713,713,713,713,713,0,0,0,0
1,2020-04,0-19,690,690,690,690,690,0,0,0,0
1,2020-05,0-19,713,713,713,713,713,0,0,0,0
1,2020-06,0-19,690,690,690,690,690,0,0,0,0
1,2020-07,0-19,713,713,713,713,713,0,0,0,0
1,2020-08,0-19,713,713,713,713,713,0,0,0,0
1,2020-09,0-19,690,690,690,690,690,0,0,0,0
1,2020-10,0-19,703,703,703,703,703,0,0,0,0
1,2020-11,0-19,630,630,630,630,630,0,0,0,0
1,2020-12,0-19,648,648,648,648,648,0,0,0,0
1,2021-01,0-19,620,620,620,620,620,0,0,0,0
1,2021-02,0-19,560,560,560,560,560,0,0,0,0
1,2021-03,0-19,620,620,620,620,620,0,0,0,0
1,2021-04,0-19,600,600,600,600,600,0,0,0,0
1,2021-05,0-19,620,605,620,620,620,1,0,0,0
0,2020-01,40-49,851,851,851,851,851,0,0,0,0
0,2020-02,40-49,783,783,783,783,783,0,0,0,0
0,2020-03,40-49,843,843,843,843,843,0,0,0,0
0,2020-04,40-49,806,806,806,806,806,0,0,0,0
0,2020-05,40-49,775,775,775,775,775,0,0,0,0
0,2020-06,40-49,750,750,750,750,750,0,0,0,0
0,2020-07,40-49,762,762,762,762,762,0,0,0,0
0,2020-08,40-49,744,744,744,744,744,0,0,0,0
0,2020-09,40-49,720,720,720,720,720,0,0,0,0
0,2020-10,40-49,744,743,744,744,744,1,0,0,0
0,2020-11,40-49,720,690,720,720,720,0,0,0,0
0,2020-12,40-49,744,713,744,744,744,0,0,0,0
0,2021-01,40-49,744,713,744,744,744,0,0,0,0
0,2021-02,40-49,672,644,672,672,672,0,0,0,0
0,2021-03,40-49,744,713,744,744,744,0,0,0,0
0,2021-04,40-49,707,677,707,707,707,0,0,0,0
0,2021-05,40-49,693,662,693,693,693,0,0,0,0
1,2020-01,20-29,403,403,403,403,403,0,0,0,0
1,2020-02,20-29,377,377,377,377,377,0,0,0,0
1,2020-03,20-29,403,403,403,403,403,0,0,0,0
1,2020-04,20-29,388,388,388,388,388,0,0,0,0
1,2020-05,20-29,372,372,372,372,372,0,0,0,0
1,2020-06,20-29,360,360,360,360,360,0,0,0,0
1,2020-07,20-29,372,372,372,372,372,0,0,0,0
1,2020-08,20-29,372,372,372,372,372,0,0,0,0
1,2020-09,20-29,360,360,360,360,360,0,0,0,0
1,2020-10,20-29,372,372,372,372,372,0,0,0,0
1,2020-11,20-29,360,360,360,360,360,0,0,0,0
1,2020-12,20-29,356,329,356,356,356,1,0,0,0
1,2021-01,20-29,371,340,371,371,371,0,0,0,0
1,2021-02,20-29,308,280,308,308,308,0,0,0,0
1,2021-03,20-29,320,289,320,320,320,0,0,0,0
1,2021-04,20-29,300,270,300,300,300,0,0,0,0
1,2021-05,20-29,310,279,310,310,310,0,0,0,0
0,2020-01,0-19,775,775,775,775,775,0,0,0,0
0,2020-02,0-19,725,725,725,725,725,0,0,0,0
0,2020-03,0-19,775,775,775,775,775,0,0,0,0
0,2020-04,0-19,750,750,750,750,750,0,0,0,0
0,2020-05,0-19,775,775,775,775,775,0,0,0,0
0,2020-06,0-19,750,750,750,750,750,0,0,0,0
0,2020-07,0-19,775,775,775,775,775,0,0,0,0
0,2020-08,0-19,758,758,758,758,758,0,0,0,0
0,2020-09,0-19,696,696,696,696,696,0,0,0,0
0,2020-10,0-19,713,713,713,713,713,0,0,0,0
0,2020-11,0-19,690,690,690,690,690,0,0,0,0
0,2020-12,0-19,682,682,682,682,682,0,0,0,0
0,2021-01,0-19,651,651,651,651,651,0,0,0,0
0,2021-02,0-19,588,588,588,588,588,0,0,0,0
0,2021-03,0-19,651,651,651,651,651,0,0,0,0
0,2021-04,0-19,630,630,630,630,630,0,0,0,0
0,2021-05,0-19,651,651,651,651,651,0,0,0,0
1,2020-12,30-39,484,470,484,484,484,1,0,0,0
1,2021-01,30-39,496,465,496,496,496,0,0,0,0
1,2021-02,30-39,448,420,448,448,448,0,0,0,0
1,2021-03,30-39,517,463,517,517,517,1,0,0,0
1,2021-04,30-39,510,450,510,510,510,0,0,0,0
1,2021-05,30-39,511,449,511,511,511,0,0,0,0
1,2020-04,30-39,422,422,422,422,422,0,0,0,0
1,2020-05,30-39,465,465,465,465,465,0,0,0,0
1,2020-06,30-39,450,450,450,450,450,0,0,0,0
1,2020-07,30-39,465,465,465,465,465,0,0,0,0
1,2020-08,30-39,465,465,465,465,465,0,0,0,0
1,2020-09,30-39,450,450,450,450,450,0,0,0,0
1,2020-10,30-39,465,465,465,465,465,0,0,0,0
1,2020-11,30-39,450,450,450,450,450,0,0,0,0
1,2020-01,80+,496,496,496,496,496,0,0,0,0
1,2020-02,80+,464,464,464,464,464,0,0,0,0
1,2020-03,80+,496,496,496,496,496,0,0,0,0
1,2020-04,80+,488,488,488,488,488,0,0,0,0
1,2020-05,80+,527,527,527,527,527,0,0,0,0
1,2020-06,80+,510,510,510,510,510,0,0,0,0
1,2020-07,80+,505,505,505,505,505,0,0,0,0
1,2020-08,80+,484,484,484,484,484,0,0,0,0
1,2020-09,80+,481,481,481,481,481,0,0,0,0
1,2020-10,80+,527,527,527,527,527,0,0,0,0
1,2020-11,80+,508,505,508,508,508,1,0,0,0
1,2020-12,80+,496,465,496,496,496,0,0,0,0
1,2021-01,80+,496,465,496,496,496,0,0,0,0
1,2021-02,80+,448,420,448,448,448,0,0,0,0
1,2021-03,80+,496,465,496,496,496,0,0,0,0
1,2021-04,80+,480,425,480,480,480,1,0,0,0
1,2021-05,80+,496,434,496,496,496,0,0,0,0
1,2020-01,30-39,450,450,450,450,450,0,0,0,0
1,2020-02,30-39,406,406,406,406,406,0,0,0,0
1,2020-03,30-39,434,434,434,434,434,0,0,0,0
